Round,Pick,Team,Player,Position,Age,School
4,118,CIN,Sean Porter,LB,22,Texas A&M
4,119,WAS,Phillip Thomas,DB,24,Fresno St.
4,120,MIN,Gerald Hodges,LB,22,Penn St.
4,121,IND,Khaled Holmes,C,23,USC
4,122,GNB,J.C. Tretter,T,22,Cornell
4,123,SEA,Chris Harper,WR,23,Kansas St.
4,124,HOU,Trevardo Williams,DE,22,Connecticut
4,125,GNB,Johnathan Franklin,RB,23,UCLA
4,126,TAM,William Gholston,DE,22,Michigan St.
4,127,ATL,Malliciah Goodman,DE,23,Clemson
4,128,SFO,Quinton Patton,WR,23,Louisiana Tech
4,129,BAL,John Simon,DE,22,Ohio St.
4,130,BAL,Kyle Juszczyk,RB,22,Harvard
4,131,SFO,Marcus Lattimore,RB,21,South Carolina
4,132,DET,Devin Taylor,DE,23,South Carolina
4,133,ATL,Levine Toilolo,TE,22,Stanford
5,134,KAN,Sanders Commings,DB,23,Georgia
5,135,JAX,Denard Robinson,WR,22,Michigan
5,136,PHI,Earl Wolff,DB,23,North Carolina St.
5,137,SEA,Jesse Williams,DT,22,Alabama
5,138,SEA,Tharold Simon,DB,22,LSU
5,139,IND,Montori Hughes,DT,23,UT Martin
5,140,ARI,Stepfan Taylor,RB,22,Stanford
5,141,NYJ,Oday Aboushi,T,22,Virginia
5,142,TEN,Lavar Edwards,DE,23,LSU
5,143,BUF,Jonathan Meeks,DB,23,Clemson
5,144,NOR,Kenny Stills,WR,21,Oklahoma
5,145,SDG,Steve Williams,DB,22,California
5,146,DEN,Quanterus Smith,DE,23,Western Kentucky
5,147,TAM,Steven Means,DE,22,Buffalo
5,148,CAR,A.J. Klein,LB,22,Iowa St.
5,149,STL,Brandon McGee,DB,22,Miami (FL)
5,150,PIT,Terry Hawthorne,DB,23,Illinois
5,151,DAL,Joseph Randle,RB,21,Oklahoma St.
5,152,NYG,Cooper Taylor,DB,23,Richmond
5,153,ATL,Stansly Maponga,DE,22,TCU
5,154,WAS,Chris Thompson,RB,22,Florida St.
5,155,MIN,Jeff Locke,P,23,UCLA
5,156,CIN,Tanner Hawkinson,T,23,Kansas
5,157,SFO,Quinton Dial,DE,23,Alabama
5,158,SEA,Luke Willson,TE,23,Rice
5,159,GNB,Micah Hyde,DB,22,Iowa
5,160,STL,Zac Stacy,RB,22,Vanderbilt
5,161,DEN,Tavarres King,WR,23,Georgia
5,162,WAS,Brandon Jenkins,DE,23,Florida St.
5,163,CHI,Jordan Mills,T,22,Louisiana Tech
5,164,MIA,Mike Gillislee,RB,22,Florida
5,165,DET,Sam Martin,P,23,Appalachian St.
5,166,MIA,Caleb Sturgis,K,24,Florida
5,167,GNB,Josh Boyd,DE,24,Mississippi St.
5,168,BAL,Ricky Wagner,T,23,Wisconsin
6,169,JAX,Josh Evans,DB,22,Florida
6,170,KAN,Eric Kush,C,23,California (PA)
6,171,DET,Corey Fuller,WR,23,Virginia Tech
6,172,OAK,Nick Kasa,TE,22,Colorado
6,173,DEN,Vinston Painter,G,23,Virginia Tech
6,174,ARI,Ryan Swope,WR,22,Texas A&M
6,175,CLE,Jamoris Slaughter,DB,23,Notre Dame
6,176,HOU,David Quessenberry,OL,23,San Jose St.
6,177,BUF,Dustin Hopkins,K,22,Florida St.
6,178,NYJ,William Campbell,OL,22,Michigan
6,179,SDG,Tourek Williams,DE,22,Florida International
6,180,SFO,Nick Moody,LB,23,Florida St.
6,181,OAK,Latavius Murray,RB,23,Central Florida
6,182,CAR,Kenjon Barner,RB,24,Oregon
6,183,NOR,Rufus Johnson,DE,23,Tarleton St.
6,184,OAK,Mychal Rivera,TE,22,Tennessee
6,185,DAL,DeVonte Holloman,LB,22,South Carolina
6,186,PIT,Justin Brown,WR,22,Oklahoma
6,187,ARI,Andre Ellington,RB,24,Clemson
6,188,CHI,Cornelius Washington,LB,23,Georgia
6,189,TAM,Mike James,RB,22,Miami (FL)
6,190,CIN,Rex Burkhead,RB,23,Nebraska
6,191,WAS,Bacarri Rambo,DB,23,Georgia
6,192,IND,John Boyett,DB,23,Oregon
6,193,GNB,Nate Palmer,LB,23,Illinois St.
6,194,SEA,Spencer Ware,RB,21,LSU
6,195,HOU,Alan Bonner,WR,22,Jacksonville St.
6,196,MIN,Jeff Baca,G,23,UCLA
6,197,CIN,Cobi Hamilton,WR,22,Arkansas
6,198,HOU,Chris Jones,DT,23,Bowling Green
6,199,DET,Theo Riddick,RB,22,Notre Dame
6,200,BAL,Kapron Lewis-Moore,DE,23,Notre Dame
6,201,HOU,Ryan Griffin,TE,23,Connecticut
6,202,TEN,Khalid Wooten,DB,23,Nevada
6,203,BAL,Ryan Jensen,T,22,
6,204,KAN,Braden Wilson,FB,23,Kansas St.
6,205,OAK,Stacy McGee,DT,23,Oklahoma
6,206,PIT,Vince Williams,LB,23,Florida St.
7,207,KAN,Mike Catapano,DE,23,Princeton
7,208,JAX,Jeremy Harris,DB,22,New Mexico St.
7,209,OAK,Brice Butler,WR,23,San Diego St.
7,210,JAX,Demetrius McCray,DB,22,Appalachian St.
7,211,DET,Michael Williams,TE,22,Alabama
7,212,PHI,Joe Kruger,DE,21,Utah
7,213,MIN,Michael Mauti,LB,23,Penn St.
7,214,MIN,Travis Bond,G,22,North Carolina
7,215,NYJ,Tommy Bohanon,RB,22,Wake Forest
7,216,GNB,Charles Johnson,WR,24,Grand Valley St.
7,217,CLE,Armonty Bryant,DE,23,East Central (OK)
7,218,PHI,Jordan Poyer,DB,22,Oregon St.
7,219,ARI,D.C. Jefferson,TE,24,Rutgers
7,220,SEA,Ryan Seymour,G,23,Vanderbilt
7,221,SDG,Brad Sorensen,QB,25,Southern Utah
7,222,BUF,Chris Gragg,TE,23,Arkansas
7,223,PIT,Nick Williams,DT,23,Samford
7,224,GNB,Kevin Dorsey,WR,23,Maryland
7,225,NYG,Eric Herman,OL,23,Ohio
7,226,NWE,Michael Buchanan,DE,22,Illinois
7,227,CLE,Garrett Gilkey,T,23,Chadron St.
7,228,WAS,Jawan Jamison,RB,21,Rutgers
7,229,MIN,Everett Dawkins,DT,23,Florida St.
7,230,IND,Kerwynn Williams,RB,22,Utah St.
7,231,SEA,Ty Powell,DE,25,Harding
7,232,GNB,Sam Barrington,LB,22,South Florida
7,233,OAK,David Bass,DE,22,Missouri Western St.
7,234,DEN,Zac Dysert,QB,23,Miami (OH)
7,235,NWE,Steve Beauharnais,LB,23,Rutgers
7,236,CHI,Marquess Wilson,WR,20,Washington St.
7,237,SFO,B.J. Daniels,QB,24,South Florida
7,238,BAL,Aaron Mellette,WR,23,Elon
7,239,PHI,David King,DE,23,Oklahoma
7,240,CIN,Reid Fragel,OL,22,Ohio St.
7,241,SEA,Jared Smith,DT,23,New Hampshire
7,242,SEA,Michael Bowie,T,21,
7,243,ATL,Kemal Ishmael,DB,22,Central Florida
7,244,ATL,Zeke Motta,DB,23,Notre Dame
7,245,DET,Brandon Hepburn,LB,23,Florida A&M
7,246,SFO,Carter Bykowski,OL,23,Iowa St.
7,247,BAL,Marc Anthony,DB,23,California
7,248,TEN,Daimion Stafford,DB,22,Nebraska
7,249,ATL,Sean Renfree,QB,23,Duke
7,250,MIA,Don Jones,DB,23,Arkansas St.
7,251,CIN,T.J. Johnson,C,23,South Carolina
7,252,SFO,Marcus Cooper,DB,23,Rutgers
7,253,NYG,Michael Cox,RB,24,Massachusetts
7,254,IND,Justice Cunningham,TE,22,South Carolina
