Round,Pick,Team,Player,Position,Age,School
1,1,CLE,Courtney Brown,DE,22,Penn St.
1,2,WAS,LaVar Arrington,LB,22,Penn St.
1,3,WAS,Chris Samuels,T,23,Alabama
1,4,CIN,Peter Warrick,WR,23,Florida St.
1,5,BAL,Jamal Lewis,RB,21,Tennessee
1,6,PHI,Corey Simon,DT,23,Florida St.
1,7,ARI,Thomas Jones,RB,22,Virginia
1,8,PIT,Plaxico Burress,WR,23,Michigan St.
1,9,CHI,Brian Urlacher HOF,LB,22,New Mexico
1,10,BAL,Travis Taylor,WR,22,Florida
1,11,NYG,Ron Dayne,RB,22,Wisconsin
1,12,NYJ,Shaun Ellis,DE,23,Tennessee
1,13,NYJ,John Abraham,DE,22,South Carolina
1,14,GNB,Bubba Franks,TE,22,Miami (FL)
1,15,DEN,Deltha O'Neal,DB,23,California
1,16,SFO,Julian Peterson,LB,22,Michigan St.
1,17,OAK,Sebastian Janikowski,K,22,Florida St.
1,18,NYJ,Chad Pennington,QB,24,Marshall
1,19,SEA,Shaun Alexander,RB,23,Alabama
1,20,DET,Stockar McDougle,T,23,Oklahoma
1,21,KAN,Sylvester Morris,WR,22,Jackson St.
1,22,SEA,Chris McIntosh,T,23,Wisconsin
1,23,CAR,Rashard Anderson,DB,23,Jackson St.
1,24,SFO,Ahmed Plummer,DB,24,Ohio St.
1,25,MIN,Chris Hovan,DT,22,Boston Col.
1,26,BUF,Erik Flowers,DE,22,Arizona St.
1,27,NYJ,Anthony Becht,TE,23,West Virginia
1,28,IND,Rob Morris,LB,25,BYU
1,29,JAX,R. Jay Soward,WR,22,USC
1,30,TEN,Keith Bulluck,LB,23,Syracuse
1,31,STL,Trung Canidate,RB,23,Arizona
2,32,CLE,Dennis Northcutt,WR,22,Arizona
2,33,NOR,Darren Howard,DE,23,Kansas St.
2,34,CIN,Mark Roman,DB,23,LSU
2,35,SFO,John Engelberger,DE,23,Virginia Tech
2,36,PHI,Todd Pinkston,WR,23,Southern Miss
2,37,ATL,Travis Claridge,G,22,USC
2,38,PIT,Marvel Smith,T,22,Arizona St.
2,39,CHI,Mike Brown,DB,22,Nebraska
2,40,DEN,Ian Gold,LB,22,Michigan
2,41,ARI,Raynoch Thompson,LB,22,Tennessee
2,42,NYG,Cornelius Griffin,DT,23,Alabama
2,43,SDG,Rogers Beckett,DB,23,Marshall
2,44,GNB,Chad Clifton,T,24,Tennessee
2,45,DEN,Kenoy Kennedy,DB,22,Arkansas
2,46,NWE,Adrian Klemm,G,23,Hawaii
2,47,OAK,Jerry Porter,WR,22,West Virginia
2,48,SFO,Jason Webster,DB,22,Texas A&M
2,49,DAL,Dwayne Goodrich,DB,22,Tennessee
2,50,DET,Barrett Green,LB,22,West Virginia
2,51,TAM,Cosey Coleman,G,21,Tennessee
2,52,SEA,Ike Charlton,DB,22,Virginia Tech
2,53,MIA,Todd Wade,T,23,Mississippi
2,54,KAN,William Bartee,DB,23,Oklahoma
2,55,MIN,Fred Robbins,DT,23,Wake Forest
2,56,MIN,Michael Boireau,DE,,Miami (FL)
