Round,Pick,Team,Player,Position,Age,School
1,1,CLE,Tim Couch,QB,22,Kentucky
1,2,PHI,Donovan McNabb,QB,22,Syracuse
1,3,CIN,Akili Smith,QB,24,Oregon
1,4,IND,Edgerrin James HOF,RB,21,Miami (FL)
1,5,NOR,Ricky Williams,RB,22,Texas
1,6,STL,Torry Holt,WR,23,North Carolina St.
1,7,WAS,Champ Bailey HOF,DB,21,Georgia
1,8,ARI,David Boston,WR,21,Ohio St.
1,9,DET,Chris Claiborne,LB,21,USC
1,10,BAL,Chris McAlister,DB,22,Arizona
1,11,MIN,Daunte Culpepper,QB,22,Central Florida
1,12,CHI,Cade McNown,QB,22,UCLA
1,13,PIT,Troy Edwards,WR,22,Louisiana Tech
1,14,KAN,John Tait,T,24,BYU
1,15,TAM,Anthony McFarland,DT,21,LSU
1,16,TEN,Jevon Kearse,DE,23,Florida
1,17,NWE,Damien Woody,C,21,Boston Col.
1,18,OAK,Matt Stinchcomb,G,22,Georgia
1,19,NYG,Luke Petitgout,T,23,Notre Dame
1,20,DAL,Ebenezer Ekuban,DE,23,North Carolina
1,21,ARI,L.J. Shelton,T,23,East. Michigan
1,22,SEA,Lamar King,DE,24,Saginaw Valley St.
1,23,BUF,Antoine Winfield,DB,22,Ohio St.
1,24,SFO,Reggie McGrew,DT,22,Florida
1,25,GNB,Antuan Edwards,DB,22,Clemson
1,26,JAX,Fernando Bryant,DB,22,Alabama
1,27,DET,Aaron Gibson,T,21,Wisconsin
1,28,NWE,Andy Katzenmoyer,LB,21,Ohio St.
1,29,MIN,Dimitrius Underwood,DT,22,Michigan St.
1,30,ATL,Patrick Kerney,DE,22,Virginia
1,31,DEN,Al Wilson,LB,22,Tennessee
2,32,CLE,Kevin Johnson,WR,23,Syracuse
2,33,CIN,Charles Fisher,DB,23,West Virginia
2,34,CAR,Chris Terry,T,24,Georgia
2,35,PHI,Barry Gardner,LB,22,Northwestern
2,36,IND,Mike Peterson,LB,23,Florida
2,37,WAS,Jon Jansen,T,23,Michigan
2,38,CAR,Mike Rucker,DE,24,Nebraska
2,39,MIA,J.J. Johnson,RB,25,Mississippi St.
2,40,OAK,Tony Bryant,DE,23,Florida St.
2,41,STL,Dre' Bly,DB,22,North Carolina
2,42,ATL,Reggie Kelly,TE,22,Mississippi St.
2,43,MIA,Rob Konrad,FB,22,Syracuse
2,44,MIN,Jim Kleinsasser,TE,22,North Dakota
2,45,CLE,Rahim Abdullah,LB,23,Clemson
2,46,NWE,Kevin Faulk,RB,23,LSU
2,47,GNB,Fred Vinson,DB,22,Vanderbilt
2,48,CHI,Russell Davis,DT,24,North Carolina
2,49,NYG,Joe Montgomery,RB,23,Ohio St.
2,50,TAM,Shaun King,QB,22,Tulane
2,51,ARI,Johnny Rutledge,LB,22,Florida
2,52,TEN,John Thornton,DT,22,West Virginia
2,53,BUF,Peerless Price,WR,22,Tennessee
2,54,KAN,Mike Cloud,RB,24,Boston Col.
2,55,DAL,Solomon Page,G,23,West Virginia
2,56,JAX,Larry Smith,DT,24,Florida St.
2,57,NYJ,Randy Thomas,G,23,Mississippi St.
2,58,DEN,Montae Reagor,DT,22,Texas Tech
2,59,PIT,Scott Shields,DB,23,Weber St.
2,60,SDG,Jermaine Fazande,RB,24,Oklahoma
2,61,DEN,Lennie Friedman,G,23,Duke
3,62,CLE,Daylon McCutcheon,DB,22,USC
3,63,IND,Brandon Burlsworth,G,,Arkansas
3,64,PHI,Doug Brzezinski,G,23,Boston Col.
3,65,CIN,Cory Hall,DB,22,Fresno St.
3,66,CHI,Rex Tucker,G,22,Texas A&M
3,67,DEN,Chris Watson,DB,22,Eastern Illinois
3,68,STL,Rich Coady,DB,23,Texas A&M
3,69,SDG,Steve Heiden,TE,22,South Dakota St.
3,70,DET,Jared DeVries,DE,23,Iowa
3,71,CHI,D'Wayne Bates,WR,23,Northwestern
3,72,MIA,Grey Ruegamer,C,23,Arizona St.
3,73,PIT,Joey Porter,LB,22,Colorado St.
3,74,PIT,Kris Farris,T,22,UCLA
3,75,KAN,Gary Stills,DE,25,West Virginia
3,76,CLE,Marquis Smith,DB,24,California
3,77,SEA,Brock Huard,QB,23,Washington
3,78,CHI,Marty Booker,WR,23,La-Monroe
3,79,NYG,Dan Campbell,TE,23,Texas A&M
3,80,TAM,Martin Gramatica,K,23,Kansas St.
3,81,TEN,Zach Piller,G,23,Florida
3,82,SEA,Karsten Bailey,WR,22,Auburn
3,83,ARI,Tom Burke,DE,22,Wisconsin
3,84,KAN,Larry Atkins,LB,24,UCLA
3,85,DAL,Dat Nguyen,LB,23,Texas A&M
3,86,BUF,Shawn Bryson,RB,22,Tennessee
3,87,GNB,Mike McKenzie,DB,23,Memphis
3,88,JAX,Anthony Cesario,G,,Colorado St.
3,89,SFO,Chike Okeafor,DE,23,Purdue
3,90,NYJ,David Loverne,G,23,San Jose St.
3,91,NWE,Tony George,DB,24,Florida
3,92,ATL,Jeff Paulk,FB,23,Arizona St.
3,93,DEN,Travis McGriff,WR,23,Florida
3,94,GNB,Cletidus Hunt,DT,23,Kentucky St.
3,95,PIT,Amos Zereoue,RB,22,West Virginia
4,96,IND,Paul Miranda,DB,23,Central Florida
4,97,PHI,John Welbourn,G,23,California
4,98,CIN,Craig Yeast,WR,22,Kentucky
4,99,SFO,Anthony Parker,DB,23,Weber St.
4,100,CAR,Hannibal Navies,LB,22,Colorado
4,101,STL,Joe Germaine,QB,24,Ohio St.
4,102,OAK,Dameane Douglas,WR,23,California
4,103,DET,Sedrick Irvin,RB,21,Michigan St.
4,104,SDG,Jason Perry,DB,23,North Carolina St.
4,105,BAL,Brandon Stokley,WR,23,Louisiana
4,106,CHI,Warrick Holdman,LB,23,Texas A&M
4,107,WAS,Nate Stimson,LB,,Georgia Tech
4,108,KAN,Larry Parker,WR,23,USC
4,109,PIT,Aaron Smith,DE,23,Northern Colorado
4,110,SFO,Pierson Prioleau,DB,22,Virginia Tech
4,111,CHI,Rosevelt Colvin,LB,22,Purdue
4,112,NYG,Sean Bennett,RB,23,Northwestern
4,113,TAM,Dexter Jackson,DB,22,Florida St.
4,114,TEN,Brad Ware,DB,,Auburn
4,115,SEA,Antonio Cochran,DE,23,Georgia
4,116,ARI,Joel Makovicka,FB,23,Nebraska
4,117,TEN,Donald Mitchell,DB,22,SMU
4,118,DAL,Wane McGarity,WR,22,Texas
4,119,BUF,Keith Newman,LB,22,North Carolina
4,120,MIN,Kenny Wright,DB,21,Arkansas
4,121,JAX,Kevin Landolt,DT,23,West Virginia
4,122,BUF,Bobby Collins,TE,23,North Alabama
4,123,NYJ,Jason Wiltz,DT,22,Nebraska
4,124,CLE,Wali Rainer,LB,22,Virginia
4,125,MIN,Jay Humphrey,T,,Texas
4,126,ATL,Johndale Carty,DB,22,Utah St.
4,127,DEN,Olandis Gary,RB,24,Georgia
4,128,PHI,Damon Moore,DB,22,Ohio St.
4,129,BAL,Edwin Mulitalo,G,25,Arizona
4,130,PHI,Na Brown,WR,22,North Carolina
