Round,Pick,Team,Player,Position,Age,School
1,1,NYJ,Keyshawn Johnson,WR,24,USC
1,2,JAX,Kevin Hardy,LB,23,Illinois
1,3,ARI,Simeon Rice,DE,22,Illinois
1,4,BAL,Jonathan Ogden HOF,T,22,UCLA
1,5,NYG,Cedric Jones,DE,22,Oklahoma
1,6,STL,Lawrence Phillips,RB,21,Nebraska
1,7,NWE,Terry Glenn,WR,22,Ohio St.
1,8,CAR,Tim Biakabutuka,RB,22,Michigan
1,9,OAK,Rickey Dudley,TE,24,Ohio St.
1,10,CIN,Willie Anderson,T,21,Auburn
1,11,NOR,Alex Molden,DB,23,Oregon
1,12,TAM,Regan Upshaw,DE,21,California
1,13,CHI,Walt Harris,DB,22,Mississippi St.
1,14,HOU,Eddie George,RB,22,Ohio St.
1,15,DEN,John Mobley,LB,22,Kutztown (PA)
1,16,MIN,Duane Clemons,DE,22,California
1,17,DET,Reggie Brown,LB,21,Texas A&M
1,18,STL,Eddie Kennison,WR,23,LSU
1,19,IND,Marvin Harrison HOF,WR,24,Syracuse
1,20,MIA,Daryl Gardener,DT,23,Baylor
1,21,SEA,Pete Kendall,G,23,Boston Col.
1,22,TAM,Marcus Jones,DE,23,North Carolina
1,23,DET,Jeff Hartings,C,24,Penn St.
1,24,BUF,Eric Moulds,WR,23,Mississippi St.
1,25,PHI,Jermane Mayberry,G,23,Texas A&M-Kingsville
1,26,BAL,Ray Lewis HOF,LB,21,Miami (FL)
1,27,GNB,John Michels,T,23,USC
1,28,KAN,Jerome Woods,DB,23,Memphis
1,29,PIT,Jamain Stephens,T,22,North Carolina A&T
1,30,WAS,Andre Johnson,T,23,Penn St.
2,31,NYJ,Alex Van Dyke,WR,22,Nevada
2,32,ARI,Leeland McElroy,RB,22,Texas A&M
2,33,JAX,Tony Brackens,DE,21,Texas
2,34,NYG,Amani Toomer,WR,21,Michigan
2,35,TAM,Mike Alstott,RB,22,Purdue
2,36,NWE,Lawyer Milloy,DB,22,Washington
2,37,DAL,Kavika Pittman,DE,21,McNeese St.
2,38,HOU,Bryant Mix,DE,24,Alcorn St.
2,39,CIN,Marco Battaglia,TE,23,Rutgers
2,40,NOR,Je'Rod Cherry,DB,23,California
2,41,SDG,Bryan Still,WR,22,Virginia Tech
2,42,STL,Tony Banks,QB,23,Michigan St.
2,43,CAR,Muhsin Muhammad,WR,23,Michigan St.
2,44,DEN,Tory James,DB,23,LSU
2,45,MIN,James Manley,DT,22,Vanderbilt
2,46,SFO,Israel Ifeanyi,DE,25,USC
2,47,SEA,Fred Thomas,DB,22,UT Martin
2,48,HOU,Jason Layman,G,23,Tennessee
2,49,DAL,Randall Godfrey,LB,23,Georgia
2,50,SDG,Patrick Sapp,LB,23,Clemson
2,51,IND,Dedric Mathis,DB,22,Houston
2,52,CHI,Bobby Engram,WR,23,Penn St.
2,53,BUF,Gabe Northern,LB,22,LSU
2,54,PHI,Jason Dunn,TE,22,East. Kentucky
2,55,BAL,DeRon Jenkins,DB,22,Tennessee
2,56,GNB,Derrick Mayes,WR,22,Notre Dame
2,57,OAK,Lance Johnstone,DE,23,Temple
2,58,KAN,Reggie Tongue,DB,23,Oregon St.
2,59,STL,Ernie Conwell,TE,24,Washington
2,60,JAX,Michael Cheever,C,23,Georgia Tech
2,61,PHI,Brian Dawkins HOF,DB,22,Clemson
3,62,NYJ,Ray Mickens,DB,23,Texas A&M
3,63,JAX,Aaron Beasley,DB,23,West Virginia
3,64,ARI,Johnny McWilliams,TE,23,USC
3,65,DEN,Detron Smith,RB,22,Texas A&M
3,66,NYG,Roman Oben,T,23,Louisville
3,67,DAL,Clay Shiver,C,23,Florida St.
3,68,KAN,John Browning,DT,22,West Virginia
3,69,CIN,Ken Blackman,G,23,Illinois
3,70,NOR,Brady Smith,DE,23,Colorado St.
3,71,TAM,Donnie Abraham,DB,22,East Tennessee St.
3,72,PIT,Steve Conley,LB,24,Arkansas
3,73,CAR,Winslow Oliver,RB,23,New Mexico
3,74,HOU,Terry Killens,LB,22,Penn St.
3,75,MIN,Moe Williams,RB,22,Kentucky
3,76,DET,Ryan Stewart,DB,22,Georgia Tech
3,77,SEA,Robert Barr,T,,Rutgers
3,78,DEN,Mark Campbell,DT,23,Florida
3,79,MIA,Dorian Brew,DB,22,Kansas
3,80,MIA,Karim Abdul-Jabbar,RB,22,UCLA
3,81,SDG,Brian Roche,TE,23,San Jose St.
3,82,IND,Scott Slutzker,TE,23,Iowa
3,83,STL,Jerald Moore,RB,21,Oklahoma
3,84,ATL,Shannon Brown,DT,,Alabama
3,85,PHI,Bobby Hoying,QB,23,Ohio St.
3,86,NWE,Tedy Bruschi,LB,23,Arizona
3,87,BUF,Matt Stevens,DB,23,Appalachian St.
3,88,CAR,J.C. Price,DT,,Virginia Tech
3,89,SFO,Terrell Owens HOF,WR,22,Chattanooga
3,90,GNB,Mike Flanagan,C,22,UCLA
3,91,SEA,Reggie Brown,RB,23,Fresno St.
3,92,PIT,Jon Witman,RB,24,Penn St.
3,93,GNB,Tyrone Williams,DB,23,Nebraska
3,94,DAL,Stepfret Williams,WR,23,La-Monroe
3,95,DAL,Mike Ulufale,DT,24,BYU
4,96,TAM,Jason Odom,T,22,Florida
4,97,MIN,Hunter Goodwin,TE,23,Texas A&M
4,98,KAN,Donnie Edwards,LB,23,UCLA
4,99,SEA,Phillip Daniels,DE,23,Georgia
4,100,DEN,Jeff Lewis,QB,23,Northern Arizona
4,101,NWE,Heath Irwin,G,23,Colorado
4,102,WAS,Stephen Davis,RB,22,Auburn
4,103,NOR,Ricky Whittle,RB,24,Oregon
