Round,Pick,Team,Player,Position,Age,School
1,1,CLE,Myles Garrett,DE,21,Texas A&M
1,2,CHI,Mitchell Trubisky,QB,23,North Carolina
1,3,SFO,Solomon Thomas,DE,22,Stanford
1,4,JAX,Leonard Fournette,RB,22,LSU
1,5,TEN,Corey Davis,WR,22,Western Michigan
1,6,NYJ,Jamal Adams,S,21,LSU
1,7,LAC,Mike Williams,WR,22,Clemson
1,8,CAR,Christian McCaffrey,RB,21,Stanford
1,9,CIN,John Ross,WR,21,Washington
1,10,KAN,Patrick Mahomes,QB,21,Texas Tech
1,11,NOR,Marshon Lattimore,CB,21,Ohio St.
1,12,HOU,Deshaun Watson,QB,21,Clemson
1,13,ARI,Haason Reddick,LB,22,Temple
1,14,PHI,Derek Barnett,DE,21,Tennessee
1,15,IND,Malik Hooker,S,21,Ohio St.
1,16,BAL,Marlon Humphrey,CB,21,Alabama
1,17,WAS,Jonathan Allen,DE,22,Alabama
1,18,TEN,Adoree' Jackson,CB,21,USC
1,19,TAM,O.J. Howard,TE,22,Alabama
1,20,DEN,Garett Bolles,T,25,Utah
1,21,DET,Jarrad Davis,LB,22,Florida
1,22,MIA,Charles Harris,OLB,22,Missouri
1,23,NYG,Evan Engram,TE,23,Mississippi
1,24,OAK,Gareon Conley,CB,22,Ohio St.
1,25,CLE,Jabrill Peppers,S,21,Michigan
1,26,ATL,Takkarist McKinley,DE,21,UCLA
1,27,BUF,Tre'Davious White,CB,22,LSU
1,28,DAL,Taco Charlton,DE,22,Michigan
1,29,CLE,David Njoku,TE,21,Miami (FL)
1,30,PIT,T.J. Watt,OLB,22,Wisconsin
1,31,SFO,Reuben Foster,LB,23,Alabama
1,32,NOR,Ryan Ramczyk,T,23,Wisconsin
2,33,GNB,Kevin King,CB,22,Washington
2,34,JAX,Cam Robinson,T,21,Alabama
2,35,SEA,Malik McDowell,DT,21,Michigan St.
2,36,ARI,Budda Baker,S,21,Washington
2,37,BUF,Zay Jones,WR,22,East Carolina
2,38,LAC,Forrest Lamp,G,23,Western Kentucky
2,39,NYJ,Marcus Maye,S,24,Florida
2,40,CAR,Curtis Samuel,WR,21,Ohio St.
2,41,MIN,Dalvin Cook,RB,22,Florida St.
2,42,NOR,Marcus Williams,S,20,Utah
2,43,PHI,Sidney Jones,CB,21,Washington
2,44,LAR,Gerald Everett,TE,23,South Alabama
2,45,CHI,Adam Shaheen,TE,22,Ashland
2,46,IND,Quincy Wilson,CB,21,Florida
2,47,BAL,Tyus Bowser,OLB,22,Houston
2,48,CIN,Joe Mixon,RB,21,Oklahoma
2,49,WAS,Ryan Anderson,OLB,23,Alabama
2,50,TAM,Justin Evans,S,22,Texas A&M
2,51,DEN,DeMarcus Walker,DE,22,Florida St.
2,52,CLE,DeShone Kizer,QB,21,Notre Dame
2,53,DET,Teez Tabor,CB,21,Florida
2,54,MIA,Raekwon McMillan,LB,21,Ohio St.
2,55,NYG,Dalvin Tomlinson,DT,23,Alabama
2,56,OAK,Obi Melifonwu,S,23,Connecticut
2,57,HOU,Zach Cunningham,LB,22,Vanderbilt
2,58,SEA,Ethan Pocic,C,22,LSU
2,59,KAN,Tanoh Kpassagnon,DE,23,Villanova
2,60,DAL,Chidobe Awuzie,CB,22,Colorado
2,61,GNB,Josh Jones,S,22,North Carolina St.
2,62,PIT,JuJu Smith-Schuster,WR,20,USC
2,63,BUF,Dion Dawkins,G,23,Temple
2,64,CAR,Taylor Moton,G,23,Western Michigan
3,65,CLE,Larry Ogunjobi,DT,23,Charlotte
3,66,SFO,Ahkello Witherspoon,CB,22,Colorado
3,67,NOR,Alvin Kamara,RB,22,Tennessee
3,68,JAX,Dawuane Smoot,DE,22,Illinois
3,69,LAR,Cooper Kupp,WR,24,East. Washington
3,70,MIN,Pat Elflein,C,23,Ohio St.
3,71,LAC,Dan Feeney,G,23,Indiana
3,72,TEN,Taywan Taylor,WR,22,Western Kentucky
3,73,CIN,Jordan Willis,OLB,22,Kansas St.
3,74,BAL,Chris Wormley,DE,23,Michigan
3,75,ATL,Duke Riley,LB,23,LSU
3,76,NOR,Alex Anzalone,LB,22,Florida
3,77,CAR,Daeshon Hall,DE,22,Texas A&M
3,78,BAL,Tim Williams,OLB,23,Alabama
3,79,NYJ,ArDarius Stewart,WR,23,Alabama
3,80,IND,Tarell Basham,DE,23,Ohio
3,81,WAS,Fabian Moreau,CB,23,UCLA
3,82,DEN,Carlos Henderson,WR,22,Louisiana Tech
3,83,NWE,Derek Rivers,DE,23,Youngstown St.
3,84,TAM,Chris Godwin,WR,21,Penn St.
3,85,NWE,Antonio Garcia,T,23,Troy
3,86,KAN,Kareem Hunt,RB,22,Toledo
3,87,NYG,Davis Webb,QB,22,California
3,88,OAK,Eddie Vanderdoes,DT,22,UCLA
3,89,HOU,D'Onta Foreman,RB,21,Texas
3,90,SEA,Shaquill Griffin,DB,22,Central Florida
3,91,LAR,John Johnson,S,21,Boston Col.
3,92,DAL,Jourdan Lewis,CB,22,Michigan
3,93,GNB,Montravius Adams,DT,22,Auburn
3,94,PIT,Cameron Sutton,CB,22,Tennessee
3,95,SEA,Lano Hill,S,21,Michigan
3,96,DET,Kenny Golladay,WR,23,Northern Illinois
3,97,MIA,Cordrea Tankersley,CB,23,Clemson
3,98,ARI,Chad Williams,WR,22,Grambling St.
3,99,PHI,Rasul Douglas,CB,23,West Virginia
3,100,TEN,Jonnu Smith,TE,22,Florida International
3,101,DEN,Brendan Langley,CB,22,Lamar
3,102,SEA,Nazair Jones,DT,22,North Carolina
3,103,NOR,Trey Hendrickson,OLB,22,Florida Atlantic
3,104,SFO,C.J. Beathard,QB,23,Iowa
3,105,PIT,James Conner,RB,22,Pittsburgh
3,106,SEA,Amara Darboh,WR,23,Michigan
3,107,TAM,Kendell Beckwith,ILB,22,LSU
4,108,GNB,Vince Biegel,LB,24,Wisconsin
4,109,MIN,Jaleel Johnson,DT,23,Iowa
4,110,JAX,Dede Westbrook,WR,23,Oklahoma
