Round,Pick,Team,Player,Position,Age,School
1,1,CIN,Dan Wilkinson,DT,21,Ohio St.
1,2,IND,Marshall Faulk HOF,RB,21,San Diego St.
1,3,WAS,Heath Shuler,QB,22,Tennessee
1,4,NWE,Willie McGinest,DE,22,USC
1,5,IND,Trev Alberts,LB,24,Nebraska
1,6,TAM,Trent Dilfer,QB,22,Fresno St.
1,7,SFO,Bryant Young HOF,DT,22,Notre Dame
1,8,SEA,Sam Adams,DT,21,Texas A&M
1,9,CLE,Antonio Langham,DB,22,Alabama
1,10,ARI,Jamir Miller,LB,20,UCLA
1,11,CHI,John Thierry,DE,23,Alcorn St.
1,12,NYJ,Aaron Glenn,DB,22,Texas A&M
1,13,NOR,Joe Johnson,DE,22,Louisville
1,14,PHI,Bernard Williams,T,22,Georgia
1,15,RAM,Wayne Gandy,T,23,Auburn
1,16,GNB,Aaron Taylor,G,21,Notre Dame
1,17,PIT,Charles Johnson,WR,22,Colorado
1,18,MIN,Dewayne Washington,DB,21,North Carolina St.
1,19,MIN,Todd Steussie,T,23,California
1,20,MIA,Tim Bowens,DT,21,Mississippi
1,21,DET,Johnnie Morton,WR,22,USC
1,22,RAI,Rob Fredrickson,LB,23,Michigan St.
1,23,DAL,Shante Carver,DE,23,Arizona St.
1,24,NYG,Thomas Lewis,WR,22,Indiana
1,25,KAN,Greg Hill,RB,22,Texas A&M
1,26,HOU,Henry Ford,DT,22,Arkansas
1,27,BUF,Jeff Burris,DB,22,Notre Dame
1,28,SFO,William Floyd,FB,22,Florida St.
1,29,CLE,Derrick Alexander,WR,22,Michigan
2,30,CIN,Darnay Scott,WR,22,San Diego St.
2,31,WAS,Tre' Johnson,G,23,Temple
2,32,IND,Eric Mahlum,G,23,California
2,33,RAM,Isaac Bruce HOF,WR,21,Memphis
2,34,TAM,Errict Rhett,RB,23,Florida
2,35,NWE,Kevin Lee,WR,23,Alabama
2,36,SEA,Kevin Mawae HOF,C,23,LSU
2,37,PHI,Bruce Walker,NT,22,UCLA
2,38,ARI,Chuck Levy,RB,22,Arizona
2,39,CHI,Marcus Spears,T,22,Northwestern St. (LA)
2,40,MIN,David Palmer,WR,21,Alabama
2,41,NYJ,Ryan Yarborough,WR,23,Wyoming
2,42,PHI,Charlie Garner,RB,22,Tennessee
2,43,SDG,Isaac Davis,G,22,Arkansas
2,44,NOR,Mario Bates,RB,21,Arizona St.
2,45,ATL,Bert Emanuel,WR,23,Rice
2,46,DAL,Larry Allen HOF,G,22,Sonoma St.
2,47,NYG,Thomas Randolph,DB,23,Kansas St.
2,48,BUF,Bucky Brooks,DB,23,North Carolina
2,49,RAM,Toby Wright,DB,23,Nebraska
2,50,PIT,Brentson Buckner,DT,22,Clemson
2,51,DEN,Allen Aldridge,LB,22,Houston
2,52,RAI,James Folston,LB,23,La-Monroe
2,53,SFO,Kevin Mitchell,LB,23,Syracuse
2,54,MIA,Aubrey Beavers,LB,23,Oklahoma
2,55,MIN,Fernando Smith,DE,23,Jackson St.
2,56,RAM,Brad Ottis,DE,22,Wayne State (NE)
2,57,DET,Van Malone,DB,24,Texas
2,58,KAN,Donnell Bennett,RB,21,Miami (FL)
2,59,NYG,Jason Sehorn,DB,23,USC
2,60,HOU,Jeremy Nunley,DE,22,Alabama
2,61,BUF,Lonnie Johnson,TE,23,Florida St.
2,62,SFO,Tyronne Drakeford,DB,23,Virginia Tech
2,63,SDG,Vaughn Parker,T,23,UCLA
2,64,BUF,Sam Rogers,LB,24,Colorado
2,65,MIA,Tim Ruddy,C,22,Notre Dame
3,66,CIN,Jeff Cothran,FB,23,Ohio St.
3,67,IND,Jason Mathews,T,23,Texas A&M
3,68,WAS,Tydus Winans,WR,22,Fresno St.
3,69,TAM,Harold Bishop,TE,24,LSU
3,70,SDG,Andre Coleman,WR,21,Kansas St.
3,71,RAM,Keith Lyle,DB,22,Virginia
3,72,ATL,Anthony Phillips,DB,23,Texas A&M-Kingsville
3,73,SEA,Lamar Smith,RB,23,Houston
3,74,CHI,Jim Flanigan,DT,23,Notre Dame
3,75,CLE,Romeo Bandison,DT,23,Oregon
3,76,ARI,Rich Braham,C,23,West Virginia
3,77,PHI,Joe Panos,G,23,Wisconsin
3,78,NWE,Ervin Collier,DT,,Florida A&M
3,79,NOR,Winfred Tubbs,LB,23,Texas
3,80,RAI,Calvin Jones,RB,23,Nebraska
3,81,BUF,Marlo Perry,LB,22,Jackson St.
3,82,SDG,Willie Clark,DB,22,Notre Dame
3,83,RAM,James Bostic,RB,22,Auburn
3,84,GNB,LeShon Johnson,RB,23,Northern Illinois
3,85,SFO,Doug Brien,K,23,California
3,86,CIN,Steve Shine,LB,,Northwestern
3,87,SFO,Cory Fleming,WR,23,Tennessee
3,88,PIT,Jason Gildon,LB,22,Oklahoma St.
3,89,ARI,Eric England,DE,23,Texas A&M
3,90,NWE,Joe Burch,C,,Texas Southern
3,91,PIT,Bam Morris,RB,22,Texas Tech
3,92,KAN,Lake Dawson,WR,22,Notre Dame
3,93,DET,Shane Bonham,DT,23,Tennessee
3,94,NYJ,Lou Benfatti,DT,23,Penn St.
3,95,NYG,Gary Downs,RB,22,North Carolina St.
3,96,KAN,Chris Penn,WR,23,Tulsa
3,97,WAS,Joe Patton,T,22,Alabama A&M
3,98,BUF,Corey Louchiey,T,22,South Carolina
3,99,ATL,Alai Kalaniuvalu,G,,Oregon St.
3,100,RAM,Ernest Jones,DT,23,Oregon
3,101,HOU,Malcolm Floyd,WR,21,Fresno St.
3,102,DAL,George Hegamin,T,21,North Carolina St.
3,103,PHI,Eric Zomalt,DB,22,California
4,104,CIN,Corey Sawyer,DB,22,Florida St.
4,105,WAS,Kurt Haws,TE,24,Utah
4,106,IND,Bradford Banta,TE,23,USC
4,107,ARI,Perry Carter,DB,23,Southern Miss
4,108,RAM,Chris Brantley,WR,23,Rutgers
4,109,DAL,Willie Jackson,WR,23,Florida
4,110,SEA,Larry Whigham,DB,22,La-Monroe
4,111,ATL,Perry Klein,QB,23,C.W. Post
4,112,MIA,Ronnie Woolfork,LB,,Colorado
4,113,ARI,John Reece,DB,23,Nebraska
4,114,CHI,Raymont Harris,RB,23,Ohio St.
4,115,ARI,Terry Irving,LB,23,McNeese St.
4,116,NOR,Doug Nussmeier,QB,23,Idaho
4,117,NYJ,Orlando Parker,WR,22,Troy
4,118,ATL,Mitch Davis,LB,,Georgia
4,119,HOU,Mike Davis,DB,22,Cincinnati
4,120,RAI,Austin Robbins,DT,23,North Carolina
4,121,NWE,John Burke,TE,23,Virginia Tech
4,122,PIT,Ta'ase Faumui,DE,23,Hawaii
4,123,DEN,Randy Fuller,DB,24,Tennessee St.
4,124,DET,Vaughn Bryant,DB,,Stanford
4,125,MIN,Mike Wells,DT,23,Iowa
4,126,GNB,Gabe Wilkins,DE,23,Gardner-Webb
4,127,KAN,Bracy Walker,DB,23,North Carolina
4,128,NYG,Chris Maumalanga,DT,22,Kansas
4,129,HOU,Sean Jackson,RB,,Florida St.
4,130,BUF,Sean Crocker,DB,,North Carolina
4,131,DAL,DeWayne Dotson,LB,23,Mississippi
5,132,CIN,Trent Pollard,T,21,East. Washington
5,133,IND,John Covington,DB,22,Notre Dame
5,134,MIN,Shelly Hammonds,DB,23,Penn St.
5,135,NWE,Pat O'Neill,P,23,Syracuse
5,136,TAM,Pete Pierson,T,23,Washington
5,137,SDG,Aaron Laing,TE,23,New Mexico St.
5,138,ATL,Harrison Houston,WR,,Florida
5,139,ARI,Anthony Redmon,G,23,Auburn
5,140,PIT,Myron Bell,DB,22,Michigan St.
5,141,CLE,Issac Booth,DB,23,California
5,142,NOR,Herman Carroll,DE,23,Mississippi St.
5,143,NOR,Craig Novitsky,G,23,UCLA
5,144,PHI,Marvin Goodwin,DB,,UCLA
5,145,SDG,Rodney Harrison,DB,21,Western Illinois
5,146,GNB,Terry Mickens,WR,23,Florida A&M
5,147,MIA,William Gaines,DT,23,Florida
5,148,PIT,Gary Brown,T,23,Georgia Tech
5,149,GNB,Dorsey Levens,RB,24,Georgia Tech
5,150,SDG,Darren Krein,DE,,Miami (FL)
5,151,KAN,James Burton,DB,23,Fresno St.
5,152,NYJ,Horace Morris,LB,,Tennessee
5,153,SFO,Tony Peterson,LB,22,Notre Dame
5,154,DET,Tony Semple,G,23,Memphis
5,155,NYG,Chad Bratzke,DE,22,East. Kentucky
5,156,KAN,Rob Waldrop,DT,22,Arizona
5,157,HOU,Roderick Lewis,TE,23,Arizona
5,158,BUF,A.J. Ofodile,TE,20,Missouri
5,159,RAI,Roosevelt Patterson,G,,Alabama
5,160,SDG,Tony Vinson,RB,23,Towson
5,161,HOU,Jim Reid,T,23,Virginia
6,162,CIN,Kimo von Oelhoffen,DE,23,Boise St.
6,163,WAS,Dexter Nottage,DE,23,Florida A&M
6,164,IND,Lamont Warren,RB,21,Colorado
6,165,TAM,Bernard Carter,LB,23,East Carolina
6,166,NWE,Steve Hawkins,WR,23,Western Michigan
6,167,RAM,Rickey Brady,TE,23,Oklahoma
6,168,NWE,Max Lane,T,23,Navy
6,169,GNB,Jay Kearney,WR,,West Virginia
6,170,CHI,Lloyd Hill,WR,,Texas Tech
6,171,CLE,Robert Strait,RB,,Baylor
6,172,ARI,Terry Samuels,TE,23,Kentucky
6,173,NYJ,Fred Lester,RB,,Alabama A&M
6,174,PHI,Ryan McCoy,LB,,Houston
6,175,GNB,Ruffin Hamilton,LB,23,Tulane
6,176,NOR,Derrell Mitchell,WR,22,Texas Tech
6,177,MIA,Brant Boyer,LB,23,Arizona
6,178,PIT,Jim Miller,QB,23,Michigan St.
6,179,MIN,Andrew Jordan,TE,22,Western Carolina
6,180,PIT,Eric Ravotti,LB,23,Penn St.
6,181,GNB,Bill Schroeder,WR,23,Wisconsin–LaCrosse
6,182,SFO,Lee Woodall,LB,24,West Chester
6,183,DET,Jocelyn Borgella,DB,23,Cincinnati
6,184,CIN,Jerry Reynolds,T,24,UNLV
6,185,KAN,Anthony Daigle,RB,24,Fresno St.
6,186,NYG,Jason Winrow,G,,Ohio St.
6,187,HOU,Lee Gissendaner,WR,,Northwestern
6,188,BUF,Anthony Abrams,DE,,
6,189,RAM,Ronald Edwards,T,,North Carolina A&T
6,190,GNB,Paul Duckworth,LB,,Connecticut
6,191,DAL,Darren Studstill,DB,24,West Virginia
6,192,BUF,Kevin Knox,WR,23,Florida St.
6,193,PHI,Mitch Berger,P,22,Colorado
6,194,HOU,Barron Wortham,LB,24,Texas-El Paso
7,195,CIN,Ramondo Stallings,DE,22,San Diego St.
7,196,IND,Lance Teichelman,DE,23,Texas A&M
7,197,WAS,Gus Frerotte,QB,23,Tulsa
7,198,NWE,Jay Walker,QB,22,Howard
7,199,KAN,Steve Matthews,QB,23,Memphis
7,200,TAM,Jim Pyne,G,22,Virginia Tech
7,201,ATL,Jamal Anderson,RB,21,Utah
7,202,SEA,Carlester Crumpler,TE,23,East Carolina
7,203,CLE,Andre Hewitt,T,,Clemson
7,204,ARI,Frank Harvey,RB,23,Georgia
7,205,CHI,Dennis Collier,DB,,Colorado
7,206,PHI,Mark Montgomery,RB,,Wisconsin
7,207,SDG,Zane Beehn,LB,,Kentucky
7,208,NYJ,Glenn Foley,QB,23,Boston Col.
7,209,PIT,Brice Abrams,RB,,Michigan St.
7,210,DEN,Keith Burns,LB,22,Oklahoma St.
7,211,MIN,Pete Bercich,LB,22,Notre Dame
7,212,DEN,Butler By'not'e,RB,21,Ohio St.
7,213,NOR,Lance Lundberg,T,,Nebraska
7,214,MIA,Sean Hill,DB,23,Montana St.
7,215,DET,Tom Beer,LB,25,Saginaw Valley St.
7,216,DAL,Toddrick McIntosh,DE,22,Florida St.
7,217,RAI,Rob Holmberg,LB,23,Penn St.
7,218,DEN,Tom Nalen,C,23,Boston Col.
7,219,KAN,Tracy Greene,TE,21,Grambling St.
7,220,HOU,Lemanski Hall,LB,23,Alabama
7,221,BUF,Filmel Johnson,DB,23,Illinois
7,222,NWE,Marty Moore,LB,23,Kentucky
