Round,Pick,Team,Player,Position,Age,School
1,1,HOU,Mario Williams,DE,21,North Carolina St.
1,2,NOR,Reggie Bush,RB,21,USC
1,3,TEN,Vince Young,QB,23,Texas
1,4,NYJ,D'Brickashaw Ferguson,T,22,Virginia
1,5,GNB,A.J. Hawk,LB,22,Ohio St.
1,6,SFO,Vernon Davis,TE,22,Maryland
1,7,OAK,Michael Huff,DB,23,Texas
1,8,BUF,Donte Whitner,DB,21,Ohio St.
1,9,DET,Ernie Sims,LB,21,Florida St.
1,10,ARI,Matt Leinart,QB,23,USC
1,11,DEN,Jay Cutler,QB,23,Vanderbilt
1,12,BAL,Haloti Ngata,DT,22,Oregon
1,13,CLE,Kamerion Wimbley,DE,22,Florida St.
1,14,PHI,Brodrick Bunkley,DT,22,Florida St.
1,15,STL,Tye Hill,DB,24,Clemson
1,16,MIA,Jason Allen,DB,23,Tennessee
1,17,MIN,Chad Greenway,LB,23,Iowa
1,18,DAL,Bobby Carpenter,LB,23,Ohio St.
1,19,SDG,Antonio Cromartie,DB,22,Florida St.
1,20,KAN,Tamba Hali,DE,22,Penn St.
1,21,NWE,Laurence Maroney,RB,21,Minnesota
1,22,SFO,Manny Lawson,DE,22,North Carolina St.
1,23,TAM,Davin Joseph,G,22,Oklahoma
1,24,CIN,Johnathan Joseph,DB,22,South Carolina
1,25,PIT,Santonio Holmes,WR,22,Ohio St.
1,26,BUF,John McCargo,DT,23,North Carolina St.
1,27,CAR,DeAngelo Williams,RB,23,Memphis
1,28,JAX,Marcedes Lewis,TE,22,UCLA
1,29,NYJ,Nick Mangold,C,22,Ohio St.
1,30,IND,Joseph Addai,RB,23,LSU
1,31,SEA,Kelly Jennings,DB,23,Miami (FL)
1,32,NYG,Mathias Kiwanuka,DE,23,Boston Col.
2,33,HOU,DeMeco Ryans,LB,22,Alabama
2,34,CLE,D'Qwell Jackson,LB,22,Maryland
2,35,WAS,Rocky McIntosh,LB,23,Miami (FL)
2,36,NWE,Chad Jackson,WR,21,Florida
2,37,ATL,Jimmy Williams,DB,22,Virginia Tech
2,38,OAK,Thomas Howard,LB,23,Texas-El Paso
2,39,PHI,Winston Justice,T,21,USC
2,40,DET,Daniel Bullocks,DB,23,Nebraska
2,41,ARI,Deuce Lutui,G,23,USC
2,42,CHI,Danieal Manning,DB,24,Abilene Christian
2,43,NOR,Roman Harper,DB,23,Alabama
2,44,NYG,Sinorice Moss,WR,22,Miami (FL)
2,45,TEN,LenDale White,RB,21,USC
2,46,STL,Joe Klopfenstein,TE,22,Colorado
2,47,GNB,Daryn Colledge,T,24,Boise St.
2,48,MIN,Cedric Griffin,DB,23,Texas
2,49,NYJ,Kellen Clemens,QB,23,Oregon
2,50,SDG,Marcus McNeill,T,22,Auburn
2,51,MIN,Ryan Cook,C,23,New Mexico
2,52,GNB,Greg Jennings,WR,22,Western Michigan
2,53,DAL,Anthony Fasano,TE,22,Notre Dame
2,54,KAN,Bernard Pollard,DB,21,Purdue
2,55,CIN,Andrew Whitworth,T,24,LSU
2,56,BAL,Chris Chester,G,23,Oklahoma
2,57,CHI,Devin Hester,DB,23,Miami (FL)
2,58,CAR,Richard Marshall,DB,21,Fresno St.
2,59,TAM,Jeremy Trueblood,T,23,Boston Col.
2,60,JAX,Maurice Jones-Drew,RB,21,UCLA
2,61,DEN,Tony Scheffler,TE,23,Western Michigan
2,62,IND,Tim Jennings,DB,22,Georgia
2,63,SEA,Darryl Tapp,DE,21,Virginia Tech
2,64,MIN,Tarvaris Jackson,QB,23,Alabama St.
3,65,HOU,Charles Spencer,G,24,Pittsburgh
3,66,HOU,Eric Winston,T,22,Miami (FL)
3,67,GNB,Abdul Hodge,LB,23,Iowa
3,68,STL,Claude Wroten,DT,22,LSU
3,69,OAK,Paul McQuistan,T,23,Weber St.
3,70,BUF,Ashton Youboty,DB,22,Ohio St.
3,71,PHI,Chris Gocong,DE,22,Cal Poly-San Luis Obispo
3,72,ARI,Leonard Pope,TE,22,Georgia
3,73,CHI,Dusty Dvoracek,DT,25,Oklahoma
3,74,DET,Brian Calhoun,RB,22,Wisconsin
3,75,GNB,Jason Spitz,G,23,Louisville
3,76,NYJ,Anthony Schlegel,LB,25,Ohio St.
3,77,STL,Jon Alston,LB,23,Stanford
3,78,CLE,Travis Wilson,WR,22,Oklahoma
3,79,ATL,Jerious Norwood,RB,23,Mississippi St.
3,80,JAX,Clint Ingram,LB,23,Oklahoma
3,81,SDG,Charlie Whitehurst,QB,24,Clemson
3,82,MIA,Derek Hagan,WR,21,Arizona St.
3,83,PIT,Anthony Smith,DB,22,Syracuse
3,84,SFO,Brandon Williams,WR,22,Wisconsin
3,85,KAN,Brodie Croyle,QB,23,Alabama
3,86,NWE,David Thomas,TE,23,Texas
3,87,BAL,David Pittman,DB,22,Northwestern St. (LA)
3,88,CAR,James Anderson,LB,22,Virginia Tech
3,89,CAR,Rashad Butler,T,23,Miami (FL)
3,90,TAM,Maurice Stovall,WR,21,Notre Dame
3,91,CIN,Frostee Rucker,DE,22,USC
3,92,DAL,Jason Hatcher,DE,24,Grambling St.
3,93,STL,Dominique Byrd,TE,22,USC
3,94,IND,Freddy Keiaho,LB,23,San Diego St.
3,95,PIT,Willie Reid,WR,23,Florida St.
3,96,NYG,Gerris Wilkinson,LB,23,Georgia Tech
3,97,NYJ,Eric Smith,DB,23,Michigan St.
4,98,HOU,Owen Daniels,TE,23,Wisconsin
4,99,PHI,Max Jean-Gilles,G,22,Georgia
4,100,SFO,Michael Robinson,WR,23,Penn St.
4,101,OAK,Darnell Bing,DB,21,USC
4,102,TEN,Calvin Lowry,DB,23,Penn St.
4,103,NYJ,Brad Smith,QB,22,Missouri
4,104,GNB,Cory Rodgers,WR,,TCU
4,105,BUF,Ko Simpson,DB,22,South Carolina
4,106,NWE,Garrett Mills,FB,22,Tulsa
4,107,ARI,Gabe Watson,DT,22,Michigan
4,108,NOR,Jahri Evans,T,23,Bloomsburg
4,109,PHI,Jason Avant,WR,23,Michigan
4,110,CLE,Leon Williams,LB,23,Miami (FL)
4,111,BAL,Demetrius Williams,WR,23,Oregon
4,112,CLE,Isaac Sowells,T,24,Indiana
4,113,STL,Victor Adeyanju,DE,23,Indiana
4,114,MIA,Joe Toledo,T,,Washington
4,115,GNB,Will Blackmon,DB,21,Boston Col.
4,116,TEN,Stephen Tulloch,LB,21,North Carolina St.
4,117,NYJ,Leon Washington,RB,24,Florida St.
4,118,NWE,Stephen Gostkowski,K,22,Memphis
4,119,DEN,Brandon Marshall,WR,22,Central Florida
4,120,CHI,Jamar Williams,LB,22,Arizona St.
4,121,CAR,Nate Salley,DB,22,Ohio St.
4,122,TAM,Alan Zemaitis,DB,,Penn St.
4,123,CIN,Domata Peko,DT,21,Michigan St.
4,124,NYG,Barry Cofield,DT,22,Northwestern
4,125,DAL,Skyler Green,WR,21,LSU
4,126,DEN,Elvis Dumervil,DE,22,Louisville
4,127,MIN,Ray Edwards,DE,21,Purdue
4,128,SEA,Rob Sims,G,22,Ohio St.
4,129,NYG,Guy Whimper,DE,23,East Carolina
4,130,DEN,Domenik Hixon,WR,21,Akron
4,131,PIT,Willie Colon,G,23,Hofstra
4,132,BAL,P.J. Daniels,RB,23,Georgia Tech
4,133,PIT,Orien Harris,DT,23,Miami (FL)
5,134,BUF,Kyle Williams,DT,23,LSU
5,135,NOR,Rob Ninkovich,DE,22,Purdue
