Round,Pick,Team,Player,Position,Age,School
1,1,IND,Peyton Manning HOF,QB,22,Tennessee
1,2,SDG,Ryan Leaf,QB,22,Washington St.
1,3,ARI,Andre Wadsworth,DE,23,Florida St.
1,4,OAK,Charles Woodson HOF,DB,21,Michigan
1,5,CHI,Curtis Enis,RB,22,Penn St.
1,6,STL,Grant Wistrom,DE,22,Nebraska
1,7,NOR,Kyle Turley,T,22,San Diego St.
1,8,DAL,Greg Ellis,DE,23,North Carolina
1,9,JAX,Fred Taylor,RB,22,Florida
1,10,BAL,Duane Starks,DB,24,Miami (FL)
1,11,PHI,Tra Thomas,T,23,Florida St.
1,12,ATL,Keith Brooking,LB,22,Georgia Tech
1,13,CIN,Takeo Spikes,LB,21,Auburn
1,14,CAR,Jason Peter,DE,23,Nebraska
1,15,SEA,Anthony Simmons,LB,22,Clemson
1,16,TEN,Kevin Dyson,WR,23,Utah
1,17,CIN,Brian Simmons,LB,23,North Carolina
1,18,NWE,Robert Edwards,RB,23,Georgia
1,19,GNB,Vonnie Holliday,DE,22,North Carolina
1,20,DET,Terry Fair,DB,22,Tennessee
1,21,MIN,Randy Moss HOF,WR,21,Marshall
1,22,NWE,Tebucky Jones,DB,23,Syracuse
1,23,OAK,Mo Collins,G,21,Florida
1,24,NYG,Shaun Williams,DB,21,UCLA
1,25,JAX,Donovin Darius,DB,23,Syracuse
1,26,PIT,Alan Faneca HOF,G,21,LSU
1,27,KAN,Victor Riley,T,23,Auburn
1,28,SFO,R.W. McQuarters,DB,21,Oklahoma St.
1,29,MIA,John Avery,RB,22,Mississippi
1,30,DEN,Marcus Nash,WR,22,Tennessee
2,31,OAK,Leon Bender,DT,,Washington St.
2,32,IND,Jerome Pathon,WR,22,Washington
2,33,ARI,Corey Chavous,DB,22,Vanderbilt
2,34,TAM,Jacquez Green,WR,22,Florida
2,35,CHI,Tony Parrish,DB,22,Washington
2,36,ARI,Anthony Clement,T,22,Louisiana
2,37,STL,Robert Holcombe,RB,22,Illinois
