Round,Pick,Team,Player,Position,Age,School
1,1,OAK,JaMarcus Russell,QB,22,LSU
1,2,DET,Calvin Johnson HOF,WR,21,Georgia Tech
1,3,CLE,Joe Thomas,T,22,Wisconsin
1,4,TAM,Gaines Adams,DE,24,Clemson
1,5,ARI,Levi Brown,T,23,Penn St.
1,6,WAS,LaRon Landry,DB,22,LSU
1,7,MIN,Adrian Peterson,RB,22,Oklahoma
1,8,ATL,Jamaal Anderson,DE,21,Arkansas
1,9,MIA,Ted Ginn Jr.,WR,22,Ohio St.
1,10,HOU,Amobi Okoye,DT,20,Louisville
1,11,SFO,Patrick Willis,LB,22,Mississippi
1,12,BUF,Marshawn Lynch,RB,21,California
1,13,STL,Adam Carriker,DE,23,Nebraska
1,14,NYJ,Darrelle Revis,DB,22,Pittsburgh
1,15,PIT,Lawrence Timmons,LB,21,Florida St.
1,16,GNB,Justin Harrell,DT,23,Tennessee
1,17,DEN,Jarvis Moss,DE,23,Florida
1,18,CIN,Leon Hall,DB,22,Michigan
1,19,TEN,Michael Griffin,DB,22,Texas
1,20,NYG,Aaron Ross,DB,24,Texas
1,21,JAX,Reggie Nelson,DB,23,Florida
1,22,CLE,Brady Quinn,QB,22,Notre Dame
1,23,KAN,Dwayne Bowe,WR,22,LSU
1,24,NWE,Brandon Meriweather,DB,23,Miami (FL)
1,25,CAR,Jon Beason,LB,22,Miami (FL)
1,26,DAL,Anthony Spencer,DE,23,Purdue
1,27,NOR,Robert Meachem,WR,22,Tennessee
1,28,SFO,Joe Staley,T,23,Central Michigan
1,29,BAL,Ben Grubbs,G,23,Auburn
1,30,SDG,Craig Davis,WR,21,LSU
1,31,CHI,Greg Olsen,TE,22,Miami (FL)
1,32,IND,Anthony Gonzalez,WR,22,Ohio St.
2,33,ARI,Alan Branch,DT,22,Michigan
2,34,BUF,Paul Posluszny,LB,22,Penn St.
2,35,TAM,Arron Sears,G,22,Tennessee
2,36,PHI,Kevin Kolb,QB,23,Houston
2,37,SDG,Eric Weddle,DB,22,Utah
2,38,OAK,Zach Miller,TE,21,Arizona St.
2,39,ATL,Justin Blalock,G,23,Texas
2,40,MIA,John Beck,QB,26,BYU
2,41,ATL,Chris Houston,DB,22,Arkansas
2,42,IND,Tony Ugoh,T,23,Arkansas
2,43,DET,Drew Stanton,QB,23,Michigan St.
2,44,MIN,Sidney Rice,WR,21,South Carolina
2,45,CAR,Dwayne Jarrett,WR,20,USC
2,46,PIT,LaMarr Woodley,DE,22,Michigan
2,47,NYJ,David Harris,LB,23,Michigan
2,48,JAX,Justin Durant,LB,21,Hampton
2,49,CIN,Kenny Irons,RB,,Auburn
2,50,TEN,Chris Henry,RB,22,Arizona
2,51,NYG,Steve Smith,WR,22,USC
2,52,STL,Brian Leonard,RB,23,Rutgers
2,53,CLE,Eric Wright,DB,22,UNLV
2,54,KAN,Turk McBride,DT,22,Tennessee
2,55,SEA,Josh Wilson,DB,22,Maryland
2,56,DEN,Tim Crowder,DE,22,Texas
2,57,PHI,Victor Abiamiri,DE,21,Notre Dame
2,58,DET,Ikaika Alama-Francis,DE,22,Hawaii
2,59,CAR,Ryan Kalil,C,22,USC
2,60,MIA,Samson Satele,C,22,Hawaii
2,61,DET,Gerald Alexander,DB,23,Boise St.
2,62,CHI,Dan Bazuin,DE,,Central Michigan
2,63,GNB,Brandon Jackson,RB,21,Nebraska
2,64,TAM,Sabby Piscitelli,LB,24,Oregon St.
3,65,OAK,Quentin Moses,DE,23,Georgia
3,66,NOR,Usama Young,DB,22,Kent St.
3,67,DAL,James Marten,T,23,Boston Col.
3,68,TAM,Quincy Black,LB,23,New Mexico
3,69,ARI,Buster Davis,LB,23,Florida St.
3,70,DEN,Ryan Harris,T,22,Notre Dame
3,71,MIA,Lorenzo Booker,RB,23,Florida St.
3,72,MIN,Marcus McCauley,DB,24,Fresno St.
3,73,HOU,Jacoby Jones,WR,23,Lane
3,74,BAL,Yamon Figurs,WR,24,Kansas St.
3,75,ATL,Laurent Robinson,WR,22,Illinois St.
3,76,SFO,Jason Hill,WR,22,Washington St.
3,77,PIT,Matt Spaeth,TE,23,Minnesota
3,78,GNB,James Jones,WR,23,San Jose St.
3,79,JAX,Mike Sims-Walker,WR,22,Central Florida
3,80,TEN,Paul Williams,WR,23,Fresno St.
3,81,NYG,Jay Alford,DT,24,Penn St.
3,82,KAN,Tank Tyler,DT,22,North Carolina St.
3,83,CAR,Charles Johnson,DE,21,Georgia
3,84,STL,Jonathan Wade,DB,23,Tennessee
3,85,SEA,Brandon Mebane,DT,22,California
3,86,BAL,Marshal Yanda,T,22,Iowa
3,87,PHI,Stewart Bradley,LB,23,Nebraska
3,88,NOR,Andy Alleman,G,23,Akron
3,89,GNB,Aaron Rouse,DB,23,Virginia Tech
3,90,PHI,Tony Hunt,RB,21,Penn St.
3,91,OAK,Mario Henderson,DT,22,Florida St.
3,92,BUF,Trent Edwards,QB,23,Stanford
3,93,CHI,Garrett Wolfe,RB,23,Northern Illinois
3,94,CHI,Michael Okwo,LB,,Stanford
3,95,IND,Dante Hughes,DB,22,California
3,96,SDG,Anthony Waters,LB,23,Clemson
3,97,SFO,Ray McDonald,DE,22,Florida
3,98,IND,Quinn Pitcock,DT,23,Ohio St.
3,99,OAK,Johnnie Lee Higgins,WR,23,Texas-El Paso
4,100,OAK,Michael Bush,RB,23,Louisville
4,101,JAX,Adam Podlesh,P,24,Maryland
4,102,MIN,Brian Robison,DE,24,Texas
4,103,DAL,Isaiah Stanback,QB,23,Washington
4,104,SFO,Jay Moore,DE,,Nebraska
4,105,DET,A.J. Davis,DB,,North Carolina St.
4,106,TAM,Tanard Jackson,DB,22,Syracuse
4,107,NOR,Antonio Pittman,RB,21,Ohio St.
4,108,MIA,Paul Soliai,DT,23,Utah
4,109,ATL,Stephen Nicholas,LB,24,South Florida
4,110,OAK,John Bowie,DB,23,Cincinnati
4,111,BUF,Dwayne Wright,RB,24,Fresno St.
4,112,PIT,Daniel Sepulveda,P,23,Baylor
4,113,JAX,Brian Smith,DE,,Missouri
4,114,CIN,Marvin White,DB,23,TCU
4,115,TEN,Leroy Harris,C,23,North Carolina St.
4,116,NYG,Zak DeOssie,LB,23,Brown
4,117,DET,Manuel Ramirez,G,24,Texas Tech
4,118,CAR,Ryne Robinson,WR,22,Miami (OH)
4,119,GNB,Allen Barbre,T,23,Missouri Southern
4,120,SEA,Baraka Atkins,DE,22,Miami (FL)
4,121,DEN,Marcus Thomas,DT,21,Florida
4,122,DAL,Doug Free,T,23,Northern Illinois
4,123,HOU,Fred Bennett,DB,23,South Carolina
4,124,SEA,Mansfield Wrotto,G,22,Georgia Tech
4,125,NOR,Jermon Bushrod,T,23,Towson
4,126,SFO,Dashon Goldson,DB,22,Washington
4,127,NWE,Kareem Brown,DT,24,Miami (FL)
4,128,TEN,Chris Davis,WR,23,Florida St.
4,129,SDG,Scott Chandler,TE,22,Iowa
4,130,CHI,Josh Beekman,C,24,Boston Col.
4,131,IND,Brannon Condren,DB,24,Troy
4,132,PIT,Ryan McBean,DT,23,Oklahoma St.
4,133,ATL,Martrez Milner,TE,23,Georgia
4,134,BAL,Antwan Barnes,LB,22,Florida International
4,135,SFO,Joe Cohen,DT,23,Florida
4,136,IND,Clint Session,LB,22,Pittsburgh
4,137,BAL,Le'Ron McClain,RB,22,Alabama
5,138,OAK,Jay Richardson,DE,23,Ohio St.
5,139,STL,Dustin Fry,C,23,Clemson
5,140,CLE,Brandon McDonald,DB,22,Memphis
5,141,TAM,Greg Peterson,DE,23,North Carolina Central
5,142,ARI,Steve Breaston,WR,24,Michigan
5,143,WAS,Dallas Sartz,LB,,USC
5,144,HOU,Brandon Harrison,DB,22,Stanford
5,145,NOR,David Jones,DB,21,Wingate
5,146,MIN,Aundrae Allison,WR,21,East Carolina
5,147,SFO,Tarell Brown,DB,22,Texas
5,148,KAN,Kolby Smith,RB,22,Louisville
5,149,JAX,Uche Nwaneri,G,23,Purdue
5,150,JAX,Josh Gattis,DB,23,Wake Forest
5,151,CIN,Jeff Rowe,QB,23,Nevada
5,152,TEN,Antonio Johnson,DT,22,Mississippi St.
5,153,NYG,Kevin Boss,TE,23,Western Oregon
5,154,STL,Clifton Ryan,DT,23,Michigan St.
5,155,CAR,Dante Rosario,TE,22,Oregon
5,156,PIT,Cameron Stephenson,G,,Rutgers
5,157,GNB,David Clowney,WR,22,Virginia Tech
5,158,DET,Johnny Baldwin,LB,23,Arkansas–Monticello
5,159,PHI,C.J. Gaddis,DB,,Clemson
5,160,KAN,Justin Medlock,K,23,UCLA
5,161,SEA,Will Herring,LB,24,Auburn
5,162,PHI,Brent Celek,TE,22,Cincinnati
5,163,HOU,Brandon Frye,T,24,Virginia Tech
5,164,CAR,Tim Shaw,LB,23,Penn St.
5,165,OAK,Eric Frampton,DB,23,Washington St.
