Round,Pick,Team,Player,Position,Age,School
1,1,JAX,Travon Walker,DE,21,Georgia
1,2,DET,Aidan Hutchinson,DE,22,Michigan
1,3,HOU,Derek Stingley Jr.,CB,21,LSU
1,4,NYJ,Sauce Gardner,CB,22,Cincinnati
1,5,NYG,Kayvon Thibodeaux,DE,21,Oregon
1,6,CAR,Ikem Ekwonu,T,21,North Carolina St.
1,7,NYG,Evan Neal,OL,21,Alabama
1,8,ATL,Drake London,WR,21,USC
1,9,SEA,Charles Cross,OL,21,Mississippi St.
1,10,NYJ,Garrett Wilson,WR,22,Ohio St.
1,11,NOR,Chris Olave,WR,22,Ohio St.
1,12,DET,Jameson Williams,WR,21,Alabama
1,13,PHI,Jordan Davis,DT,22,Georgia
1,14,BAL,Kyle Hamilton,SAF,21,Notre Dame
1,15,HOU,Kenyon Green,OL,21,Texas A&M
1,16,WAS,Jahan Dotson,WR,22,Penn St.
1,17,LAC,Zion Johnson,G,22,Boston Col.
1,18,TEN,Treylon Burks,WR,22,Arkansas
1,19,NOR,Trevor Penning,T,23,Northern Iowa
1,20,PIT,Kenny Pickett,QB,24,Pittsburgh
1,21,KAN,Trent McDuffie,CB,21,Washington
1,22,GNB,Quay Walker,LB,22,Georgia
1,23,BUF,Kaiir Elam,CB,21,Florida
1,24,DAL,Tyler Smith,OL,21,Tulsa
1,25,BAL,Tyler Linderbaum,OL,22,Iowa
1,26,NYJ,Jermaine Johnson II,LB,23,Florida St.
1,27,JAX,Devin Lloyd,LB,23,Utah
1,28,GNB,Devonte Wyatt,DT,24,Georgia
1,29,NWE,Cole Strange,OL,24,Chattanooga
1,30,KAN,George Karlaftis III,DE,21,Purdue
1,31,CIN,Daxton Hill,DB,21,Michigan
1,32,MIN,Lewis Cine,DB,22,Georgia
2,33,TAM,Logan Hall,DE,22,Houston
2,34,GNB,Christian Watson,WR,23,North Dakota St.
2,35,TEN,Roger McCreary,CB,22,Auburn
2,36,NYJ,Breece Hall,RB,21,Iowa St.
2,37,HOU,Jalen Pitre,SAF,23,Baylor
2,38,ATL,Arnold Ebiketie,DE,23,Penn St.
2,39,CHI,Kyler Gordon,CB,22,Washington
2,40,SEA,Boye Mafe,DE,23,Minnesota
2,41,SEA,Kenneth Walker III,RB,21,Michigan St.
2,42,MIN,Andrew Booth,CB,21,Clemson
