Round,Pick,Team,Player,Position,Age,School
1,1,STL,Orlando Pace HOF,T,21,Ohio St.
1,2,OAK,Darrell Russell,DT,21,USC
1,3,SEA,Shawn Springs,DB,22,Ohio St.
1,4,BAL,Peter Boulware,LB,22,Florida St.
1,5,DET,Bryant Westbrook,DB,22,Texas
1,6,SEA,Walter Jones HOF,T,23,Florida St.
1,7,NYG,Ike Hilliard,WR,21,Florida
1,8,NYJ,James Farrior,LB,22,Virginia
1,9,ARI,Tom Knight,DB,22,Iowa
1,10,NOR,Chris Naeole,G,22,Colorado
1,11,ATL,Michael Booker,DB,22,Nebraska
1,12,TAM,Warrick Dunn,RB,22,Florida St.
1,13,KAN,Tony Gonzalez HOF,TE,21,California
1,14,CIN,Reinard Wilson,LB,23,Florida St.
1,15,MIA,Yatil Green,WR,23,Miami (FL)
1,16,TAM,Reidel Anthony,WR,20,Florida
1,17,WAS,Kenard Lang,DE,22,Miami (FL)
1,18,TEN,Kenny Holmes,DE,23,Miami (FL)
1,19,IND,Tarik Glenn,T,21,California
1,20,MIN,Dwayne Rudd,LB,21,Alabama
1,21,JAX,Renaldo Wynn,DE,23,Notre Dame
1,22,DAL,David LaFleur,TE,23,LSU
1,23,BUF,Antowain Smith,RB,25,Houston
1,24,PIT,Chad Scott,DB,23,Maryland
1,25,PHI,Jon Harris,DE,23,Virginia
1,26,SFO,Jim Druckenmiller,QB,24,Virginia Tech
1,27,CAR,Rae Carruth,WR,23,Colorado
1,28,DEN,Trevor Pryce,DT,22,Clemson
1,29,NWE,Chris Canty,DB,21,Kansas St.
1,30,GNB,Ross Verba,T,23,Iowa
2,31,NYJ,Rick Terry,DT,23,North Carolina
2,32,ATL,Nathan Davis,DE,23,Indiana
2,33,NOR,Rob Kelly,DB,23,Ohio St.
2,34,BAL,Jamie Sharper,LB,22,Virginia
2,35,DET,Juan Roque,T,23,Arizona St.
2,36,NYG,Tiki Barber,RB,22,Virginia
2,37,TAM,Jerry Wunsch,T,23,Wisconsin
2,38,CHI,John Allred,TE,22,USC
2,39,NOR,Jared Tomich,DE,23,Nebraska
2,40,STL,Dexter McCleon,DB,23,Clemson
2,41,ATL,Byron Hanspard,RB,21,Texas Tech
2,42,ARI,Jake Plummer,QB,22,Arizona St.
2,43,CIN,Corey Dillon,RB,22,Washington
2,44,MIA,Sam Madison,DB,23,Louisville
2,45,SDG,Freddie Jones,TE,22,North Carolina
2,46,TEN,Joey Kent,WR,23,Tennessee
2,47,KAN,Kevin Lockett,WR,22,Kansas St.
2,48,IND,Adam Meadows,T,23,Georgia
2,49,MIN,Torrian Gray,DB,23,Virginia Tech
2,50,JAX,Mike Logan,DB,22,West Virginia
2,51,WAS,Greg Jones,LB,23,Colorado
2,52,BUF,Marcellus Wiley,DE,22,Columbia
2,53,PIT,Will Blackwell,WR,22,San Diego St.
2,54,DET,Kevin Abrams,DB,23,Syracuse
2,55,SFO,Marc Edwards,FB,22,Notre Dame
2,56,CAR,Mike Minter,DB,23,Nebraska
2,57,PHI,James Darling,LB,22,Washington St.
2,58,BAL,Kim Herring,DB,21,Penn St.
2,59,NWE,Brandon Mitchell,DE,22,Texas A&M
2,60,GNB,Darren Sharper,DB,21,William & Mary
3,61,NWE,Sedrick Shaw,RB,23,Iowa
3,62,NOR,Troy Davis,RB,21,Iowa St.
3,63,TAM,Frank Middleton,G,22,Arizona
3,64,BAL,Jay Graham,RB,22,Tennessee
3,65,DAL,Dexter Coakley,LB,24,Appalachian St.
3,66,TAM,Ronde Barber,DB,22,Virginia
3,67,DEN,Dan Neil,G,23,Texas
3,68,NYG,Ryan Phillips,LB,23,Idaho
3,69,CHI,Bob Sapp,G,23,Washington
3,70,ATL,O.J. Santiago,TE,23,Kent St.
3,71,PHI,Duce Staley,RB,22,South Carolina
3,72,OAK,Adam Treu,C,23,Nebraska
3,73,MIA,Jason Taylor HOF,DE,23,Akron
3,74,SDG,Michael Hamilton,LB,23,North Carolina A&T
3,75,TEN,Denard Walker,DB,24,LSU
3,76,CIN,Rod Payne,C,23,Michigan
3,77,SFO,Greg Clark,TE,25,Stanford
3,78,MIN,Stalin Colinet,DT,23,Boston Col.
3,79,JAX,James Hamilton,LB,23,North Carolina
3,80,WAS,Derek Smith,LB,22,Arizona St.
