Rk,Player,School,Conf,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD
1,Trent Dilfer,Fresno State,WAC,12,254,396,64.1,3799,9.6,10.5,30,5,167.2,40,-113,-2.8,1
2,Dave Barr,California,Pac-10,13,187,275,68.0,2619,9.5,9.1,21,12,164.5,75,-98,-1.3,0
3,John Walsh,Brigham Young,WAC,11,244,397,61.5,3727,9.4,9.1,28,15,156.0,83,-307,-3.7,3
4,Glenn Foley,Boston College,Big East,11,222,363,61.2,3397,9.4,9.5,25,10,157.0,26,-44,-1.7,0
5,Marvin Graves,Syracuse,Big East,11,171,280,61.1,2547,9.1,8.4,15,11,147.3,102,149,1.5,6
6,Mike McCoy,Utah,WAC,12,276,430,64.2,3860,9.0,8.9,21,10,151.1,99,109,1.1,0
7,Danny O'Neil,Oregon,Pac-10,11,223,360,61.9,3224,9.0,8.3,22,15,149.0,97,-137,-1.4,1
8,Maurice DeShazo,Virginia Tech,Big East,11,129,230,56.1,2080,9.0,9.6,22,7,157.5,83,97,1.2,3
9,Tim Gutierrez,San Diego State,WAC,12,208,341,61.0,3033,8.9,9.0,24,10,153.1,36,-209,-5.8,0
10,Chris Vargas,Nevada,Big West,11,331,490,67.6,4265,8.7,8.4,34,18,156.2,45,67,1.5,1
11,Darrell Bevell,Wisconsin,Big Ten,12,187,276,67.8,2390,8.7,8.2,19,11,155.2,35,-3,-0.1,2
12,Jason Stanicek,North Carolina,ACC,12,139,217,64.1,1878,8.7,7.7,12,10,145.8,109,406,3.7,4
13,Jeff Brohm,Louisville,Ind,11,185,304,60.9,2626,8.6,8.6,20,9,149.2,78,45,0.6,3
14,Joe Youngblood,Central Michigan,MAC,10,167,287,58.2,2466,8.6,7.3,17,16,138.8,44,-73,-1.7,1
15,Cale Gundy,Oklahoma,Big 8,11,144,243,59.3,2096,8.6,8.7,14,6,145.8,120,195,1.6,6
16,Joe Hughes,Wyoming,WAC,11,208,371,56.1,3135,8.5,8.5,24,10,143.0,54,29,0.5,4
17,Robert Hall,Texas Tech,SWC,11,216,341,63.3,2894,8.5,8.8,21,7,150.8,101,145,1.4,4
18,Todd Collins,Michigan,Big Ten,12,189,296,63.9,2509,8.5,8.6,17,7,149.3,34,-81,-2.4,0
19,Symmion Willis,Virginia,ACC,11,165,276,59.8,2347,8.5,7.6,19,14,143.8,73,222,3.0,1
20,J.J. Joe,Baylor,SWC,11,107,197,54.3,1663,8.4,7.8,5,5,128.5,93,98,1.1,0
21,Eric Zeier,Georgia,SEC,11,269,425,63.3,3525,8.3,8.7,24,7,148.3,59,-43,-0.7,1
22,Heath Shuler,Tennessee,SEC,11,184,285,64.6,2354,8.3,8.8,25,8,157.3,46,73,1.6,3
23,Terry Dean,Florida,SEC,10,118,200,59.0,1651,8.3,7.7,17,10,146.4,43,24,0.6,2
24,Jake Plummer,Arizona State,Pac-10,9,102,199,51.3,1650,8.3,7.6,9,7,128.8,43,-57,-1.3,0
25,Ryan Collins,Miami (FL),Big East,9,112,188,59.6,1555,8.3,7.1,14,11,141.9,43,188,4.4,5
26,Stoney Case,New Mexico,WAC,11,177,304,58.2,2490,8.2,8.1,17,8,140.2,126,329,2.6,14
27,Danny Wuerffel,Florida,SEC,11,159,273,58.2,2230,8.2,8.1,22,10,146.1,40,-89,-2.2,1
28,Rob Johnson,USC,Pac-10,13,308,449,68.6,3630,8.1,8.8,29,6,155.1,81,-205,-2.5,1
29,Scott Milanovich,Maryland,ACC,11,279,431,64.7,3499,8.1,7.4,26,18,144.5,91,-62,-0.7,3
30,Steve Stenstrom,Stanford,Pac-10,11,300,455,65.9,3627,8.0,7.8,27,14,146.3,57,-229,-4.0,0
31,Charlie Ward,Florida State,ACC,11,264,380,69.5,3032,8.0,8.9,27,4,157.8,65,339,5.2,4
32,Kordell Stewart,Colorado,Big 8,11,157,294,53.4,2299,7.8,7.5,11,7,126.7,102,524,5.1,6
33,Terry Harvey,North Carolina State,ACC,11,131,235,55.7,1837,7.8,7.5,14,8,134.3,46,-13,-0.3,0
34,Bobby Hoying,Ohio State,Big Ten,12,109,202,54.0,1570,7.8,6.8,8,8,124.4,35,-120,-3.4,0
35,Chad May,Kansas State,Big 8,11,185,351,52.7,2682,7.6,7.3,16,10,126.2,73,-190,-2.6,7
36,Mike Neu,Ball State,MAC,11,186,283,65.7,2148,7.6,7.5,17,8,143.7,42,-39,-0.9,0
37,Stan White,Auburn,SEC,11,164,271,60.5,2057,7.6,7.2,13,8,134.2,79,33,0.4,4
38,Scott Eckers,Minnesota,Big Ten,11,119,206,57.8,1564,7.6,5.9,14,14,130.4,25,-28,-1.1,1
39,Gus Frerotte,Tulsa,Ind,11,214,383,55.9,2871,7.5,6.8,21,15,129.1,73,10,0.1,1
40,Bert Emanuel,Rice,SWC,11,118,204,57.8,1521,7.5,7.8,12,4,136.0,144,476,3.3,4
41,Jeff Garcia,San Jose State,Big West,11,196,356,55.1,2608,7.3,6.5,21,16,127.1,119,359,3.0,3
42,Cody Ledbetter,New Mexico State,Big West,11,158,300,52.7,2177,7.3,6.2,13,13,119.3,89,70,0.8,5
43,Donnie Davis,Georgia Tech,ACC,11,137,237,57.8,1739,7.3,6.1,12,12,126.0,72,328,4.6,3
44,Lawrence Adams,Ole Miss,SEC,11,110,195,56.4,1415,7.3,5.8,13,12,127.1,108,165,1.5,2
45,Michael Armour,Eastern Michigan,MAC,10,93,165,56.4,1208,7.3,6.4,6,6,122.6,94,151,1.6,0
46,Jake Delhomme,Louisiana,Big West,11,145,259,56.0,1842,7.1,6.1,14,12,124.3,58,-81,-1.4,1
47,Corey Pullig,Texas A&M,SWC,11,144,243,59.3,1732,7.1,6.7,17,10,134.0,33,-27,-0.8,0
48,Shea Morenz,Texas,SWC,11,183,335,54.6,2341,7.0,5.3,13,18,115.4,56,24,0.4,1
49,Paul Burmeister,Iowa,Big Ten,12,184,309,59.5,2152,7.0,5.9,10,12,121.0,81,-257,-3.2,3
50,Wayne Cook,UCLA,Pac-10,12,165,297,55.6,2067,7.0,7.6,18,4,131.3,67,-29,-0.4,1
51,Jay McDonagh,Western Michigan,MAC,11,174,283,61.5,1974,7.0,7.5,16,4,135.9,106,325,3.1,2
52,John Paci,Indiana,Big Ten,11,133,258,51.6,1796,7.0,6.4,8,7,114.8,97,174,1.8,3
53,Ryan Henry,Bowling Green State,MAC,11,160,325,49.2,2243,6.9,6.5,14,9,115.9,54,-42,-0.8,3
54,Steve Matthews,Memphis,Ind,9,166,273,60.8,1896,6.9,5.8,13,13,125.3,38,-176,-4.6,1
55,Jim Kemp,Wake Forest,ACC,9,126,217,58.1,1488,6.9,4.7,6,13,112.8,53,76,1.4,2
56,Jim Miller,Michigan State,Big Ten,12,215,336,64.0,2269,6.8,5.8,9,11,123.0,41,-160,-3.9,0
57,Dan White,Arizona,Pac-10,10,103,207,49.8,1410,6.8,6.4,11,7,117.7,32,-83,-2.6,1
58,Anthony Calvillo,Utah State,Big West,11,247,469,52.7,3148,6.7,6.6,19,10,118.2,89,112,1.3,4
59,Bob Stockham,UNLV,Big West,11,179,373,48.0,2490,6.7,4.5,17,26,105.2,37,-43,-1.2,1
60,Ramon Flanigan,SMU,SWC,11,111,199,55.8,1334,6.7,5.7,8,8,117.3,114,462,4.1,3
61,Frank Costa,Miami (FL),Big East,9,107,199,53.8,1324,6.7,6.0,5,5,112.9,23,-78,-3.4,0
62,Jim Kubiak,Navy,Ind,11,248,401,61.8,2628,6.6,5.2,11,17,117.5,49,-132,-2.7,1
63,Spence Fischer,Duke,ACC,11,213,388,54.9,2563,6.6,5.6,12,14,113.4,48,17,0.4,0
64,Todd Jordan,Mississippi State,SEC,11,131,294,44.6,1935,6.6,6.0,11,9,106.1,42,-13,-0.3,1
65,Steve Taneyhill,South Carolina,SEC,11,149,291,51.2,1930,6.6,4.9,6,14,104.1,42,-196,-4.7,1
66,Len Williams,Northwestern,Big Ten,10,182,316,57.6,2047,6.5,5.3,11,13,115.3,124,76,0.6,3
67,Jeff Handy,Missouri,Big 8,10,174,291,59.8,1901,6.5,5.4,11,12,118.9,34,-131,-3.9,0
68,Damon Huard,Washington,Pac-10,10,116,197,58.9,1282,6.5,5.1,9,10,118.5,50,48,1.0,1
69,Kerry Collins,Penn State,Big Ten,11,127,250,50.8,1605,6.4,5.5,13,11,113.1,26,8,0.3,0
70,John Ryan,Pitt,Big East,11,115,203,56.7,1284,6.3,5.1,6,8,111.7,47,-201,-4.3,0
71,Anthoney Hill,Colorado State,WAC,10,121,263,46.0,1636,6.2,5.8,10,7,105.5,100,433,4.3,3
72,Barry Lunney Jr.,Arkansas,SEC,11,104,202,51.5,1241,6.1,5.2,6,7,106.0,74,140,1.9,2
73,Max Knake,TCU,SWC,11,207,357,58.0,2130,6.0,4.9,12,14,111.4,42,6,0.1,1
74,Johnny Johnson,Illinois,Big Ten,10,135,287,47.0,1688,5.9,5.1,11,10,102.1,69,159,2.3,0
75,Tim Schade,Minnesota,Big Ten,11,135,286,47.2,1648,5.8,4.3,8,13,95.7,26,13,0.5,1
76,Johnny Covington,Arkansas State,Big West,11,94,184,51.1,1069,5.8,4.9,3,5,99.8,58,-5,-0.1,0
77,Craig Whelihan,Pacific,Big West,9,132,248,53.2,1395,5.6,5.4,9,5,108.4,51,-62,-1.2,2
78,Lance Harp,Cincinnati,Ind,11,139,292,47.6,1575,5.4,4.9,9,7,98.3,61,47,0.8,2
79,Ray Lucas,Rutgers,Big East,11,109,188,58.0,1011,5.4,4.7,7,6,109.1,67,220,3.3,5
80,Jamie Howard,LSU,SEC,10,106,248,42.7,1319,5.3,3.7,7,12,87.1,45,0,0.0,0
81,Craig Randall,Tulane,Ind,12,151,305,49.5,1565,5.1,3.6,8,14,92.1,82,-70,-0.9,1
82,Chuck Clements,Houston,SWC,9,124,239,51.9,1216,5.1,3.5,4,10,91.8,14,-36,-2.6,0
