Rk,Player,School,Conf,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD
1,Hendon Hooker,Tennessee,SEC,11,229,329,69.6,3135,9.5,10.9,27,2,175.5,104,430,4.1,5
2,Todd Centeio,James Madison,Sun Belt,10,181,284,63.7,2697,9.5,10.5,25,5,169.0,95,366,3.9,7
3,C.J. Stroud,Ohio State,Big Ten,12,235,355,66.2,3340,9.4,10.7,37,6,176.2,35,74,2.1,0
4,Kurtis Rourke,Ohio,MAC,11,244,353,69.1,3257,9.2,10.1,25,4,167.7,74,245,3.3,4
5,Grayson McCall,Coastal Carolina,Sun Belt,10,197,285,69.1,2633,9.2,10.6,24,2,173.1,87,183,2.1,5
6,Caleb Williams,USC,Pac-12,13,296,448,66.1,4075,9.1,10.3,37,4,167.9,109,372,3.4,10
7,Frank Harris,UTSA,CUSA,13,305,429,71.1,3865,9.0,9.7,31,7,167.4,120,588,4.9,9
8,Max Duggan,TCU,Big 12,13,239,368,64.9,3321,9.0,10.2,30,4,165.5,112,404,3.6,6
9,Bo Nix,Oregon,Pac-12,12,271,379,71.5,3388,8.9,9.7,27,6,166.9,84,504,6.0,14
10,Jordan Travis,Florida State,ACC,12,199,315,63.2,2796,8.9,9.7,22,4,158.2,75,367,4.9,7
11,Jalen Mayden,San Diego State,MWC,12,122,194,62.9,1721,8.9,8.3,10,7,147.2,57,205,3.6,3
12,Dylan Hopkins,UAB,CUSA,10,120,191,62.8,1709,8.9,9.2,9,3,150.4,44,105,2.4,2
13,Casey Thompson,Nebraska,Big Ten,10,173,274,63.1,2407,8.8,8.4,17,10,150.1,56,-21,-0.4,5
14,Michael Penix Jr.,Washington,Pac-12,12,330,500,66.0,4354,8.7,9.2,29,7,155.5,32,86,2.7,4
15,Sam Hartman,Wake Forest,ACC,11,247,392,63.0,3421,8.7,9.3,35,11,160.2,94,114,1.2,1
16,Austin Aune,North Texas,CUSA,13,215,379,56.7,3309,8.7,8.9,32,13,151.1,42,52,1.2,1
17,Gunnar Watson,Troy,Sun Belt,12,193,312,61.9,2705,8.7,8.1,13,10,142.0,52,-135,-2.6,2
18,K.J. Jefferson,Arkansas,SEC,10,185,271,68.3,2361,8.7,9.7,22,4,165.3,144,510,3.5,7
19,Garrett Shrader,Syracuse,ACC,11,173,266,65.0,2310,8.7,8.9,17,6,154.6,136,406,3.0,7
20,Stetson Bennett,Georgia,SEC,13,269,396,67.9,3425,8.6,9.0,20,6,154.2,47,184,3.9,7
21,Michael Pratt,Tulane,American,12,207,321,64.5,2775,8.6,9.5,25,5,159.7,114,395,3.5,10
