Player,Position,School,College,Height,Weight,40 Time,Vertical Jump,Bench,Broad Jump,3 Cone,Shuttle,Drafted
D'Wayne Eskridge,WR,West. Michigan,College Stats,5-8,190,4.38,35.0,,124,6.93,4.22,Seattle Seahawks / 2nd / 56th pick / 2021
Travis Etienne,RB,Clemson,College Stats,5-10,215,4.45,33.5,18,128,,,Jacksonville Jaguars / 1st / 25th pick / 2021
Chris Evans,RB,Michigan,College Stats,5-11,211,4.50,40.5,20,127,6.83,4.12,Cincinnati Bengals / 6th / 202nd pick / 2021
Luke Farrell,TE,Ohio St.,College Stats,6-5,251,4.79,36.5,22,118,7.14,4.36,Jacksonville Jaguars / 5th / 145th pick / 2021
Simi Fehoko,WR,Stanford,College Stats,6-3,222,4.44,34.5,16,120,6.78,4.26,Dallas Cowboys / 5th / 179th pick / 2021
Demetric Felton,RB,UCLA,College Stats,5-8,189,4.55,,,,,,Cleveland Browns / 6th / 211th pick / 2021
Justin Fields,QB,Ohio St.,College Stats,6-2,227,4.45,,,,,,Chicago Bears / 1st / 11th pick / 2021
Tony Fields,LB,West Virginia,College Stats,6-0,222,4.64,34.0,17,114,7.15,4.48,Cleveland Browns / 5th / 153rd pick / 2021
Dez Fitzpatrick,WR,Louisville,College Stats,6-1,208,4.43,35.0,,,7.09,4.26,Tennessee Titans / 4th / 109th pick / 2021
Darrick Forrest,S,Cincinnati,College Stats,5-11,206,4.42,39.0,21,132,6.91,4.23,Washington Football Team / 5th / 163rd pick / 2021
Stone Forsythe,OL,Florida,College Stats,6-8,307,5.14,27.5,25,103,7.47,4.65,Seattle Seahawks / 6th / 208th pick / 2021
Pat Freiermuth,TE,Penn St.,College Stats,6-5,251,,,26,,,,Pittsburgh Steelers / 2nd / 55th pick / 2021
Will Fries,OL,Penn St.,College Stats,6-6,309,5.37,31.0,24,115,7.77,4.53,Indianapolis Colts / 7th / 248th pick / 2021
Jake Funk,RB,Maryland,College Stats,5-10,204,4.49,38.0,22,122,6.71,4.12,Los Angeles Rams / 7th / 233rd pick / 2021
Kenneth Gainwell,RB,Memphis,College Stats,,201,4.42,,21,,,,Philadelphia Eagles / 5th / 150th pick / 2021
Tyree Gillespie,S,Missouri,College Stats,,,4.38,,15,,7.06,,Las Vegas Raiders / 4th / 143rd pick / 2021
Chauncey Golston,DL,Iowa,College Stats,6-4,269,4.79,36.0,,119,7.52,4.65,Dallas Cowboys / 3rd / 84th pick / 2021
Tay Gowan,DB,Central Florida,College Stats,6-0,186,4.44,35.5,13,118,6.88,4.25,Arizona Cardinals / 6th / 223rd pick / 2021
Ta'Quon Graham,DL,Texas,College Stats,6-3,292,4.89,32.5,32,113,7.31,4.68,Atlanta Falcons / 5th / 148th pick / 2021
Richie Grant,DB,Central Florida,College Stats,5-11,197,4.49,34.5,12,129,6.78,4.27,Atlanta Falcons / 2nd / 40th pick / 2021
Noah Gray,TE,Duke,College Stats,6-3,240,4.55,35.0,15,115,6.83,4.37,Kansas City Chiefs / 5th / 162nd pick / 2021
Kendrick Green,OL,Illinois,College Stats,6-1,305,4.89,35.5,25,119,7.79,4.67,Pittsburgh Steelers / 3rd / 87th pick / 2021
Robert Hainsey,OL,Notre Dame,College Stats,6-4,306,5.20,27.5,32,104,7.58,4.63,Tampa Bay Buccaneers / 3rd / 95th pick / 2021
