Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Kendre Miller,TCU,Big 12,10,83,623,7.5,7,12,117,9.8,1,95,740,7.8,8
2,Anthony Watkins,Tulsa,American,13,86,634,7.4,4,4,28,7.0,0,90,662,7.4,4
3,Devon Achane,Texas A&M,SEC,12,130,910,7.0,9,24,261,10.9,1,154,1171,7.6,10
4,Johnny Richardson,UCF,American,13,104,733,7.0,3,25,226,9.0,1,129,959,7.4,4
5,Zach Evans,TCU,Big 12,6,92,648,7.0,5,10,130,13.0,1,102,778,7.6,6
6,Braelon Allen,Wisconsin,Big Ten,12,186,1268,6.8,12,8,39,4.9,0,194,1307,6.7,12
7,TreVeyon Henderson,Ohio State,Big Ten,13,183,1248,6.8,15,27,312,11.6,4,210,1560,7.4,19
8,Bryant Koback,Toledo,MAC,13,208,1400,6.7,15,30,334,11.1,3,238,1734,7.3,18
9,DeWayne McBride,UAB,CUSA,13,204,1371,6.7,13,3,19,6.3,0,207,1390,6.7,13
10,Tyjae Spears,Tulane,American,12,129,863,6.7,9,19,145,7.6,0,148,1008,6.8,9
11,Jamyest Williams,Georgia State,Sun Belt,13,128,859,6.7,9,1,19,19.0,0,129,878,6.8,9
12,T.J. Pledger,Utah,Pac-12,14,104,694,6.7,6,10,107,10.7,0,114,801,7.0,6
13,Jarquez Hunter,Auburn,SEC,13,89,593,6.7,3,12,61,5.1,1,101,654,6.5,4
14,Blake Corum,Michigan,Big Ten,12,144,952,6.6,11,24,141,5.9,1,168,1093,6.5,12
15,Zaquandre White,South Carolina,SEC,10,88,583,6.6,2,19,202,10.6,3,107,785,7.3,5
16,Sean Tyler,Western Michigan,MAC,13,178,1150,6.5,9,14,114,8.1,2,192,1264,6.6,11
17,Keaton Mitchell,East Carolina,American,12,174,1132,6.5,9,22,253,11.5,1,196,1385,7.1,10
18,Shermari Jones,Coastal Carolina,Sun Belt,11,159,1040,6.5,13,3,28,9.3,0,162,1068,6.6,13
19,Xavier Williams,Kent State,MAC,13,125,812,6.5,3,4,40,10.0,0,129,852,6.6,3
20,Tahj Brooks,Texas Tech,Big 12,9,87,568,6.5,7,6,52,8.7,0,93,620,6.7,7
21,James Cook,Georgia,SEC,15,113,728,6.4,7,27,284,10.5,4,140,1012,7.2,11
22,Dae Dae Hunter,Hawaii,MWC,10,101,651,6.4,3,19,163,8.6,0,120,814,6.8,3
23,Ulysses Bentley IV,SMU,American,10,96,610,6.4,4,19,90,4.7,1,115,700,6.1,5
24,Treshaun Ward,Florida State,ACC,12,81,515,6.4,4,22,167,7.6,1,103,682,6.6,5
25,Kennedy Brooks,Oklahoma,Big 12,13,198,1253,6.3,13,9,73,8.1,0,207,1326,6.4,13
26,Johnny Ford,Florida Atlantic,CUSA,11,131,831,6.3,5,23,280,12.2,2,154,1111,7.2,7
27,Emani Bailey,Louisiana,Sun Belt,11,102,642,6.3,8,15,153,10.2,0,117,795,6.8,8
28,Kenneth Walker III,Michigan State,Big Ten,12,263,1636,6.2,18,13,89,6.8,1,276,1725,6.3,19
29,Abram Smith,Baylor,Big 12,14,257,1601,6.2,12,13,75,5.8,0,270,1676,6.2,12
30,Jashaun Corbin,Florida State,ACC,12,143,887,6.2,7,25,144,5.8,1,168,1031,6.1,8
31,Kobe Pace,Clemson,ACC,11,104,641,6.2,6,12,131,10.9,0,116,772,6.7,6
32,Jawon Hamilton,Eastern Michigan,MAC,11,101,631,6.2,4,1,7,7.0,0,102,638,6.3,4
33,Kelley Joiner Jr.,South Florida,American,12,78,480,6.2,2,8,62,7.8,0,86,542,6.3,2
34,Sean Tucker,Syracuse,ACC,12,246,1496,6.1,12,20,255,12.8,2,266,1751,6.6,14
35,Christopher Rodriguez Jr.,Kentucky,SEC,13,225,1378,6.1,10,13,61,4.7,3,238,1439,6.0,13
36,Jerome Ford,Cincinnati,American,13,215,1319,6.1,19,21,220,10.5,1,236,1539,6.5,20
37,Noah Whittington,Western Kentucky,CUSA,12,101,617,6.1,2,12,58,4.8,0,113,675,6.0,2
38,Tyler Badie,Missouri,SEC,12,268,1604,6.0,14,54,330,6.1,4,322,1934,6.0,18
39,Deuce Vaughn,Kansas State,Big 12,13,235,1404,6.0,18,49,468,9.6,4,284,1872,6.6,22
40,Travis Dye,Oregon,Pac-12,14,211,1271,6.0,16,46,402,8.7,2,257,1673,6.5,18
41,Ty Chandler,North Carolina,ACC,13,182,1092,6.0,13,15,216,14.4,1,197,1308,6.6,14
42,Malik Cunningham,Louisville,ACC,13,173,1031,6.0,20,1,9,9.0,0,174,1040,6.0,20
43,Brittain Brown,UCLA,Pac-12,10,102,615,6.0,7,18,129,7.2,0,120,744,6.2,7
44,Armani Rogers,Ohio,MAC,12,92,552,6.0,7,2,2,1.0,0,94,554,5.9,7
45,B.J. Baylor,Oregon State,Pac-12,13,227,1337,5.9,13,8,75,9.4,0,235,1412,6.0,13
46,Chase Brown,Illinois,Big Ten,10,170,1005,5.9,5,14,142,10.1,0,184,1147,6.2,5
47,Titus Swen,Wyoming,MWC,13,132,785,5.9,7,5,24,4.8,0,137,809,5.9,7
48,Dominique Johnson,Arkansas,SEC,13,97,575,5.9,7,7,71,10.1,1,104,646,6.2,8
49,Roschon Johnson,Texas,Big 12,12,96,569,5.9,5,11,83,7.5,0,107,652,6.1,5
50,Ayo Adeyi,North Texas,CUSA,10,84,496,5.9,6,1,3,3.0,0,85,499,5.9,6
51,Tyler Allgeier,Brigham Young,Ind,13,276,1601,5.8,23,28,199,7.1,0,304,1800,5.9,23
52,Breece Hall,Iowa State,Big 12,12,253,1472,5.8,20,36,302,8.4,3,289,1774,6.1,23
