Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Dri Archer,Kent State,MAC,14,159,1429,9.0,16,39,561,14.4,4,198,1990,10.1,20
2,Lache Seastrunk,Baylor,Big 12,13,131,1012,7.7,7,9,107,11.9,1,140,1119,8.0,8
3,De'Anthony Thomas,Oregon,Pac-12,13,92,701,7.6,11,45,445,9.9,5,137,1146,8.4,16
4,Chris Thompson,Florida State,ACC,9,91,687,7.5,5,21,248,11.8,0,112,935,8.3,5
5,Gee Gee Greene,Navy,Ind,13,120,877,7.3,3,18,309,17.2,2,138,1186,8.6,5
6,Denard Robinson,Michigan,Big Ten,11,177,1266,7.2,7,3,31,10.3,0,180,1297,7.2,7
7,Marcus Mariota,Oregon,Pac-12,13,106,752,7.1,5,1,2,2.0,1,107,754,7.0,6
8,Johnny Manziel,Texas A&M,SEC,13,201,1410,7.0,21,,,,,201,1410,7.0,21
9,Cole Gautsche,New Mexico,MWC,11,109,760,7.0,7,,,,,109,760,7.0,7
10,Kerwynn Williams,Utah State,WAC,13,218,1512,6.9,15,45,697,15.5,5,263,2209,8.4,20
11,Rex Burkhead,Nebraska,Big Ten,8,98,675,6.9,5,11,92,8.4,2,109,767,7.0,7
12,Duke Johnson,Miami (FL),ACC,12,139,947,6.8,10,27,221,8.2,1,166,1168,7.0,11
13,Ja'Terian Douglas,Tulsa,CUSA,14,137,936,6.8,7,1,7,7.0,0,138,943,6.8,7
14,Giovani Bernard,North Carolina,ACC,10,184,1228,6.7,12,47,490,10.4,5,231,1718,7.4,17
15,Jay Ajayi,Boise State,MWC,11,82,548,6.7,4,1,14,14.0,0,83,562,6.8,4
16,Marion Grice,Arizona State,Pac-12,13,103,679,6.6,11,41,425,10.4,8,144,1104,7.7,19
17,Eddie Lacy,Alabama,SEC,14,204,1322,6.5,17,22,189,8.6,2,226,1511,6.7,19
18,Bronson Hill,Eastern Michigan,MAC,11,140,910,6.5,6,12,208,17.3,1,152,1118,7.4,7
19,Terrance Broadway,Louisiana,Sun Belt,13,119,769,6.5,9,,,,,119,769,6.5,9
20,Tony Pierson,Kansas,Big 12,11,117,760,6.5,4,21,291,13.9,2,138,1051,7.6,6
21,Keith Marshall,Georgia,SEC,14,117,759,6.5,8,11,91,8.3,1,128,850,6.6,9
22,Cierre Wood,Notre Dame,Ind,11,114,742,6.5,4,5,25,5.0,0,119,767,6.4,4
23,Ka'Deem Carey,Arizona,Pac-12,13,303,1929,6.4,23,36,303,8.4,1,339,2232,6.6,24
24,Kenjon Barner,Oregon,Pac-12,13,278,1767,6.4,21,20,256,12.8,2,298,2023,6.8,23
25,James White,Wisconsin,Big Ten,14,125,806,6.4,12,8,132,16.5,1,133,938,7.1,13
26,Cody Getz,Air Force,MWC,12,198,1248,6.3,9,2,1,0.5,0,200,1249,6.2,9
27,T.J. Yeldon,Alabama,SEC,14,175,1108,6.3,12,11,131,11.9,1,186,1239,6.7,13
28,C.J. Anderson,California,Pac-12,12,126,790,6.3,4,15,164,10.9,1,141,954,6.8,5
29,Jordan Lynch,Northern Illinois,MAC,14,294,1815,6.2,19,,,,,294,1815,6.2,19
30,Adam Muema,San Diego State,MWC,13,237,1458,6.2,16,9,147,16.3,1,246,1605,6.5,17
31,Todd Gurley,Georgia,SEC,14,222,1385,6.2,17,16,117,7.3,0,238,1502,6.3,17
32,Benny Cunningham,Middle Tennessee State,Sun Belt,5,97,600,6.2,11,9,109,12.1,0,106,709,6.7,11
33,Jonathan Lee,Air Force,MWC,12,88,545,6.2,4,4,45,11.3,0,92,590,6.4,4
34,Johnathan Franklin,UCLA,Pac-12,14,282,1734,6.1,13,33,323,9.8,2,315,2057,6.5,15
35,Jahwan Edwards,Ball State,MAC,13,232,1410,6.1,14,10,51,5.1,0,242,1461,6.0,14
36,Kevin Grooms,Marshall,CUSA,11,121,737,6.1,8,8,50,6.3,1,129,787,6.1,9
37,Marcus Curry,Texas State,WAC,11,113,685,6.1,10,19,167,8.8,2,132,852,6.5,12
38,Onterio McCalebb,Auburn,SEC,12,94,570,6.1,6,18,132,7.3,0,112,702,6.3,6
39,Venric Mark,Northwestern,Big Ten,13,226,1366,6.0,12,20,104,5.2,1,246,1470,6.0,13
40,Kenneth Dixon,Louisiana Tech,WAC,12,200,1194,6.0,27,10,35,3.5,1,210,1229,5.9,28
41,Trey Watts,Tulsa,CUSA,13,186,1108,6.0,3,34,343,10.1,0,220,1451,6.6,3
42,Charles Sims,Houston,CUSA,9,142,851,6.0,11,37,373,10.1,3,179,1224,6.8,14
43,Larry Dixon,Army,Ind,11,140,839,6.0,6,2,20,10.0,0,142,859,6.0,6
44,Curtis McNeal,USC,Pac-12,12,116,701,6.0,2,7,111,15.9,1,123,812,6.6,3
45,Brennan Clay,Oklahoma,Big 12,13,93,555,6.0,6,15,100,6.7,1,108,655,6.1,7
46,Zurlon Tipton,Central Michigan,MAC,13,252,1497,5.9,19,24,287,12.0,1,276,1784,6.5,20
47,Cody Fajardo,Nevada,MWC,12,190,1121,5.9,12,,,,,190,1121,5.9,12
48,Tre Mason,Auburn,SEC,12,171,1002,5.9,8,7,86,12.3,0,178,1088,6.1,8
49,Ben Malena,Texas A&M,SEC,13,138,808,5.9,8,18,111,6.2,1,156,919,5.9,9
50,Devonta Freeman,Florida State,ACC,14,111,660,5.9,8,10,86,8.6,0,121,746,6.2,8
51,David Fluellen,Toledo,MAC,12,259,1498,5.8,13,32,246,7.7,0,291,1744,6.0,13
52,Kasey Carrier,New Mexico,MWC,12,255,1469,5.8,15,10,75,7.5,0,265,1544,5.8,15
53,Kenny Williams,Texas Tech,Big 12,13,143,824,5.8,5,16,163,10.2,1,159,987,6.2,6
54,James Wilder Jr.,Florida State,ACC,14,110,640,5.8,11,19,141,7.4,2,129,781,6.1,13
55,Antonio Andrews,Western Kentucky,Sun Belt,13,304,1728,5.7,11,37,432,11.7,3,341,2160,6.3,14
56,Montel Harris,Temple,Big East,10,186,1054,5.7,12,10,90,9.0,0,196,1144,5.8,12
57,Vad Lee,Georgia Tech,ACC,12,96,544,5.7,9,,,,,96,544,5.7,9
58,Kenny Hilliard,LSU,SEC,12,82,464,5.7,6,3,21,7.0,0,85,485,5.7,6
59,Braxton Miller,Ohio State,Big Ten,12,227,1271,5.6,13,,,,,227,1271,5.6,13
60,Latavius Murray,UCF,CUSA,11,198,1106,5.6,15,27,231,8.6,4,225,1337,5.9,19
61,Rolandan Finch,Boston College,ACC,5,77,431,5.6,1,17,108,6.4,0,94,539,5.7,1
62,George Winn,Cincinnati,Big East,13,243,1334,5.5,13,15,128,8.5,0,258,1462,5.7,13
63,Zac Stacy,Vanderbilt,SEC,13,207,1141,5.5,10,10,205,20.5,0,217,1346,6.2,10
64,Branden Oliver,Buffalo,MAC,7,148,821,5.5,5,7,25,3.6,0,155,846,5.5,5
