Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Robert Farmer,Notre Dame,Ind,11,78,660,8.5,8,1,13,13.0,0,79,673,8.5,8
2,Shaun Alexander,Alabama,SEC,11,77,589,7.6,6,7,53,7.6,0,84,642,7.6,6
3,Lamont Zachery,Arkansas State,Ind,11,114,846,7.4,4,22,156,7.1,3,136,1002,7.4,7
4,Dante Hall,Texas A&M,Big 12,12,92,642,7.0,3,3,12,4.0,0,95,654,6.9,3
5,Carl Sanders,UAB,Ind,11,168,1154,6.9,6,7,47,6.7,0,175,1201,6.9,6
6,Tim Alexander,Oregon State,Pac-10,7,82,566,6.9,4,,,,,82,566,6.9,4
7,Beau Morgan,Air Force,WAC,11,225,1494,6.6,18,,,,,225,1494,6.6,18
8,De'Mond Parker,Oklahoma,Big 12,11,180,1184,6.6,10,17,188,11.1,0,197,1372,7.0,10
9,Damon Washington,Colorado State,WAC,10,162,1075,6.6,8,4,25,6.3,0,166,1100,6.6,8
10,Bobby Williams,Army,Ind,11,94,623,6.6,8,3,84,28.0,0,97,707,7.3,8
11,Keffer McGee,Mississippi State,SEC,3,73,481,6.6,3,2,-4,-2.0,0,75,477,6.4,3
12,Ron Dayne,Wisconsin,Big Ten,13,325,2109,6.5,21,14,133,9.5,0,339,2242,6.6,21
13,Terry Battle,Arizona State,Pac-10,11,160,1043,6.5,18,9,45,5.0,0,169,1088,6.4,18
14,Byron Hanspard,Texas Tech,Big 12,11,311,2000,6.4,13,17,192,11.3,1,328,2192,6.7,14
15,Ernest Blackwell,Missouri,Big 12,11,79,506,6.4,5,,,,,79,506,6.4,5
16,Chad Nelson,Rice,WAC,11,128,801,6.3,11,,,,,128,801,6.3,11
17,Elijah Williams,Florida,SEC,12,106,671,6.3,4,14,253,18.1,1,120,924,7.7,5
18,Ricky Williams,Texas,Big 12,12,205,1272,6.2,12,25,291,11.6,2,230,1563,6.8,14
19,Warrick Dunn,Florida State,ACC,11,189,1180,6.2,12,30,355,11.8,2,219,1535,7.0,14
20,Antowain Smith,Houston,CUSA,11,202,1239,6.1,14,28,201,7.2,1,230,1440,6.3,15
21,D'Andre Hardeman,Texas A&M,Big 12,12,109,669,6.1,17,9,78,8.7,1,118,747,6.3,18
22,Joe Hewitt,Army,Ind,11,141,843,6.0,6,2,11,5.5,0,143,854,6.0,6
23,Fred Taylor,Florida,SEC,9,104,629,6.0,5,8,120,15.0,0,112,749,6.7,5
24,Alex Gresham,Nevada,Big West,8,79,476,6.0,3,3,15,5.0,0,82,491,6.0,3
25,Ahman Green,Nebraska,Big 12,10,155,917,5.9,7,9,93,10.3,0,164,1010,6.2,7
26,Ken Oxendine,Virginia Tech,Big East,9,150,890,5.9,13,4,74,18.5,0,154,964,6.3,13
27,Demario Brown,Utah State,Big West,10,119,700,5.9,8,17,133,7.8,0,136,833,6.1,8
28,Rondell Mealey,LSU,SEC,11,103,603,5.9,10,8,86,10.8,1,111,689,6.2,11
29,Autry Denson,Notre Dame,Ind,11,202,1179,5.8,8,11,111,10.1,2,213,1290,6.1,10
30,Steve Hookfin,Ohio,MAC,12,195,1125,5.8,9,1,13,13.0,0,196,1138,5.8,9
31,Chris Fuamatu-Ma'afala,Utah,WAC,8,168,982,5.8,9,10,80,8.0,0,178,1062,6.0,9
32,Omar Nelson,Navy,Ind,11,148,857,5.8,9,6,66,11.0,1,154,923,6.0,10
33,Spencer George,Rice,WAC,11,109,634,5.8,8,,,,,109,634,5.8,8
34,Scott Harley,East Carolina,Ind,11,307,1745,5.7,14,25,199,8.0,0,332,1944,5.9,14
35,Corey Dillon,Washington,Pac-10,11,271,1555,5.7,22,15,273,18.2,1,286,1828,6.4,23
36,Brian McKenzie,Brigham Young,WAC,14,167,950,5.7,11,8,89,11.1,0,175,1039,5.9,11
37,Corby Jones,Missouri,Big 12,11,130,742,5.7,9,,,,,130,742,5.7,9
38,Ronney Jenkins,Brigham Young,WAC,14,128,733,5.7,11,14,189,13.5,3,142,922,6.5,14
39,Jerod Douglas,Baylor,Big 12,9,117,667,5.7,5,9,81,9.0,0,126,748,5.9,5
40,Marcus Parker,Virginia Tech,Big East,7,82,467,5.7,4,7,50,7.1,0,89,517,5.8,4
41,Calvin Branch,Colorado State,WAC,12,228,1279,5.6,21,14,128,9.1,0,242,1407,5.8,21
42,Saladin McCullough,Oregon,Pac-10,7,122,685,5.6,15,5,61,12.2,0,127,746,5.9,15
43,Devin West,Missouri,Big 12,11,116,649,5.6,4,11,83,7.5,0,127,732,5.8,4
44,Aaron Harris,Penn State,Big Ten,12,105,587,5.6,9,14,165,11.8,2,119,752,6.3,11
45,Robert Davis,UAB,Ind,10,87,486,5.6,6,18,217,12.1,0,105,703,6.7,6
46,Donte Womack,SMU,WAC,11,160,887,5.5,5,11,104,9.5,2,171,991,5.8,7
47,Mike Scott,Eastern Michigan,MAC,10,145,792,5.5,6,20,159,8.0,0,165,951,5.8,6
48,Elzie Johnson,UTEP,WAC,11,92,508,5.5,0,22,70,3.2,0,114,578,5.1,0
49,Damon Benning,Nebraska,Big 12,11,85,465,5.5,7,1,-1,-1.0,0,86,464,5.4,7
50,Rusty Williams,Auburn,SEC,11,80,439,5.5,4,16,123,7.7,0,96,562,5.9,4
51,Troy Davis,Iowa State,Big 12,11,402,2185,5.4,21,13,64,4.9,0,415,2249,5.4,21
52,Tiki Barber,Virginia,ACC,11,250,1360,5.4,14,22,258,11.7,0,272,1618,5.9,14
53,Curtis Enis,Penn State,Big Ten,12,224,1210,5.4,13,32,291,9.1,1,256,1501,5.9,14
54,Malcolm Thomas,Syracuse,Big East,11,166,891,5.4,10,2,18,9.0,0,168,909,5.4,10
55,Michael Perry,Rice,WAC,11,121,656,5.4,3,2,9,4.5,0,123,665,5.4,3
56,Shon Mitchell,Texas,Big 12,12,117,626,5.4,4,6,106,17.7,0,123,732,6.0,4
57,LeAndre Moore,Ball State,MAC,11,114,621,5.4,3,11,102,9.3,0,125,723,5.8,3
58,Darron Kirkman,Oregon State,Pac-10,11,104,566,5.4,3,6,41,6.8,0,110,607,5.5,3
59,Ronnie McAda,Army,Ind,11,99,534,5.4,4,,,,,99,534,5.4,4
60,Michael Pittman,Fresno State,WAC,11,214,1132,5.3,13,15,109,7.3,0,229,1241,5.4,13
61,George Jones,San Diego State,WAC,7,181,968,5.3,11,16,119,7.4,0,197,1087,5.5,11
