Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Nick Chubb,Georgia,SEC,6,92,747,8.1,7,4,32,8.0,1,96,779,8.1,8
2,Matt Breida,Georgia Southern,Sun Belt,13,203,1609,7.9,17,3,6,2.0,0,206,1615,7.8,17
3,Marcus Marshall,Georgia Tech,ACC,11,85,649,7.6,4,3,42,14.0,0,88,691,7.9,4
4,Dalvin Cook,Florida State,ACC,12,229,1691,7.4,19,24,244,10.2,1,253,1935,7.6,20
5,Johnny Jefferson,Baylor,Big 12,11,136,1000,7.4,8,4,17,4.3,0,140,1017,7.3,8
6,Jalin Moore,Appalachian State,Sun Belt,11,99,731,7.4,5,0,0,,0,99,731,7.4,5
7,Josh Adams,Notre Dame,Ind,12,116,838,7.2,6,7,42,6.0,1,123,880,7.2,7
8,Mike Boone,Cincinnati,American,11,104,749,7.2,9,15,108,7.2,0,119,857,7.2,9
9,Anthony Wales,Western Kentucky,CUSA,11,154,1086,7.1,9,27,225,8.3,2,181,1311,7.2,11
10,Boom Williams,Kentucky,SEC,10,121,855,7.1,6,13,74,5.7,0,134,929,6.9,6
11,D'Onta Foreman,Texas,Big 12,10,94,672,7.1,5,5,64,12.8,0,99,736,7.4,5
12,Larry Rose III,New Mexico State,Sun Belt,12,239,1657,6.9,14,30,283,9.4,2,269,1940,7.2,16
13,Shock Linwood,Baylor,Big 12,12,196,1329,6.8,10,9,71,7.9,1,205,1400,6.8,11
14,Wesley Fields,Georgia Southern,Sun Belt,13,100,682,6.8,7,4,105,26.3,1,104,787,7.6,8
15,Elijah Hood,North Carolina,ACC,14,218,1463,6.7,17,13,71,5.5,0,231,1534,6.6,17
16,Joe Mixon,Oklahoma,Big 12,13,113,753,6.7,7,28,356,12.7,4,141,1109,7.9,11
17,Khalfani Muhammad,California,Pac-12,12,87,586,6.7,1,17,189,11.1,2,104,775,7.5,3
18,Marlon Mack,South Florida,American,12,210,1381,6.6,8,16,111,6.9,1,226,1492,6.6,9
19,Ito Smith,Southern Mississippi,CUSA,14,171,1128,6.6,10,49,515,10.5,3,220,1643,7.5,13
20,C.J. Prosise,Notre Dame,Ind,10,157,1029,6.6,11,26,308,11.8,1,183,1337,7.3,12
21,Xavier Johnson,South Alabama,Sun Belt,12,145,956,6.6,7,9,82,9.1,1,154,1038,6.7,8
22,Leonard Fournette,LSU,SEC,12,300,1953,6.5,22,19,253,13.3,1,319,2206,6.9,23
23,Royce Freeman,Oregon,Pac-12,13,283,1836,6.5,17,26,348,13.4,2,309,2184,7.1,19
24,James Butler,Nevada,MWC,13,208,1345,6.5,10,7,44,6.3,0,215,1389,6.5,10
25,Jamauri Bogan,Western Michigan,MAC,13,162,1051,6.5,16,3,15,5.0,0,165,1066,6.5,16
26,Ronald Jones,USC,Pac-12,14,153,987,6.5,8,7,39,5.6,1,160,1026,6.4,9
27,Terry Swanson,Toledo,MAC,11,143,923,6.5,7,13,71,5.5,0,156,994,6.4,7
28,Matt Dayes,North Carolina State,ACC,8,134,865,6.5,12,24,172,7.2,0,158,1037,6.6,12
29,Alvin Kamara,Tennessee,SEC,13,107,698,6.5,7,34,291,8.6,3,141,989,7.0,10
30,Wendell Smallwood,West Virginia,Big 12,13,238,1519,6.4,9,26,160,6.2,0,264,1679,6.4,9
31,Deandre Washington,Texas Tech,Big 12,13,233,1492,6.4,14,41,385,9.4,2,274,1877,6.9,16
