Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Cecil Collins,LSU,SEC,4,72,596,8.3,3,1,11,11.0,0,73,607,8.3,3
2,Ernest Blackwell,Missouri,Big 12,11,73,551,7.5,6,2,8,4.0,0,75,559,7.5,6
3,Kevin McDougal,Colorado State,WAC,12,150,1111,7.4,13,12,100,8.3,1,162,1211,7.5,14
4,Dante Hall,Texas A&M,Big 12,12,134,973,7.3,9,8,97,12.1,0,142,1070,7.5,9
5,James Jackson,Miami (FL),Big East,9,81,595,7.3,6,10,52,5.2,0,91,647,7.1,6
6,Kendall Matthews,Purdue,Big Ten,7,79,560,7.1,2,4,46,11.5,0,83,606,7.3,2
7,Riz Buckman,Ohio,MAC,11,83,569,6.9,3,1,40,40.0,1,84,609,7.3,4
8,Ricky Williams,Texas,Big 12,11,279,1893,6.8,25,20,150,7.5,0,299,2043,6.8,25
9,Ahman Green,Nebraska,Big 12,12,278,1877,6.8,22,14,105,7.5,0,292,1982,6.8,22
10,Bobby Ray Tell,Louisiana Tech,Ind,11,118,800,6.8,7,27,298,11.0,3,145,1098,7.6,10
11,Tavian Banks,Iowa,Big Ten,11,246,1639,6.7,17,18,200,11.1,2,264,1839,7.0,19
12,Darrell Bush,Baylor,Big 12,9,103,693,6.7,4,16,135,8.4,0,119,828,7.0,4
13,Greg Lomax,Akron,MAC,11,127,835,6.6,9,10,167,16.7,0,137,1002,7.3,9
14,Anthony Bookman,Stanford,Pac-10,11,122,800,6.6,7,10,76,7.6,0,132,876,6.6,7
15,Mike Cloud,Boston College,Big East,10,136,886,6.5,8,20,225,11.3,1,156,1111,7.1,9
16,Joel Makovicka,Nebraska,Big 12,12,105,685,6.5,9,5,60,12.0,1,110,745,6.8,10
17,Jamaican Dartez,Tulane,CUSA,6,78,506,6.5,5,6,54,9.0,0,84,560,6.7,5
18,Michael Perry,Rice,WAC,11,162,1034,6.4,10,1,44,44.0,1,163,1078,6.6,11
19,Damon Washington,Colorado State,WAC,12,180,1112,6.2,8,14,73,5.2,0,194,1185,6.1,8
20,Scott Frost,Nebraska,Big 12,12,176,1095,6.2,19,,,,,176,1095,6.2,19
21,Rashaan Shehee,Washington,Pac-10,8,139,862,6.2,8,15,146,9.7,1,154,1008,6.5,9
22,J.R. Redmond,Arizona State,Pac-10,10,142,865,6.1,7,15,186,12.4,1,157,1051,6.7,8
23,Curtis Enis,Penn State,Big Ten,12,228,1363,6.0,19,25,215,8.6,1,253,1578,6.2,20
24,Fred Taylor,Florida,SEC,11,214,1292,6.0,13,24,238,9.9,0,238,1530,6.4,13
25,Edgerrin James,Miami (FL),Big East,10,184,1098,6.0,13,19,250,13.2,1,203,1348,6.6,14
26,Doug Chapman,Marshall,MAC,13,176,1060,6.0,11,17,108,6.4,1,193,1168,6.1,12
27,Jamal Lewis,Tennessee,SEC,12,232,1364,5.9,7,23,266,11.6,2,255,1630,6.4,9
28,De'Mond Parker,Oklahoma,Big 12,12,194,1143,5.9,6,11,140,12.7,0,205,1283,6.3,6
29,Rondell Mealey,LSU,SEC,11,112,664,5.9,7,7,60,8.6,0,119,724,6.1,7
30,Astron Whatley,Kent State,MAC,8,152,876,5.8,4,19,79,4.2,1,171,955,5.6,5
31,Trung Canidate,Arizona,Pac-10,8,138,804,5.8,4,3,24,8.0,0,141,828,5.9,4
32,Amos Zereoue,West Virginia,Big East,11,281,1589,5.7,18,16,131,8.2,0,297,1720,5.8,18
33,Toney Converse,Tulane,CUSA,11,137,777,5.7,2,20,132,6.6,1,157,909,5.8,3
34,Llow Turner,Marshall,MAC,13,123,707,5.7,3,8,139,17.4,1,131,846,6.5,4
35,Derek Homer,Kentucky,SEC,11,88,502,5.7,1,31,364,11.7,2,119,866,7.3,3
36,Chris McCoy,Navy,Ind,11,246,1370,5.6,20,,,,,246,1370,5.6,20
37,Kevin Faulk,LSU,SEC,9,205,1144,5.6,15,16,93,5.8,0,221,1237,5.6,15
38,Tremayne Stephens,North Carolina State,ACC,11,204,1142,5.6,10,17,147,8.6,0,221,1289,5.8,10
39,Anthony White,Kentucky,SEC,11,129,723,5.6,4,59,453,7.7,4,188,1176,6.3,8
40,Travis Minor,Florida State,ACC,11,112,623,5.6,9,27,207,7.7,2,139,830,6.0,11
41,Michael Wiley,Ohio State,Big Ten,13,105,588,5.6,6,9,83,9.2,0,114,671,5.9,6
42,D'Andre Hardeman,Texas A&M,Big 12,12,91,508,5.6,7,12,93,7.8,2,103,601,5.8,9
43,Bobby Williams,Army,Ind,10,85,475,5.6,2,2,48,24.0,0,87,523,6.0,2
44,Ron Dayne,Wisconsin,Big Ten,11,263,1457,5.5,15,10,117,11.7,0,273,1574,5.8,15
45,Robert Edwards,Georgia,SEC,10,165,908,5.5,12,23,214,9.3,1,188,1122,6.0,13
46,Benji Wood,Rice,WAC,11,172,936,5.4,16,1,2,2.0,0,173,938,5.4,16
47,Steve Hookfin,Ohio,MAC,11,159,864,5.4,9,2,8,4.0,0,161,872,5.4,9
48,Michael Martin,Arizona State,Pac-10,11,161,862,5.4,5,6,50,8.3,0,167,912,5.5,5
49,Sirr Parker,Texas A&M,Big 12,12,149,800,5.4,10,18,194,10.8,0,167,994,6.0,10
50,Marc Renaud,Michigan State,Big Ten,12,139,745,5.4,4,18,150,8.3,0,157,895,5.7,4
51,Jimmy Williams,Vanderbilt,SEC,11,98,527,5.4,2,23,189,8.2,2,121,716,5.9,4
52,Carlos King,North Carolina State,ACC,11,70,380,5.4,1,20,207,10.4,1,90,587,6.5,2
53,Demario Brown,Utah State,Big West,8,184,971,5.3,10,26,304,11.7,1,210,1275,6.1,11
54,Edwin Watson,Purdue,Big Ten,12,175,927,5.3,11,31,411,13.3,2,206,1338,6.5,13
55,Jamaal Fobbs,Oklahoma State,Big 12,11,161,846,5.3,3,12,139,11.6,3,173,985,5.7,6
56,Chris Fuamatu-Ma'afala,Utah,WAC,11,154,814,5.3,4,4,39,9.8,1,158,853,5.4,5
57,Kelsey Adams,SMU,WAC,9,125,660,5.3,9,2,2,1.0,1,127,662,5.2,10
58,Troy Hambrick,South Carolina,SEC,11,115,604,5.3,5,18,143,7.9,0,133,747,5.6,5
59,Ja'Quay Wilburn,North Texas,Big West,10,112,594,5.3,3,8,52,6.5,0,120,646,5.4,3
60,Rob Lalumondier,Army,Ind,11,72,379,5.3,4,2,16,8.0,0,74,395,5.3,4
61,Travis Prentice,Miami (OH),MAC,11,296,1549,5.2,25,23,138,6.0,0,319,1687,5.3,25
62,Sedrick Irvin,Michigan State,Big Ten,12,246,1270,5.2,9,40,346,8.7,4,286,1616,5.7,13
63,Charlie Higgins,Tulsa,WAC,11,202,1043,5.2,11,27,265,9.8,1,229,1308,5.7,12
64,Denvis Manns,New Mexico State,Big West,11,194,1017,5.2,5,5,26,5.2,0,199,1043,5.2,5
65,John Avery,Ole Miss,SEC,9,166,862,5.2,7,19,113,5.9,0,185,975,5.3,7
66,Jemal Singleton,Air Force,WAC,12,83,429,5.2,1,5,46,9.2,0,88,475,5.4,1
67,LeAndre Moore,Ball State,MAC,11,173,884,5.1,7,8,61,7.6,0,181,945,5.2,7
68,Dwayne Schulters,Pitt,Big East,10,169,861,5.1,3,25,208,8.3,0,194,1069,5.5,3
69,Jaime Kimbrough,Fresno State,WAC,12,95,484,5.1,2,36,368,10.2,5,131,852,6.5,7
70,Lay Marshall,Duke,ACC,11,70,359,5.1,3,4,9,2.3,0,74,368,5.0,3
71,Saladin McCullough,Oregon,Pac-10,12,267,1343,5.0,9,18,160,8.9,2,285,1503,5.3,11
72,Skip Hicks,UCLA,Pac-10,12,258,1282,5.0,22,22,389,17.7,4,280,1671,6.0,26
73,Dwayne Harris,Toledo,MAC,10,254,1278,5.0,10,16,229,14.3,2,270,1507,5.6,12
74,Kyle McIntosh,Syracuse,Big East,12,181,898,5.0,6,5,60,12.0,1,186,958,5.2,7
75,Tim Cannada,Navy,Ind,11,160,792,5.0,9,1,1,1.0,0,161,793,4.9,9
76,Melvin Blue,Utah State,Big West,10,149,741,5.0,9,12,73,6.1,0,161,814,5.1,9
77,Elmarko Jackson,Temple,Big East,11,129,645,5.0,7,13,72,5.5,0,142,717,5.0,7
78,Coury Hankins,UNLV,WAC,11,127,641,5.0,2,9,72,8.0,0,136,713,5.2,2
79,James Wofford,UNLV,WAC,8,124,624,5.0,4,13,158,12.2,1,137,782,5.7,5
80,Rob Thein,Iowa,Big Ten,11,75,377,5.0,3,6,77,12.8,3,81,454,5.6,6
