Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Reuben Droughns,Oregon,Pac-10,5,112,824,7.4,9,3,44,14.7,2,115,868,7.5,11
2,Trung Canidate,Arizona,Pac-10,11,167,1220,7.3,10,9,191,21.2,0,176,1411,8.0,10
3,Basil Mitchell,TCU,WAC,11,166,1111,6.7,6,10,51,5.1,0,176,1162,6.6,6
4,James Jackson,Miami (FL),Big East,11,82,545,6.6,5,5,30,6.0,0,87,575,6.6,5
5,Eric McCoo,Penn State,Big Ten,11,127,822,6.5,3,6,35,5.8,1,133,857,6.4,4
6,Joe Montgomery,Ohio State,Big Ten,12,118,766,6.5,7,2,0,0.0,0,120,766,6.4,7
7,Antwoine Womack,Virginia,ACC,11,112,708,6.3,4,2,17,8.5,0,114,725,6.4,4
8,Michael Wiley,Ohio State,Big Ten,12,198,1235,6.2,10,27,200,7.4,1,225,1435,6.4,11
9,Bobby Williams,Army,CUSA,11,127,783,6.2,6,5,121,24.2,1,132,904,6.8,7
10,Teofilo Riley,Memphis,CUSA,11,78,485,6.2,6,2,25,12.5,0,80,510,6.4,6
11,Edward Mack,UCF,Ind,11,76,471,6.2,3,8,65,8.1,0,84,536,6.4,3
12,Stacey Mack,Temple,Big East,11,125,749,6.0,4,7,105,15.0,2,132,854,6.5,6
13,Ricky Williams,Texas,Big 12,11,361,2124,5.9,27,24,262,10.9,1,385,2386,6.2,28
14,Edgerrin James,Miami (FL),Big East,11,242,1416,5.9,17,17,255,15.0,2,259,1671,6.5,19
15,James Johnson,Mississippi State,SEC,12,236,1383,5.9,12,7,98,14.0,0,243,1481,6.1,12
16,Ja'Quay Wilburn,North Texas,Big West,11,128,754,5.9,3,3,29,9.7,1,131,783,6.0,4
17,Chrys Chukwuma,Arkansas,SEC,10,149,870,5.8,8,2,9,4.5,0,151,879,5.8,8
18,Lucious Foster,UAB,Ind,10,100,568,5.7,3,22,136,6.2,0,122,704,5.8,3
19,Qualario Brown,Air Force,WAC,12,91,521,5.7,2,16,229,14.3,4,107,750,7.0,6
20,Charlie Higgins,Tulsa,WAC,8,79,447,5.7,2,7,68,9.7,0,86,515,6.0,2
21,Mike Cloud,Boston College,Big East,11,308,1726,5.6,14,24,198,8.3,0,332,1924,5.8,14
22,Devin West,Missouri,Big 12,11,283,1578,5.6,17,8,43,5.4,1,291,1621,5.6,18
23,Kevin Faulk,LSU,SEC,11,229,1279,5.6,12,22,287,13.0,3,251,1566,6.2,15
24,Toney Converse,Tulane,CUSA,12,174,974,5.6,8,17,156,9.2,1,191,1130,5.9,9
25,Correll Buckhalter,Nebraska,Big 12,12,142,799,5.6,8,13,88,6.8,0,155,887,5.7,8
26,Terry Jackson,Florida,SEC,8,105,587,5.6,3,18,159,8.8,0,123,746,6.1,3
27,Ty Amey,Army,CUSA,7,74,415,5.6,6,1,13,13.0,0,75,428,5.7,6
28,Frankie Franklin,Indiana,Big Ten,9,69,386,5.6,2,1,26,26.0,0,70,412,5.9,2
29,Denvis Manns,New Mexico State,Big West,11,269,1469,5.5,6,9,106,11.8,0,278,1575,5.7,6
30,Thomas Jones,Virginia,ACC,11,238,1303,5.5,13,28,179,6.4,2,266,1482,5.6,15
31,Jaime Kimbrough,Fresno State,WAC,11,213,1168,5.5,10,36,391,10.9,0,249,1559,6.3,10
32,Travis Henry,Tennessee,SEC,11,176,970,5.5,7,4,31,7.8,0,180,1001,5.6,7
33,Kelsey Adams,SMU,WAC,12,147,802,5.5,4,11,76,6.9,0,158,878,5.6,4
34,Chester Taylor,Toledo,MAC,10,103,570,5.5,5,10,136,13.6,1,113,706,6.2,6
35,Darnell Fields,Western Michigan,MAC,11,189,1016,5.4,12,5,44,8.8,0,194,1060,5.5,12
36,Lamont Jordan,Maryland,ACC,10,169,906,5.4,6,14,87,6.2,0,183,993,5.4,6
37,Kyle McIntosh,Syracuse,Big East,11,137,742,5.4,4,4,15,3.8,0,141,757,5.4,4
38,Deonce Whitaker,San Jose State,WAC,12,133,719,5.4,7,4,37,9.3,0,137,756,5.5,7
39,Bobby Ray Tell,Louisiana Tech,Ind,12,101,549,5.4,6,8,113,14.1,0,109,662,6.1,6
40,Joel Thomas,Idaho,Big West,11,231,1229,5.3,16,18,180,10.0,0,249,1409,5.7,16
41,De'Mond Parker,Oklahoma,Big 12,11,204,1077,5.3,5,14,176,12.6,1,218,1253,5.7,6
42,Eric Hickson,Kansas State,Big 12,12,169,902,5.3,9,6,93,15.5,1,175,995,5.7,10
43,J.R. Redmond,Arizona State,Pac-10,10,166,883,5.3,11,22,194,8.8,0,188,1077,5.7,11
44,Demarco McCleskey,Cincinnati,CUSA,9,162,861,5.3,11,7,34,4.9,0,169,895,5.3,11
45,Greg Lomax,Akron,MAC,11,161,861,5.3,13,9,155,17.2,0,170,1016,6.0,13
46,Ray Robinson,North Carolina State,ACC,11,154,822,5.3,10,12,67,5.6,0,166,889,5.4,10
47,Shyrone Stith,Virginia Tech,Big East,11,133,699,5.3,3,5,42,8.4,0,138,741,5.4,3
48,Deshaun Foster,UCLA,Pac-10,12,126,673,5.3,10,16,163,10.2,2,142,836,5.9,12
49,Mitch Bowles,Kansas,Big 12,10,83,438,5.3,4,10,223,22.3,1,93,661,7.1,5
50,Ricky Williams,Texas Tech,Big 12,11,306,1582,5.2,13,18,176,9.8,0,324,1758,5.4,13
51,Ron Dayne,Wisconsin,Big Ten,11,295,1525,5.2,15,6,45,7.5,0,301,1570,5.2,15
52,Amos Zereoue,West Virginia,Big East,11,283,1462,5.2,13,23,184,8.0,1,306,1646,5.4,14
53,Ronney Jenkins,Brigham Young,WAC,13,252,1307,5.2,13,34,349,10.3,2,286,1656,5.8,15
54,Derrick Nix,Southern Mississippi,CUSA,11,226,1180,5.2,9,10,103,10.3,1,236,1283,5.4,10
55,Leroy Collins,Louisville,CUSA,11,218,1134,5.2,19,35,326,9.3,0,253,1460,5.8,19
56,Jacki Crooks,Rutgers,Big East,11,159,821,5.2,3,21,125,6.0,1,180,946,5.3,4
57,Anthony Thomas,Michigan,Big Ten,11,146,761,5.2,12,15,140,9.3,0,161,901,5.6,12
58,Derek Homer,Kentucky,SEC,11,137,716,5.2,7,41,239,5.8,0,178,955,5.4,7
59,Kevin McDougal,Colorado State,WAC,7,105,547,5.2,4,8,52,6.5,0,113,599,5.3,4
60,Cordell Mitchell,Penn State,Big Ten,7,99,511,5.2,2,5,31,6.2,0,104,542,5.2,2
61,Ronald Curry,North Carolina,ACC,11,80,419,5.2,2,,,,,80,419,5.2,2
62,Eron Hurley,Boise State,Big West,11,223,1142,5.1,11,14,95,6.8,0,237,1237,5.2,11
63,Deuce McAllister,Ole Miss,SEC,11,212,1082,5.1,7,18,154,8.6,0,230,1236,5.4,7
64,Gerard Arnold,Memphis,CUSA,11,208,1059,5.1,6,8,30,3.8,1,216,1089,5.0,7
65,Leonard Henry,East Carolina,CUSA,10,125,634,5.1,4,2,18,9.0,0,127,652,5.1,4
66,Sid Hall,Ohio,MAC,11,87,442,5.1,1,,,,,87,442,5.1,1
67,Robert Cooper,Cincinnati,CUSA,11,82,419,5.1,2,4,19,4.8,0,86,438,5.1,2
68,Jonas Lewis,San Diego State,WAC,9,181,897,5.0,7,7,82,11.7,0,188,979,5.2,7
69,Larry Ned,San Diego State,WAC,9,153,762,5.0,4,4,21,5.3,0,157,783,5.0,4
70,LaDainian Tomlinson,TCU,WAC,11,144,717,5.0,8,6,34,5.7,0,150,751,5.0,8
71,Jamaican Dartez,Tulane,CUSA,11,135,679,5.0,7,15,209,13.9,3,150,888,5.9,10
72,Travis Prentice,Miami (OH),MAC,11,365,1787,4.9,19,11,107,9.7,1,376,1894,5.0,20
73,Kevin Brown,Washington State,Pac-10,11,215,1046,4.9,4,10,74,7.4,0,225,1120,5.0,4
74,Chad Morton,USC,Pac-10,11,199,985,4.9,6,18,136,7.6,1,217,1121,5.2,7
75,Troy Hambrick,South Carolina,SEC,10,144,701,4.9,4,22,166,7.5,0,166,867,5.2,4
76,Olandis Gary,Georgia,SEC,11,143,698,4.9,10,10,117,11.7,0,153,815,5.3,10
77,Michael Perry,Rice,WAC,11,106,524,4.9,3,6,113,18.8,1,112,637,5.7,4
78,Junior Mahe,Brigham Young,WAC,13,98,481,4.9,6,16,181,11.3,1,114,662,5.8,7
79,Ja'Mar Toombs,Texas A&M,Big 12,13,86,422,4.9,3,6,54,9.0,0,92,476,5.2,3
80,Joey Dozier,New Mexico State,Big West,11,81,396,4.9,4,17,167,9.8,1,98,563,5.7,5
81,Raschi Culler,Akron,MAC,11,79,385,4.9,4,2,0,0.0,0,81,385,4.8,4
82,Steve Holmes,Bowling Green State,MAC,9,79,384,4.9,3,1,7,7.0,0,80,391,4.9,3
83,Matt Kalapinski,Maryland,ACC,11,75,370,4.9,3,4,97,24.3,1,79,467,5.9,4
84,Steve Hookfin,Ohio,MAC,11,273,1315,4.8,11,,,,,273,1315,4.8,11
85,Mike Anderson,Utah,WAC,11,244,1173,4.8,12,2,11,5.5,1,246,1184,4.8,13
86,Irv Dingle,Navy,Ind,11,138,668,4.8,6,2,15,7.5,0,140,683,4.9,6
87,Rodney Williams,Vanderbilt,SEC,8,126,608,4.8,3,4,5,1.3,0,130,613,4.7,3
88,Jeff Chaney,Florida State,ACC,12,120,573,4.8,5,1,3,3.0,0,121,576,4.8,5
89,Robert Sanford,Western Michigan,MAC,10,108,523,4.8,4,15,78,5.2,0,123,601,4.9,4
90,Joe Burns,Georgia Tech,ACC,11,98,474,4.8,5,13,94,7.2,0,111,568,5.1,5
91,Eric Crouch,Nebraska,Big 12,8,96,459,4.8,5,,,,,96,459,4.8,5
92,Autry Denson,Notre Dame,Ind,11,251,1176,4.7,15,6,81,13.5,0,257,1257,4.9,15
93,Rodnick Phillips,SMU,WAC,12,239,1115,4.7,9,14,111,7.9,1,253,1226,4.8,10
94,Ketric Sanford,Houston,CUSA,11,222,1054,4.7,6,22,171,7.8,0,244,1225,5.0,6
95,David Winbush,Kansas,Big 12,11,209,974,4.7,9,8,75,9.4,0,217,1049,4.8,9
96,James Wofford,UNLV,WAC,11,173,816,4.7,5,4,33,8.3,0,177,849,4.8,5
97,Charles Tharp,Hawaii,WAC,12,146,679,4.7,2,19,153,8.1,1,165,832,5.0,3
98,Jamie Wilson,East Carolina,CUSA,11,138,647,4.7,4,32,239,7.5,2,170,886,5.2,6
99,Rocky Harvey,Illinois,Big Ten,11,134,634,4.7,6,10,24,2.4,1,144,658,4.6,7
100,Marlon Barnes,Colorado,Big 12,6,121,572,4.7,3,1,16,16.0,0,122,588,4.8,3
101,Spanky Gilliam,Air Force,WAC,12,112,527,4.7,5,,,,,112,527,4.7,5
102,Joel Makovicka,Nebraska,Big 12,12,97,458,4.7,2,4,67,16.8,0,101,525,5.2,2
103,Dawayne Woods,Southern Mississippi,CUSA,11,91,426,4.7,7,2,14,7.0,0,93,440,4.7,7
104,Eugene McCaslin,Florida,SEC,8,69,321,4.7,1,4,29,7.3,0,73,350,4.8,1
105,Doug Chapman,Marshall,MAC,13,278,1265,4.6,17,26,279,10.7,3,304,1544,5.1,20
