Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Ki-Jana Carter,Penn State,Big Ten,11,198,1539,7.8,23,14,123,8.8,0,212,1662,7.8,23
2,Leonice Brown,Colorado State,WAC,11,73,510,7.0,1,9,63,7.0,1,82,573,7.0,2
3,Rashaan Salaam,Colorado,Big 8,11,298,2055,6.9,24,24,294,12.3,0,322,2349,7.3,24
4,Warrick Dunn,Florida State,ACC,11,152,1026,6.8,8,34,308,9.1,1,186,1334,7.2,9
5,Brian Pruitt,Central Michigan,MAC,11,292,1890,6.5,20,6,74,12.3,2,298,1964,6.6,22
6,Andre Richardson,Oklahoma State,Big 8,11,121,774,6.4,2,12,97,8.1,0,133,871,6.5,2
7,L.T. Levine,Kansas,Big 8,11,128,803,6.3,11,6,31,5.2,0,134,834,6.2,11
8,Tremayne Stephens,North Carolina State,ACC,9,125,791,6.3,3,6,71,11.8,0,131,862,6.6,3
9,Jake Campbell,Air Force,WAC,12,110,689,6.3,10,12,295,24.6,3,122,984,8.1,13
10,Tshimanga Biakabutuka,Michigan,Big Ten,12,126,783,6.2,7,8,73,9.1,0,134,856,6.4,7
11,Howard McGee,Southern Mississippi,Ind,11,84,510,6.1,4,4,105,26.3,1,88,615,7.0,5
12,Lawrence Phillips,Nebraska,Big 8,12,286,1722,6.0,16,22,172,7.8,0,308,1894,6.1,16
13,Terrell Fletcher,Wisconsin,Big Ten,12,244,1476,6.0,12,23,180,7.8,1,267,1656,6.2,13
14,James Stewart,Tennessee,SEC,11,170,1028,6.0,11,17,147,8.6,3,187,1175,6.3,14
15,J.J. Young,Oregon State,Pac-10,11,148,891,6.0,10,2,71,35.5,0,150,962,6.4,10
16,Oscar Malone,Arkansas,SEC,9,99,597,6.0,3,16,106,6.6,1,115,703,6.1,4
17,Mike Alstott,Purdue,Big Ten,11,202,1188,5.9,14,23,298,13.0,0,225,1486,6.6,14
18,Casey McBeth,Toledo,MAC,11,180,1053,5.9,12,30,325,10.8,2,210,1378,6.6,14
19,Sedrick Shaw,Iowa,Big Ten,11,170,1002,5.9,7,7,100,14.3,1,177,1102,6.2,8
20,Randy Kinder,Notre Dame,Ind,11,119,702,5.9,4,1,12,12.0,0,120,714,6.0,4
21,Sean Allgood,Northern Illinois,Big West,11,94,557,5.9,6,,,,,94,557,5.9,6
22,Ray Zellars,Notre Dame,Ind,11,79,466,5.9,3,12,114,9.5,2,91,580,6.4,5
23,Sharmon Shah,UCLA,Pac-10,11,210,1227,5.8,4,18,118,6.6,0,228,1345,5.9,4
24,Wasean Tait,Toledo,MAC,10,158,917,5.8,12,20,197,9.9,1,178,1114,6.3,13
25,Charlie Brown,Utah,WAC,11,144,839,5.8,10,15,211,14.1,3,159,1050,6.6,13
26,Eric Lewis,Vanderbilt,SEC,11,86,499,5.8,2,8,64,8.0,0,94,563,6.0,2
27,Andre Davis,TCU,SWC,11,260,1494,5.7,7,47,522,11.1,3,307,2016,6.6,10
28,Stephen Davis,Auburn,SEC,11,221,1263,5.7,13,12,92,7.7,0,233,1355,5.8,13
29,Marcellus Chrishon,Nevada,Big West,9,189,1076,5.7,7,15,105,7.0,1,204,1181,5.8,8
30,Kevin Bouie,Mississippi State,SEC,11,157,896,5.7,6,4,24,6.0,0,161,920,5.7,6
31,Eric Young,New Mexico,WAC,11,128,732,5.7,7,20,157,7.9,2,148,889,6.0,9
32,Malcolm Thomas,Syracuse,Big East,11,113,642,5.7,3,3,51,17.0,1,116,693,6.0,4
