Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Larry Johnson,Penn State,Big Ten,13,271,2087,7.7,20,41,349,8.5,3,312,2436,7.8,23
2,Joshua Cribbs,Kent State,MAC,10,137,1057,7.7,10,,,,,137,1057,7.7,10
3,Dominique Dorsey,UNLV,MWC,12,78,568,7.3,3,1,7,7.0,0,79,575,7.3,3
4,Larry Croom,UNLV,MWC,12,84,605,7.2,4,20,267,13.4,2,104,872,8.4,6
5,Shaud Williams,Alabama,SEC,13,130,921,7.1,5,21,228,10.9,0,151,1149,7.6,5
6,Dewhitt Betterson,Troy,Ind,11,101,711,7.0,5,1,4,4.0,0,102,715,7.0,5
7,Tony Hollings,Georgia Tech,ACC,4,92,633,6.9,11,3,36,12.0,0,95,669,7.0,11
8,Quentin Griffin,Oklahoma,Big 12,14,287,1884,6.6,15,35,264,7.5,3,322,2148,6.7,18
9,Lonta Hobbs,TCU,CUSA,8,157,1029,6.6,12,10,42,4.2,1,167,1071,6.4,13
10,Joe Alls,Bowling Green State,MAC,10,122,801,6.6,4,13,125,9.6,1,135,926,6.9,5
11,DeAngelo Williams,Memphis,CUSA,10,103,684,6.6,5,5,51,10.2,0,108,735,6.8,5
12,Kris Briggs,SMU,WAC,10,84,547,6.5,8,1,-4,-4.0,0,85,543,6.4,8
13,Quincy Wilson,West Virginia,Big East,13,140,901,6.4,6,8,36,4.5,0,148,937,6.3,6
14,Tatum Bell,Oklahoma State,Big 12,11,175,1096,6.3,11,4,59,14.8,2,179,1155,6.5,13
15,Willis McGahee,Miami (FL),Big East,13,282,1753,6.2,28,27,355,13.1,0,309,2108,6.8,28
16,Darren Sproles,Kansas State,Big 12,13,237,1465,6.2,17,9,99,11.0,0,246,1564,6.4,17
17,Walter Reyes,Syracuse,Big East,12,182,1135,6.2,17,7,62,8.9,0,189,1197,6.3,17
18,Chris Brown,Colorado,Big 12,12,303,1841,6.1,19,5,40,8.0,0,308,1881,6.1,19
19,Joe Smith,Louisiana Tech,WAC,12,208,1216,5.8,16,47,352,7.5,0,255,1568,6.1,16
20,Ronnie Brown,Auburn,SEC,12,175,1008,5.8,13,9,166,18.4,1,184,1174,6.4,14
21,Greg Jones,Florida State,ACC,10,161,938,5.8,8,10,74,7.4,0,171,1012,5.9,8
22,Astin Martin,Toledo,MAC,14,135,785,5.8,6,13,134,10.3,0,148,919,6.2,6
23,Jermelle Lewis,Iowa,Big Ten,13,123,709,5.8,8,4,48,12.0,1,127,757,6.0,9
24,Reshard Lee,Middle Tennessee State,Sun Belt,11,110,642,5.8,6,12,78,6.5,0,122,720,5.9,6
25,David Mikell,Boise State,WAC,11,105,606,5.8,8,16,193,12.1,1,121,799,6.6,9
26,Vincent Hawkins,Rice,WAC,11,69,397,5.8,2,7,77,11.0,0,76,474,6.2,2
27,Michael Turner,Northern Illinois,MAC,12,338,1915,5.7,19,10,100,10.0,0,348,2015,5.8,19
28,Fred Russell,Iowa,Big Ten,11,220,1264,5.7,9,1,11,11.0,0,221,1275,5.8,9
29,Terry Caulley,Connecticut,Ind,10,220,1247,5.7,15,25,205,8.2,1,245,1452,5.9,16
30,Fred Talley,Arkansas,SEC,14,197,1119,5.7,2,4,-2,-0.5,0,201,1117,5.6,2
31,Nick Maddox,Florida State,ACC,12,106,602,5.7,4,23,197,8.6,1,129,799,6.2,5
32,P.J. Pope,Bowling Green State,MAC,12,101,577,5.7,4,8,52,6.5,1,109,629,5.8,5
33,Jammal Lord,Nebraska,Big 12,14,251,1412,5.6,8,,,,,251,1412,5.6,8
34,Maurice Clarett,Ohio State,Big Ten,11,222,1237,5.6,16,12,104,8.7,2,234,1341,5.7,18
35,Jason Wright,Northwestern,Big Ten,12,219,1234,5.6,12,27,266,9.9,0,246,1500,6.1,12
36,Bobby Purify,Colorado,Big 12,13,132,739,5.6,3,21,224,10.7,1,153,963,6.3,4
37,William Bratton,Toledo,MAC,8,114,639,5.6,10,4,38,9.5,0,118,677,5.7,10
38,Leotis Palmer,Air Force,MWC,13,99,559,5.6,4,5,44,8.8,0,104,603,5.8,4
39,Seymore Shaw,Oklahoma State,Big 12,10,89,498,5.6,5,,,,,89,498,5.6,5
40,Brock Forsey,Boise State,WAC,13,295,1611,5.5,26,36,282,7.8,6,331,1893,5.7,32
41,Derrick Knight,Boston College,Big East,13,259,1432,5.5,12,37,372,10.1,2,296,1804,6.1,14
42,Danny Smith,Arkansas State,Sun Belt,13,254,1390,5.5,14,11,121,11.0,0,265,1511,5.7,14
43,Terry Jackson II,Minnesota,Big Ten,13,239,1317,5.5,6,7,30,4.3,1,246,1347,5.5,7
44,Derrick Nix,Southern Mississippi,CUSA,11,219,1194,5.5,11,13,138,10.6,0,232,1332,5.7,11
45,Chris Downs,Maryland,ACC,14,208,1154,5.5,13,18,165,9.2,2,226,1319,5.8,15
46,Dwone Hicks,Middle Tennessee State,Sun Belt,10,184,1011,5.5,11,15,250,16.7,0,199,1261,6.3,11
47,Jermaine Green,Washington State,Pac-10,13,150,829,5.5,9,14,127,9.1,1,164,956,5.8,10
48,Bradlee Van Pelt,Colorado State,MWC,14,150,819,5.5,11,,,,,150,819,5.5,11
49,Kevin Jones,Virginia Tech,Big East,13,160,871,5.4,9,4,21,5.3,0,164,892,5.4,9
50,Ran Carthon,Florida,SEC,13,105,563,5.4,5,20,137,6.9,0,125,700,5.6,5
51,Steven Jackson,Oregon State,Pac-10,13,319,1690,5.3,15,17,165,9.7,2,336,1855,5.5,17
52,Robbie Mixon,Central Michigan,MAC,12,255,1361,5.3,9,26,253,9.7,1,281,1614,5.7,10
53,Brad Smith,Missouri,Big 12,12,193,1029,5.3,7,2,36,18.0,0,195,1065,5.5,7
54,Eric Richardson,Tulsa,WAC,12,182,957,5.3,6,34,249,7.3,0,216,1206,5.6,6
55,Blair Lewis,Idaho,Sun Belt,10,176,930,5.3,11,22,203,9.2,1,198,1133,5.7,12
56,Joe Haro,UNLV,MWC,12,159,841,5.3,5,11,116,10.5,0,170,957,5.6,5
57,Carnell Williams,Auburn,SEC,7,141,745,5.3,10,6,30,5.0,0,147,775,5.3,10
58,Brandon Jones,Purdue,Big Ten,13,127,668,5.3,3,8,130,16.3,2,135,798,5.9,5
59,James Samuel,Utah State,Ind,10,120,633,5.3,7,18,130,7.2,0,138,763,5.5,7
60,Eddie Beccles,Kent State,MAC,10,114,602,5.3,3,9,34,3.8,1,123,636,5.2,4
61,Eric Higgins,New Mexico State,Sun Belt,8,94,499,5.3,3,5,10,2.0,0,99,509,5.1,3
62,Anthony Davis,Wisconsin,Big Ten,13,300,1555,5.2,13,6,48,8.0,0,306,1603,5.2,13
63,Lee Suggs,Virginia Tech,Big East,14,257,1325,5.2,22,11,126,11.5,2,268,1451,5.4,24
64,Dahrran Diedrick,Nebraska,Big 12,14,179,931,5.2,6,4,19,4.8,0,183,950,5.2,6
65,Taurean Henderson,Texas Tech,Big 12,14,153,793,5.2,7,98,633,6.5,6,251,1426,5.7,13
66,B.J. Askew,Michigan,Big Ten,13,110,568,5.2,6,36,280,7.8,1,146,848,5.8,7
67,Justin Griffith,Mississippi State,SEC,11,91,471,5.2,2,19,199,10.5,0,110,670,6.1,2
68,Avon Cobourne,West Virginia,Big East,13,335,1710,5.1,17,15,146,9.7,0,350,1856,5.3,17
69,Rodney Davis,Fresno State,WAC,14,313,1586,5.1,9,19,162,8.5,0,332,1748,5.3,9
70,Musa Smith,Georgia,SEC,13,260,1324,5.1,8,15,107,7.1,0,275,1431,5.2,8
71,Bryant Jacobs,Louisiana-Monroe,Sun Belt,12,205,1043,5.1,7,10,32,3.2,0,215,1075,5.0,7
72,Alex Haynes,UCF,MAC,11,204,1038,5.1,8,24,132,5.5,1,228,1170,5.1,9
73,Ell Roberson,Kansas State,Big 12,12,202,1032,5.1,16,,,,,202,1032,5.1,16
74,Marcus Whalen,Brigham Young,MWC,11,181,918,5.1,6,27,203,7.5,0,208,1121,5.4,6
75,Cedric Houston,Tennessee,SEC,12,153,779,5.1,6,9,55,6.1,0,162,834,5.1,6
76,David Horne,Nebraska,Big 12,9,127,651,5.1,7,4,7,1.8,0,131,658,5.0,7
77,Josh Holden,Army,CUSA,12,97,490,5.1,8,18,137,7.6,0,115,627,5.5,8
78,Greg Henderson,Rice,WAC,10,95,482,5.1,4,,,,,95,482,5.1,4
79,Artose Pinner,Kentucky,SEC,12,283,1414,5.0,13,37,264,7.1,2,320,1678,5.2,15
80,Thomas Tapeh,Minnesota,Big Ten,13,181,906,5.0,8,7,93,13.3,2,188,999,5.3,10
81,Kwane Doster,Vanderbilt,SEC,11,160,798,5.0,3,12,109,9.1,0,172,907,5.3,3
82,Lamar Ferguson,San Jose State,WAC,12,128,634,5.0,8,9,94,10.4,0,137,728,5.3,8
83,Robbie Beck,Rice,WAC,11,120,601,5.0,8,1,22,22.0,0,121,623,5.1,8
84,Dwayne Smith,Wisconsin,Big Ten,13,110,552,5.0,6,4,27,6.8,0,114,579,5.1,6
