,Round,Pick,Team,Player,Position,Age,School,Year_x,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,PK1,G,Completions,Attempts,CompletionPCT,PassYds,YardsPerAttempt,AdjustedYardsPerAttempt,PassingTDs,Int,EfficiencyRtg,RushAtt,RushYds,RushAvg,RushTD,Year_y,AdjustedYds,YPG,Last_Year,Conf,year_drafted,response
230,1,12,MIN,Christian Ponder,QB,23.0,Florida St.,2011,229.0,4.63,34.0,6.85,4.09,74.0,christian ponder+2011,christian ponder+Florida State,25.0,361.0,617.0,117.2,4050.0,6.564019448946516,6.123824959481361,34.0,21.0,250.7,219.0,603.0,5.4,8.0,4018.0,3778.3999999999996,162.0,2010.0,ACC,2011,3.0
231,2,35,CIN,Andy Dalton,QB,23.0,TCU,2011,215.0,4.83,29.5,6.93,4.27,74.0,andy dalton+2011,andy dalton+TCU,50.0,812.0,1317.0,246.8,10314.0,7.831435079726652,7.869172361427486,71.0,30.0,566.0,413.0,1611.0,15.700000000000001,22.0,8034.0,10363.699999999999,206.28,2010.0,MWC,2011,1.0
232,2,36,SFO,Colin Kaepernick,QB,23.0,Nevada,2011,233.0,4.53,32.5,6.85,4.18,77.0,colin kaepernick+2011,colin kaepernick+Nevada,51.0,740.0,1271.0,231.90000000000003,10098.0,7.94492525570417,8.392446892210858,82.0,24.0,572.5,600.0,4112.0,26.9,59.0,8034.0,10666.800000000001,198.0,2010.0,WAC,2011,
233,3,74,NWE,Ryan Mallett,QB,23.0,Arkansas,2011,253.0,5.37,24.0,,,79.0,ryan mallett+2011,ryan mallett+Arkansas,26.0,491.0,814.0,120.5,7493.0,9.205159705159705,9.7,62.0,19.0,316.1,102.0,-103.0,-2.2,6.0,4019.0,7895.799999999999,288.1923076923077,2010.0,SEC,2011,
234,5,135,KAN,Ricky Stanzi,QB,24.0,Iowa,2011,223.0,4.87,32.5,6.95,4.43,76.0,ricky stanzi+2011,ricky stanzi+Iowa,37.0,542.0,903.0,179.5,7377.0,8.169435215946844,7.905869324473976,56.0,30.0,424.0,159.0,-17.0,-0.29999999999999993,2.0,6027.0,7139.0,199.3783783783784,2010.0,Big Ten,2011,
235,5,152,HOU,T.J. Yates,QB,24.0,North Carolina,2011,219.0,5.06,29.5,6.96,4.12,75.0,t.j. yates+2011,t.j. yates+North Carolina,38.0,714.0,1142.0,186.8,8209.0,7.188266199649737,6.333187390542907,47.0,42.0,384.5,196.0,-266.0,-4.2,6.0,6026.0,7232.5,216.02631578947367,2010.0,ACC,2011,3.0
236,5,160,CHI,Nathan Enderle,QB,23.0,Idaho,2011,240.0,5.12,25.5,7.13,4.46,76.0,nathan enderle+2011,nathan enderle+Idaho,46.0,779.0,1427.0,216.8,10084.0,7.066573230553609,6.1915206727400145,74.0,60.0,489.6,228.0,-349.0,-6.299999999999999,3.0,8034.0,8835.300000000001,219.2173913043478,2010.0,WAC,2011,
237,6,180,BAL,Tyrod Taylor,QB,22.0,Virginia Tech,2011,217.0,4.47,37.5,6.78,4.09,73.0,tyrod taylor+2011,tyrod taylor+Virginia Tech,27.0,324.0,558.0,115.7,5054.0,9.057347670250897,9.587096774193549,37.0,10.0,304.20000000000005,252.0,1029.0,8.0,10.0,4019.0,5349.6,187.1851851851852,2010.0,ACC,2011,
238,7,208,NYJ,Greg McElroy,QB,23.0,Alabama,2011,220.0,4.84,33.0,7.11,4.45,74.0,greg mcelroy+2011,greg mcelroy+Alabama,27.0,420.0,638.0,131.8,5495.0,8.612852664576803,9.132131661442004,37.0,9.0,309.5,114.0,71.0,1.3,2.0,4019.0,5826.299999999999,203.5185185185185,2010.0,SEC,2011,
239,1,1,IND,Andrew Luck,QB,22.0,Stanford,2012,234.0,4.59,36.0,6.8,4.28,76.0,andrew luck+2012,andrew luck+Stanford,38.0,713.0,1064.0,198.3,9430.0,8.862781954887218,9.450751879699249,82.0,22.0,483.4,163.0,957.0,17.2,7.0,6030.0,10055.6,248.1578947368421,2011.0,Pac-12,2012,1.0
240,1,2,WAS,Robert Griffin III,QB,22.0,Baylor,2012,223.0,4.33,39.0,,,74.0,robert griffin iii+2012,robert griffin iii+Baylor,38.0,755.0,1123.0,199.3,9885.0,8.802315227070347,9.414959928762244,74.0,17.0,475.7,501.0,2177.0,13.1,31.0,6029.0,10573.0,260.13157894736844,2011.0,Big 12,2012,
241,1,8,MIA,Ryan Tannehill,QB,24.0,Texas A&M,2012,221.0,4.65,,,,76.0,ryan tannehill+2012,ryan tannehill+Texas A&M,26.0,479.0,765.0,126.6,5382.0,7.035294117647059,6.930588235294117,42.0,21.0,270.2,109.0,382.0,6.8,5.0,4021.0,5301.9,207.0,2011.0,Big 12,2012,2.0
242,1,22,CLE,Brandon Weeden,QB,28.0,Oklahoma St.,2012,221.0,4.89,,,,75.0,brandon weeden+2012,brandon weeden+Oklahoma State,26.0,751.0,1076.0,139.3,9004.0,8.368029739776953,8.599999999999998,71.0,26.0,313.79999999999995,34.0,-170.0,-10.0,1.0,4021.0,9253.599999999999,346.3076923076923,2011.0,Big 12,2012,3.0
243,2,57,DEN,Brock Osweiler,QB,21.0,Arizona St.,2012,242.0,4.83,,,,79.0,brock osweiler+2012,brock osweiler+Arizona State,13.0,326.0,516.0,63.2,4036.0,7.821705426356589,7.7,26.0,13.0,140.5,83.0,90.0,1.1,3.0,2011.0,3973.2000000000003,310.46153846153845,2011.0,Pac-12,2012,3.0
244,3,75,SEA,Russell Wilson,QB,23.0,Wisconsin,2012,204.0,4.53,34.0,6.97,4.09,71.0,russell wilson+2012,russell wilson+Wisconsin,14.0,225.0,309.0,72.8,3175.0,10.275080906148867,11.8,33.0,4.0,191.8,79.0,338.0,4.3,6.0,2011.0,3646.2000000000003,226.78571428571428,2011.0,Big Ten,2012,1.0
245,3,88,PHI,Nick Foles,QB,23.0,Arizona,2012,243.0,5.14,30.5,,,77.0,nick foles+2012,nick foles+Arizona,35.0,933.0,1396.0,199.6,10011.0,7.171203438395415,7.069054441260745,67.0,33.0,411.7,106.0,-290.0,-8.2,4.0,6030.0,9868.4,286.0285714285714,2011.0,Pac-12,2012,2.0
246,4,102,WAS,Kirk Cousins,QB,24.0,Michigan St.,2012,214.0,4.84,28.5,7.05,4.5,75.0,kirk cousins+2012,kirk cousins+Michigan State,40.0,691.0,1085.0,191.00000000000003,8821.0,8.129953917050692,8.09253456221198,64.0,29.0,438.4,108.0,-115.0,-2.6,1.0,6030.0,8780.4,220.525,2011.0,Big Ten,2012,
247,6,185,ARI,Ryan Lindley,QB,23.0,San Diego St.,2012,229.0,4.86,29.5,7.52,4.45,76.0,ryan lindley+2012,ryan lindley+San Diego State,49.0,961.0,1732.0,222.10000000000002,12690.0,7.326789838337183,7.141339491916859,90.0,47.0,515.5,90.0,-275.0,-12.4,2.0,8038.0,12368.8,258.9795918367347,2011.0,MWC,2012,4.0
248,7,243,GNB,B.J. Coleman,QB,23.0,Chattanooga,2012,233.0,4.94,,7.07,4.38,75.0,b.j. coleman+2012,,,,,,,,,,,,,,,,,,,,,,
249,7,253,IND,Chandler Harnish,QB,24.0,Northern Illinois,2012,219.0,4.68,32.5,6.78,4.15,74.0,chandler harnish+2012,chandler harnish+Northern Illinois,47.0,687.0,1110.0,246.4,8944.0,8.057657657657657,8.22072072072072,68.0,26.0,569.4000000000001,538.0,2983.0,20.4,24.0,8038.0,9125.0,190.29787234042553,2011.0,MAC,2012,
250,1,16,BUF,EJ Manuel,QB,23.0,Florida St.,2013,237.0,4.65,34.0,7.08,4.21,77.0,ej manuel+2013,,,,,,,,,,,,,,,,,,,,,,3.0
251,2,39,NYJ,Geno Smith,QB,22.0,West Virginia,2013,218.0,4.58,33.5,,,74.0,geno smith+2013,geno smith+West Virginia,39.0,956.0,1416.0,201.8,11353.0,8.017655367231638,8.747033898305084,97.0,20.0,461.2,228.0,335.0,3.6999999999999997,4.0,6033.0,12385.8,291.1025641025641,2012.0,Big 12,2013,3.0
252,3,73,TAM,Mike Glennon,QB,23.0,North Carolina St.,2013,225.0,4.94,26.5,7.49,4.52,79.0,mike glennon+2013,mike glennon+North Carolina State,26.0,613.0,1017.0,121.0,7085.0,6.966568338249754,6.900000000000001,62.0,29.0,267.1,107.0,-274.0,-5.1,3.0,4023.0,7017.300000000001,272.5,2012.0,ACC,2013,2.0
253,4,98,PHI,Matt Barkley,QB,22.0,USC,2013,227.0,4.91,,,,74.0,matt barkley+2013,matt barkley+USC,47.0,1001.0,1562.0,255.2,12327.0,7.89180537772087,8.018950064020487,116.0,48.0,591.3,132.0,-113.0,-3.7,6.0,8042.0,12525.6,262.27659574468083,2012.0,Pac-12,2013,
254,4,110,NYG,Ryan Nassib,QB,23.0,Syracuse,2013,227.0,5.06,28.5,7.34,4.53,74.0,ryan nassib+2013,ryan nassib+Syracuse,38.0,755.0,1244.0,181.2,8768.0,7.048231511254019,7.167926045016077,67.0,27.0,397.40000000000003,215.0,142.0,1.6999999999999997,5.0,6033.0,8916.9,230.73684210526315,2012.0,Big East,2013,
255,4,112,OAK,Tyler Wilson,QB,24.0,Arkansas,2013,215.0,4.95,28.5,7.22,4.39,74.0,tyler wilson+2013,tyler wilson+Arkansas,24.0,526.0,839.0,125.30000000000001,7025.0,8.373063170441002,8.417640047675803,45.0,19.0,292.20000000000005,101.0,4.0,0.1,4.0,4023.0,7062.4,292.7083333333333,2012.0,SEC,2013,
256,4,115,PIT,Landry Jones,QB,24.0,Oklahoma,2013,225.0,5.11,31.0,7.12,4.3,76.0,landry jones+2013,landry jones+Oklahoma,53.0,1388.0,2183.0,253.0,16646.0,7.6252863032524045,7.696839212093448,123.0,52.0,563.3,132.0,-375.0,-14.400000000000002,3.0,8042.0,16802.199999999997,314.07547169811323,2012.0,Big 12,2013,
257,7,221,SDG,Brad Sorensen,QB,25.0,Southern Utah,2013,229.0,4.97,29.0,7.17,4.55,76.0,brad sorensen+2013,,,,,,,,,,,,,,,,,,,,,,
258,7,234,DEN,Zac Dysert,QB,23.0,Miami (OH),2013,231.0,4.81,,,,75.0,zac dysert+2013,zac dysert+Miami (OH),46.0,1066.0,1672.0,254.99999999999997,12013.0,7.184808612440191,6.69994019138756,73.0,51.0,527.1999999999999,461.0,665.0,5.3999999999999995,12.0,8042.0,11202.3,261.1521739130435,2012.0,MAC,2013,
259,7,237,SFO,B.J. Daniels,QB,24.0,South Florida,2013,,,,,,,b.j. daniels+2013,b.j. daniels+South Florida,45.0,645.0,1127.0,227.89999999999998,8347.0,7.4063886424134875,6.79094942324756,52.0,39.0,512.5,523.0,2066.0,15.500000000000002,25.0,8042.0,7653.4,185.48888888888888,2012.0,Big East,2013,
260,7,249,ATL,Sean Renfree,QB,23.0,Duke,2013,219.0,4.76,,,,75.0,sean renfree+2013,sean renfree+Duke,36.0,864.0,1339.0,193.70000000000002,9135.0,6.822255414488424,6.257281553398058,47.0,38.0,383.5,147.0,-155.0,-3.1999999999999997,9.0,6033.0,8378.5,253.75,2012.0,ACC,2013,
261,1,3,JAX,Blake Bortles,QB,22.0,Central Florida,2014,232.0,4.93,32.5,7.08,4.21,77.0,blake bortles+2014,blake bortles+UCF,27.0,510.0,781.0,130.7,6640.0,8.50192061459667,8.833674775928296,50.0,16.0,307.9,174.0,557.0,6.4,14.0,4025.0,6899.099999999999,245.92592592592592,2013.0,American,2014,1.0
262,1,22,CLE,Johnny Manziel,QB,21.0,Texas A&M,2014,207.0,4.68,31.5,6.75,4.03,72.0,johnny manziel+2014,johnny manziel+Texas A&M,26.0,595.0,863.0,137.9,7820.0,9.061413673232908,9.396523754345308,63.0,22.0,328.20000000000005,345.0,2169.0,12.3,30.0,4025.0,8109.200000000001,300.7692307692308,2013.0,SEC,2014,3.0
263,1,32,MIN,Teddy Bridgewater,QB,21.0,Louisville,2014,214.0,,30.0,7.17,4.2,74.0,teddy bridgewater+2014,teddy bridgewater+Louisville,39.0,781.0,1142.0,204.0,9817.0,8.59632224168126,8.896322241681261,72.0,24.0,464.0,226.0,170.0,2.3,6.0,6036.0,10159.6,251.71794871794873,2013.0,American,2014,2.0
264,2,36,OAK,Derek Carr,QB,23.0,Fresno St.,2014,214.0,4.69,34.5,,4.2,74.0,derek carr+2014,derek carr+Fresno State,39.0,1077.0,1616.0,198.79999999999998,12731.0,7.8780940594059405,8.625247524752476,113.0,24.0,456.70000000000005,163.0,190.0,4.2,5.0,6036.0,13938.400000000001,326.43589743589746,2013.0,MWC,2014,2.0
265,2,62,NWE,Jimmy Garoppolo,QB,22.0,Eastern Illinois,2014,226.0,4.97,30.5,7.04,4.26,74.0,jimmy garoppolo+2014,,,,,,,,,,,,,,,,,,,,,,4.0
266,4,120,ARI,Logan Thomas,QB,23.0,Virginia Tech,2014,248.0,4.61,35.5,7.05,4.18,78.0,logan thomas+2014,logan thomas+Virginia Tech,40.0,681.0,1222.0,167.6,8896.0,7.279869067103109,6.679541734860884,52.0,39.0,374.5,489.0,1337.0,8.2,24.0,6036.0,8162.4,222.4,2013.0,ACC,2014,
267,4,135,HOU,Tom Savage,QB,24.0,Pittsburgh,2014,228.0,4.97,27.0,7.33,4.36,76.0,tom savage+2014,tom savage+Pitt,13.0,238.0,389.0,61.2,2958.0,7.604113110539846,7.599999999999999,21.0,9.0,138.2,76.0,-208.0,-2.7,3.0,2013.0,2956.3999999999996,227.53846153846155,2013.0,ACC,2014,
