,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
89,1994,corey dixon,Nebraska,WR,67.3,157,8.63,28,,4.51,,32,109,4.2,,11.22,c,dixon,c-dixon-1994
93,1994,todd dixon,Wake Forest,WR,70,175,9,30.38,,4.53,,33,117,4.53,,11.65,t,dixon,t-dixon-1994
98,1994,eric drage,Brigham Young,WR,71.3,188,8.25,29.5,,4.65,,30,110,4.21,,11.35,e,drage,e-drage-1994
105,1994,bert emanuel,Rice (TX),WR,70.4,171,8.25,30.63,,4.59,,37,117,3.98,,10.85,b,emanuel,b-emanuel-1994
111,1994,craig faulkner,Tennessee,WR,70.6,182,9.13,30.75,,4.8,,30.5,109,4.16,,11.5,c,faulkner,c-faulkner-1994
115,1994,cory fleming,Tennessee,WR,73.1,207,8.13,32.5,,,,,,,,,c,fleming,c-fleming-1994
124,1994,matt frier,Florida State,WR,70.5,194,8.25,30,,,,,,,,,m,frier,m-frier-1994
147,1994,mario henry,Rutgers,WR,72.6,184,9.5,31.75,,4.56,,38.5,125,4.37,,11.84,m,henry,m-henry-1994
149,1994,lloyd hill,Texas Tech,WR,72.8,190,8.75,32.5,,,,,,,,,l,hill,l-hill-1994
150,1994,shelby hill,Syracuse,WR,71.4,207,9.5,30.75,,,,,,,,,s,hill,s-hill-1994
151,1994,corey holliday,North Carolina,WR,74,208,10.25,32.88,,4.75,,27.5,112,4.34,,11.9,c,holliday,c-holliday-1994
152,1994,harrison houston,Florida,WR,69.3,173,8.5,29.5,,4.63,,32.5,106,4.1,,11.1,h,houston,h-houston-1994
156,1994,willie jackson,Florida,WR,73,205,9,33,,4.62,,38,125,4.15,,11,w,jackson,w-jackson-1994
158,1994,charles johnson,Colorado,WR,72.3,188,9.25,32,,,,,,,,,c,johnson,c-johnson-1994
169,1994,jay kearney,West Virginia,WR,72.9,190,9.88,30.88,,4.61,,36,115,,,,j,kearney,j-kearney-1994
175,1994,kevin knox,Florida State,WR,74.5,199,10.13,33,,4.64,,34.5,119,4.35,,11.5,k,knox,k-knox-1994
180,1994,kevin lee,Alabama,WR,72.3,194,8.5,32.5,,4.55,,32,121,,,,k,lee,k-lee-1994
185,1994,thomas lewis,Indiana,WR,72.6,185,9.25,31,,4.61,,34.5,116,4.15,,11.63,t,lewis,t-lewis-1994
202,1994,terry mickens,Florida A&M,WR,72.1,200,10,32.5,,4.63,,31,117,4.39,,11.75,t,mickens,t-mickens-1994
213,1994,johnnie morton,Southern California,WR,71.9,189,10,32,,,,,,,,,j,morton,j-morton-1994
223,1994,turhon o'bannon,New Mexico,WR,72.3,196,8.63,33.13,,4.52,,35,120,4.34,,11.76,t,o'bannon,t-o'bannon-1994
227,1994,david palmer,Alabama,WR,67.9,167,8.5,29.63,,,,,,,,,d,palmer,d-palmer-1994
229,1994,orlando parker,Troy (AL),WR,70.6,183,9.25,32.75,,4.53,,,,,,,o,parker,o-parker-1994
234,1994,chris penn,Tulsa (OK),WR,72.1,196,10.38,31.88,,4.79,,35.5,118,4.06,,11.31,c,penn,c-penn-1994
243,1994,jim ray,Utah State,WR,74.1,202,8.5,32,,,,,,,,,j,ray,j-ray-1994
254,1994,bryan rowley,Utah,WR,69.8,181,9.25,29,,,,,,,,,b,rowley,b-rowley-1994
258,1994,darnay scott,San Diego State,WR,73,180,8.5,32.5,,4.55,,,,,,,d,scott,d-scott-1994
260,1994,malcolm seabron,Frenso State (CA),WR,71,192,8.75,30.88,,4.56,,34,107,4.53,,11.56,m,seabron,m-seabron-1994
268,1994,eddie small,Mississippi,WR,71.6,188,8.75,32.13,,4.67,,30,108,4.25,,11.46,e,small,e-small-1994
273,1994,terry smith,Clemson,WR,72.6,195,9,31.88,,4.78,,33,117,4.25,,11.47,t,smith,t-smith-1994
307,1994,tydus winans,Frenso State (CA),WR,69.8,175,8.63,31,,4.56,,35,122,4.15,,11.5,t,winans,t-winans-1994
311,1994,ryan yarborough,Wyoming,WR,72.9,194,9.5,31.75,,4.59,,34.5,116,,,,r,yarborough,r-yarborough-1994
5,1995,justin armour,Stanford,WR,76.6,221,10.5,32,,4.71,,32.5,116,4.04,,11.36,j,armour,j-armour-1995
10,1995,henry bailey,Nevada Las Vegas,WR,68,176,9,30.88,,4.48,,38.5,130,4.12,,11.56,h,bailey,h-bailey-1995
56,1995,mill coleman,Michigan State,WR,68,171,10.5,30.13,,4.77,,,,,,,m,coleman,m-coleman-1995
79,1995,lee deramus,Wisconsin,WR,72,191,10.13,33.75,,,,,,,,,l,deramus,l-deramus-1995
85,1995,david dunn,Frenso State (CA),WR,73.6,209,10.75,32.63,,,,,,,,,d,dunn,d-dunn-1995
91,1995,omar ellison,Florida State,WR,72.8,203,9.5,33.13,,4.64,,,111,,,,o,ellison,o-ellison-1995
97,1995,stanley flanders,Valdosta State (GA),WR,70.3,167,8.88,29.63,,4.86,,30,108,,,,s,flanders,s-flanders-1995
103,1995,antonio freeman,Baltimore Polytechnic,WR,72.6,180,8.38,31.25,,,,,,,,,a,freeman,a-freeman-1995
106,1995,joey galloway,Ohio State,WR,70.4,188,10.25,30.63,,,,,,,,,j,galloway,j-galloway-1995
107,1995,jerry garrett,Wayne State (NE),WR,70.4,201,8.75,31,,4.71,,30,112,4.25,,11.62,j,garrett,j-garrett-1995
112,1995,eddie goines,North Carolina State,WR,71.9,183,9.5,31.38,,,,,,,,,e,goines,e-goines-1995
113,1995,ken grace,Southern California,WR,68.9,167,8.63,29.5,,4.7,,31,114,4.15,,11.16,k,grace,k-grace-1995
115,1995,hason graham,Georgia,WR,69.8,176,9.25,29.75,,4.56,,28,111,,,,h,graham,h-graham-1995
131,1995,kerry hayes,Western Carolina,WR,67,163,8.88,29.38,,4.78,,30.5,112,4.25,,11.75,k,hayes,k-hayes-1995
134,1995,edward hervey,Southern California,WR,74.5,179,9,32.25,,,,,,,,,e,hervey,e-hervey-1995
136,1995,aubrey hill,Florida,WR,71.3,169,9.5,31,,4.68,,31,112,4.15,,,a,hill,a-hill-1995
151,1995,jack jackson,Florida,WR,68.4,171,9.38,29.5,,,,,,,,,j,jackson,j-jackson-1995
164,1995,chris jones,Miami (FL),WR,75.8,210,9.63,32,,4.61,,33,116,4.46,,11.59,c,jones,c-jones-1995
185,1995,curtis marsh,Utah,WR,73.4,212,10,31.88,,4.68,,32.5,120,4.41,,11.94,c,marsh,c-marsh-1995
192,1995,kez mccorvey,Florida State,WR,72,180,10.13,32.5,,,,,,,,,k,mccorvey,k-mccorvey-1995
193,1995,clyde mccoy,Arizona State,WR,72,171,8.38,31.63,,4.67,,34.5,123,,,,c,mccoy,c-mccoy-1995
203,1995,mike miller,Notre Dame,WR,66.6,159,9.25,28.88,,4.57,,32.5,113,4.19,,11.37,m,miller,m-miller-1995
218,1995,lovell pinkney,Texas,WR,76.4,248,9.88,33.38,,,,,,,,,l,pinkney,l-pinkney-1995
226,1995,roell preston,Mississippi,WR,69.6,187,9.5,30,,4.55,,31.5,115,,,,r,preston,r-preston-1995
232,1995,david rhodes,Central Florida,WR,72.9,203,9.63,31.5,,4.78,,30,118,4.52,,12.16,d,rhodes,d-rhodes-1995
241,1995,jj rowlett,Texas-El Paso,WR,74.9,211,9.88,33,,4.72,,28.5,109,4.28,,11.47,j,rowlett,j-rowlett-1995
245,1995,chris sanders,Ohio State,WR,72.3,184,8.75,32.88,,4.54,,38,121,4.09,,11.09,c,sanders,c-sanders-1995
246,1995,frank sanders,Auburn,WR,73.8,202,9.38,32.38,,,,,,,,,f,sanders,f-sanders-1995
260,1995,freddie solomon,South Carolina State,WR,69.8,180,8.63,31,,4.69,,32.5,120,4.29,,11.38,f,solomon,f-solomon-1995
267,1995,jj stokes,UCLA,WR,76.5,217,9.75,34.13,,,,,,,,,j,stokes,j-stokes-1995
275,1995,johnny thomas,Arizona State,WR,70.9,173,9.13,30,,4.6,,33,115,,,,j,thomas,j-thomas-1995
279,1995,burt thornton,Purdue,WR,73.4,202,9.38,33,,4.71,,32.5,119,4.28,,11.59,b,thornton,b-thornton-1995
291,1995,michael westbrook,Colorado,WR,75.4,215,9.88,33.5,,4.51,,,124,4.09,,11.13,m,westbrook,m-westbrook-1995
294,1995,billy williams,Tennessee,WR,71,175,9.5,30,,4.58,,,117,,,,b,williams,b-williams-1995
296,1995,robert williams,Valdosta State (GA),WR,75.5,237,9.5,31.63,,4.86,,27.5,113,,,,r,williams,r-williams-1995
301,1995,manley woods,New Mexico,WR,73.5,171,9.63,30.13,,4.65,,32.5,114,4.41,,11.75,m,woods,m-woods-1995
9,1996,jay arnold,Frenso State (CA),WR,72.3,176,9.13,32.75,,4.68,,30,116,4.2,,11.81,j,arnold,j-arnold-1996
17,1996,reggie barlow,Alabama State,WR,71.3,187,8.75,33.13,,4.59,,32.5,115,4.2,,11.12,r,barlow,r-barlow-1996
31,1996,curtis brown,Alabama,WR,72.8,196,9,33.75,,4.85,,31.5,113,4.24,,11.81,c,brown,c-brown-1996
52,1996,shaston coleman,Mississippi State,WR,73.5,209,9,33.75,,4.69,,29.5,117,4.52,,12.15,s,coleman,s-coleman-1996
59,1996,preston cunningham,Southwest Minnesota,WR,74.5,231,10.25,33.63,,4.9,,29.5,113,4.5,,12.15,p,cunningham,p-cunningham-1996
70,1996,chris doering,Florida,WR,75.5,191,10,31.75,,4.87,,30.5,118,4.52,,11.94,c,doering,c-doering-1996
76,1996,bobby engram,Penn State,WR,69.6,187,9.13,30.25,,,,,,,,,b,engram,b-engram-1996
86,1996,terry glenn,Ohio State,WR,70.5,184,10.38,32.5,,,,,,,,,t,glenn,t-glenn-1996
97,1996,terry guess,Gardner-Webb (NC),WR,72.1,200,9.5,33.63,,4.6,,,,,,,t,guess,t-guess-1996
103,1996,mark harris,Stanford,WR,75.3,195,9,31.5,,4.84,,31,110,4.23,,11.71,m,harris,m-harris-1996
106,1996,marvin harrison,Syracuse,WR,71.9,181,9.75,30.75,,,,,,,,,m,harrison,m-harrison-1996
109,1996,mercury hayes,Michigan,WR,70,198,9.13,31.25,,4.68,,34,117,4.12,,11.26,m,hayes,m-hayes-1996
117,1996,mike horacek,Iowa State,WR,72.8,201,10.13,31.5,,4.67,,30.5,124,4.14,,11.1,m,horacek,m-horacek-1996
120,1996,brice hunter,Georgia,WR,72.1,214,9.88,31.63,,,,,,,,,b,hunter,b-hunter-1996
130,1996,patrick jeffers,Virginia,WR,75.1,221,10,31.63,,4.63,,35,121,4.21,,11.45,p,jeffers,p-jeffers-1996
131,1996,dietrich jells,Pittsburgh,WR,70.3,184,8.38,31.5,,,,,,,,,d,jells,d-jells-1996
136,1996,keyshawn johnson,Southern California,WR,75.3,220,10.88,33.5,,,,31.5,125,4.25,,11.65,k,johnson,k-johnson-1996
140,1996,charlie jones,Frenso State (CA),WR,68,175,9.63,31.63,,4.59,,34,117,4.59,,11.76,c,jones,c-jones-1996
141,1996,clarence jones,Tennessee State,WR,71.6,184,8.63,31.25,,4.59,,33.5,124,4.3,,11.53,c,jones,c-jones-1996
145,1996,kevin jordan,UCLA,WR,74,193,8.25,31,,4.67,,,111,,,,k,jordan,k-jordan-1996
147,1996,eddie kennison,Louisiana State,WR,71.4,191,9.5,31,,4.5,,34.5,120,4.23,,11.46,e,kennison,e-kennison-1996
158,1996,jermaine lewis,Maryland,WR,67.4,172,9,31.38,,4.47,,33.5,124,4.3,,11.08,j,lewis,j-lewis-1996
161,1996,ray lucas,Rutgers,WR,74.3,202,9.5,31.5,,4.71,,33,132,4.34,,,r,lucas,r-lucas-1996
164,1996,toderick malone,Alabama,WR,70.4,179,9.25,30.63,,4.69,,31.5,111,4.2,,12.04,t,malone,t-malone-1996
170,1996,derrick mayes,Notre Dame,WR,72.1,200,9.63,32.88,,4.67,,35.5,120,4.11,,11.27,d,mayes,d-mayes-1996
175,1996,cristin mclemore,Oregon,WR,70.8,189,9,30.63,,,,,,,,,c,mclemore,c-mclemore-1996
191,1996,eric moulds,Mississippi State,WR,72.9,204,9.25,32,,,,,,,,,e,moulds,e-moulds-1996
192,1996,mushsin muhammad,Michigan State,WR,73.8,217,10.38,33.38,,4.53,,33,120,4.16,,11.31,m,muhammad,m-muhammad-1996
207,1996,terrell owens,Tennessee-Chattanooga,WR,74.9,213,10.5,34.5,,4.65,,33,120,4.26,,11.43,t,owens,t-owens-1996
223,1996,phillip riley,Florida State,WR,70.9,189,9.13,32.88,,4.5,,32.5,120,4.46,,11.66,p,riley,p-riley-1996
227,1996,james roe,Norfolk State (VA),WR,72.6,187,9.38,33.88,,4.66,,38.5,132,4.34,,11.06,j,roe,j-roe-1996
229,1996,mitch running,Kansas State,WR,71.1,184,8.38,31,,4.74,,32,108,4.04,,11.17,m,running,m-running-1996
236,1996,lance schwindt,Fort Hays State (KS),WR,74.8,210,8.75,31.5,,4.82,,31,120,4.56,,12.06,l,schwindt,l-schwindt-1996
237,1996,freddie scott,Penn State,WR,70.5,189,9.38,31.75,,4.7,,30,108,,,,f,scott,f-scott-1996
238,1996,jason shelley,Central State (OH),WR,72.4,189,9.88,32.88,,4.71,,31,108,4.47,,11.88,j,shelley,j-shelley-1996
257,1996,bryan still,Virginia Tech,WR,71.1,176,9.25,32,,4.4,,37.5,120,4.06,,11.23,b,still,b-still-1996
266,1996,amani toomer,Michigan,WR,74.9,197,9,32.5,,4.5,,40,132,4.14,,11.14,a,toomer,a-toomer-1996
271,1996,iheanyi uwaezuoke,California,WR,72,192,9.13,32.88,,,,,,,,,i,uwaezuoke,i-uwaezuoke-1996
272,1996,alex van dyke,Nevada Las Vegas,WR,71.9,200,10.13,32.13,,4.57,,33,120,4.62,,11.86,a,dyke,a-dyke-1996
278,1996,marcus wall,North Carolina,WR,68.8,162,9,30.25,,4.59,,31.5,120,4.2,,11.57,m,wall,m-wall-1996
280,1996,ervin whitehead,William & Mary (VA),WR,72.1,171,9.25,30.5,,4.69,,31.5,120,4.3,,12.02,e,whitehead,e-whitehead-1996
287,1996,stepfret williams,Louisiana-Monroe,WR,71.9,170,8.25,31.75,,4.59,,31,120,4.44,,11.44,s,williams,s-williams-1996
290,1996,sir mawn wilson,Syracuse,WR,73,209,9.63,32,,4.6,,35,132,4.24,,11.47,s,wilson,s-wilson-1996
293,1996,cedric zachery,Georgia Tech,WR,71.8,176,9,30.5,,4.63,,33.5,120,4.38,,11.35,c,zachery,c-zachery-1996
1,1997,mike adams,Texas,WR,71.4,184,9.13,31.63,,4.59,,29.5,112,4.38,7.51,11.89,m,adams,m-adams-1997
9,1997,reidel anthony,Florida,WR,71.5,183,9.25,32.5,,,,,,,,,r,anthony,r-anthony-1997
24,1997,will blackwell,San Diego State,WR,72,185,9.75,33.38,,4.62,,34,120,4.28,7.31,11.43,w,blackwell,w-blackwell-1997
31,1997,macey brooks,James Madison (VA),WR,76.6,214,9.88,35.13,,4.65,,38.5,125,4.13,7.31,11.43,m,brooks,m-brooks-1997
39,1997,rae carruth,Colorado,WR,70.6,194,9.5,31.13,,,,,,,,,r,carruth,r-carruth-1997
51,1997,albert connell,Texas A&M,WR,72.4,184,8.88,31.5,,4.55,,,,,,,a,connell,a-connell-1997
53,1997,andre cooper,Florida State,WR,74,195,9.25,35.63,,,,,,,,,a,cooper,a-cooper-1997
63,1997,juan daniels,Georgia,WR,73.1,210,9.13,32.25,,4.59,,34.5,114,4.33,7.54,,j,daniels,j-daniels-1997
75,1997,richard dice,Arizona,WR,73.9,218,9,31.63,,,,,,,,,r,dice,r-dice-1997
104,1997,yatil green,Miami (FL),WR,74.9,199,9.25,33,,4.41,,40.5,130,4.17,7.52,11.53,y,green,y-green-1997
113,1997,marcus harris,Wyoming,WR,73.4,213,9.88,32.75,,4.68,,34,112,4.09,7.42,11.51,m,harris,m-harris-1997
120,1997,ike hilliard,Florida,WR,71.9,189,9.5,32.63,,,,,,,,,i,hilliard,i-hilliard-1997
132,1997,alonzo johnson,Central State (OH),WR,71.1,183,9.5,32,,4.67,,33,116,4.28,7.46,11.49,a,johnson,a-johnson-1997
143,1997,joey kent,Tennessee,WR,72.6,186,8.88,33.75,,,,,,,,,j,kent,j-kent-1997
156,1997,tony lanier,Virginia State,WR,71.5,172,9.88,33.63,,4.67,,33.5,120,4.19,7.09,11.03,t,lanier,t-lanier-1997
164,1997,kevin lockett,Kansas State,WR,71.9,171,8.63,33.25,,4.57,,36.5,121,3.93,6.88,10.89,k,lockett,k-lockett-1997
171,1997,chad mackey,Louisiana Tech,WR,72.9,205,9.25,32,,4.68,,34,115,3.99,7.06,11.29,c,mackey,c-mackey-1997
174,1997,brian manning,Stanford,WR,71.1,181,9.5,31.5,,4.59,,34.5,120,4.12,7.31,11.53,b,manning,b-manning-1997
177,1997,derrick mason,Michigan State,WR,70.8,193,10,32.25,,4.55,,32,113,4.46,7.33,11.65,d,mason,d-mason-1997
188,1997,chris miller,Southern California,WR,70.1,192,9.63,32.5,,4.58,,31.5,115,4.32,7.4,11.69,c,miller,c-miller-1997
210,1997,pearce pegross,Baylor,WR,69.4,170,9.88,31.88,,4.63,,31.5,116,4.29,7.34,11.32,p,pegross,p-pegross-1997
218,1997,keith poole,Arizona State,WR,72.8,188,9.25,30.63,,4.57,,31,115,4.28,7.3,11.51,k,poole,k-poole-1997
228,1997,brian roberson,Frenso State (CA),WR,68.8,161,9.25,31.25,,4.65,,30.5,115,4.14,7.36,11.67,b,roberson,b-roberson-1997
232,1997,marcus robinson,South Carolina,WR,75.4,213,10.25,34.13,,4.55,,37,120,,,,m,robinson,m-robinson-1997
250,1997,donald sellers,New Mexico,WR,72.1,184,9.25,33,,4.65,,35.5,112,4.53,,,d,sellers,d-sellers-1997
254,1997,geroy simon,Maryland,WR,72,188,9.5,32.63,,4.61,,32,111,4.49,7.81,11.96,g,simon,g-simon-1997
269,1997,dimitrious stanley,Ohio State,WR,70.9,188,9.75,31,,4.73,,29,105,4.5,7.83,,d,stanley,d-stanley-1997
273,1997,robert tate,Cincinnati,WR,70.4,187,9.25,31,,4.54,,30,108,4.3,7.36,11.75,r,tate,r-tate-1997
282,1997,buster tillman,Ohio State,WR,72.8,186,9.5,32,,4.77,,32.5,99,4.1,7.58,11.56,b,tillman,b-tillman-1997
294,1997,dedric ward,Northern Iowa,WR,68.6,175,8.88,30,,4.56,,31,109,4.14,7.1,11.17,d,ward,d-ward-1997
310,1997,robert wilson,Florida A&M,WR,70.8,176,9,32.25,,4.82,,31.5,108,4.57,7.42,12.45,r,wilson,r-wilson-1997
316,1997,antwuan wyatt,Bethune-Cookman (FL),WR,70,199,9.75,31.88,,,,33.5,107,4.33,7.52,,a,wyatt,a-wyatt-1997
4,1998,brian alford,Purdue,WR,73.5,187,9.63,33.13,,4.46,,37,127,4.04,7.49,11.08,b,alford,b-alford-1998
7,1998,chris anderson,Colorado,WR,74.4,230,10.25,34.38,,4.85,,34,110,4.3,7.65,11.82,c,anderson,c-anderson-1998
10,1998,tutu atwell,Minnesota,WR,68.1,164,9.5,30.75,,4.51,,32.5,117,4.22,7.34,11.27,t,atwell,t-atwell-1998
15,1998,octavus barnes,North Carolina,WR,72.4,197,9.75,33,,4.65,,25,111,4.48,7.91,12.15,o,barnes,o-barnes-1998
21,1998,magic benton,Miami (FL),WR,71.5,184,9.63,33.13,,4.64,,30,112,4.44,7.73,12.27,m,benton,m-benton-1998
31,1998,corey bradford,Jackson State (MS),WR,72.6,197,9.38,35.25,,4.47,,34.5,126,4.36,8.07,11.9,c,bradford,c-bradford-1998
55,1998,fred coleman,Washington,WR,72.1,187,9,32.25,,4.45,,34.5,112,4.17,7.16,11.33,f,coleman,f-coleman-1998
70,1998,germane crowell,Virginia,WR,75.4,212,10,33.25,,,,,,,,,g,crowell,g-crowell-1998
79,1998,damon dunn,Stanford,WR,68.9,183,9.25,30.75,,4.48,,31.5,114,4,7.46,10.92,d,dunn,d-dunn-1998
82,1998,kevin dyson,Utah,WR,73.1,199,10.13,34.25,,,,,,,,,k,dyson,k-dyson-1998
88,1998,anthony eubanks,Arkansas,WR,74,189,9.13,33.63,,4.71,,31.5,111,4.17,7.94,11.79,a,eubanks,a-eubanks-1998
103,1998,jammi german,Miami (FL),WR,72.5,187,9.38,33.5,,4.53,,39.5,122,,,,j,german,j-german-1998
111,1998,eg green,Florida State,WR,71.5,187,9.5,33.25,,,,,,,,,e,green,e-green-1998
112,1998,jacquez green,Florida,WR,68.9,173,8.5,31.25,,,,,,,,,j,green,j-green-1998
113,1998,az-zahir hakim,San Diego State,WR,69.6,179,9.25,30.5,,4.45,,36,122,4.25,7.44,11.73,a,hakim,a-hakim-1998
121,1998,donald hayes,Wisconsin,WR,76.6,208,9.25,34.25,,4.57,,36,123,4.07,7.38,11.42,d,hayes,d-hayes-1998
128,1998,tony horne,Clemson,WR,69.8,179,8.25,32.5,,4.66,,33,112,4.29,7.5,11.41,t,horne,t-horne-1998
130,1998,chris jackson,Washington State,WR,73.1,203,9.63,32.25,,4.67,,33.5,111,4.1,7.5,11.35,c,jackson,c-jackson-1998
133,1998,nakia jenkins,Utah State,WR,72.9,215,10.38,33.63,,4.71,,34,115,,,,n,jenkins,n-jenkins-1998
137,1998,macarthur johnson,Howard (DC),WR,71.3,194,8.63,31.5,,4.64,,28,111,4.34,7.3,12.07,m,johnson,m-johnson-1998
