,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,FI,LN,pk
138,1998,pat johnson,Oregon,WR,70.1,181,9.13,32.25,,4.42,,34.5,127,,,,p,johnson,p-johnson-1998
139,1998,taj johnson,San Diego State,WR,74,203,9.75,33.5,,4.61,,,,,,,t,johnson,t-johnson-1998
142,1998,joe jurevicius,Penn State,WR,76.9,231,9.5,33,,4.66,,31.5,118,4.48,7.49,11.76,j,jurevicius,j-jurevicius-1998
158,1998,kamil loud,Cal Poly-SLO,WR,71.9,190,9.63,32,,4.47,,32,114,4.26,7.84,11.6,k,loud,k-loud-1998
169,1998,andy mccullough,Tennessee,WR,75,209,9.25,33,,4.57,,34.5,118,4.06,7.18,11.61,a,mccullough,a-mccullough-1998
178,1998,harvey middleton,Georgia Tech,WR,71.3,186,9.13,32.5,,,,32.5,112,4.1,7.46,11.24,h,middleton,h-middleton-1998
182,1998,randy moss,Marshall (WV),WR,75.6,194,9.63,34,17,4.38,,33,117,4.17,7.19,,r,moss,r-moss-1998
184,1998,brian musso,Northwestern,WR,71.9,189,9.5,29.63,,4.72,,30.5,109,3.91,7.28,11.47,b,musso,b-musso-1998
188,1998,marcus nash,Tennessee,WR,74.9,193,10.13,33.25,,,,,,,,,m,nash,m-nash-1998
197,1998,pat palmer,Northwestern State (LA),WR,73.3,182,9.75,32,,4.58,,35,120,4.24,7.46,11.37,p,palmer,p-palmer-1998
200,1998,jerome pathon,Washington,WR,72,187,9.88,30.88,,,,,,,,,j,pathon,j-pathon-1998
218,1998,mikhael ricks,Stephen F. Austin (TX),WR,77.1,237,10.5,35.13,,4.57,,36,127,4.03,7.28,11.56,m,ricks,m-ricks-1998
233,1998,kio sanford,Kentucky,WR,70.1,180,9.25,32.25,,4.53,,33.5,111,4.19,7.55,11.44,k,sanford,k-sanford-1998
238,1998,larry shannon,East Carolina (NC),WR,76.3,210,10.13,34,,,,,,,,,l,shannon,l-shannon-1998
245,1998,tony simmons,Wisconsin,WR,72.8,203,10.5,33.25,,4.35,,36.5,117,3.96,7.15,10.98,t,simmons,t-simmons-1998
265,1998,ryan thelwell,Minnesota,WR,73.6,182,9.13,34.13,,4.59,,36,123,4,6.88,10.76,r,thelwell,r-thelwell-1998
271,1998,jason tucker,Texas Christian,WR,73,182,9.63,32.25,,4.55,,37,119,4.01,7.06,11,j,tucker,j-tucker-1998
273,1998,geoff turner,Colorado State,WR,67.9,196,8.75,29.38,,,,,,,,,g,turner,g-turner-1998
274,1998,jim turner,Syracuse,WR,75.5,210,9.88,34.75,,4.46,,35,121,4.21,7.15,11.62,j,turner,j-turner-1998
279,1998,hines ward,Georgia,WR,71.6,195,9,30.5,,,,30.5,110,4.09,7.09,11.02,h,ward,h-ward-1998
284,1998,toussaint waterman,Northwestern,WR,72.4,207,9.75,34.5,,4.66,,34,118,4.04,7.64,11.64,t,waterman,t-waterman-1998
289,1998,alvis whitted,North Carolina State,WR,71.5,184,10,33.63,,4.5,,34.5,128,4.11,7.32,11.14,a,whitted,a-whitted-1998
291,1998,ed williams,Iowa State,WR,74.4,204,10.13,33.5,,4.65,,32,108,4.03,7.32,11.11,e,williams,e-williams-1998
6,1999,karsten bailey,Auburn,WR,71.8,205,8.38,31,,4.33,,40,121,3.99,6.99,,k,bailey,k-bailey-1999
7,1999,eugene baker,Kent State (OH),WR,72.5,167,9.5,31.5,,4.46,,36.5,118,4.03,6.9,10.93,e,baker,e-baker-1999
13,1999,d'wayne bates,Northwestern,WR,73.6,215,9,32.63,,4.59,,37,117,4.24,7.25,,d,bates,d-bates-1999
19,1999,david boston,Ohio State,WR,73.3,215,8.5,32.25,,4.47,,37,116,4.09,7.2,,d,boston,d-boston-1999
29,1999,na brown,North Carolina,WR,72.6,184,9.88,30.63,,4.56,,30.5,110,4.21,7.12,11.19,n,brown,n-brown-1999
37,1999,siaha burley,Central Florida,WR,71,166,,,,4.53,,34,113,4.16,,,s,burley,s-burley-1999
42,1999,kenny cheatham,Nebraska,WR,75,211,,,,4.6,,36,115,,,,k,cheatham,k-cheatham-1999
44,1999,darrin chiaverini,Colorado,WR,73.1,212,9,29.5,,4.53,,33,112,4.16,,,d,chiaverini,d-chiaverini-1999
59,1999,eddie conti,Delaware,WR,68,173,,,,4.5,,36,120,4.04,6.96,,e,conti,e-conti-1999
62,1999,jermaine copeland,Tennessee,WR,74,201,,,,4.5,,36,117,4.28,7.3,,j,copeland,j-copeland-1999
85,1999,dameane douglas,California,WR,71.9,201,9.63,29.75,,4.7,,31.5,119,4.36,7.36,11.8,d,douglas,d-douglas-1999
91,1999,troy edwards,Louisiana Tech,WR,69.5,191,8.5,30.13,,4.57,,36.5,117,4.16,7.37,,t,edwards,t-edwards-1999
96,1999,john fassel,Weber State (UT),WR,76,189,9.5,30.38,,4.67,,33.5,108,4.09,7.26,11.61,j,fassel,j-fassel-1999
104,1999,shawn foreman,West Virginia,WR,72.9,212,11,31.5,,4.79,,32,108,4.41,7.75,12.27,s,foreman,s-foreman-1999
128,1999,damon griffin,Oregon,WR,69.1,186,9,30.13,,4.68,,36,113,4.2,7.42,11.53,d,griffin,d-griffin-1999
132,1999,darran hall,Colorado State,WR,68.5,168,9,29.75,,4.45,,34,114,4.33,7.25,11.64,d,hall,d-hall-1999
134,1999,donnie hart,Texas Tech,WR,73,192,,,,4.54,,32,111,4.16,7.13,,d,hart,d-hart-1999
142,1999,torry holt,North Carolina State,WR,72.3,192,9.63,30.25,,4.44,,37,118,,,,t,holt,t-holt-1999
157,1999,lenzie jackson,Arizona State,WR,71.9,188,9.5,29.88,,4.8,,35,115,4.29,7.32,12.13,l,jackson,l-jackson-1999
158,1999,quincy jackson,Alabama,WR,73,187,,,,4.68,,31,116,4.29,7.27,,q,jackson,q-jackson-1999
164,1999,martay jenkins,Nebraska-Omaha,WR,71.4,203,9.38,31.5,,4.5,,39.5,116,4.18,7.3,11.27,m,jenkins,m-jenkins-1999
168,1999,kevin johnson,Syracuse,WR,71.1,194,10,30.75,,4.41,,36.5,115,3.86,6.79,12.19,k,johnson,k-johnson-1999
174,1999,daniel jones,Utah,WR,70.9,185,9,30,,4.69,,37,113,4.49,7.58,12.23,d,jones,d-jones-1999
215,1999,jeremy mcdaniel,Arizona,WR,72.5,197,8.25,30.63,,4.63,,33.5,112,4.32,7.3,,j,mcdaniel,j-mcdaniel-1999
216,1999,darnell mcdonald,Kansas State,WR,75,202,9.38,32.25,,4.74,,34,108,4.24,7.27,11.88,d,mcdonald,d-mcdonald-1999
218,1999,wane mcgarity,Texas,WR,68,194,8.38,30,,4.53,,33,111,4.36,7.21,11.59,w,mcgarity,w-mcgarity-1999
220,1999,travis mcgriff,Florida,WR,68,185,,,,4.53,,35.5,113,4.13,7.28,,t,mcgriff,t-mcgriff-1999
226,1999,rondel menendez,Eastern Kentucky,WR,69,178,,,,4.24,,37,117,3.96,6.79,,r,menendez,r-menendez-1999
228,1999,billy miller,Southern California,WR,74.6,215,10.25,32.38,,4.67,,34.5,113,4.28,7.06,,b,miller,b-miller-1999
229,1999,dee miller,Ohio State,WR,71.9,199,9.25,30.88,,4.51,,33.5,,4.31,7.2,,d,miller,d-miller-1999
234,1999,kenny mitchell,Arizona State,WR,74.4,217,9.75,32.25,,4.73,,37,118,,7.1,,k,mitchell,k-mitchell-1999
235,1999,tywan mitchell,Minnesota State,WR,77,223,,,,4.74,,30.5,108,,7.6,,t,mitchell,t-mitchell-1999
242,1999,joe nastasi,Penn State,WR,70.4,197,9.75,31,,4.66,,37,116,4.06,7.12,11.32,j,nastasi,j-nastasi-1999
260,1999,larry parker,Southern California,WR,72.9,200,9.5,32.5,,4.49,,35.5,118,,,,l,parker,l-parker-1999
268,1999,chad plummer,Cincinnati,WR,74.9,223,10.25,33.38,,4.57,,33,113,4.18,7.34,,c,plummer,c-plummer-1999
271,1999,peerless price,Tennessee,WR,70.9,180,10,31.5,,4.55,,35,116,4.09,7.28,,p,price,p-price-1999
290,1999,david saunders,West Virginia,WR,73.6,203,9.25,31.88,,4.79,,32,112,,,,d,saunders,d-saunders-1999
301,1999,tony small,Georgia,WR,73.9,220,9.63,32.5,,4.64,,35,115,4.32,7.39,,t,small,t-small-1999
309,1999,troy smith,East Carolina (NC),WR,73,194,8.25,31,,4.63,,35.5,112,4.24,7.25,11.82,t,smith,t-smith-1999
311,1999,creig spann,Arizona State,WR,73,191,,,,4.5,,36.5,117,3.86,7.1,,c,spann,c-spann-1999
318,1999,lc stevens,North Carolina,WR,75.9,215,9.25,33.75,,4.66,,35,116,4.24,7.24,11.29,l,stevens,l-stevens-1999
322,1999,brandon stokley,Louisiana-Lafayette,WR,73,197,,,,4.49,,35.5,118,4.01,7.04,,b,stokley,b-stokley-1999
323,1999,tai streets,Michigan,WR,73.4,194,8.25,33.13,,4.44,,37,118,,,,t,streets,t-streets-1999
335,1999,derrius thompson,Baylor,WR,74,211,9.63,31.5,,4.6,,41.5,112,4.13,7.31,11.54,d,thompson,d-thompson-1999
342,1999,michael vaughn,Alabama,WR,74,212,,,,4.57,,33.5,113,4.32,7.32,,m,vaughn,m-vaughn-1999
360,1999,gerald williams,Oklahoma,WR,75,207,,,,4.45,,35.5,117,3.96,7.09,,g,williams,g-williams-1999
373,1999,craig yeast,Kentucky,WR,67.6,164,9,29.5,,4.49,,32.5,112,4.14,7.31,11.39,c,yeast,c-yeast-1999
28,2000,plaxico burress,Michigan State,WR,77.4,231,9.5,33.75,,4.59,,33,115,,,,p,burress,p-burress-2000
35,2000,kwame cavil,Texas,WR,73.6,208,10,31.13,,4.54,,39.5,118,,,,k,cavil,k-cavil-2000
44,2000,chris cole,Texas A&M,WR,72.1,191,9.5,32.5,,4.37,,37.5,125,4.09,6.76,,c,cole,c-cole-2000
45,2000,chris coleman,North Carolina State,WR,71.8,211,9.13,31.5,,4.65,,32.5,110,4.1,6.79,11.33,c,coleman,c-coleman-2000
47,2000,laveranues coles,Florida State,WR,71.3,192,9,30.63,,4.48,,34,115,4.39,6.89,11.34,l,coles,l-coles-2000
58,2000,jajuan dawson,Tulane (LA),WR,73,199,,,,4.55,,34,117,4.16,6.96,,j,dawson,j-dawson-2000
62,2000,ron dugans,Florida State,WR,73.4,206,10,31.5,,4.58,,,117,,,,r,dugans,r-dugans-2000
72,2000,larry foster,Louisiana State,WR,69.9,198,9.25,30,,4.57,,37,121,4.06,6.88,11.16,l,foster,l-foster-2000
81,2000,trevor gaylor,Miami (OH),WR,75.3,199,9.5,32.75,,4.59,,37.5,121,4.29,7.03,,t,gaylor,t-gaylor-2000
83,2000,sherrod gideon,Southern Mississippi,WR,71.1,173,9,29.75,,4.69,,,,,,,s,gideon,s-gideon-2000
104,2000,windrell hayes,Southern California,WR,71,204,,,,4.5,,,,4.18,7.33,,w,hayes,w-hayes-2000
113,2000,darrell jackson,Florida,WR,71.8,197,9.5,31.25,,4.58,,,,,,,d,jackson,d-jackson-2000
140,2000,marcus knight,Michigan,WR,72.9,180,8.5,30.75,,4.74,,28.5,106,4.38,7.11,11.71,m,knight,m-knight-2000
144,2000,charles lee,Central Florida,WR,73.5,202,9.25,33.5,,4.6,,35.5,125,4.25,7.3,11.85,c,lee,c-lee-2000
148,2000,anthony lucas,Arkansas,WR,74.8,194,8.88,31.88,,4.54,,35,121,,,,a,lucas,a-lucas-2000
164,2000,scottie montgomery,Duke,WR,72.4,196,10,31,,4.58,,36,117,4.11,7.16,11.31,s,montgomery,s-montgomery-2000
165,2000,wendell montgomery,Wyoming,WR,75,203,9,32,,4.84,,35.5,117,4.24,7.01,11.74,w,montgomery,w-montgomery-2000
168,2000,muneer moore,Richmond (VA),WR,74,201,,,,4.52,,37.5,129,4.09,6.91,,m,moore,m-moore-2000
173,2000,sylvester morris,Jackson State (MS),WR,75,216,10.75,33.25,,4.63,,34.5,119,4.17,7.06,11.52,s,morris,s-morris-2000
177,2000,dennis northcutt,Arizona,WR,70.4,175,10.13,29,,4.46,,37.5,123,4.04,6.96,11.07,d,northcutt,d-northcutt-2000
183,2000,mareno philyaw,Troy (AL),WR,73.9,205,9.38,32.25,,4.69,,39.5,129,4.13,6.93,11.38,m,philyaw,m-philyaw-2000
203,2000,gari scott,Michigan State,WR,72.3,194,9.13,31.25,,4.6,,33.5,119,,,,g,scott,g-scott-2000
217,2000,r.jay soward,Southern California,WR,69.5,177,9.5,31.75,,4.41,,35,124,,,,r,soward,r-soward-2000
219,2000,quinton spotwood,Syracuse,WR,71,184,9.13,30.25,,4.55,,33.5,123,,,,q,spotwood,q-spotwood-2000
226,2000,travis taylor,Florida,WR,72.9,199,9.25,31.5,,4.43,,37,118,,7.15,,t,taylor,t-taylor-2000
239,2000,troy walters,Stanford,WR,66.5,171,9,28.5,,4.55,,32.5,106,3.84,6.61,10.98,t,walters,t-walters-2000
247,2000,dez white,Georgia Tech,WR,73.3,218,10.13,32.75,,4.62,,37.5,124,4.09,6.91,11.19,d,white,d-white-2000
250,2000,james williams,Marshall (WV),WR,70.9,180,9.63,30.5,,4.6,,36,123,4.16,7.22,11.48,j,williams,j-williams-2000
256,2000,bashir yamini,Iowa,WR,75.3,191,10,32.5,,4.55,,33,130,4.18,7.09,11.34,b,yamini,b-yamini-2000
5,2001,scotty anderson,Grambling State (LA),WR,74.1,184,7.5,31.5,,4.57,,34.5,115,,,,s,anderson,s-anderson-2001
10,2001,alex bannister,Eastern Kentucky,WR,76.6,201,8.5,32,,4.5,,30.5,110,,,,a,bannister,a-bannister-2001
19,2001,eddie berlin,Northern Iowa,WR,71.4,191,8.5,30.5,,4.44,,39.5,122,4.06,6.78,11.35,e,berlin,e-berlin-2001
36,2001,john capel,Florida,WR,70.6,177,8.5,29.5,,4.41,,36.5,126,,,,j,capel,j-capel-2001
40,2001,jonathan carter,Troy (AL),WR,71.6,180,8,33,,4.4,,42.5,134,4.25,7.28,11.77,j,carter,j-carter-2001
43,2001,chris chambers,Wisconsin,WR,71.6,210,9,34,,4.33,,45,134,4,,,c,chambers,c-chambers-2001
70,2001,robert ferguson,Texas A&M,WR,73,205,,,,4.48,,36.5,120,4.07,7.24,,r,ferguson,r-ferguson-2001
73,2001,richmond flowers,Tennessee-Chattanooga,WR,71.1,195,9.5,29.5,,4.56,,35.5,114,3.96,6.98,10.99,r,flowers,r-flowers-2001
78,2001,rod gardner,Clemson,WR,74.3,219,10,33,,4.48,,36,,,,,r,gardner,r-gardner-2001
80,2001,reggie germany,Ohio State,WR,73.1,183,9,32,,4.42,,32,,,,,r,germany,r-germany-2001
109,2001,margin hooks,Brigham Young,WR,70.6,191,9,31,,4.46,,36,116,4.18,7.08,11.51,m,hooks,m-hooks-2001
115,2001,cedric james,Texas Christian,WR,74.3,204,10.5,34,,4.49,,43,134,,,,c,james,c-james-2001
121,2001,chad johnson,Oregon State,WR,73,192,9.5,32,,4.58,,33,108,4.14,7.51,,c,johnson,c-johnson-2001
127,2001,kevin kasper,Iowa,WR,72,199,9.5,30.5,,4.44,,43.5,126,3.73,6.56,10.43,k,kasper,k-kasper-2001
131,2001,andre king,Miami (FL),WR,71.9,199,9.5,31.25,,4.61,,35.5,,,,,a,king,a-king-2001
145,2001,david martin,Tennessee,WR,76.1,242,9,32.25,,4.76,,37,127,,,,d,martin,d-martin-2001
147,2001,justin mccareins,Northern Illinois,WR,73.8,209,9.5,32,,4.46,,41,129,3.99,7.06,11.09,j,mccareins,j-mccareins-2001
149,2001,quentin mccord,Kentucky,WR,70.1,191,8,30,,4.49,,36.5,112,4.18,7.17,,q,mccord,q-mccord-2001
156,2001,shawn mills,Southern Mississippi,WR,72,180,8,29.5,,4.54,,34.5,116,4.15,7.12,11.51,s,mills,s-mills-2001
157,2001,snoop minnis,Florida State,WR,73,171,,,,4.57,,37.5,115,4.07,7.06,,s,minnis,s-minnis-2001
160,2001,freddie mitchell,UCLA,WR,71.4,185,8.5,31,,4.47,,39.5,120,4.06,6.95,,f,mitchell,f-mitchell-2001
164,2001,quincy morgan,Kansas State,WR,72.9,211,8.5,31.5,,4.48,,33,,,,,q,morgan,q-morgan-2001
165,2001,santana moss,Miami (FL),WR,69.6,184,8.5,29,,4.31,,42,,,,,s,moss,s-moss-2001
169,2001,bobby newcombe,Nebraska,WR,70.5,195,9.5,32,,4.54,,37,117,3.98,6.86,11.31,b,newcombe,b-newcombe-2001
184,2001,nate poole,Marshall (WV),WR,73.5,198,9,32.5,,4.8,,32.5,112,4.22,7.26,11.69,n,poole,n-poole-2001
188,2001,ken-yon rambo,Ohio State,WR,72.6,196,8,30,,4.34,,39,,,,,k,rambo,k-rambo-2001
196,2001,koren robinson,North Carolina State,WR,73.5,211,9,31.5,,4.61,,38.5,123,,,,k,robinson,k-robinson-2001
212,2001,steve smith,Utah,WR,69,184,9.25,31.5,,4.44,,38.5,121,4.25,7.44,12.15,s,smith,s-smith-2001
224,2001,vinny sutherland,Purdue,WR,68.6,192,8.5,29.5,,4.57,,32.5,,,,,v,sutherland,v-sutherland-2001
226,2001,chris taylor,Texas A&M,WR,70.9,183,7.5,30,,4.37,,35.5,115,3.93,6.81,10.85,c,taylor,c-taylor-2001
227,2001,david terrell,Michigan,WR,75.1,213,9.25,31.5,,4.43,,38,,,,,d,terrell,d-terrell-2001
247,2001,reggie wayne,Miami (FL),WR,72,198,9,32,,4.45,,36,,,,,r,wayne,r-wayne-2001
257,2001,marcus williams,Washington State,WR,77,230,,,,4.56,,41,130,4.2,7.37,,m,williams,m-williams-2001
260,2001,cedrick wilson,Tennessee,WR,69.8,179,9.5,29,,4.46,,38,123,,,,c,wilson,c-wilson-2001
30,2002,deion branch,Louisville,WR,69.1,191,8.13,30,,4.47,,36,115,3.76,6.71,10.66,d,branch,d-branch-2002
35,2002,antonio bryant,Pittsburgh,WR,73.3,188,9,32.25,,4.6,,37,118,,,,a,bryant,a-bryant-2002
39,2002,reche caldwell,Florida,WR,71.8,194,9.75,32,,4.53,,41.5,128,4.1,7,,r,caldwell,r-caldwell-2002
41,2002,kelly campbell,Georgia Tech,WR,70.1,171,8,31,,4.52,,,,,,,k,campbell,k-campbell-2002
45,2002,tim carter,Auburn,WR,71.9,190,8.75,32,,4.34,,39,124,3.93,6.68,,t,carter,t-carter-2002
47,2002,terry charles,Portland State (OR),WR,75.1,207,9.13,33.75,,4.5,,36.5,122,4.09,7.02,11.22,t,charles,t-charles-2002
62,2002,andre' davis,Virginia Tech,WR,73.5,194,8.5,31.5,,4.41,,39.5,117,4.1,6.77,11,a,davis,a-davis-2002
75,2002,rj english,Pittsburgh,WR,74.1,211,9.25,32,,4.62,,37.5,119,4.11,7.03,11.08,r,english,r-english-2002
92,2002,jabar gaffney,Florida,WR,73.1,193,7.5,32.5,,4.56,,,,4.06,6.87,,j,gaffney,j-gaffney-2002
95,2002,david givens,Notre Dame,WR,72,217,9.25,31.5,,4.57,,40.5,124,4.13,6.82,11.15,d,givens,d-givens-2002
114,2002,herb haygood,Michigan State,WR,71.5,193,8.25,31.5,,4.46,,33,112,4.26,6.65,,h,haygood,h-haygood-2002
125,2002,kahlil hill,Iowa,WR,74,200,8.75,31,,4.67,,35,,,,,k,hill,k-hill-2002
130,2002,javin hunter,Notre Dame,WR,71.1,186,8,31,,4.47,,41,126,4.04,6.84,10.95,j,hunter,j-hunter-2002
137,2002,emmett johnson,Virginia Tech,WR,73.9,205,9.5,34.13,,4.45,,39,120,4.1,7.15,11.31,e,johnson,e-johnson-2002
139,2002,ron johnson,Minnesota,WR,74.5,225,8.75,32,,4.7,,34.5,116,4.02,7.12,11.24,r,johnson,r-johnson-2002
155,2002,aaron lockett,Kansas State,WR,67.4,155,7.13,29,,4.34,,35,112,4.11,6.84,,a,lockett,a-lockett-2002
161,2002,lee mays,Texas-El Paso,WR,73,190,,,,4.55,,32.5,119,4.17,7.06,,l,mays,l-mays-2002
162,2002,jason mcaddley,Alabama,WR,73.5,203,8.5,31.13,,4.5,,36.5,120,4.09,6.83,,j,mcaddley,j-mcaddley-2002
174,2002,freddie milons,Alabama,WR,70.1,190,8.75,31.5,,4.52,,33.5,112,,6.84,,f,milons,f-milons-2002
187,2002,kendall newson,Middle Tennessee State,WR,73.6,200,9,33.25,,4.72,,33.5,113,4.27,6.87,11.45,k,newson,k-newson-2002
203,2002,brian poli-dixon,UCLA,WR,77,210,9,34,,4.5,,,,,,,b,poli-dixon,b-poli-dixon-2002
208,2002,antwaan randle el,Indiana,WR,69.6,191,9.5,30.5,,4.54,,,,,,,a,el,a-el-2002
215,2002,cliff russell,Utah,WR,71.4,185,9,32.5,,4.43,,,,,,,c,russell,c-russell-2002
216,2002,jake schifino,Akron,WR,72.6,200,9.25,32.5,,4.47,,,,,,,j,schifino,j-schifino-2002
233,2002,lawrence story,Jackson State (MS),WR,76.6,205,9,32.75,,4.67,,33.5,110,4.16,7.06,11.14,l,story,l-story-2002
246,2002,ryan tolhurst,Richmond (VA),WR,71.1,196,10,30.75,,4.46,,38,122,3.88,6.65,10.72,r,tolhurst,r-tolhurst-2002
249,2002,javon walker,Florida State,WR,74.8,210,9.75,32.5,,4.4,,39.5,124,4.05,6.86,11.18,j,walker,j-walker-2002
2,2003,sam aiken,North Carolina,WR,73.9,209,10,31.25,,4.64,,39.5,121,,7.22,,s,aiken,s-aiken-2003
12,2003,arnaz battle,Notre Dame,WR,73,217,,,,4.58,,35,117,4.06,6.74,,a,battle,a-battle-2003
14,2003,ronald bellamy,Michigan,WR,72,208,9.25,32.5,,4.57,,30.5,119,4.09,7.37,11.58,r,bellamy,r-bellamy-2003
18,2003,anquan boldin,Florida State,WR,72.6,216,9.88,30,,4.73,,33.5,114,4.25,7.35,11.9,a,boldin,a-boldin-2003
28,2003,nate burleson,Nevada,WR,73,197,,,,4.51,,42.5,126,4.16,6.96,,n,burleson,n-burleson-2003
31,2003,tyrone calico,Middle Tennessee State,WR,75.8,223,9.63,34.38,,4.36,,38,127,4.2,6.72,10.99,t,calico,t-calico-2003
42,2003,kevin curtis,Utah State,WR,71.1,186,9.38,30.38,,4.46,,36,122,3.96,6.75,10.69,k,curtis,k-curtis-2003
54,2003,latarence dunbar,Texas Christian,WR,70.8,196,9,30,,4.54,,34,122,4.3,7.39,11.61,l,dunbar,l-dunbar-2003
64,2003,doug gabriel,Central Florida,WR,74.3,213,9.88,32.5,,4.56,,35.5,116,4.15,7.03,11.24,d,gabriel,d-gabriel-2003
66,2003,talman gardner,Florida State,WR,72.6,205,8.13,30.25,,4.47,,34.5,116,4.41,7.53,11.61,t,gardner,t-gardner-2003
88,2003,ryan hoag,Gustavus Adolphus (MN),WR,74,200,,,,4.51,,38,125,3.95,6.72,,r,hoag,r-hoag-2003
93,2003,keenan howry,Oregon,WR,69.6,178,8.88,29.25,,4.62,,31.5,114,4.24,7.34,11.56,k,howry,k-howry-2003
99,2003,andre johnson,Miami (FL),WR,74,230,9.13,34,,4.4,,39,132,,,,a,johnson,a-johnson-2003
101,2003,bethel johnson,Texas A&M,WR,71,201,8.5,31.25,,4.37,,38.5,127,,,,b,johnson,b-johnson-2003
107,2003,teyo johnson,Stanford,WR,77.4,247,10.25,31,,4.61,,33.5,,,,,t,johnson,t-johnson-2003
113,2003,kareem kelly,Southern California,WR,71.8,186,8.5,31,,4.43,,35,125,4.14,7.49,11.67,k,kelly,k-kelly-2003
130,2003,brandon lloyd,Illinois,WR,72.1,184,9,31.25,,4.61,,36,,,,,b,lloyd,b-lloyd-2003
136,2003,adrian madise,Texas Christian,WR,71.4,215,9.75,30.5,,4.53,,32,119,4.23,7.3,11.91,a,madise,a-madise-2003
138,2003,reno mahe,Brigham Young,WR,69.3,198,9.63,29.75,,4.71,,32,109,4.14,7.27,11.64,r,mahe,r-mahe-2003
167,2003,kassim osgood,San Diego State,WR,76.9,208,9.5,33,,4.7,,31,122,4.4,7.19,11.73,k,osgood,k-osgood-2003
225,2003,j.r. tolver,San Diego State,WR,73,202,9.38,31.75,,4.76,,36,119,4.16,6.98,11.19,j,tolver,j-tolver-2003
230,2003,bobby wade,Arizona,WR,70.3,193,9.75,31.5,,4.68,,34.5,115,4.03,7,11.48,b,wade,b-wade-2003
257,2003,walter young,Illinois,WR,76.6,214,10.63,35,,4.59,,39,121,4.22,6.89,11.74,w,young,w-young-2003
0,2004,derek abney,Kentucky,WR,69.3,179,9.13,28.88,,4.56,,33.5,120,4.08,6.89,11.08,d,abney,d-abney-2004
15,2004,bernard berrian,Frenso State (CA),WR,73,183,9.5,30.5,,4.58,,38,128,4.18,7.34,11.57,b,berrian,b-berrian-2004
22,2004,maurice brown,Iowa,WR,72.3,219,9.63,31.75,,4.54,,33,117,4.21,7.38,,m,brown,m-brown-2004
42,2004,michael clayton,Louisiana State,WR,74.8,209,9.13,32.38,,4.61,,32.5,116,4.09,6.77,11.07,m,clayton,m-clayton-2004
47,2004,chris collins,Mississippi,WR,73.1,201,8.5,30.25,,4.67,,35,112,,,,c,collins,c-collins-2004
50,2004,terrance copper,East Carolina (NC),WR,71.9,208,8.88,30.63,,4.51,,35.5,116,4.31,7.34,11.86,t,copper,t-copper-2004
52,2004,jerricho cotchery,North Carolina State,WR,72.5,212,9.5,31,,4.56,,36,121,3.91,6.93,10.91,j,cotchery,j-cotchery-2004
55,2004,tom crowder,Arkansas,WR,73,183,,,,4.45,,38.5,132,,,,t,crowder,t-crowder-2004
57,2004,lane danielson,Iowa State,WR,73,197,,,,4.6,,31,117,4.07,6.73,,l,danielson,l-danielson-2004
59,2004,devard darling,Washington State,WR,73.1,213,9.63,32.25,,4.52,,37,129,,,,d,darling,d-darling-2004
76,2004,lee evans,Wisconsin,WR,70.9,197,9.13,32.38,,4.41,,34.5,120,,,,l,evans,l-evans-2004
83,2004,carlos francis,Texas Tech,WR,69.1,198,10.13,30.88,,4.31,,38.5,114,4.06,6.97,11.1,c,francis,c-francis-2004
92,2004,d.j. hackett,Colorado,WR,74.5,199,9.5,31.25,,4.55,,41,131,4.08,6.79,,d,hackett,d-hackett-2004
110,2004,justin jenkins,Mississippi State,WR,71.5,213,9.38,30.38,,4.6,,35,123,4.16,7.47,,j,jenkins,j-jenkins-2004
115,2004,tony johnson,Penn State,WR,70.6,202,9.38,30.25,,4.61,,32.5,118,4.16,7.16,11.41,t,johnson,t-johnson-2004
140,2004,triandos luke,Alabama,WR,71,199,9.88,31.75,,4.43,,38,124,4.17,7.06,11.08,t,luke,t-luke-2004
141,2004,maurice mann,Nevada,WR,74,191,,,,4.57,,34,118,,,,m,mann,m-mann-2004
144,2004,derek mccoy,Colorado,WR,75.3,210,9.25,32.13,,4.73,,38,128,4.09,7.1,11.72,d,mccoy,d-mccoy-2004
148,2004,jeris mcintyre,Auburn,WR,71.3,203,8.5,29.38,,4.51,,29,112,4.08,6.98,11.5,j,mcintyre,j-mcintyre-2004
152,2004,clarence moore,Northern Arizona,WR,78,211,,,,4.55,,34,122,4.21,6.84,,c,moore,c-moore-2004
154,2004,johnnie morant,Syracuse,WR,76,229,9.38,34.38,,4.54,,41,130,4.22,7.34,,j,morant,j-morant-2004
156,2004,james newson,Oregon State,WR,72.8,213,8.75,31.13,,4.85,,31.5,116,,7.41,,j,newson,j-newson-2004
164,2004,samie parker,Oregon,WR,70.4,179,8.88,28.25,,4.39,,36,,,,,s,parker,s-parker-2004
194,2004,p.k. sam,Florida State,WR,75.4,210,8.25,31.38,,4.53,,34.5,,,7.04,11.43,p,sam,p-sam-2004
211,2004,freddie smith,Georgia Tech,WR,73.6,234,9.75,33.13,,4.79,24,32.5,114,4.4,,,f,smith,f-smith-2004
218,2004,john standeford,Purdue,WR,75.1,197,9,31.5,,4.63,,32.5,113,4.08,6.9,11.46,j,standeford,j-standeford-2004
