,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
804,3,69,LAR,Cooper Kupp,WR,24,East. Washington,2017,204,4.62,31,6.75,4.08,74,cooper kupp+2017,,,,,,,,,,,,,,,,1
805,3,72,TEN,Taywan Taylor,WR,22,Western Kentucky,2017,203,4.5,33.5,6.57,4.21,71,taywan taylor+2017,50,253,4234,16.73517787,41,14,49,3.5,0,267,4283,16.0411985,41,84.68,CUSA,3
806,3,79,NYJ,ArDarius Stewart,WR,23,Alabama,2017,204,4.49,34,,,71,ardarius stewart+2017,27,117,1564,13.36752137,12,13,82,6.307692308,0,130,1646,12.66153846,12,57.92592593,SEC,4
807,3,82,DEN,Carlos Henderson,WR,22,Louisiana Tech,2017,199,4.46,36,7.18,4.35,71,carlos henderson+2017,36,147,2878,19.57823129,28,32,259,8.09375,2,179,3137,17.52513966,30,79.94444444,CUSA,
808,3,84,TAM,Chris Godwin,WR,21,Penn St.,2017,209,4.42,36,7.01,4,73,chris godwin+2017,39,154,2421,15.72077922,18,3,14,4.666666667,0,157,2435,15.50955414,18,62.07692308,Big Ten,1
809,3,96,DET,Kenny Golladay,WR,23,Northern Illinois,2017,218,4.5,35.5,7,4.15,76,kenny golladay+2017,26,160,2285,14.28125,18,29,206,7.103448276,3,189,2491,13.17989418,21,87.88461538,MAC,1
810,3,98,ARI,Chad Williams,WR,22,Grambling St.,2017,,,,,,,chad williams+2017,,,,,,,,,,,,,,,,3
811,3,106,SEA,Amara Darboh,WR,23,Michigan,2017,214,4.45,36,,,74,amara darboh+2017,37,151,2062,13.65562914,14,2,2,1,0,153,2064,13.49019608,14,55.72972973,Big Ten,4
812,4,110,JAX,Dede Westbrook,WR,23,Oklahoma,2017,178,,,,,72,dede westbrook+2017,26,126,2267,17.99206349,21,15,118,7.866666667,0,141,2385,16.91489362,21,87.19230769,Big 12,2
813,4,117,LAR,Josh Reynolds,WR,22,Texas A&M,2017,194,4.52,37,6.83,4.13,75,josh reynolds+2017,38,164,2788,17,30,0,0,,0,164,2788,17,30,73.36842105,SEC,3
814,4,118,PHI,Mack Hollins,WR,23,North Carolina,2017,221,4.53,,,,76,mack hollins+2017,,,,,,,,,,,,,,,,3
815,4,128,CIN,Josh Malone,WR,21,Tennessee,2017,208,4.4,30.5,7.05,4.19,75,josh malone+2017,23,81,1377,17,13,0,0,,0,81,1377,17,13,59.86956522,SEC,4
816,4,133,DAL,Ryan Switzer,WR,22,North Carolina,2017,181,4.51,32,6.77,4,68,ryan switzer+2017,53,243,2903,11.94650206,19,25,82,3.28,0,268,2985,11.1380597,19,54.77358491,ACC,4
817,4,139,KAN,Jehu Chesson,WR,23,Michigan,2017,204,4.47,35.5,6.7,4.09,75,jehu chesson+2017,26,85,1264,14.87058824,11,20,218,10.9,3,105,1482,14.11428571,14,48.61538462,Big Ten,4
818,4,141,NYJ,Chad Hansen,WR,22,California,2017,202,4.53,35,6.74,4.13,74,chad hansen+2017,10,92,1249,13.57608696,11,0,0,,0,92,1249,13.57608696,11,124.9,Pac-12,4
819,5,166,PHI,Shelton Gibson,WR,23,West Virginia,2017,191,4.5,32,6.83,4.2,71,shelton gibson+2017,25,80,1838,22.975,17,2,29,14.5,0,82,1867,22.76829268,17,73.52,Big 12,4
820,5,170,MIN,Rodney Adams,WR,22,South Florida,2017,189,4.44,29.5,6.98,4.28,73,rodney adams+2017,35,134,1961,14.63432836,16,39,370,9.487179487,7,173,2331,13.47398844,23,56.02857143,American,
821,5,172,DEN,Isaiah McKenzie,WR,22,Georgia,2017,173,4.42,36,6.64,4.15,67,isaiah mckenzie+2017,13,44,633,14.38636364,7,19,134,7.052631579,2,63,767,12.17460317,9,48.69230769,SEC,4
822,5,175,GNB,DeAngelo Yancey,WR,22,Purdue,2017,,,,,,,deangelo yancey+2017,32,129,2197,17.03100775,17,0,0,,0,129,2197,17.03100775,17,68.65625,Big Ten,
823,5,177,SFO,Trent Taylor,WR,23,Louisiana Tech,2017,181,4.63,33,6.74,4.01,68,trent taylor+2017,51,327,4179,12.77981651,32,0,0,,0,327,4179,12.77981651,32,81.94117647,CUSA,3
824,6,209,WAS,Robert Davis,WR,22,Georgia St.,2017,219,4.44,41,6.82,4.28,75,robert davis+2017,49,222,3391,15.27477477,17,1,3,3,0,223,3394,15.21973094,17,69.20408163,Sun Belt,
825,7,219,MIN,Stacy Coley,WR,23,Miami (FL),2017,195,4.45,34,,,73,stacy coley+2017,36,143,2034,14.22377622,20,3,95,31.66666667,1,146,2129,14.58219178,21,56.5,ACC,
826,7,226,SEA,David Moore,WR,22,East Central (OK),2017,,,,,,,david moore+2017,,,,,,,,,,,,,,,,
827,7,237,MIA,Isaiah Ford,WR,21,Virginia Tech,2017,194,4.61,35.5,6.94,4.34,73,isaiah ford+2017,39,210,2967,14.12857143,24,17,84,4.941176471,0,227,3051,13.44052863,24,76.07692308,ACC,
828,7,239,DAL,Noah Brown,WR,21,Ohio St.,2017,222,,,7.07,4.33,74,noah brown+2017,12,32,402,12.5625,7,0,0,,0,32,402,12.5625,7,33.5,Big Ten,3
829,7,247,GNB,Malachi Dupre,WR,21,LSU,2017,196,4.52,39.5,7.19,4.26,74,malachi dupre+2017,23,84,1291,15.36904762,9,0,0,,0,84,1291,15.36904762,9,56.13043478,SEC,
830,1,24,CAR,D.J. Moore,WR,21,Maryland,2018,210,4.42,39.5,6.95,4.07,72,d.j. moore+2018,36,146,2027,13.88356164,17,17,125,7.352941176,1,163,2152,13.20245399,18,56.30555556,Big Ten,1
831,1,26,ATL,Calvin Ridley,WR,23,Alabama,2018,189,4.43,31,6.88,4.41,72,calvin ridley+2018,44,224,2781,12.41517857,19,8,40,5,1,232,2821,12.15948276,20,63.20454545,SEC,1
832,2,40,DEN,Courtland Sutton,WR,22,SMU,2018,218,4.54,35.5,6.57,4.11,75,courtland sutton+2018,37,193,3193,16.54404145,31,1,2,2,1,194,3195,16.46907216,32,86.2972973,American,2
833,2,44,SFO,Dante Pettis,WR,22,Washington,2018,186,,,,,72,dante pettis+2018,39,146,1997,13.67808219,23,4,42,10.5,0,150,2039,13.59333333,23,51.20512821,Pac-12,3
834,2,47,ARI,Christian Kirk,WR,21,Texas A&M,2018,201,4.47,35.5,7.09,4.45,70,christian kirk+2018,39,234,2856,12.20512821,26,23,120,5.217391304,0,257,2976,11.57976654,26,73.23076923,SEC,1
835,2,51,CHI,Anthony Miller,WR,23,Memphis,2018,201,,,,,71,anthony miller+2018,38,238,3590,15.08403361,37,31,148,4.774193548,3,269,3738,13.89591078,40,94.47368421,American,2
836,2,60,PIT,James Washington,WR,22,Oklahoma St.,2018,213,4.54,34.5,7.11,4.32,71,james washington+2018,51,226,4472,19.78761062,39,9,70,7.777777778,1,235,4542,19.32765957,40,87.68627451,Big 12,3
837,2,61,JAX,DJ Chark,WR,21,LSU,2018,199,4.34,40,,,75,dj chark+2018,,,,,,,,,,,,,,,,2
838,3,81,DAL,Michael Gallup,WR,22,Colorado St.,2018,205,4.51,36,6.95,4.37,73,michael gallup+2018,26,176,2690,15.28409091,21,4,15,3.75,0,180,2705,15.02777778,21,103.4615385,MWC,2
839,3,91,NOR,Tre'Quan Smith,WR,22,Central Florida,2018,,,,,,,tre'quan smith+2018,37,168,2748,16.35714286,22,5,23,4.6,1,173,2771,16.01734104,23,74.27027027,American,3
840,4,103,HOU,Keke Coutee,WR,21,Texas Tech,2018,181,4.43,34.5,6.93,4.15,70,keke coutee+2018,25,148,2319,15.66891892,17,8,17,2.125,1,156,2336,14.97435897,18,92.76,Big 12,2
841,4,105,CLE,Antonio Callaway,WR,21,Florida,2018,200,4.41,34,,,71,antonio callaway+2018,,,,,,,,,,,,,,,,3
842,4,113,DEN,DaeSean Hamilton,WR,23,Penn St.,2018,203,,34.5,6.84,4.15,73,daesean hamilton+2018,51,214,2842,13.28037383,18,10,22,2.2,0,224,2864,12.78571429,18,55.7254902,Big Ten,3
843,4,132,BAL,Jaleel Scott,WR,23,New Mexico St.,2018,218,4.56,34.5,7.2,4.4,77,jaleel scott+2018,23,99,1362,13.75757576,14,0,0,,0,99,1362,13.75757576,14,59.2173913,Sun Belt,
844,4,133,GNB,J'Mon Moore,WR,23,Missouri,2018,,,,,,,j'mon moore+2018,36,156,2444,15.66666667,21,0,0,,1,156,2444,15.66666667,22,67.88888889,SEC,4
845,5,144,TAM,Justin Watson,WR,22,Pennsylvania,2018,,,,,,,justin watson+2018,,,,,,,,,,,,,,,,3
846,5,159,IND,Daurice Fountain,WR,22,Northern Iowa,2018,,,,,,,daurice fountain+2018,,,,,,,,,,,,,,,,
847,5,162,BAL,Jordan Lasley,WR,21,UCLA,2018,203,4.5,34.5,,4.19,73,jordan lasley+2018,20,110,1884,17.12727273,14,4,-6,-1.5,0,114,1878,16.47368421,14,94.2,Pac-12,
848,5,174,GNB,Marquez Valdes-Scantling,WR,23,South Florida,2018,206,4.37,30.5,,,76,marquez valdes-scantling+2018,12,53,879,16.58490566,6,8,108,13.5,1,61,987,16.18032787,7,73.25,American,3
849,6,175,CLE,Damion Ratley,WR,23,Texas A&M,2018,,,,,,,damion ratley+2018,12,30,694,23.13333333,6,0,0,,0,30,694,23.13333333,6,57.83333333,SEC,3
850,6,185,IND,Deon Cain,WR,22,Clemson,2018,202,4.43,33.5,6.71,4.37,74,deon cain+2018,40,130,2040,15.69230769,20,1,-5,-5,0,131,2035,15.53435115,20,51,ACC,
851,6,187,BUF,Ray-Ray McCloud,WR,21,Clemson,2018,190,4.53,34.5,,,69,ray-ray mccloud+2018,39,127,1226,9.653543307,4,18,106,5.888888889,0,145,1332,9.186206897,4,31.43589744,ACC,4
852,6,191,LAC,Dylan Cantrell,WR,24,Texas Tech,2018,226,4.59,38.5,6.56,4.03,75,dylan cantrell+2018,23,129,1491,11.55813953,15,1,3,3,1,130,1494,11.49230769,16,64.82608696,Big 12,
853,6,194,ATL,Russell Gage,WR,22,LSU,2018,,,,,,,russell gage+2018,,,,,,,,,,,,,,,,3
854,6,196,KAN,Tremon Smith,WR,22,Central Arkansas,2018,,,,,,,tremon smith+2018,,,,,,,,,,,,,,,,
855,6,207,GNB,Equanimeous St. Brown,WR,21,Notre Dame,2018,214,4.48,,,,77,equanimeous st. brown+2018,24,91,1476,16.21978022,13,0,0,,0,91,1476,16.21978022,13,61.5,Ind,3
856,6,208,DAL,Cedrick Wilson Jr.,WR,22,Boise St.,2018,197,4.55,37,6.89,4.23,74,cedrick wilson jr.+2018,,,,,,,,,,,,,,,,
857,6,210,NWE,Braxton Berrios,WR,22,Miami (FL),2018,184,,,,,69,braxton berrios+2018,13,55,679,12.34545455,9,0,0,,0,55,679,12.34545455,9,52.23076923,ACC,
858,7,224,CHI,Javon Wims,WR,23,Georgia,2018,215,4.53,33.5,7,,75,javon wims+2018,14,45,720,16,7,0,0,,0,45,720,16,7,51.42857143,SEC,3
859,7,228,OAK,Marcell Ateman,WR,23,Oklahoma St.,2018,216,4.62,34,7.07,4.25,76,marcell ateman+2018,25,104,1922,18.48076923,13,1,1,1,0,105,1923,18.31428571,13,76.88,Big 12,3
860,7,240,SFO,Richie James,WR,23,Middle Tenn. St.,2018,183,4.48,35.5,6.87,4.16,70,richie james+2018,31,243,3249,13.37037037,23,61,554,9.081967213,5,304,3803,12.50986842,28,104.8064516,CUSA,3
861,7,253,CIN,Auden Tate,WR,21,Florida St.,2018,228,4.68,31,,,77,auden tate+2018,22,65,957,14.72307692,16,0,0,,0,65,957,14.72307692,16,43.5,ACC,3
862,7,255,BUF,Austin Proehl,WR,22,North Carolina,2018,,,,,,,austin proehl+2018,,,,,,,,,,,,,,,,
863,7,256,WAS,Trey Quinn,WR,22,SMU,2018,203,4.55,33.5,6.91,4.19,71,trey quinn+2018,13,114,1236,10.84210526,13,1,0,0,0,115,1236,10.74782609,13,95.07692308,American,3
864,1,25,BAL,Marquise Brown,WR,22,Oklahoma,2019,166,,,,,69,marquise brown+2019,25,132,2413,18.28030303,17,3,0,0,0,135,2413,17.87407407,17,96.52,Big 12,1
865,1,32,NWE,N'Keal Harry,WR,21,Arizona St.,2019,228,4.53,38.5,,,74,n'keal harry+2019,37,213,2889,13.56338028,22,23,144,6.260869565,3,236,3033,12.85169492,25,78.08108108,Pac-12,3
866,2,36,SFO,Deebo Samuel,WR,23,South Carolina,2019,214,4.48,39,7.03,4.14,71,deebo samuel+2019,22,121,1665,13.76033058,12,23,124,5.391304348,6,144,1789,12.42361111,18,75.68181818,SEC,1
867,2,51,TEN,A.J. Brown,WR,22,Mississippi,2019,226,4.49,36.5,,,72,a.j. brown+2019,34,189,2984,15.78835979,19,0,0,,0,189,2984,15.78835979,19,87.76470588,SEC,1
868,2,56,KAN,Mecole Hardman,WR,21,Georgia,2019,187,4.33,36.5,,,70,mecole hardman+2019,14,35,543,15.51428571,7,5,36,7.2,0,40,579,14.475,7,38.78571429,SEC,2
869,2,57,PHI,JJ Arcega-Whiteside,WR,22,Stanford,2019,225,,,,,74,jj arcega-whiteside+2019,23,111,1840,16.57657658,23,0,0,,0,111,1840,16.57657658,23,80,Pac-12,4
870,2,59,IND,Parris Campbell,WR,22,Ohio St.,2019,205,4.31,40,,4.03,72,parris campbell+2019,27,130,1647,12.66923077,15,19,156,8.210526316,1,149,1803,12.10067114,16,61,Big Ten,3
871,2,62,ARI,Andy Isabella,WR,22,Massachusetts,2019,188,4.31,36.5,6.95,4.15,69,andy isabella+2019,36,229,3519,15.36681223,30,37,314,8.486486486,2,266,3833,14.40977444,32,97.75,Ind,3
872,2,64,SEA,D.K. Metcalf,WR,21,Mississippi,2019,228,4.33,40.5,7.38,4.5,75,d.k. metcalf+2019,19,65,1215,18.69230769,12,0,0,,0,65,1215,18.69230769,12,63.94736842,SEC,1
873,3,66,PIT,Diontae Johnson,WR,23,Toledo,2019,183,4.53,33.5,7.09,4.45,70,diontae johnson+2019,27,123,2039,16.57723577,21,4,26,6.5,0,127,2065,16.25984252,21,75.51851852,MAC,1
874,3,67,SFO,Jalen Hurd,WR,23,Baylor,2019,226,,,,,77,jalen hurd+2019,12,69,946,13.71014493,4,48,209,4.354166667,3,117,1155,9.871794872,7,78.83333333,Big 12,
875,3,76,WAS,Terry McLaurin,WR,23,Ohio St.,2019,208,4.35,37.5,7.01,4.15,72,terry mclaurin+2019,25,64,1137,17.765625,17,0,0,,0,64,1137,17.765625,17,45.48,Big Ten,1
876,3,93,BAL,Miles Boykin,WR,22,Notre Dame,2019,220,4.42,43.5,6.77,4.07,76,miles boykin+2019,13,59,872,14.77966102,8,0,0,,0,59,872,14.77966102,8,67.07692308,Ind,3
877,4,103,ARI,Hakeem Butler,WR,23,Iowa St.,2019,227,4.48,36,,,77,hakeem butler+2019,26,101,2015,19.95049505,16,0,0,,0,101,2015,19.95049505,16,77.5,Big 12,
878,4,120,SEA,Gary Jennings Jr,WR,22,West Virginia,2019,214,4.42,37,7.32,4.15,73,gary jennings jr+2019,,,,,,,,,,,,,,,,
879,4,126,CHI,Riley Ridley,WR,23,Georgia,2019,199,4.58,30.5,7.22,4.28,73,riley ridley+2019,14,43,559,13,9,0,0,,0,43,559,13,9,39.92857143,SEC,3
880,5,149,OAK,Hunter Renfrow,WR,23,Clemson,2019,184,4.59,35,6.8,4.19,70,hunter renfrow+2019,53,186,2133,11.46774194,15,0,0,,0,186,2133,11.46774194,15,40.24528302,ACC,2
881,5,171,NYG,Darius Slayton,WR,22,Auburn,2019,190,4.39,40.5,7,4.15,73,darius slayton+2019,22,64,1313,20.515625,10,0,0,,0,64,1313,20.515625,10,59.68181818,SEC,2
882,6,174,ARI,KeeSean Johnson,WR,22,Fresno St.,2019,201,4.6,30,7.28,4.23,73,keesean johnson+2019,51,275,3463,12.59272727,24,8,27,3.375,0,283,3490,12.33215548,24,67.90196078,MWC,3
883,6,184,DET,Travis Fulgham,WR,23,Old Dominion,2019,215,4.58,36.5,,,74,travis fulgham+2019,35,122,1955,16.02459016,18,0,0,,0,122,1955,16.02459016,18,55.85714286,CUSA,
884,6,187,DEN,Juwann Winfree,WR,23,Colorado,2019,,,,,,,juwann winfree+2019,8,28,324,11.57142857,2,0,0,,0,28,324,11.57142857,2,40.5,Pac-12,
885,6,203,ATL,Marcus Green,WR,23,La-Monroe,2019,,,,,,,marcus green+2019,48,202,2698,13.35643564,23,51,492,9.647058824,1,253,3190,12.60869565,24,56.20833333,Sun Belt,
886,6,206,WAS,Kelvin Harmon,WR,22,North Carolina St.,2019,221,4.6,32.5,7.15,4.32,74,kelvin harmon+2019,35,177,2665,15.05649718,16,0,0,,0,177,2665,15.05649718,16,76.14285714,ACC,3
887,6,208,TAM,Scott Miller,WR,22,Bowling Green,2019,,,,,,,scott miller+2019,35,208,2838,13.64423077,23,6,38,6.333333333,0,214,2876,13.43925234,23,81.08571429,MAC,3
888,7,236,SEA,John Ursua,WR,25,Hawaii,2019,,,,,,,john ursua+2019,33,189,2662,14.08465608,24,6,12,2,2,195,2674,13.71282051,26,80.66666667,MWC,4
889,7,237,CAR,Terry Godwin,WR,22,Georgia,2019,184,4.55,36.5,6.96,,71,terry godwin+2019,,,,,,,,,,,,,,,,
890,7,239,MIN,Dillon Mitchell,WR,22,Oregon,2019,197,4.46,36.5,,4.29,73,dillon mitchell+2019,24,117,1701,14.53846154,14,5,11,2.2,0,122,1712,14.03278689,14,70.875,Pac-12,
891,7,247,MIN,Olabisi Johnson,WR,22,Colorado St.,2019,204,4.51,38,6.88,4.16,72,olabisi johnson+2019,34,123,2004,16.29268293,10,1,13,13,0,124,2017,16.26612903,10,58.94117647,MWC,3
892,1,12,LVR,Henry Ruggs III,WR,21,Alabama,2020,188,4.27,42,,,71,henry ruggs iii+2020,26,86,1487,17.29069767,18,2,75,37.5,1,88,1562,17.75,19,57.19230769,SEC,2
893,1,15,DEN,Jerry Jeudy,WR,21,Alabama,2020,193,4.45,35,,4.53,73,jerry jeudy+2020,28,145,2478,17.08965517,24,1,1,1,0,146,2479,16.97945205,24,88.5,SEC,2
894,1,17,DAL,CeeDee Lamb,WR,21,Oklahoma,2020,198,4.5,34.5,,,74,ceedee lamb+2020,40,173,3292,19.02890173,32,9,20,2.222222222,1,182,3312,18.1978022,33,82.3,Big 12,1
895,1,21,PHI,Jalen Reagor,WR,21,TCU,2020,206,4.47,42,7.31,4.46,71,jalen reagor+2020,39,148,2248,15.18918919,22,35,324,9.257142857,2,183,2572,14.05464481,24,57.64102564,Big 12,3
896,1,22,MIN,Justin Jefferson,WR,21,LSU,2020,202,4.43,37.5,,,73,justin jefferson+2020,28,165,2415,14.63636364,24,5,26,5.2,0,170,2441,14.35882353,24,86.25,SEC,1
897,1,25,SFO,Brandon Aiyuk,WR,22,Arizona St.,2020,205,4.5,40,,,72,brandon aiyuk+2020,25,98,1666,17,11,1,6,6,0,99,1672,16.88888889,11,66.64,Pac-12,1
898,2,33,CIN,Tee Higgins,WR,21,Clemson,2020,216,,,,,76,tee higgins+2020,30,118,2103,17.8220339,25,1,36,36,1,119,2139,17.97478992,26,70.1,ACC,1
899,2,34,IND,Michael Pittman Jr.,WR,22,USC,2020,223,4.52,36.5,6.96,4.14,76,michael pittman jr.+2020,23,142,2033,14.31690141,17,1,9,9,0,143,2042,14.27972028,17,88.39130435,Pac-12,1
900,2,42,JAX,Laviska Shenault Jr.,WR,21,Colorado,2020,227,4.58,,,,73,laviska shenault jr.+2020,20,142,1775,12.5,10,40,276,6.9,7,182,2051,11.26923077,17,88.75,Pac-12,2
901,2,46,DEN,KJ Hamler,WR,21,Penn St.,2020,178,,,,,69,kj hamler+2020,26,98,1658,16.91836735,13,17,87,5.117647059,1,115,1745,15.17391304,14,63.76923077,Big Ten,3
902,2,49,PIT,Chase Claypool,WR,22,Notre Dame,2020,238,4.42,40.5,,,76,chase claypool+2020,37,145,2078,14.33103448,19,2,-3,-1.5,0,147,2075,14.11564626,19,56.16216216,Ind,1
903,2,57,LAR,Van Jefferson,WR,24,Florida,2020,200,,,,,73,van jefferson+2020,23,84,1160,13.80952381,12,1,7,7,0,85,1167,13.72941176,12,50.43478261,SEC,3
904,2,59,NYJ,Denzel Mims,WR,22,Baylor,2020,207,4.38,38.5,6.66,4.43,75,denzel mims+2020,37,182,2901,15.93956044,28,1,-6,-6,0,183,2895,15.81967213,28,78.40540541,Big 12,3
905,3,80,LVR,Lynn Bowden Jr.,WR,22,Kentucky,2020,204,,,,,71,lynn bowden jr.+2020,,,,,,,,,,,,,,,,
906,3,81,LVR,Bryan Edwards,WR,21,South Carolina,2020,212,,,,,75,bryan edwards+2020,48,234,3045,13.01282051,22,6,41,6.833333333,0,240,3086,12.85833333,22,63.4375,SEC,3
907,3,92,BAL,Devin Duvernay,WR,22,Texas,2020,200,4.39,35.5,7.13,4.2,70,devin duvernay+2020,27,147,1932,13.14285714,13,11,34,3.090909091,1,158,1966,12.44303797,14,71.55555556,Big 12,3
908,4,128,BUF,Gabriel Davis,WR,21,Central Florida,2020,216,4.54,35,7.08,4.59,74,gabriel davis+2020,34,152,2447,16.09868421,23,0,0,,0,152,2447,16.09868421,23,71.97058824,American,2
909,4,142,WAS,Antonio Gandy-Golden,WR,22,Liberty,2020,223,4.6,36,7.33,4.55,76,antonio gandy-golden+2020,24,150,2433,16.22,20,0,0,,0,150,2433,16.22,20,101.375,Ind,4
910,5,151,LAC,Joe Reed,WR,22,Virginia,2020,224,4.47,38,,,72,joe reed+2020,26,102,1144,11.21568627,14,11,57,5.181818182,0,113,1201,10.62831858,14,44,ACC,4
911,5,161,TAM,Tyler Johnson,WR,22,Minnesota,2020,206,,,,,73,tyler johnson+2020,36,199,3164,15.89949749,32,1,-1,-1,0,200,3163,15.815,32,87.88888889,Big Ten,3
912,5,165,JAX,Collin Johnson,WR,22,Texas,2020,222,,,,,78,collin johnson+2020,42,188,2624,13.95744681,15,0,-7,#NAME?,0,188,2617,13.92021277,15,62.47619048,Big 12,3
913,5,166,DET,Quintez Cephus,WR,22,Wisconsin,2020,202,4.73,38.5,7.2,4.33,73,quintez cephus+2020,24,89,1402,15.75280899,13,4,5,1.25,0,93,1407,15.12903226,13,58.41666667,Big Ten,3
914,5,168,PHI,John Hightower,WR,24,Boise St.,2020,189,4.43,38.5,7.07,4.21,73,john hightower+2020,23,82,1447,17.64634146,14,24,317,13.20833333,2,106,1764,16.64150943,16,62.91304348,MWC,3
915,5,171,HOU,Isaiah Coulter,WR,21,Rhode Island,2020,198,4.45,36,7.28,4.62,74,isaiah coulter+2020,,,,,,,,,,,,,,,,
916,5,173,CHI,Darnell Mooney,WR,22,Tulane,2020,176,4.38,37,,,70,darnell mooney+2020,46,154,2572,16.7012987,19,5,28,5.6,0,159,2600,16.35220126,19,55.91304348,American,1
917,5,176,MIN,K.J. Osborn,WR,23,Miami (FL),2020,203,4.48,37.5,7,4.35,71,k.j. osborn+2020,13,50,547,10.94,5,5,15,3,0,55,562,10.21818182,5,42.07692308,ACC,
918,6,187,CLE,Donovan Peoples-Jones,WR,21,Michigan,2020,212,4.48,44.5,,,74,donovan peoples-jones+2020,24,81,1050,12.96296296,14,5,30,6,0,86,1080,12.55813953,14,43.75,Big Ten,3
919,6,200,PHI,Quez Watkins,WR,22,Southern Miss,2020,185,4.35,36.5,7.28,4.36,72,quez watkins+2020,23,136,2067,15.19852941,15,5,12,2.4,0,141,2079,14.74468085,15,89.86956522,CUSA,3
920,6,201,BAL,James Proche,WR,23,SMU,2020,201,,34.5,7.27,4.4,71,james proche+2020,49,301,3949,13.11960133,39,10,50,5,0,311,3999,12.8585209,39,80.59183673,American,4
921,6,207,BUF,Isaiah Hodgins,WR,21,Oregon St.,2020,210,4.61,36.5,7.01,4.12,76,isaiah hodgins+2020,34,176,2322,13.19318182,20,0,0,,0,176,2322,13.19318182,20,68.29411765,Pac-12,
922,6,212,IND,Dezmon Patmon,WR,22,Washington St.,2020,225,4.48,36,7.28,4.38,76,dezmon patmon+2020,35,154,1957,12.70779221,13,0,0,,0,154,1957,12.70779221,13,55.91428571,Pac-12,
923,6,214,SEA,Freddie Swain,WR,22,Florida,2020,197,4.46,36.5,7.05,4.26,72,freddie swain+2020,12,38,517,13.60526316,7,4,27,6.75,0,42,544,12.95238095,7,43.08333333,SEC,3
924,7,217,SFO,Jauan Jennings,WR,23,Tennessee,2020,215,4.72,29,,,75,jauan jennings+2020,37,129,1987,15.40310078,18,18,78,4.333333333,1,147,2065,14.04761905,19,53.7027027,SEC,
925,7,220,LAC,K.J. Hill,WR,22,Ohio St.,2020,196,4.6,32.5,,,72,k.j. hill+2020,42,183,2070,11.31147541,19,4,-1,-0.25,0,187,2069,11.06417112,19,49.28571429,Big Ten,4
926,7,252,DEN,Tyrie Cleveland,WR,22,Florida,2020,209,4.46,39.5,,,74,tyrie cleveland+2020,21,47,761,16.19148936,3,2,6,3,0,49,767,15.65306122,3,36.23809524,SEC,4
927,1,5,CIN,Ja'Marr Chase,WR,21,LSU,2021,201,4.34,41,6.96,3.99,72,ja'marr chase+2021,14,84,1780,21.19047619,20,1,5,5,0,85,1785,21,20,127.1428571,SEC,1
928,1,6,MIA,Jaylen Waddle,WR,22,Alabama,2021,,,,,,,jaylen waddle+2021,34,106,1999,18.85849057,17,4,17,4.25,0,110,2016,18.32727273,17,58.79411765,SEC,1
929,1,10,PHI,DeVonta Smith,WR,22,Alabama,2021,,,,,,,devonta smith+2021,39,227,3805,16.76211454,43,4,6,1.5,1,231,3811,16.4978355,44,97.56410256,SEC,2
930,1,20,NYG,Kadarius Toney,WR,22,Florida,2021,193,4.39,39.5,6.88,4.25,71,kadarius toney+2021,23,95,1244,13.09473684,11,40,401,10.025,1,135,1645,12.18518519,12,54.08695652,SEC,2
931,1,27,BAL,Rashod Bateman,WR,21,Minnesota,2021,190,4.39,36,,,72,rashod bateman+2021,31,147,2395,16.29251701,19,0,0,,0,147,2395,16.29251701,19,77.25806452,Big Ten,2
932,2,34,NYJ,Elijah Moore,WR,21,Mississippi,2021,,,,,,,elijah moore+2021,31,189,2441,12.91534392,16,21,71,3.380952381,0,210,2512,11.96190476,16,78.74193548,SEC,1
933,2,49,ARI,Rondale Moore,WR,21,Purdue,2021,180,4.28,42.5,6.65,4.06,67,rondale moore+2021,20,178,1915,10.75842697,14,30,248,8.266666667,3,208,2163,10.39903846,17,95.75,Big Ten,2
934,2,56,SEA,D'Wayne Eskridge,WR,24,Western Michigan,2021,190,4.38,35,6.93,4.22,68,d'wayne eskridge+2021,29,101,2050,20.2970297,14,6,56,9.333333333,0,107,2106,19.68224299,14,70.68965517,MAC,3
935,2,57,LAR,Tutu Atwell,WR,21,Louisville,2021,155,4.42,33,6.89,4.14,68,tutu atwell+2021,,,,,,,,,,,,,,,,
936,2,59,CAR,Terrace Marshall Jr.,WR,21,LSU,2021,,,,,,,terrace marshall jr.+2021,19,94,1402,14.91489362,23,0,0,,0,94,1402,14.91489362,23,73.78947368,SEC,3
937,3,77,LAC,Josh Palmer,WR,22,Tennessee,2021,,,,,,,josh palmer+2021,33,90,1416,15.73333333,7,7,31,4.428571429,1,97,1447,14.91752577,8,42.90909091,SEC,3
938,3,82,WAS,Dyami Brown,WR,21,North Carolina,2021,189,4.46,35,6.87,4.35,72,dyami brown+2021,23,106,2133,20.12264151,20,1,2,2,0,107,2135,19.95327103,20,92.73913043,ACC,3
939,3,85,GNB,Amari Rodgers,WR,21,Clemson,2021,212,4.52,33,7.07,4.31,69,amari rodgers+2021,40,162,2021,12.47530864,15,3,55,18.33333333,1,165,2076,12.58181818,16,50.525,ACC,4
