,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
776,4,107,BAL,Chris Moore,WR,23,Cincinnati,2016,206,4.53,37,6.76,4.2,73,chris moore+2016,35,115,2188,19.02608696,24,4,26,6.5,0,119,2214,18.60504202,24,62.51428571,American,3
777,4,112,NWE,Malcolm Mitchell,WR,24,Georgia,2016,198,4.45,36,6.94,4.34,72,malcolm mitchell+2016,45,174,2350,13.50574713,16,9,55,6.111111111,0,183,2405,13.1420765,16,52.22222222,SEC,
778,4,114,CLE,Ricardo Louis,WR,22,Auburn,2016,215,4.43,38,,,74,ricardo louis+2016,27,74,1041,14.06756757,5,48,356,7.416666667,1,122,1397,11.45081967,6,38.55555556,SEC,3
779,4,117,LAR,Pharoh Cooper,WR,21,South Carolina,2016,203,4.52,31,,,71,pharoh cooper+2016,25,135,2109,15.62222222,17,51,311,6.098039216,3,186,2420,13.01075269,20,84.36,SEC,3
780,4,126,KAN,Demarcus Robinson,WR,21,Florida,2016,203,4.59,34.5,6.77,4.19,73,demarcus robinson+2016,23,100,1330,13.3,9,3,6,2,0,103,1336,12.97087379,9,57.82608696,SEC,
781,5,140,TEN,Tajae Sharpe,WR,21,Massachusetts,2016,194,4.55,33.5,,,74,tajae sharpe+2016,36,257,3280,12.76264591,16,4,11,2.75,0,261,3291,12.6091954,16,91.11111111,MAC,3
782,5,154,CLE,Jordan Payton,WR,23,UCLA,2016,207,4.47,34.5,7.08,4.33,73,jordan payton+2016,38,183,2499,13.6557377,13,0,0,,0,183,2499,13.6557377,13,65.76315789,Pac-12,4
783,5,163,GNB,Trevor Davis,WR,23,California,2016,188,4.42,38.5,6.6,4.22,73,trevor davis+2016,22,64,1071,16.734375,7,3,4,1.333333333,0,67,1075,16.04477612,7,48.68181818,Pac-12,4
784,5,165,KAN,Tyreek Hill,WR,22,West Alabama,2016,,,,,,,tyreek hill+2016,,,,,,,,,,,,,,,,1
785,5,172,CLE,Rashard Higgins,WR,21,Colorado St.,2016,196,4.64,32,,,73,rashard higgins+2016,38,238,3648,15.32773109,31,2,21,10.5,0,240,3669,15.2875,31,96,MWC,3
786,6,180,MIN,Moritz Boehringer,WR,22,,2016,,,,,,,moritz boehringer+2016,,,,,,,,,,,,,,,,
787,6,186,MIA,Jakeem Grant,WR,23,Texas Tech,2016,,,,,,,jakeem grant+2016,49,254,3286,12.93700787,27,33,199,6.03030303,2,287,3485,12.14285714,29,67.06122449,Big 12,3
788,6,192,BUF,Kolby Listenbee,WR,22,TCU,2016,197,4.39,35.5,,,72,kolby listenbee+2016,23,71,1350,19.01408451,9,3,30,10,0,74,1380,18.64864865,9,58.69565217,Big 12,
789,6,199,CIN,Cody Core,WR,22,Mississippi,2016,205,4.47,31.5,,,75,cody core+2016,25,78,1202,15.41025641,10,5,87,17.4,0,83,1289,15.53012048,10,48.08,SEC,3
790,6,206,LAR,Mike Thomas,WR,22,Southern Miss,2016,,,,,,,mike thomas+2016,,,,,,,,,,,,,,,,4
791,6,213,SFO,Aaron Burbridge,WR,22,Michigan St.,2016,206,4.56,30.5,7.22,4.31,72,aaron burbridge+2016,37,143,1980,13.84615385,10,18,87,4.833333333,0,161,2067,12.83850932,10,53.51351351,Big Ten,4
792,7,225,NWE,Devin Lucien,WR,23,Arizona St.,2016,,,,,,,devin lucien+2016,12,66,1074,16.27272727,8,0,0,,0,66,1074,16.27272727,8,89.5,Pac-12,
793,7,229,PIT,Demarcus Ayers,WR,22,Houston,2016,182,4.72,33,,,69,demarcus ayers+2016,27,130,1556,11.96923077,8,28,152,5.428571429,1,158,1708,10.81012658,9,57.62962963,American,2
794,7,230,CHI,Daniel Braverman,WR,22,Western Michigan,2016,,,,,,,daniel braverman+2016,26,194,2364,12.18556701,19,8,71,8.875,1,202,2435,12.05445545,20,90.92307692,MAC,
795,7,238,ATL,Devin Fuller,WR,22,UCLA,2016,,,,,,,devin fuller+2016,,,,,,,,,,,,,,,,
796,7,241,NYJ,Charone Peake,WR,23,Clemson,2016,209,4.45,35.5,6.96,4.46,74,charone peake+2016,27,75,888,11.84,7,1,4,4,0,76,892,11.73684211,7,32.88888889,ACC,4
797,7,243,SEA,Kenny Lawler,WR,22,California,2016,203,4.64,31,7.13,4.2,74,kenny lawler+2016,34,143,1706,11.93006993,27,2,15,7.5,0,145,1721,11.86896552,27,50.17647059,Pac-12,
798,1,5,TEN,Corey Davis,WR,22,Western Michigan,2017,209,,,,,75,corey davis+2017,50,331,5278,15.94561934,52,3,13,4.333333333,0,334,5291,15.84131737,52,105.56,MAC,2
799,1,7,LAC,Mike Williams,WR,22,Clemson,2017,218,,32.5,,,76,mike williams+2017,27,155,2391,15.42580645,17,0,0,,0,155,2391,15.42580645,17,88.55555556,ACC,2
800,1,9,CIN,John Ross,WR,21,Washington,2017,188,4.22,37,,,71,john ross+2017,14,81,1150,14.19753086,17,8,102,12.75,1,89,1252,14.06741573,18,82.14285714,Pac-12,3
801,2,37,BUF,Zay Jones,WR,22,East Carolina,2017,201,4.45,36.5,6.79,4.01,74,zay jones+2017,49,399,4279,10.72431078,23,5,18,3.6,0,404,4297,10.63613861,23,87.32653061,American,3
802,2,40,CAR,Curtis Samuel,WR,21,Ohio St.,2017,196,4.31,37,7.09,4.33,71,curtis samuel+2017,13,74,865,11.68918919,7,97,771,7.948453608,8,171,1636,9.567251462,15,66.53846154,Big Ten,2
803,2,62,PIT,JuJu Smith-Schuster,WR,20,USC,2017,215,4.54,32.5,,,73,juju smith-schuster+2017,40,213,3092,14.51643192,25,8,34,4.25,0,221,3126,14.14479638,25,77.3,Pac-12,1
