,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
36,6,164,IND,Lamont Warren,RB,21,Colorado,1994,194,4.6,34,,4.16,71.8,lamont warren+1994,11,183,900,4.918032787,7,15,184,12.26666667,1,198,1084,5.474747475,8,98.54545455,Big 8,3
37,6,171,CLE,Robert Strait,RB,,Baylor,1994,,,,,,,robert strait+1994,9,85,347,4.082352941,9,8,93,11.625,0,93,440,4.731182796,9,48.88888889,SWC,
38,6,173,NYJ,Fred Lester,RB,,Alabama A&M,1994,,,,,,,fred lester+1994,,,,,,,,,,,,,,,,
39,6,185,KAN,Anthony Daigle,RB,24,Fresno St.,1994,,,,,,,anthony daigle+1994,12,156,769,4.929487179,7,42,612,14.57142857,8,198,1381,6.974747475,15,115.0833333,WAC,
40,7,201,ATL,Jamal Anderson,RB,21,Utah,1994,,,,,,,jamal anderson+1994,12,168,958,5.702380952,11,17,183,10.76470588,3,185,1141,6.167567568,14,95.08333333,WAC,1
41,7,204,ARI,Frank Harvey,RB,23,Georgia,1994,,,,,,,frank harvey+1994,,,,,,,,,,,,,,,,
42,7,206,PHI,Mark Montgomery,RB,,Wisconsin,1994,220,,,,,71.9,mark montgomery+1994,,,,,,,,,,,,,,,,
43,7,209,PIT,Brice Abrams,RB,,Michigan St.,1994,,,,,,,brice abrams+1994,,,,,,,,,,,,,,,,
44,7,212,DEN,Butler By'not'e,RB,21,Ohio St.,1994,,,,,,,butler by'not'e+1994,12,96,474,4.9375,4,3,1,0.333333333,0,99,475,4.797979798,4,39.58333333,Big Ten,
45,1,1,CIN,Ki-Jana Carter,RB,21,Penn St.,1995,227,,,,,70,ki-jana carter+1995,22,353,2565,7.266288952,30,20,172,8.6,0,373,2737,7.337801609,30,124.4090909,Big Ten,2
46,1,17,NYG,Tyrone Wheatley,RB,23,Michigan,1995,232,4.53,35.5,,4.27,72,tyrone wheatley+1995,21,417,2273,5.450839329,25,28,275,9.821428571,3,445,2548,5.725842697,28,121.3333333,Big Ten,3
47,1,18,OAK,Napoleon Kaufman,RB,22,Washington,1995,182,4.48,38.5,,,68.5,napoleon kaufman+1995,22,481,2689,5.59043659,23,47,338,7.191489362,0,528,3027,5.732954545,23,137.5909091,Pac-10,2
48,1,19,JAX,James Stewart,RB,23,Tennessee,1995,222,,38,,4.09,73.4,james stewart+1995,20,252,1328,5.26984127,17,16,154,9.625,1,268,1482,5.529850746,18,74.1,Big East,2
49,1,19,JAX,James Stewart,RB,23,Tennessee,1995,222,,38,,4.09,73.4,james stewart+1995,22,256,1565,6.11328125,20,29,236,8.137931034,3,285,1801,6.319298246,23,81.86363636,SEC,2
50,1,21,CHI,Rashaan Salaam,RB,20,Colorado,1995,228,,,,,72.9,rashaan salaam+1995,20,459,2899,6.315904139,32,37,412,11.13513514,0,496,3311,6.675403226,32,165.55,Big 8,2
51,2,44,NOR,Ray Zellars,RB,22,Notre Dame,1995,,,,,,,ray zellars+1995,22,178,960,5.393258427,8,26,223,8.576923077,5,204,1183,5.799019608,13,53.77272727,Ind,3
52,2,46,DAL,Sherman Williams,RB,22,Alabama,1995,196,,,,,67.8,sherman williams+1995,23,459,2079,4.529411765,17,27,304,11.25925926,2,486,2383,4.903292181,19,103.6086957,SEC,3
53,2,51,SDG,Terrell Fletcher,RB,21,Wisconsin,1995,200,,,,,67.6,terrell fletcher+1995,24,409,2472,6.04400978,21,36,311,8.638888889,2,445,2783,6.253932584,23,115.9583333,Big Ten,3
54,3,74,NWE,Curtis Martin,RB,22,Pittsburgh,1995,,,,,,,curtis martin hof+1995,,,,,,,,,,,,,,,,
55,3,86,OAK,Joe Aska,RB,23,Central Oklahoma,1995,230,4.43,34.5,,4.31,70.5,joe aska+1995,,,,,,,,,,,,,,,,
56,3,89,HOU,Rodney Thomas,RB,22,Texas A&M,1995,213,4.54,33,,,70.3,rodney thomas+1995,22,390,1864,4.779487179,25,28,307,10.96428571,4,418,2171,5.193779904,29,98.68181818,SWC,3
57,4,103,WAS,Larry Jones,RB,,Miami (FL),1995,,,,,,,larry jones+1995,11,88,409,4.647727273,4,1,4,4,0,89,413,4.640449438,4,37.54545455,Big East,
58,4,104,SDG,Aaron Hayden,RB,22,Tennessee,1995,218,,,,,71.6,aaron hayden+1995,11,157,819,5.21656051,3,7,115,16.42857143,0,164,934,5.695121951,3,84.90909091,SEC,3
59,5,157,MIN,James Stewart,RB,23,Miami (FL),1995,222,,38,,4.09,73.4,james stewart+1995,20,252,1328,5.26984127,17,16,154,9.625,1,268,1482,5.529850746,18,74.1,Big East,2
60,5,157,MIN,James Stewart,RB,23,Miami (FL),1995,222,,38,,4.09,73.4,james stewart+1995,22,256,1565,6.11328125,20,29,236,8.137931034,3,285,1801,6.319298246,23,81.86363636,SEC,2
61,5,169,JAX,Ryan Christopherson,RB,23,Wyoming,1995,,,,,,,ryan christopherson+1995,23,507,2469,4.869822485,19,23,262,11.39130435,2,530,2731,5.152830189,21,118.7391304,WAC,4
62,5,170,GNB,Travis Jervey,RB,23,The Citadel,1995,,,,,,,travis jervey+1995,,,,,,,,,,,,,,,,
63,6,195,NWE,Dino Philyaw,RB,24,Oregon,1995,192,4.57,36.5,,4.25,70.5,dino philyaw+1995,13,181,716,3.955801105,7,30,301,10.03333333,4,211,1017,4.819905213,11,78.23076923,Pac-10,4
64,6,196,DEN,Terrell Davis,RB,22,Georgia,1995,,,,,,,terrell davis hof+1995,,,,,,,,,,,,,,,,
65,6,206,NYG,Charles Way,RB,22,Virginia,1995,,,,,,,charles way+1995,22,206,985,4.781553398,13,22,177,8.045454545,0,228,1162,5.096491228,13,52.81818182,ACC,3
66,7,210,PHI,Kevin Bouie,RB,24,Mississippi St.,1995,225,4.73,30,,4.41,71.9,kevin bouie+1995,20,272,1401,5.150735294,9,17,182,10.70588235,2,289,1583,5.477508651,11,79.15,SEC,4
67,7,244,BUF,Darick Holmes,RB,24,Portland St.,1995,226,,,,,72,darick holmes+1995,,,,,,,,,,,,,,,,3
68,1,6,STL,Lawrence Phillips,RB,21,Nebraska,1996,229,,,,,71.6,lawrence phillips+1996,27,449,2777,6.184855234,30,28,192,6.857142857,0,477,2969,6.224318658,30,109.962963,Big 8,3
69,1,8,CAR,Tim Biakabutuka,RB,22,Michigan,1996,205,,,,,72.1,tim biakabutuka+1996,,,,,,,,,,,,,,,,
70,1,14,HOU,Eddie George,RB,22,Ohio St.,1996,238,,,,,74.6,eddie george+1996,26,604,3369,5.57781457,36,63,534,8.476190476,1,667,3903,5.851574213,37,150.1153846,Big Ten,1
71,2,32,ARI,Leeland McElroy,RB,22,Texas A&M,1996,198,4.39,37,,4.06,68.6,leeland mcelroy+1996,32,448,2442,5.450892857,29,53,645,12.16981132,7,501,3087,6.161676647,36,96.46875,SWC,3
72,2,35,TAM,Mike Alstott,RB,22,Purdue,1996,,,,,,,mike alstott+1996,33,598,3440,5.752508361,37,78,867,11.11538462,2,676,4307,6.371301775,39,130.5151515,Big Ten,2
73,3,65,DEN,Detron Smith,RB,22,Texas A&M,1996,,,,,,,detron smith+1996,,,,,,,,,,,,,,,,
74,3,73,CAR,Winslow Oliver,RB,23,New Mexico,1996,181,4.49,35,,4.14,67.3,winslow oliver+1996,29,446,2269,5.087443946,14,54,556,10.2962963,2,500,2825,5.65,16,97.4137931,WAC,3
75,3,75,MIN,Moe Williams,RB,22,Kentucky,1996,199,4.76,37.5,,4.27,72.1,moe williams+1996,33,618,3333,5.393203883,26,38,313,8.236842105,1,656,3646,5.557926829,27,110.4848485,SEC,3
76,3,80,MIA,Karim Abdul-Jabbar,RB,22,UCLA,1996,194,,32.5,,4.29,70,karim abdul-jabbar+1996,12,296,1571,5.307432432,12,20,188,9.4,1,316,1759,5.566455696,13,146.5833333,Pac-10,1
77,3,83,STL,Jerald Moore,RB,21,Oklahoma,1996,229,,,,,68.9,jerald moore+1996,27,364,1985,5.453296703,22,35,405,11.57142857,2,399,2390,5.989974937,24,88.51851852,Big 8,3
78,3,91,SEA,Reggie Brown,RB,23,Fresno St.,1996,,,,,,,reggie brown+1996,23,238,1131,4.75210084,24,32,294,9.1875,4,270,1425,5.277777778,28,61.95652174,WAC,3
79,3,92,PIT,Jon Witman,RB,24,Penn St.,1996,,,,,,,jon witman+1996,11,84,316,3.761904762,9,14,87,6.214285714,1,98,403,4.112244898,10,36.63636364,Big Ten,4
