PK2,Unnamed: 0,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost,Year,PPRPoints,PPG,PK,response
gary anderson+1993,258.0,32.0,10.0,1.0,15.0,11.0,0.0,0.0,0.0,56.0,0.0,28.0,89.0,1.0,23.5,0.0,4.0,0.0,1993,31.5,3.15,gary anderson+1993,3
gary brightwell+2021,540.0,22.0,13.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,2021,2.0,0.15384615384615385,gary brightwell+2021,4
gary brown+1993,342.0,75.0,38.0,20.0,70.0,45.0,0.0,0.0,0.0,1943.0,10.0,450.0,450.0,3.0,338.29999999999995,0.0,12.0,8.0,5982,346.29999999999995,9.11315789473684,gary brown+1993,2
gary brown+1997,91.0,28.0,15.0,14.0,30.0,21.0,0.0,0.0,0.0,945.0,4.0,253.0,137.0,0.0,151.2,0.0,2.0,1.0,1997,151.2,10.08,gary brown+1997,2
gary brown+1998,56.0,29.0,16.0,11.0,26.0,13.0,0.0,0.0,0.0,1063.0,5.0,247.0,36.0,0.0,150.9,0.0,1.0,1.0,1998,150.9,9.43125,gary brown+1998,2
gary downs+1994,660.0,46.0,20.0,1.0,9.0,5.0,0.0,0.0,0.0,145.0,0.0,44.0,35.0,0.0,19.0,0.0,2.0,2.0,3990,19.0,0.95,gary downs+1994,4
gary downs+1998,392.0,26.0,16.0,1.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,31.0,0.0,7.5,0.0,0.0,0.0,1998,7.5,0.46875,gary downs+1998,4
gary russell+2008,271.0,22.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,77.0,3.0,28.0,-2.0,0.0,26.5,0.0,0.0,0.0,2008,26.5,2.2083333333333335,gary russell+2008,3
gary russell+2009,365.0,23.0,12.0,4.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,96.0,0.0,21.6,0.0,1.0,0.0,2009,21.6,1.8,gary russell+2009,3
george atkinson+2016,394.0,24.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,7.0,0.0,0.0,9.4,0.0,1.0,0.0,2016,9.4,0.5875,george atkinson+2016,4
george jones+1997,205.0,24.0,16.0,1.0,18.0,16.0,0.0,0.0,0.0,235.0,1.0,72.0,96.0,1.0,57.1,0.0,3.0,2.0,1997,57.1,3.56875,george jones+1997,3
george jones+1998,328.0,25.0,12.0,0.0,2.0,1.0,0.0,0.0,0.0,121.0,0.0,39.0,9.0,0.0,14.0,0.0,0.0,0.0,1998,14.000000000000002,1.1666666666666667,george jones+1998,3
george jones+1999,458.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,8.0,0.0,0.0,1.5,0.0,0.0,0.0,1999,1.5,0.25,george jones+1999,4
george layne+2004,474.0,26.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,0.0,1.0,6.0,0.0,2.8,0.0,0.0,0.0,2004,2.8000000000000003,0.7000000000000001,george layne+2004,4
george winn+2014,1008.0,49.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,74.0,0.0,23.0,0.0,0.0,7.3999999999999995,0.0,0.0,0.0,4029,7.4,0.38947368421052636,george winn+2014,4
gijon robinson+2008,724.0,49.0,28.0,24.0,39.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,50.8,0.0,0.0,0.0,4017,50.8,1.8142857142857143,gijon robinson+2008,3
gilbert harris+2007,432.0,23.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,9.0,0.0,9.0,38.0,0.0,7.7,0.0,1.0,0.0,2007,7.7,1.925,gilbert harris+2007,3
giovani bernard+2013,851.0,204.0,115.0,30.0,457.0,342.0,0.0,0.0,0.0,3697.0,22.0,921.0,2867.0,11.0,1141.3,0.0,7.0,4.0,16132,1188.3999999999999,10.33391304347826,giovani bernard+2013,2
giovani bernard+2021,281.0,30.0,12.0,0.0,29.0,23.0,0.0,0.0,0.0,58.0,0.0,8.0,123.0,3.0,36.0,0.0,1.0,0.0,2021,59.099999999999994,4.925,giovani bernard+2021,3
