,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
120,1,29,MIA,John Avery,RB,22.0,Mississippi,1998,184.0,4.38,34.5,7.35,4.16,69.4,john avery+1998,20.0,347.0,1650.0,4.755043227665706,12.0,35.0,212.0,6.057142857142857,0.0,382.0,1862.0,4.87434554973822,12.0,10.6,SEC,3.0
121,2,37,STL,Robert Holcombe,RB,22.0,Illinois,1998,216.0,4.53,35.0,7.49,4.15,70.9,robert holcombe+1998,43.0,943.0,4105.0,4.353128313891834,25.0,72.0,619.0,8.597222222222221,3.0,1015.0,4724.0,4.6541871921182265,28.0,14.395348837209303,Big Ten,3.0
122,3,69,WAS,Skip Hicks,RB,23.0,UCLA,1998,230.0,,34.5,,,71.8,skip hicks+1998,23.0,482.0,2316.0,4.804979253112033,39.0,43.0,672.0,15.627906976744185,7.0,525.0,2988.0,5.691428571428571,46.0,29.217391304347824,Pac-10,3.0
123,3,76,SEA,Ahman Green,RB,21.0,Nebraska,1998,213.0,4.44,38.5,,,71.8,ahman green+1998,33.0,574.0,3880.0,6.7595818815331015,42.0,35.0,300.0,8.571428571428571,3.0,609.0,4180.0,6.863711001642036,45.0,9.090909090909092,Big 12,3.0
124,3,81,NWE,Chris Floyd,RB,23.0,Michigan,1998,,,,,,,chris floyd+1998,,,,,,,,,,,,,,,,4.0
125,3,88,KAN,Rashaan Shehee,RB,23.0,Washington,1998,204.0,,,,,70.3,rashaan shehee+1998,19.0,305.0,1819.0,5.963934426229508,23.0,36.0,329.0,9.13888888888889,1.0,341.0,2148.0,6.299120234604105,24.0,17.31578947368421,Pac-10,3.0
126,4,95,ARI,Michael Pittman,RB,23.0,Fresno St.,1998,214.0,4.5,35.0,7.54,4.37,71.5,michael pittman+1998,32.0,579.0,2750.0,4.7495682210708114,28.0,62.0,475.0,7.661290322580645,2.0,641.0,3225.0,5.031201248049922,30.0,14.84375,WAC,2.0
127,4,101,JAX,Tavian Banks,RB,24.0,Iowa,1998,198.0,4.48,39.0,7.34,3.95,69.6,tavian banks+1998,22.0,377.0,2238.0,5.936339522546419,26.0,39.0,337.0,8.64102564102564,3.0,416.0,2575.0,6.189903846153846,29.0,15.318181818181818,Big Ten,3.0
128,4,122,DEN,Curtis Alexander,RB,,Alabama,1998,204.0,4.44,37.0,7.46,,71.6,curtis alexander+1998,11.0,155.0,729.0,4.703225806451613,6.0,16.0,133.0,8.3125,2.0,171.0,862.0,5.04093567251462,8.0,12.090909090909092,SEC,
129,4,123,PIT,Carlos King,RB,24.0,North Carolina St.,1998,,,,,,,carlos king+1998,11.0,70.0,380.0,5.428571428571429,1.0,20.0,207.0,10.35,1.0,90.0,587.0,6.522222222222222,2.0,18.818181818181817,ACC,
130,5,129,STL,Raymond Priester,RB,,Clemson,1998,,,,,,,raymond priester+1998,46.0,805.0,3966.0,4.926708074534162,21.0,45.0,316.0,7.022222222222222,1.0,850.0,4282.0,5.03764705882353,22.0,6.869565217391305,ACC,
131,5,131,BUF,Jonathan Linton,RB,23.0,North Carolina,1998,,,,,,,jonathan linton+1998,22.0,338.0,1354.0,4.005917159763314,14.0,37.0,353.0,9.54054054054054,1.0,375.0,1707.0,4.552,15.0,16.045454545454547,ACC,3.0
132,5,132,NOR,Wilmont Perry,RB,23.0,Livingstone,1998,235.0,4.74,33.0,7.75,4.56,73.6,wilmont perry+1998,,,,,,,,,,,,,,,,3.0
133,5,153,DEN,Chris Howard,RB,23.0,Michigan,1998,223.0,4.65,27.0,7.49,4.23,69.6,chris howard+1998,21.0,328.0,1566.0,4.774390243902439,17.0,44.0,325.0,7.386363636363637,1.0,372.0,1891.0,5.083333333333333,18.0,15.476190476190476,Big Ten,4.0
134,6,176,NWE,Harold Shaw,RB,24.0,Southern Miss,1998,230.0,4.62,28.5,7.63,4.43,72.0,harold shaw+1998,45.0,592.0,2219.0,3.748310810810811,32.0,51.0,298.0,5.8431372549019605,2.0,643.0,2517.0,3.9144634525660966,34.0,6.622222222222222,CUSA,
135,6,178,PIT,Chris Fuamatu-Ma'afala,RB,21.0,Utah,1998,252.0,4.83,33.0,7.52,4.25,71.6,chris fuamatu-ma'afala+1998,31.0,463.0,2630.0,5.680345572354212,22.0,15.0,125.0,8.333333333333334,1.0,478.0,2755.0,5.7635983263598325,23.0,4.032258064516129,WAC,3.0
136,7,201,ATL,Ken Oxendine,RB,22.0,Virginia Tech,1998,228.0,4.75,35.0,7.88,3.98,72.3,ken oxendine+1998,31.0,493.0,2395.0,4.858012170385395,25.0,30.0,259.0,8.633333333333333,0.0,523.0,2654.0,5.074569789674952,25.0,8.35483870967742,Big East,3.0
137,7,202,CIN,Marcus Parker,RB,,Virginia Tech,1998,244.0,4.69,36.0,7.97,4.36,69.1,marcus parker+1998,,,,,,,,,,,,,,,,
138,7,218,GNB,Eddie Watson,RB,21.0,Purdue,1998,,,,,,,eddie watson+1998,,,,,,,,,,,,,,,,
139,7,223,DAL,Tarik Smith,RB,,California,1998,200.0,4.53,39.5,,,70.4,tarik smith+1998,22.0,236.0,1027.0,4.351694915254237,9.0,14.0,81.0,5.785714285714286,0.0,250.0,1108.0,4.432,9.0,3.6818181818181817,Pac-10,
140,7,224,KAN,Ernest Blackwell,RB,,Missouri,1998,,,,,,,ernest blackwell+1998,11.0,73.0,551.0,7.5479452054794525,6.0,2.0,8.0,4.0,0.0,75.0,559.0,7.453333333333333,6.0,0.7272727272727273,Big 12,
141,7,233,ARI,Ron Janes,RB,,Missouri,1998,,,,,,,ron janes+1998,,,,,,,,,,,,,,,,
142,1,4,IND,Edgerrin James HOF,RB,21.0,Miami (FL),1999,,,,,,,edgerrin james hof+1999,,,,,,,,,,,,,,,,
143,1,5,NOR,Ricky Williams,RB,22.0,Texas,1999,244.0,4.56,37.0,,,70.8,ricky williams+1999,46.0,1011.0,6279.0,6.210682492581602,72.0,85.0,927.0,10.905882352941177,3.0,1096.0,7206.0,6.574817518248175,75.0,20.152173913043477,Big 12,1.0
144,2,39,MIA,J.J. Johnson,RB,25.0,Mississippi St.,1999,227.0,4.71,,7.3,4.19,73.4,j.j. johnson+1999,,,,,,,,,,,,,,,,3.0
145,2,46,NWE,Kevin Faulk,RB,23.0,LSU,1999,205.0,4.57,34.0,7.14,4.09,67.6,kevin faulk+1999,41.0,856.0,4557.0,5.3235981308411215,46.0,53.0,600.0,11.320754716981131,4.0,909.0,5157.0,5.673267326732673,50.0,14.634146341463415,SEC,2.0
146,2,49,NYG,Joe Montgomery,RB,23.0,Ohio St.,1999,227.0,4.63,,7.1,4.22,70.4,joe montgomery+1999,12.0,118.0,766.0,6.491525423728813,7.0,2.0,0.0,0.0,0.0,120.0,766.0,6.383333333333334,7.0,0.0,Big Ten,3.0
147,2,54,KAN,Mike Cloud,RB,24.0,Boston Col.,1999,200.0,4.54,38.5,6.8,4.16,70.5,mike cloud+1999,33.0,546.0,3238.0,5.930402930402931,24.0,52.0,467.0,8.98076923076923,1.0,598.0,3705.0,6.195652173913044,25.0,14.151515151515152,Big East,3.0
148,2,60,SDG,Jermaine Fazande,RB,24.0,Oklahoma,1999,,,,,,,jermaine fazande+1999,,,,,,,,,,,,,,,,3.0
149,3,86,BUF,Shawn Bryson,RB,22.0,Tennessee,1999,,,,,,,shawn bryson+1999,,,,,,,,,,,,,,,,
150,3,95,PIT,Amos Zereoue,RB,22.0,West Virginia,1999,203.0,4.53,,,4.09,67.4,amos zereoue+1999,33.0,786.0,4086.0,5.198473282442748,40.0,55.0,374.0,6.8,2.0,841.0,4460.0,5.303210463733651,42.0,11.333333333333334,Big East,3.0
151,4,103,DET,Sedrick Irvin,RB,21.0,Michigan St.,1999,223.0,4.58,35.0,,,70.8,sedrick irvin+1999,36.0,755.0,3504.0,4.6410596026490065,35.0,108.0,893.0,8.268518518518519,6.0,863.0,4397.0,5.095017381228273,41.0,24.805555555555557,Big Ten,3.0
152,4,112,NYG,Sean Bennett,RB,23.0,Northwestern,1999,,,,,,,sean bennett+1999,,,,,,,,,,,,,,,,3.0
153,4,127,DEN,Olandis Gary,RB,24.0,Georgia,1999,216.0,4.71,34.0,7.15,4.13,73.0,olandis gary+1999,11.0,143.0,698.0,4.881118881118881,10.0,10.0,117.0,11.7,0.0,153.0,815.0,5.326797385620915,10.0,10.636363636363637,SEC,2.0
154,5,134,MIA,Cecil Collins,RB,22.0,McNeese St.,1999,209.0,4.45,33.0,7.21,,68.6,cecil collins+1999,,,,,,,,,,,,,,,,2.0
155,5,152,SEA,Charlie Rogers,RB,23.0,Georgia Tech,1999,,,,,,,charlie rogers+1999,,,,,,,,,,,,,,,,
156,5,159,GNB,De'Mond Parker,RB,22.0,Oklahoma,1999,189.0,4.49,41.5,7.28,4.16,69.6,de'mond parker+1999,34.0,578.0,3404.0,5.889273356401384,21.0,42.0,504.0,12.0,1.0,620.0,3908.0,6.303225806451613,22.0,14.823529411764707,Big 12,3.0
157,6,195,TAM,Lamarr Glenn,RB,,Florida St.,1999,,,,,,,lamarr glenn+1999,,,,,,,,,,,,,,,,
158,7,207,CLE,Madre Hill,RB,23.0,Arkansas,1999,199.0,4.52,32.0,6.9,4.31,71.4,madre hill+1999,33.0,541.0,2407.0,4.449168207024029,25.0,32.0,272.0,8.5,1.0,573.0,2679.0,4.675392670157068,26.0,8.242424242424242,SEC,
159,7,233,TAM,Autry Denson,RB,22.0,Notre Dame,1999,197.0,4.67,31.0,6.97,4.15,69.5,autry denson+1999,45.0,854.0,4318.0,5.056206088992974,43.0,53.0,432.0,8.150943396226415,3.0,907.0,4750.0,5.237045203969129,46.0,9.6,Ind,3.0
160,1,5,BAL,Jamal Lewis,RB,21.0,Tennessee,2000,240.0,4.58,,,,72.0,jamal lewis+2000,22.0,414.0,2180.0,5.265700483091788,14.0,38.0,459.0,12.078947368421053,3.0,452.0,2639.0,5.838495575221239,17.0,20.863636363636363,SEC,
161,1,7,ARI,Thomas Jones,RB,22.0,Virginia,2000,216.0,4.45,,,,70.0,thomas jones+2000,33.0,773.0,3793.0,4.906856403622251,33.0,67.0,545.0,8.134328358208956,4.0,840.0,4338.0,5.164285714285715,37.0,16.515151515151516,ACC,2.0
162,1,11,NYG,Ron Dayne,RB,22.0,Wisconsin,2000,259.0,4.65,,,,71.0,ron dayne+2000,47.0,1220.0,7125.0,5.840163934426229,71.0,31.0,304.0,9.806451612903226,0.0,1251.0,7429.0,5.938449240607514,71.0,6.468085106382978,Big Ten,3.0
163,1,19,SEA,Shaun Alexander,RB,23.0,Alabama,2000,218.0,4.58,,,,72.0,shaun alexander+2000,42.0,727.0,3565.0,4.903713892709766,41.0,62.0,798.0,12.870967741935484,8.0,789.0,4363.0,5.5297845373891,49.0,19.0,SEC,1.0
164,1,31,STL,Trung Canidate,RB,23.0,Arizona,2000,193.0,4.41,,,,71.0,trung canidate+2000,31.0,558.0,3626.0,6.49820788530466,25.0,42.0,468.0,11.142857142857142,1.0,600.0,4094.0,6.823333333333333,26.0,15.096774193548388,Pac-10,
165,3,63,CLE,Travis Prentice,RB,23.0,Miami (OH),2000,225.0,4.5,37.0,6.92,4.4,72.0,travis prentice+2000,44.0,1138.0,5596.0,4.917398945518453,73.0,54.0,522.0,9.666666666666666,5.0,1192.0,6118.0,5.132550335570469,78.0,11.863636363636363,MAC,2.0
166,3,76,NWE,J.R. Redmond,RB,22.0,Arizona St.,2000,216.0,4.48,32.5,,,71.0,j.r. redmond+2000,31.0,549.0,2922.0,5.3224043715847,30.0,52.0,480.0,9.23076923076923,2.0,601.0,3402.0,5.6605657237936775,32.0,15.483870967741936,Pac-10,3.0
167,3,81,DET,Reuben Droughns,RB,22.0,Oregon,2000,215.0,4.66,30.0,7.34,4.41,71.0,reuben droughns+2000,17.0,389.0,2058.0,5.290488431876606,18.0,20.0,207.0,10.35,3.0,409.0,2265.0,5.537897310513447,21.0,12.176470588235293,Pac-10,
168,3,88,MIN,Doug Chapman,RB,23.0,Marshall,2000,215.0,4.56,38.5,6.84,4.2,70.0,doug chapman+2000,38.0,618.0,3011.0,4.872168284789644,40.0,67.0,708.0,10.567164179104477,5.0,685.0,3719.0,5.429197080291971,45.0,18.63157894736842,MAC,
169,4,97,CIN,Curtis Keaton,RB,23.0,James Madison,2000,214.0,4.41,41.5,6.82,3.93,70.0,curtis keaton+2000,,,,,,,,,,,,,,,,4.0
170,4,115,KAN,Frank Moreau,RB,23.0,Louisville,2000,231.0,4.57,36.0,,,73.0,frank moreau+2000,21.0,353.0,1862.0,5.2747875354107645,22.0,48.0,330.0,6.875,0.0,401.0,2192.0,5.466334164588528,22.0,15.714285714285714,CUSA,3.0
171,5,132,SFO,Paul Smith,RB,22.0,Texas-El Paso,2000,,,,,,,paul smith+2000,33.0,536.0,2350.0,4.384328358208955,16.0,28.0,347.0,12.392857142857142,1.0,564.0,2697.0,4.781914893617022,17.0,10.515151515151516,WAC,4.0
172,5,144,DAL,Michael Wiley,RB,22.0,Ohio St.,2000,193.0,4.5,,,,71.0,michael wiley+2000,37.0,486.0,2775.0,5.709876543209877,26.0,50.0,436.0,8.72,2.0,536.0,3211.0,5.990671641791045,28.0,11.783783783783784,Big Ten,3.0
173,5,156,BUF,Sammy Morris,RB,23.0,Texas Tech,2000,,,,,,,sammy morris+2000,9.0,140.0,562.0,4.014285714285714,3.0,23.0,386.0,16.782608695652176,2.0,163.0,948.0,5.815950920245399,5.0,42.888888888888886,Big 12,3.0
174,5,166,NOR,Chad Morton,RB,23.0,USC,2000,182.0,4.5,36.0,,,68.0,chad morton+2000,23.0,461.0,2126.0,4.611713665943601,21.0,35.0,215.0,6.142857142857143,1.0,496.0,2341.0,4.719758064516129,22.0,9.347826086956522,Pac-10,3.0
175,6,171,PHI,Thomas Hamner,RB,,Minnesota,2000,197.0,4.5,32.0,6.97,4.07,72.0,thomas hamner+2000,46.0,882.0,3810.0,4.319727891156463,21.0,62.0,553.0,8.919354838709678,4.0,944.0,4363.0,4.621822033898305,25.0,12.021739130434783,Big Ten,
176,6,189,DEN,Mike Anderson,RB,26.0,Utah,2000,,,,,,,mike anderson+2000,21.0,439.0,2150.0,4.89749430523918,22.0,5.0,51.0,10.2,2.0,444.0,2201.0,4.957207207207207,24.0,2.4285714285714284,MWC,2.0
177,7,213,TEN,Mike Green,RB,24.0,Houston,2000,,,,,,,mike green+2000,21.0,243.0,1273.0,5.238683127572016,11.0,9.0,114.0,12.666666666666666,0.0,252.0,1387.0,5.503968253968254,11.0,5.428571428571429,CUSA,
178,7,243,JAX,Shyrone Stith,RB,22.0,Virginia Tech,2000,204.0,4.6,35.0,7.14,4.14,67.0,shyrone stith+2000,34.0,459.0,2360.0,5.14161220043573,21.0,13.0,116.0,8.923076923076923,0.0,472.0,2476.0,5.245762711864407,21.0,3.411764705882353,Big East,4.0
179,7,252,GNB,Rondell Mealey,RB,23.0,LSU,2000,212.0,4.69,33.0,6.89,4.15,72.0,rondell mealey+2000,33.0,385.0,1904.0,4.945454545454545,25.0,31.0,293.0,9.451612903225806,2.0,416.0,2197.0,5.28125,27.0,8.878787878787879,SEC,
180,1,5,SDG,LaDainian Tomlinson HOF,RB,22.0,TCU,2001,221.0,4.46,40.5,6.84,4.21,70.0,ladainian tomlinson hof+2001,,,,,,,,,,,,,,,,
181,1,23,NOR,Deuce McAllister,RB,22.0,Mississippi,2001,222.0,4.41,,,,73.0,deuce mcallister+2001,44.0,633.0,3181.0,5.025276461295419,38.0,66.0,671.0,10.166666666666666,3.0,699.0,3852.0,5.510729613733906,41.0,15.25,SEC,1.0
182,1,27,MIN,Michael Bennett,RB,23.0,Wisconsin,2001,207.0,4.38,39.5,,,69.0,michael bennett+2001,11.0,310.0,1681.0,5.422580645161291,11.0,4.0,23.0,5.75,0.0,314.0,1704.0,5.426751592356688,11.0,2.090909090909091,Big Ten,2.0
183,2,38,CHI,Anthony Thomas,RB,23.0,Michigan,2001,229.0,4.58,32.5,7.48,4.44,74.0,anthony thomas+2001,44.0,846.0,4098.0,4.843971631205674,49.0,78.0,750.0,9.615384615384615,1.0,924.0,4848.0,5.246753246753247,50.0,17.045454545454547,Big Ten,1.0
184,2,49,NYJ,LaMont Jordan,RB,22.0,Maryland,2001,234.0,4.57,,,,70.0,lamont jordan+2001,43.0,807.0,4147.0,5.1387856257744735,36.0,76.0,737.0,9.697368421052632,1.0,883.0,4884.0,5.5311438278595695,37.0,17.13953488372093,ACC,3.0
185,2,58,BUF,Travis Henry,RB,22.0,Tennessee,2001,223.0,4.61,,,,69.0,travis henry+2001,33.0,554.0,3074.0,5.548736462093863,26.0,20.0,99.0,4.95,0.0,574.0,3173.0,5.52787456445993,26.0,3.0,SEC,1.0
186,3,65,CLE,James Jackson,RB,25.0,Miami (FL),2001,210.0,4.55,,,,70.0,james jackson+2001,40.0,533.0,2928.0,5.493433395872421,31.0,37.0,271.0,7.324324324324325,3.0,570.0,3199.0,5.612280701754386,34.0,6.775,Big East,3.0
187,3,80,SFO,Kevan Barlow,RB,22.0,Pittsburgh,2001,235.0,4.56,,,,73.0,kevan barlow+2001,30.0,459.0,2216.0,4.827886710239651,18.0,30.0,368.0,12.266666666666667,3.0,489.0,2584.0,5.284253578732106,21.0,12.266666666666667,Big East,2.0
188,3,85,MIA,Travis Minor,RB,22.0,Florida St.,2001,197.0,4.44,32.0,,,70.0,travis minor+2001,44.0,664.0,3218.0,4.846385542168675,28.0,106.0,831.0,7.839622641509434,3.0,770.0,4049.0,5.258441558441558,31.0,18.886363636363637,ACC,3.0
189,4,100,CIN,Rudi Johnson,RB,21.0,Auburn,2001,227.0,4.57,37.5,7.32,4.22,70.0,rudi johnson+2001,12.0,324.0,1567.0,4.83641975308642,13.0,9.0,70.0,7.777777777777778,0.0,333.0,1637.0,4.915915915915916,13.0,5.833333333333333,SEC,
190,4,108,KAN,George Layne,RB,22.0,TCU,2001,,,,,,,george layne+2001,,,,,,,,,,,,,,,,
191,4,121,PHI,Correll Buckhalter,RB,22.0,Nebraska,2001,226.0,4.53,40.0,7.08,4.06,72.0,correll buckhalter+2001,34.0,359.0,2211.0,6.158774373259053,21.0,21.0,194.0,9.238095238095237,1.0,380.0,2405.0,6.328947368421052,22.0,5.705882352941177,Big 12,3.0
192,5,150,KAN,Derrick Blaylock,RB,22.0,S.F. Austin,2001,194.0,4.36,35.5,7.05,4.09,70.0,derrick blaylock+2001,,,,,,,,,,,,,,,,
193,5,161,BAL,Chris Barnes,RB,,New Mexico St.,2001,,,,,,,chris barnes+2001,20.0,275.0,1650.0,6.0,11.0,11.0,98.0,8.909090909090908,0.0,286.0,1748.0,6.111888111888112,11.0,4.9,Big West,
194,6,175,CAR,Dee Brown,RB,23.0,Syracuse,2001,,,,,,,dee brown+2001,34.0,435.0,2327.0,5.349425287356322,21.0,32.0,195.0,6.09375,2.0,467.0,2522.0,5.400428265524625,23.0,5.735294117647059,Big East,
195,6,192,TEN,Dan Alexander,RB,23.0,Nebraska,2001,,,,,,,dan alexander+2001,23.0,316.0,2019.0,6.389240506329114,16.0,6.0,73.0,12.166666666666666,0.0,322.0,2092.0,6.496894409937888,16.0,3.1739130434782608,Big 12,
196,1,16,CLE,William Green,RB,22.0,Boston Col.,2002,221.0,4.6,42.0,,,72.0,william green+2002,21.0,452.0,2723.0,6.024336283185841,29.0,29.0,338.0,11.655172413793103,3.0,481.0,3061.0,6.363825363825364,32.0,16.095238095238095,Big East,3.0
197,1,18,ATL,T.J. Duckett,RB,21.0,Michigan St.,2002,254.0,4.45,,,,72.0,t.j. duckett+2002,35.0,621.0,3379.0,5.4412238325281805,29.0,22.0,151.0,6.863636363636363,1.0,643.0,3530.0,5.489891135303266,30.0,4.314285714285714,Big Ten,2.0
198,2,34,CAR,DeShaun Foster,RB,22.0,UCLA,2002,222.0,4.57,35.5,6.82,4.16,73.0,deshaun foster+2002,39.0,696.0,3087.0,4.435344827586207,39.0,58.0,548.0,9.448275862068966,4.0,754.0,3635.0,4.820954907161804,43.0,14.051282051282051,Pac-10,
199,2,51,DEN,Clinton Portis,RB,21.0,Miami (FL),2002,204.0,4.42,,,,71.0,clinton portis+2002,29.0,440.0,2523.0,5.734090909090909,20.0,21.0,272.0,12.952380952380953,3.0,461.0,2795.0,6.06290672451193,23.0,9.379310344827585,Big East,1.0
200,2,54,SEA,Maurice Morris,RB,22.0,Oregon,2002,208.0,4.53,38.5,,,71.0,maurice morris+2002,23.0,466.0,2237.0,4.8004291845493565,17.0,35.0,307.0,8.771428571428572,3.0,501.0,2544.0,5.077844311377246,20.0,13.347826086956522,Pac-10,3.0
201,2,56,WAS,Ladell Betts,RB,23.0,Iowa,2002,220.0,4.62,38.0,7.06,4.06,70.0,ladell betts+2002,46.0,832.0,3686.0,4.430288461538462,25.0,72.0,702.0,9.75,2.0,904.0,4388.0,4.853982300884955,27.0,15.26086956521739,Big Ten,3.0
202,3,84,STL,Lamar Gordon,RB,22.0,North Dakota St.,2002,214.0,4.55,34.0,,,73.0,lamar gordon+2002,,,,,,,,,,,,,,,,3.0
203,3,91,PHI,Brian Westbrook,RB,23.0,Villanova,2002,200.0,4.57,37.0,7.09,,68.0,brian westbrook+2002,,,,,,,,,,,,,,,,1.0
204,4,99,HOU,Jonathan Wells,RB,23.0,Ohio St.,2002,243.0,4.52,,,,73.0,jonathan wells+2002,23.0,368.0,1855.0,5.040760869565218,21.0,20.0,205.0,10.25,0.0,388.0,2060.0,5.309278350515464,21.0,8.91304347826087,Big Ten,3.0
205,4,119,TAM,Travis Stephens,RB,24.0,Tennessee,2002,194.0,4.6,32.0,,,68.0,travis stephens+2002,35.0,479.0,2300.0,4.801670146137787,21.0,27.0,200.0,7.407407407407407,1.0,506.0,2500.0,4.940711462450593,22.0,5.714285714285714,SEC,
206,4,135,GNB,Najeh Davenport,RB,23.0,Miami (FL),2002,,,,,,,najeh davenport+2002,,,,,,,,,,,,,,,,3.0
207,5,145,CAR,Kyle Johnson,RB,23.0,Syracuse,2002,,,,,,,kyle johnson+2002,,,,,,,,,,,,,,,,
208,5,166,PIT,Verron Haynes,RB,23.0,Georgia,2002,,,,,,,verron haynes+2002,10.0,126.0,691.0,5.484126984126984,7.0,19.0,242.0,12.736842105263158,2.0,145.0,933.0,6.43448275862069,9.0,24.2,SEC,3.0
209,6,185,ARI,Josh Scobey,RB,22.0,Kansas St.,2002,218.0,4.42,40.5,6.96,3.93,71.0,josh scobey+2002,24.0,409.0,1981.0,4.843520782396088,31.0,13.0,81.0,6.230769230769231,0.0,422.0,2062.0,4.886255924170616,31.0,3.375,Big 12,
210,6,197,OAK,Larry Ned,RB,24.0,San Diego St.,2002,219.0,4.62,34.5,7.12,,71.0,larry ned+2002,37.0,765.0,3562.0,4.656209150326798,36.0,39.0,343.0,8.794871794871796,0.0,804.0,3905.0,4.856965174129353,36.0,9.27027027027027,MWC,
211,6,199,CHI,Adrian Peterson,RB,23.0,Georgia Southern,2002,214.0,4.68,34.0,7.59,4.6,70.0,adrian peterson+2002,,,,,,,,,,,,,,,,3.0
212,6,204,IND,Brian Allen,RB,22.0,Stanford,2002,209.0,4.46,33.0,6.9,4.08,69.0,brian allen+2002,44.0,482.0,2117.0,4.3921161825726145,13.0,23.0,226.0,9.826086956521738,0.0,505.0,2343.0,4.639603960396039,13.0,5.136363636363637,Pac-10,
213,6,207,BAL,Chester Taylor,RB,22.0,Toledo,2002,213.0,4.58,33.0,,,71.0,chester taylor+2002,43.0,803.0,4646.0,5.785803237858032,55.0,61.0,554.0,9.081967213114755,5.0,864.0,5200.0,6.018518518518518,60.0,12.883720930232558,MAC,3.0
214,7,214,DET,Luke Staley,RB,,BYU,2002,227.0,4.42,,,,73.0,luke staley+2002,30.0,418.0,2507.0,5.997607655502392,41.0,86.0,1000.0,11.627906976744185,7.0,504.0,3507.0,6.958333333333333,48.0,33.333333333333336,MWC,
215,7,237,NWE,Antwoine Womack,RB,,Virginia,2002,,,,,,,antwoine womack+2002,,,,,,,,,,,,,,,,
216,7,241,MIA,Leonard Henry,RB,24.0,East Carolina,2002,206.0,4.57,35.0,7.11,4.29,73.0,leonard henry+2002,43.0,519.0,3089.0,5.951830443159923,29.0,54.0,429.0,7.944444444444445,3.0,573.0,3518.0,6.139616055846423,32.0,9.976744186046512,CUSA,
217,7,243,STL,Chris Massey,RB,23.0,Marshall,2002,,,,,,,chris massey+2002,,,,,,,,,,,,,,,,
218,7,251,BUF,Jarrett Ferguson,RB,,Virginia Tech,2002,,,,,,,jarrett ferguson+2002,,,,,,,,,,,,,,,,
219,1,23,BUF,Willis McGahee,RB,21.0,Miami (FL),2003,223.0,4.45,,,,72.0,willis mcgahee+2003,13.0,282.0,1753.0,6.216312056737588,28.0,27.0,355.0,13.148148148148149,0.0,309.0,2108.0,6.82200647249191,28.0,27.307692307692307,Big East,
220,1,27,KAN,Larry Johnson,RB,23.0,Penn St.,2003,228.0,4.45,,,,73.0,larry johnson+2003,36.0,417.0,2782.0,6.671462829736211,25.0,61.0,607.0,9.950819672131148,6.0,478.0,3389.0,7.089958158995816,31.0,16.86111111111111,Big Ten,1.0
221,3,77,BAL,Musa Smith,RB,21.0,Georgia,2003,232.0,4.45,35.5,,,73.0,musa smith+2003,31.0,454.0,2202.0,4.850220264317181,19.0,27.0,187.0,6.925925925925926,0.0,481.0,2389.0,4.966735966735967,19.0,6.032258064516129,SEC,3.0
222,3,93,TEN,Chris Brown,RB,22.0,Colorado,2003,220.0,4.46,,,,75.0,chris brown+2003,24.0,493.0,2787.0,5.653144016227181,35.0,11.0,76.0,6.909090909090909,0.0,504.0,2863.0,5.680555555555555,35.0,3.1666666666666665,Big 12,2.0
223,4,99,DET,Artose Pinner,RB,25.0,Kentucky,2003,229.0,4.68,,,,70.0,artose pinner+2003,23.0,383.0,1855.0,4.8433420365535245,17.0,49.0,379.0,7.73469387755102,2.0,432.0,2234.0,5.171296296296297,19.0,16.47826086956522,SEC,
224,4,101,HOU,Domanick Williams,RB,22.0,LSU,2003,213.0,4.63,32.5,7.32,4.47,69.0,domanick williams+2003,,,,,,,,,,,,,,,,1.0
225,4,105,MIN,Onterrio Smith,RB,22.0,Oregon,2003,220.0,4.48,,,,70.0,onterrio smith+2003,22.0,419.0,2199.0,5.248210023866348,19.0,24.0,149.0,6.208333333333333,2.0,443.0,2348.0,5.300225733634312,21.0,6.7727272727272725,Pac-10,2.0
226,4,108,DEN,Quentin Griffin,RB,22.0,Oklahoma,2003,195.0,4.48,38.0,,4.08,67.0,quentin griffin+2003,39.0,669.0,3511.0,5.24813153961136,41.0,141.0,1133.0,8.035460992907801,5.0,810.0,4644.0,5.733333333333333,46.0,29.05128205128205,Big 12,3.0
227,4,115,CLE,Lee Suggs,RB,23.0,Virginia Tech,2003,202.0,4.44,,,,72.0,lee suggs+2003,25.0,479.0,2532.0,5.286012526096034,49.0,14.0,170.0,12.142857142857142,3.0,493.0,2702.0,5.480730223123732,52.0,6.8,Big East,3.0
228,4,132,JAX,LaBrandon Toefield,RB,22.0,LSU,2003,233.0,4.6,,,,71.0,labrandon toefield+2003,31.0,511.0,2149.0,4.205479452054795,26.0,25.0,233.0,9.32,1.0,536.0,2382.0,4.4440298507462686,27.0,7.516129032258065,SEC,3.0
229,6,206,CHI,Brock Forsey,RB,23.0,Boise St.,2003,,,,,,,brock forsey+2003,47.0,813.0,4045.0,4.97539975399754,50.0,101.0,1175.0,11.633663366336634,18.0,914.0,5220.0,5.711159737417943,68.0,25.0,WAC,3.0
230,7,235,DEN,Ahmaad Galloway,RB,,Alabama,2003,223.0,4.65,,,,72.0,ahmaad galloway+2003,,,,,,,,,,,,,,,,
