,Round,Pick,Team,Player,Position,Age,School,Year,Weight,40 Time,Vertical Jump,3 Cone,Shuttle,Height (in),PK,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs,YPG,Conf,response
31,3,95,NYG,Gary Downs,RB,22.0,North Carolina St.,1994,212.0,4.61,33.0,,4.28,71.9,gary downs+1994,11.0,173.0,835.0,4.826589595375722,9.0,27.0,201.0,7.444444444444445,1.0,200.0,1036.0,5.18,10.0,18.272727272727273,ACC,4.0
32,4,114,CHI,Raymont Harris,RB,23.0,Ohio St.,1994,225.0,4.61,37.0,,4.4,72.0,raymont harris+1994,12.0,273.0,1344.0,4.923076923076923,12.0,6.0,55.0,9.166666666666666,0.0,279.0,1399.0,5.014336917562724,12.0,4.583333333333333,Big Ten,1.0
33,4,129,HOU,Sean Jackson,RB,,Florida St.,1994,219.0,4.69,35.5,,4.48,73.4,sean jackson+1994,12.0,134.0,825.0,6.156716417910448,5.0,32.0,184.0,5.75,3.0,166.0,1009.0,6.078313253012048,8.0,15.333333333333334,ACC,
34,5,149,GNB,Dorsey Levens,RB,24.0,Georgia Tech,1994,228.0,4.6,37.5,,4.42,72.9,dorsey levens+1994,10.0,114.0,823.0,7.219298245614035,8.0,8.0,134.0,16.75,1.0,122.0,957.0,7.844262295081967,9.0,13.4,ACC,2.0
35,5,160,SDG,Tony Vinson,RB,23.0,Towson,1994,229.0,4.61,32.5,,,73.4,tony vinson+1994,,,,,,,,,,,,,,,,
36,6,164,IND,Lamont Warren,RB,21.0,Colorado,1994,194.0,4.6,34.0,,4.16,71.8,lamont warren+1994,11.0,183.0,900.0,4.918032786885246,7.0,15.0,184.0,12.266666666666667,1.0,198.0,1084.0,5.474747474747475,8.0,16.727272727272727,Big 8,3.0
37,6,171,CLE,Robert Strait,RB,,Baylor,1994,,,,,,,robert strait+1994,9.0,85.0,347.0,4.08235294117647,9.0,8.0,93.0,11.625,0.0,93.0,440.0,4.731182795698925,9.0,10.333333333333334,SWC,
38,6,173,NYJ,Fred Lester,RB,,Alabama A&M,1994,,,,,,,fred lester+1994,,,,,,,,,,,,,,,,
39,6,185,KAN,Anthony Daigle,RB,24.0,Fresno St.,1994,,,,,,,anthony daigle+1994,12.0,156.0,769.0,4.92948717948718,7.0,42.0,612.0,14.571428571428571,8.0,198.0,1381.0,6.974747474747475,15.0,51.0,WAC,
40,7,201,ATL,Jamal Anderson,RB,21.0,Utah,1994,,,,,,,jamal anderson+1994,12.0,168.0,958.0,5.7023809523809526,11.0,17.0,183.0,10.764705882352942,3.0,185.0,1141.0,6.167567567567567,14.0,15.25,WAC,
41,7,204,ARI,Frank Harvey,RB,23.0,Georgia,1994,,,,,,,frank harvey+1994,,,,,,,,,,,,,,,,
42,7,206,PHI,Mark Montgomery,RB,,Wisconsin,1994,220.0,,,,,71.9,mark montgomery+1994,,,,,,,,,,,,,,,,
43,7,209,PIT,Brice Abrams,RB,,Michigan St.,1994,,,,,,,brice abrams+1994,,,,,,,,,,,,,,,,
44,7,212,DEN,Butler By'not'e,RB,21.0,Ohio St.,1994,,,,,,,butler by'not'e+1994,12.0,96.0,474.0,4.9375,4.0,3.0,1.0,0.3333333333333333,0.0,99.0,475.0,4.797979797979798,4.0,0.08333333333333333,Big Ten,
45,1,1,CIN,Ki-Jana Carter,RB,21.0,Penn St.,1995,227.0,,,,,70.0,ki-jana carter+1995,22.0,353.0,2565.0,7.26628895184136,30.0,20.0,172.0,8.6,0.0,373.0,2737.0,7.337801608579088,30.0,7.818181818181818,Big Ten,
46,1,17,NYG,Tyrone Wheatley,RB,23.0,Michigan,1995,232.0,4.53,35.5,,4.27,72.0,tyrone wheatley+1995,21.0,417.0,2273.0,5.45083932853717,25.0,28.0,275.0,9.821428571428571,3.0,445.0,2548.0,5.725842696629213,28.0,13.095238095238095,Big Ten,3.0
47,1,18,OAK,Napoleon Kaufman,RB,22.0,Washington,1995,182.0,4.48,38.5,,,68.5,napoleon kaufman+1995,22.0,481.0,2689.0,5.590436590436591,23.0,47.0,338.0,7.191489361702128,0.0,528.0,3027.0,5.732954545454546,23.0,15.363636363636363,Pac-10,2.0
48,1,19,JAX,James Stewart,RB,23.0,Tennessee,1995,222.0,,38.0,,4.09,73.4,james stewart+1995,20.0,252.0,1328.0,5.26984126984127,17.0,16.0,154.0,9.625,1.0,268.0,1482.0,5.529850746268656,18.0,7.7,Big East,2.0
49,1,19,JAX,James Stewart,RB,23.0,Tennessee,1995,222.0,,38.0,,4.09,73.4,james stewart+1995,22.0,256.0,1565.0,6.11328125,20.0,29.0,236.0,8.137931034482758,3.0,285.0,1801.0,6.319298245614035,23.0,10.727272727272727,SEC,2.0
50,1,21,CHI,Rashaan Salaam,RB,20.0,Colorado,1995,228.0,,,,,72.9,rashaan salaam+1995,20.0,459.0,2899.0,6.315904139433552,32.0,37.0,412.0,11.135135135135135,0.0,496.0,3311.0,6.675403225806452,32.0,20.6,Big 8,2.0
51,2,44,NOR,Ray Zellars,RB,22.0,Notre Dame,1995,,,,,,,ray zellars+1995,22.0,178.0,960.0,5.393258426966292,8.0,26.0,223.0,8.576923076923077,5.0,204.0,1183.0,5.799019607843137,13.0,10.136363636363637,Ind,3.0
52,2,46,DAL,Sherman Williams,RB,22.0,Alabama,1995,196.0,,,,,67.8,sherman williams+1995,23.0,459.0,2079.0,4.529411764705882,17.0,27.0,304.0,11.25925925925926,2.0,486.0,2383.0,4.903292181069959,19.0,13.217391304347826,SEC,3.0
53,2,51,SDG,Terrell Fletcher,RB,21.0,Wisconsin,1995,200.0,,,,,67.6,terrell fletcher+1995,24.0,409.0,2472.0,6.0440097799511,21.0,36.0,311.0,8.63888888888889,2.0,445.0,2783.0,6.253932584269663,23.0,12.958333333333334,Big Ten,3.0
54,3,74,NWE,Curtis Martin HOF,RB,22.0,Pittsburgh,1995,,,,,,,curtis martin hof+1995,,,,,,,,,,,,,,,,
55,3,86,OAK,Joe Aska,RB,23.0,Central Oklahoma,1995,230.0,4.43,34.5,,4.31,70.5,joe aska+1995,,,,,,,,,,,,,,,,
56,3,89,HOU,Rodney Thomas,RB,22.0,Texas A&M,1995,213.0,4.54,33.0,,,70.3,rodney thomas+1995,22.0,390.0,1864.0,4.779487179487179,25.0,28.0,307.0,10.964285714285714,4.0,418.0,2171.0,5.19377990430622,29.0,13.954545454545455,SWC,3.0
57,4,103,WAS,Larry Jones,RB,,Miami (FL),1995,,,,,,,larry jones+1995,11.0,88.0,409.0,4.6477272727272725,4.0,1.0,4.0,4.0,0.0,89.0,413.0,4.640449438202247,4.0,0.36363636363636365,Big East,
58,4,104,SDG,Aaron Hayden,RB,22.0,Tennessee,1995,218.0,,,,,71.6,aaron hayden+1995,11.0,157.0,819.0,5.2165605095541405,3.0,7.0,115.0,16.428571428571427,0.0,164.0,934.0,5.695121951219512,3.0,10.454545454545455,SEC,3.0
59,5,157,MIN,James Stewart,RB,23.0,Miami (FL),1995,222.0,,38.0,,4.09,73.4,james stewart+1995,20.0,252.0,1328.0,5.26984126984127,17.0,16.0,154.0,9.625,1.0,268.0,1482.0,5.529850746268656,18.0,7.7,Big East,2.0
60,5,157,MIN,James Stewart,RB,23.0,Miami (FL),1995,222.0,,38.0,,4.09,73.4,james stewart+1995,22.0,256.0,1565.0,6.11328125,20.0,29.0,236.0,8.137931034482758,3.0,285.0,1801.0,6.319298245614035,23.0,10.727272727272727,SEC,2.0
61,5,169,JAX,Ryan Christopherson,RB,23.0,Wyoming,1995,,,,,,,ryan christopherson+1995,23.0,507.0,2469.0,4.8698224852071,19.0,23.0,262.0,11.391304347826088,2.0,530.0,2731.0,5.152830188679245,21.0,11.391304347826088,WAC,4.0
62,5,170,GNB,Travis Jervey,RB,23.0,The Citadel,1995,,,,,,,travis jervey+1995,,,,,,,,,,,,,,,,
63,6,195,NWE,Dino Philyaw,RB,24.0,Oregon,1995,192.0,4.57,36.5,,4.25,70.5,dino philyaw+1995,13.0,181.0,716.0,3.955801104972376,7.0,30.0,301.0,10.033333333333333,4.0,211.0,1017.0,4.819905213270142,11.0,23.153846153846153,Pac-10,
64,6,196,DEN,Terrell Davis HOF,RB,22.0,Georgia,1995,,,,,,,terrell davis hof+1995,,,,,,,,,,,,,,,,
65,6,206,NYG,Charles Way,RB,22.0,Virginia,1995,,,,,,,charles way+1995,22.0,206.0,985.0,4.781553398058253,13.0,22.0,177.0,8.045454545454545,0.0,228.0,1162.0,5.0964912280701755,13.0,8.045454545454545,ACC,3.0
66,7,210,PHI,Kevin Bouie,RB,24.0,Mississippi St.,1995,225.0,4.73,30.0,,4.41,71.9,kevin bouie+1995,20.0,272.0,1401.0,5.150735294117647,9.0,17.0,182.0,10.705882352941176,2.0,289.0,1583.0,5.477508650519031,11.0,9.1,SEC,
67,7,244,BUF,Darick Holmes,RB,24.0,Portland St.,1995,226.0,,,,,72.0,darick holmes+1995,,,,,,,,,,,,,,,,3.0
68,1,6,STL,Lawrence Phillips,RB,21.0,Nebraska,1996,229.0,,,,,71.6,lawrence phillips+1996,27.0,449.0,2777.0,6.184855233853007,30.0,28.0,192.0,6.857142857142857,0.0,477.0,2969.0,6.2243186582809225,30.0,7.111111111111111,Big 8,3.0
69,1,8,CAR,Tim Biakabutuka,RB,22.0,Michigan,1996,205.0,,,,,72.1,tim biakabutuka+1996,,,,,,,,,,,,,,,,2.0
70,1,14,HOU,Eddie George,RB,22.0,Ohio St.,1996,238.0,,,,,74.6,eddie george+1996,26.0,604.0,3369.0,5.577814569536423,36.0,63.0,534.0,8.476190476190476,1.0,667.0,3903.0,5.851574212893553,37.0,20.53846153846154,Big Ten,1.0
71,2,32,ARI,Leeland McElroy,RB,22.0,Texas A&M,1996,198.0,4.39,37.0,,4.06,68.6,leeland mcelroy+1996,32.0,448.0,2442.0,5.450892857142857,29.0,53.0,645.0,12.169811320754716,7.0,501.0,3087.0,6.161676646706587,36.0,20.15625,SWC,3.0
72,2,35,TAM,Mike Alstott,RB,22.0,Purdue,1996,,,,,,,mike alstott+1996,33.0,598.0,3440.0,5.752508361204013,37.0,78.0,867.0,11.115384615384615,2.0,676.0,4307.0,6.371301775147929,39.0,26.272727272727273,Big Ten,2.0
73,3,65,DEN,Detron Smith,RB,22.0,Texas A&M,1996,,,,,,,detron smith+1996,,,,,,,,,,,,,,,,
74,3,73,CAR,Winslow Oliver,RB,23.0,New Mexico,1996,181.0,4.49,35.0,,4.14,67.3,winslow oliver+1996,29.0,446.0,2269.0,5.0874439461883405,14.0,54.0,556.0,10.296296296296296,2.0,500.0,2825.0,5.65,16.0,19.17241379310345,WAC,3.0
75,3,75,MIN,Moe Williams,RB,22.0,Kentucky,1996,199.0,4.76,37.5,,4.27,72.1,moe williams+1996,33.0,618.0,3333.0,5.393203883495145,26.0,38.0,313.0,8.236842105263158,1.0,656.0,3646.0,5.557926829268292,27.0,9.484848484848484,SEC,
76,3,80,MIA,Karim Abdul-Jabbar,RB,22.0,UCLA,1996,194.0,,32.5,,4.29,70.0,karim abdul-jabbar+1996,12.0,296.0,1571.0,5.3074324324324325,12.0,20.0,188.0,9.4,1.0,316.0,1759.0,5.5664556962025316,13.0,15.666666666666666,Pac-10,1.0
77,3,83,STL,Jerald Moore,RB,21.0,Oklahoma,1996,229.0,,,,,68.9,jerald moore+1996,27.0,364.0,1985.0,5.4532967032967035,22.0,35.0,405.0,11.571428571428571,2.0,399.0,2390.0,5.989974937343359,24.0,15.0,Big 8,3.0
78,3,91,SEA,Reggie Brown,RB,23.0,Fresno St.,1996,,,,,,,reggie brown+1996,23.0,238.0,1131.0,4.7521008403361344,24.0,32.0,294.0,9.1875,4.0,270.0,1425.0,5.277777777777778,28.0,12.782608695652174,WAC,
79,3,92,PIT,Jon Witman,RB,24.0,Penn St.,1996,,,,,,,jon witman+1996,11.0,84.0,316.0,3.761904761904762,9.0,14.0,87.0,6.214285714285714,1.0,98.0,403.0,4.112244897959184,10.0,7.909090909090909,Big Ten,4.0
80,4,102,WAS,Stephen Davis,RB,22.0,Auburn,1996,,,,,,,stephen davis+1996,33.0,488.0,2811.0,5.760245901639344,30.0,33.0,342.0,10.363636363636363,4.0,521.0,3153.0,6.051823416506718,34.0,10.363636363636363,SEC,2.0
81,4,103,NOR,Ricky Whittle,RB,24.0,Oregon,1996,200.0,,,,,69.0,ricky whittle+1996,21.0,390.0,1627.0,4.171794871794872,20.0,69.0,564.0,8.173913043478262,2.0,459.0,2191.0,4.773420479302832,22.0,26.857142857142858,Pac-10,3.0
82,4,115,IND,Brian Milne,RB,23.0,Penn St.,1996,,,,,,,brian milne+1996,,,,,,,,,,,,,,,,3.0
83,4,117,ATL,Richard Huntley,RB,23.0,Winston-Salem St.,1996,224.0,,,,,71.5,richard huntley+1996,,,,,,,,,,,,,,,,
84,4,124,NWE,Kantroy Barber,RB,22.0,West Virginia,1996,,,,,,,kantroy barber+1996,11.0,93.0,362.0,3.89247311827957,4.0,11.0,67.0,6.090909090909091,1.0,104.0,429.0,4.125,5.0,6.090909090909091,Big East,
85,5,134,MIA,Jerris McPhail,RB,24.0,East Carolina,1996,201.0,4.49,38.5,,4.32,70.6,jerris mcphail+1996,21.0,258.0,1236.0,4.790697674418604,7.0,49.0,543.0,11.081632653061224,3.0,307.0,1779.0,5.7947882736156355,10.0,25.857142857142858,Ind,3.0
86,5,142,CAR,Marquette Smith,RB,,Central Florida,1996,,,,,,,marquette smith+1996,,,,,,,,,,,,,,,,
87,6,175,STL,Derrick Harris,RB,23.0,Miami (FL),1996,,,,,,,derrick harris+1996,,,,,,,,,,,,,,,,3.0
88,6,183,OAK,Tim Hall,RB,22.0,Robert Morris,1996,,,,,,,tim hall+1996,,,,,,,,,,,,,,,,
89,6,193,CAR,Scott Greene,RB,24.0,Michigan St.,1996,,,,,,,scott greene+1996,11.0,125.0,590.0,4.72,17.0,33.0,291.0,8.818181818181818,0.0,158.0,881.0,5.575949367088608,17.0,26.454545454545453,Big Ten,3.0
90,6,195,NWE,Marrio Grier,RB,24.0,Chattanooga,1996,,,,,,,marrio grier+1996,,,,,,,,,,,,,,,,4.0
91,6,196,BUF,Leon Neal,RB,23.0,Washington,1996,,,,,,,leon neal+1996,5.0,100.0,539.0,5.39,3.0,17.0,108.0,6.352941176470588,1.0,117.0,647.0,5.52991452991453,4.0,21.6,Pac-10,
92,6,198,SFO,Stephen Pitts,RB,,Penn St.,1996,,,,,,,stephen pitts+1996,,,,,,,,,,,,,,,,
93,7,218,HOU,Mike Archie,RB,23.0,Penn St.,1996,206.0,,,,,68.0,mike archie+1996,22.0,229.0,1278.0,5.580786026200873,7.0,39.0,252.0,6.461538461538462,4.0,268.0,1530.0,5.708955223880597,11.0,11.454545454545455,Big Ten,
94,7,231,SDG,Freddie Bradley,RB,26.0,Sonoma St.,1996,,,,,,,freddie bradley+1996,,,,,,,,,,,,,,,,3.0
95,7,235,DEN,L.T. Levine,RB,,Kansas,1996,,,,,,,l.t. levine+1996,30.0,407.0,2186.0,5.371007371007371,21.0,41.0,194.0,4.7317073170731705,1.0,448.0,2380.0,5.3125,22.0,6.466666666666667,Big 8,
96,7,243,DAL,Ryan Wood,RB,,Arizona St.,1996,,,,,,,ryan wood+1996,,,,,,,,,,,,,,,,
97,7,253,CHI,Michael Hicks,RB,23.0,South Carolina St.,1996,188.0,4.59,32.5,,4.26,72.3,michael hicks+1996,,,,,,,,,,,,,,,,3.0
98,1,12,TAM,Warrick Dunn,RB,22.0,Florida St.,1997,176.0,,,,,68.0,warrick dunn+1997,33.0,507.0,3448.0,6.800788954635109,33.0,107.0,957.0,8.94392523364486,6.0,614.0,4405.0,7.1742671009771986,39.0,29.0,ACC,1.0
99,1,23,BUF,Antowain Smith,RB,25.0,Houston,1997,224.0,4.48,36.5,,,74.4,antowain smith+1997,21.0,354.0,1847.0,5.2175141242937855,19.0,41.0,323.0,7.878048780487805,1.0,395.0,2170.0,5.493670886075949,20.0,15.380952380952381,CUSA,2.0
