Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Brennan Marion,Tulsa,CUSA,13,43,1112,25.9,8,1,-6,-6.0,0,44,1106,25.1,8
2,T.Y. Hilton,Florida International,Sun Belt,12,41,1013,24.7,7,14,43,3.1,2,55,1056,19.2,9
3,Owen Spencer,North Carolina State,ACC,13,31,691,22.3,5,1,4,4.0,0,32,695,21.7,5
4,Tim Brown,Rutgers,Big East,13,27,565,20.9,6,6,34,5.7,1,33,599,18.2,7
5,Mike Wallace,Ole Miss,SEC,13,39,784,20.1,7,10,92,9.2,0,49,876,17.9,7
6,Kris Adams,UTEP,CUSA,12,50,958,19.2,14,,,,,50,958,19.2,14
7,Mark Dell,Michigan State,Big Ten,11,36,679,18.9,3,,,,,36,679,18.9,3
8,Marko Mitchell,Nevada,WAC,13,61,1141,18.7,10,4,45,11.3,0,65,1186,18.2,10
9,Golden Tate,Notre Dame,Ind,13,58,1080,18.6,10,5,37,7.4,1,63,1117,17.7,11
10,Hakeem Nicks,North Carolina,ACC,13,68,1222,18.0,12,5,34,6.8,1,73,1256,17.2,13
11,Rashaun Greer,Colorado State,MWC,13,63,1114,17.7,3,1,5,5.0,0,64,1119,17.5,3
12,Aldrick Robinson,SMU,CUSA,10,59,1047,17.7,11,,,,,59,1047,17.7,11
13,Malcolm Lane,Hawaii,WAC,14,35,613,17.5,6,,,,,35,613,17.5,6
14,Quentin Chaney,Oklahoma,Big 12,14,29,504,17.4,2,,,,,29,504,17.4,2
15,Jason Harper,Temple,MAC,12,33,571,17.3,3,5,24,4.8,0,38,595,15.7,3
16,Ronald Johnson,USC,Pac-10,13,33,570,17.3,8,6,32,5.3,0,39,602,15.4,8
17,A.J. Green,Georgia,SEC,13,56,963,17.2,8,4,61,15.3,0,60,1024,17.1,8
18,Deon Butler,Penn State,Big Ten,13,47,810,17.2,7,1,5,5.0,0,48,815,17.0,7
19,Louis Murphy,Florida,SEC,14,38,655,17.2,7,2,7,3.5,0,40,662,16.6,7
20,L.J. Castile,Houston,CUSA,13,31,531,17.1,8,,,,,31,531,17.1,8
21,David Reed,Utah,MWC,13,25,427,17.1,6,1,15,15.0,1,26,442,17.0,7
22,Dez Bryant,Oklahoma State,Big 12,13,87,1480,17.0,19,,,,,87,1480,17.0,19
23,Manuel Johnson,Oklahoma,Big 12,13,42,714,17.0,9,2,4,2.0,0,44,718,16.3,9
24,Darius Passmore,Marshall,CUSA,12,56,945,16.9,7,21,195,9.3,1,77,1140,14.8,8
25,Seyi Ajirotutu,Fresno State,WAC,13,47,795,16.9,5,0,0,,1,47,795,16.9,6
26,Dion Morton,Colorado State,MWC,13,51,859,16.8,10,14,129,9.2,2,65,988,15.2,12
27,Darius Hill,Ball State,MAC,14,40,670,16.8,7,,,,,40,670,16.8,7
28,David Gilreath,Wisconsin,Big Ten,13,31,520,16.8,3,25,285,11.4,2,56,805,14.4,5
29,Deandre Brown,Southern Mississippi,CUSA,13,67,1117,16.7,12,1,2,2.0,0,68,1119,16.5,12
30,Jimmy Young,TCU,MWC,13,59,988,16.7,5,1,7,7.0,0,60,995,16.6,5
31,Malcolm Beyah,Middle Tennessee State,Sun Belt,12,33,550,16.7,6,6,6,1.0,0,39,556,14.3,6
32,Jarvis Williams,North Carolina State,ACC,13,26,432,16.6,4,,,,,26,432,16.6,4
33,Shay Hodge,Ole Miss,SEC,13,44,725,16.5,8,,,,,44,725,16.5,8
34,Shawn Bayes,Kent State,MAC,12,39,642,16.5,5,7,38,5.4,0,46,680,14.8,5
35,Edward Britton,Texas Tech,Big 12,13,35,577,16.5,6,3,10,3.3,0,38,587,15.4,6
36,Greg Ellingson,Florida International,Sun Belt,12,35,574,16.4,3,,,,,35,574,16.4,3
37,Dante Love,Ball State,MAC,4,28,460,16.4,3,14,64,4.6,2,42,524,12.5,5
38,Lucas Miller,Arkansas,SEC,12,30,490,16.3,2,,,,,30,490,16.3,2
39,Davon Drew,East Carolina,CUSA,14,43,695,16.2,3,,,,,43,695,16.2,3
40,Rob Housler,Florida Atlantic,Sun Belt,13,32,519,16.2,4,1,-4,-4.0,0,33,515,15.6,4
41,Corbin Smiter,Rice,CUSA,13,30,487,16.2,3,,,,,30,487,16.2,3
42,Jeremy Williams,Tulane,CUSA,5,27,437,16.2,5,7,20,2.9,0,34,457,13.4,5
43,Percy Harvin,Florida,SEC,12,40,644,16.1,7,70,660,9.4,10,110,1304,11.9,17
44,Demaryius Thomas,Georgia Tech,ACC,12,39,627,16.1,3,2,29,14.5,0,41,656,16.0,3
45,Slick Shelley,Tulsa,CUSA,14,39,627,16.1,8,,,,,39,627,16.1,8
46,Vinny Perretta,Boise State,WAC,13,36,578,16.1,2,22,133,6.0,2,58,711,12.3,4
47,Brandon Thompkins,Arkansas State,Sun Belt,11,32,511,16.0,2,2,16,8.0,0,34,527,15.5,2
48,Jeffery Anderson,UAB,CUSA,12,23,368,16.0,3,,,,,23,368,16.0,3
49,Julio Jones,Alabama,SEC,14,58,924,15.9,4,,,,,58,924,15.9,4
50,Mohamed Massaquoi,Georgia,SEC,13,58,920,15.9,8,,,,,58,920,15.9,8
51,Kenny Britt,Rutgers,Big East,12,87,1371,15.8,7,7,75,10.7,1,94,1446,15.4,8
52,Mardy Gilyard,Cincinnati,Big East,14,81,1276,15.8,11,2,10,5.0,0,83,1286,15.5,11
53,Arrelious Benn,Illinois,Big Ten,12,67,1055,15.7,3,23,101,4.4,2,90,1156,12.8,5
54,Brandon Banks,Kansas State,Big 12,12,67,1049,15.7,9,7,126,18.0,1,74,1175,15.9,10
55,Ernie Pierce,Kansas State,Big 12,12,27,424,15.7,3,,,,,27,424,15.7,3
56,Cortez Gent,Florida Atlantic,Sun Belt,13,60,935,15.6,9,,,,,60,935,15.6,9
57,Kierrie Johnson,Houston,CUSA,13,32,499,15.6,5,1,-7,-7.0,0,33,492,14.9,5
58,Michael Moore,Georgia,SEC,13,29,451,15.6,2,,,,,29,451,15.6,2
59,Juaquin Iglesias,Oklahoma,Big 12,14,74,1150,15.5,10,1,7,7.0,0,75,1157,15.4,10
60,Jordan Norwood,Penn State,Big Ten,11,41,637,15.5,6,2,-9,-4.5,0,43,628,14.6,6
61,Jared Cook,South Carolina,SEC,13,37,573,15.5,3,,,,,37,573,15.5,3
62,Brandon Robinson,Boston College,ACC,14,42,646,15.4,3,,,,,42,646,15.4,3
63,Dezmon Briscoe,Kansas,Big 12,13,92,1407,15.3,15,2,18,9.0,0,94,1425,15.2,15
64,Ryan Tannehill,Texas A&M,Big 12,11,55,844,15.3,5,2,-8,-4.0,0,57,836,14.7,5
65,Bruce Francis,Temple,MAC,12,45,687,15.3,13,,,,,45,687,15.3,13
66,Blair White,Michigan State,Big Ten,13,43,659,15.3,1,1,-2,-2.0,0,44,657,14.9,1
67,Carlos Singleton,Memphis,CUSA,13,52,791,15.2,5,,,,,52,791,15.2,5
68,Jarett Dillard,Rice,CUSA,13,87,1310,15.1,20,,,,,87,1310,15.1,20
69,Patrick Turner,USC,Pac-10,13,49,741,15.1,10,,,,,49,741,15.1,10
70,Nyan Boateng,California,Pac-10,13,29,439,15.1,5,1,0,0.0,0,30,439,14.6,5
71,Damian Williams,USC,Pac-10,13,58,869,15.0,9,4,43,10.8,0,62,912,14.7,9
72,Terence Scott,Oregon,Pac-10,13,50,751,15.0,5,9,128,14.2,1,59,879,14.9,6
73,Michael Floyd,Notre Dame,Ind,11,48,719,15.0,7,,,,,48,719,15.0,7
74,Chris Wellington,Nevada,WAC,13,42,632,15.0,6,4,27,6.8,0,46,659,14.3,6
75,Deon Murphy,Kansas State,Big 12,12,37,555,15.0,6,6,52,8.7,0,43,607,14.1,6
76,Phillip Payne,UNLV,MWC,9,29,436,15.0,7,,,,,29,436,15.0,7
77,Kerry Taylor,Arizona State,Pac-10,12,27,405,15.0,3,2,-2,-1.0,0,29,403,13.9,3
78,Marshall Williams,Wake Forest,ACC,13,26,390,15.0,2,3,0,0.0,0,29,390,13.4,2
79,Sammie Stroughter,Oregon State,Pac-10,13,70,1040,14.9,7,7,52,7.4,0,77,1092,14.2,7
80,Nate Swift,Nebraska,Big 12,13,63,941,14.9,10,2,23,11.5,0,65,964,14.8,10
