Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Trea Shropshire,UAB,CUSA,12,27,703,26.0,7,0,0,,0,27,703,26.0,7
2,Tyrese Chambers,Florida International,CUSA,12,45,1074,23.9,9,0,0,,0,45,1074,23.9,9
3,Marvin Mims,Oklahoma,Big 12,13,32,705,22.0,5,1,15,15.0,0,33,720,21.8,5
4,Dontayvion Wicks,Virginia,ACC,12,57,1203,21.1,9,0,0,,0,57,1203,21.1,9
5,Isaiah Neyor,Wyoming,MWC,13,44,878,20.0,12,12,23,1.9,1,56,901,16.1,13
6,Jameson Williams,Alabama,SEC,15,79,1572,19.9,15,3,23,7.7,0,82,1595,19.5,15
7,Trevon Clark,California,Pac-12,10,33,658,19.9,4,0,0,,0,33,658,19.9,4
8,Nick Mardner,Hawaii,MWC,13,46,913,19.8,5,0,0,,0,46,913,19.8,5
9,Antoine Green,North Carolina,ACC,13,31,612,19.7,5,0,0,,0,31,612,19.7,5
10,Jacob Cowing,UTEP,CUSA,13,69,1354,19.6,7,4,75,18.8,1,73,1429,19.6,8
11,Bub Means,Louisiana Tech,CUSA,10,24,470,19.6,2,1,-8,-8.0,0,25,462,18.5,2
12,Samori Toure,Nebraska,Big Ten,12,46,898,19.5,5,8,63,7.9,1,54,961,17.8,6
13,Willie Johnson,Marshall,CUSA,13,32,625,19.5,3,3,26,8.7,0,35,651,18.6,3
14,Gerrit Prince,UAB,CUSA,13,36,699,19.4,10,1,0,0.0,0,37,699,18.9,10
15,Quentin Johnston,TCU,Big 12,8,33,634,19.2,6,2,12,6.0,0,35,646,18.5,6
16,Jalen Nailor,Michigan State,Big Ten,9,37,695,18.8,6,1,-3,-3.0,0,38,692,18.2,6
17,Zane Pope,Fresno State,MWC,11,25,471,18.8,4,1,3,3.0,0,26,474,18.2,4
18,Puka Nacua,Brigham Young,Ind,12,43,805,18.7,6,14,148,10.6,0,57,953,16.7,6
19,Jack Sorenson,Miami (OH),MAC,13,76,1406,18.5,10,0,0,,0,76,1406,18.5,10
20,Kevin Austin,Notre Dame,Ind,12,48,888,18.5,7,1,8,8.0,0,49,896,18.3,7
21,Bryce Singleton,Florida International,CUSA,11,46,847,18.4,3,0,0,,0,46,847,18.4,3
22,Kevin Shaa,Liberty,Ind,11,28,516,18.4,6,0,0,,0,28,516,18.4,6
23,A.T. Perry,Wake Forest,ACC,14,71,1293,18.2,15,0,0,,0,71,1293,18.2,15
24,Dontay Demus,Maryland,Big Ten,5,28,507,18.1,3,0,0,,0,28,507,18.1,3
25,Jalen Tolbert,South Alabama,Sun Belt,12,82,1474,18.0,8,0,0,,0,82,1474,18.0,8
26,Devin Carter,North Carolina State,ACC,10,31,556,17.9,6,0,0,,0,31,556,17.9,6
27,Jeff Foreman,Arkansas State,Sun Belt,11,31,556,17.9,2,0,0,,0,31,556,17.9,2
28,Je'Quan Burton,Florida Atlantic,CUSA,12,27,483,17.9,3,2,-12,-6.0,0,29,471,16.2,3
29,Daewood Davis,Western Kentucky,CUSA,13,43,763,17.7,8,1,-8,-8.0,0,44,755,17.2,8
30,Ra'Shaun Henry,Virginia,ACC,12,34,603,17.7,3,0,0,,0,34,603,17.7,3
31,Trayvon Rudolph,Northern Illinois,MAC,13,51,892,17.5,7,8,113,14.1,1,59,1005,17.0,8
32,Corey Crooms,Western Michigan,MAC,11,44,768,17.5,6,1,6,6.0,0,45,774,17.2,6
33,Gunner Romney,Brigham Young,Ind,8,34,594,17.5,3,2,2,1.0,0,36,596,16.6,3
34,Sam Crawford Jr.,Tulsa,American,9,27,472,17.5,4,0,0,,0,27,472,17.5,4
35,Jayden Reed,Michigan State,Big Ten,13,59,1026,17.4,10,7,34,4.9,1,66,1060,16.1,11
36,Xavier Weaver,South Florida,American,10,41,715,17.4,2,1,3,3.0,1,42,718,17.1,3
37,Greg Dulcich,UCLA,Pac-12,11,42,725,17.3,5,0,0,,0,42,725,17.3,5
38,Tyrin Smith,UTEP,CUSA,12,33,570,17.3,4,0,0,,0,33,570,17.3,4
39,Tyler Scott,Cincinnati,American,14,30,520,17.3,5,0,0,,0,30,520,17.3,5
40,Ty McCullouch,Colorado State,MWC,11,24,415,17.3,1,3,14,4.7,0,27,429,15.9,1
41,Ali Jennings,Old Dominion,CUSA,13,62,1066,17.2,5,0,0,,0,62,1066,17.2,5
42,Jaivon Heiligh,Coastal Carolina,Sun Belt,13,66,1128,17.1,7,0,0,,0,66,1128,17.1,7
43,Taye Barber,TCU,Big 12,11,30,514,17.1,2,2,7,3.5,0,32,521,16.3,2
44,Rico Arnold,Massachusetts,Ind,9,27,461,17.1,3,0,0,,0,27,461,17.1,3
45,Taysir Mack,Pitt,ACC,8,27,461,17.1,3,2,12,6.0,0,29,473,16.3,3
46,Alec Pierce,Cincinnati,American,14,52,884,17.0,8,0,0,,0,52,884,17.0,8
47,Zay Flowers,Boston College,ACC,12,44,746,17.0,5,7,69,9.9,0,51,815,16.0,5
48,CJ Daniels,Liberty,Ind,13,37,629,17.0,7,0,0,,0,37,629,17.0,7
49,Jeremy Singleton,Houston,American,12,29,493,17.0,5,0,0,,0,29,493,17.0,5
50,Jaxon Smith-Njigba,Ohio State,Big Ten,13,95,1606,16.9,9,0,0,,0,95,1606,16.9,9
51,Cedric Tillman,Tennessee,SEC,12,64,1081,16.9,12,0,0,,0,64,1081,16.9,12
52,Tre Turner,Virginia Tech,ACC,10,40,675,16.9,3,12,64,5.3,0,52,739,14.2,3
53,Keelan Marion,Connecticut,Ind,10,28,474,16.9,5,0,0,,0,28,474,16.9,5
54,Kameron Brown,Coastal Carolina,Sun Belt,12,36,605,16.8,5,0,0,,0,36,605,16.8,5
55,Terrell Bynum,Washington,Pac-12,8,26,436,16.8,4,1,8,8.0,0,27,444,16.4,4
56,Deven Thompkins,Utah State,MWC,14,102,1704,16.7,10,5,27,5.4,0,107,1731,16.2,10
57,Treylon Burks,Arkansas,SEC,12,66,1104,16.7,11,14,112,8.0,1,80,1216,15.2,12
58,Tyrone Broden,Bowling Green State,MAC,9,36,596,16.6,5,0,0,,0,36,596,16.6,5
59,Jaheim Bell,South Carolina,SEC,12,30,497,16.6,5,7,40,5.7,0,37,537,14.5,5
60,Ontaria Wilson,Florida State,ACC,10,23,382,16.6,5,1,10,10.0,0,24,392,16.3,5
61,Danny Gray,SMU,American,10,49,803,16.4,9,3,40,13.3,0,52,843,16.2,9
62,Derek Wright,Utah State,MWC,14,48,789,16.4,11,0,0,,0,48,789,16.4,11
63,Mac Hippenhammer,Miami (OH),MAC,12,48,786,16.4,5,0,0,,0,48,786,16.4,5
64,Jaylen Hall,Western Michigan,MAC,11,46,752,16.3,3,0,0,,0,46,752,16.3,3
65,Keric Wheatfall,Fresno State,MWC,12,38,616,16.2,4,2,2,1.0,0,40,618,15.5,4
66,Mitchell Tinsley,Western Kentucky,CUSA,14,87,1402,16.1,14,0,0,,0,87,1402,16.1,14
67,Sean Ryan,West Virginia,Big 12,10,25,399,16.0,3,0,0,,0,25,399,16.0,3
68,Jordan Addison,Pitt,ACC,14,100,1593,15.9,17,7,56,8.0,1,107,1649,15.4,18
69,Devon Williams,Oregon,Pac-12,10,35,557,15.9,4,0,0,,0,35,557,15.9,4
70,August Pitre III,Rice,CUSA,7,31,494,15.9,3,0,0,,0,31,494,15.9,3
71,Jared Smart,Hawaii,MWC,12,26,414,15.9,2,0,0,,0,26,414,15.9,2
72,Xavier Worthy,Texas,Big 12,12,62,981,15.8,12,1,7,7.0,0,63,988,15.7,12
73,Brock Bowers,Georgia,SEC,14,56,882,15.8,13,4,56,14.0,1,60,938,15.6,14
74,Malik Williams,Appalachian State,Sun Belt,14,52,819,15.8,7,2,13,6.5,0,54,832,15.4,7
75,Josh Vann,South Carolina,SEC,13,43,679,15.8,5,5,63,12.6,0,48,742,15.5,5
76,Austin Allen,Nebraska,Big Ten,11,38,602,15.8,2,0,0,,0,38,602,15.8,2
77,Jacob Copeland,Florida,SEC,13,41,642,15.7,4,3,20,6.7,0,44,662,15.0,4
78,Cornelius Johnson,Michigan,Big Ten,14,40,627,15.7,3,3,30,10.0,0,43,657,15.3,3
79,Dallas Dixon,Central Michigan,MAC,13,45,701,15.6,8,0,0,,0,45,701,15.6,8
80,Isaiah Garcia-Castaneda,New Mexico State,Ind,10,37,578,15.6,4,1,6,6.0,0,38,584,15.4,4
81,Calvin Austin III,Memphis,American,12,74,1149,15.5,8,1,69,69.0,1,75,1218,16.2,9
82,Kalil Pimpleton,Central Michigan,MAC,13,62,960,15.5,4,16,84,5.3,2,78,1044,13.4,6
83,Isaiah Likely,Coastal Carolina,Sun Belt,13,59,912,15.5,12,3,10,3.3,0,62,922,14.9,12
84,Derrick Deese,San Jose State,MWC,12,47,730,15.5,4,0,0,,0,47,730,15.5,4
85,Xavier Restrepo,Miami (FL),ACC,12,24,373,15.5,2,0,0,,0,24,373,15.5,2
86,Tyquan Thornton,Baylor,Big 12,14,62,948,15.3,10,1,-11,-11.0,0,63,937,14.9,10
87,Benjamin Yurosek,Stanford,Pac-12,11,43,658,15.3,3,2,11,5.5,0,45,669,14.9,3
88,Cedric Patterson III,Rice,CUSA,12,38,583,15.3,6,3,40,13.3,1,41,623,15.2,7
89,Keandre Lambert-Smith,Penn State,Big Ten,13,34,521,15.3,3,0,0,,0,34,521,15.3,3
90,Ahmari Huggins-Bruce,Louisville,ACC,9,29,444,15.3,4,2,15,7.5,0,31,459,14.8,4
91,Jaquarii Roberson,Wake Forest,ACC,13,71,1078,15.2,8,2,8,4.0,0,73,1086,14.9,8
