Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Kent Layman,Missouri,Big 12,11,21,534,25.4,4,4,63,15.8,0,25,597,23.9,4
2,Corey Alston,Western Michigan,MAC,5,32,761,23.8,8,3,15,5.0,0,35,776,22.2,8
3,Damon Gibson,Iowa,Big Ten,11,23,516,22.4,4,1,-4,-4.0,0,24,512,21.3,4
4,Kevin Drake,UAB,Ind,11,38,823,21.7,7,3,38,12.7,0,41,861,21.0,7
5,Jim Turner,Syracuse,Big East,12,23,488,21.2,4,,,,,23,488,21.2,4
6,Jim McElroy,UCLA,Pac-10,12,47,988,21.0,10,4,31,7.8,1,51,1019,20.0,11
7,Darnell McDonald,Kansas State,Big 12,11,21,441,21.0,6,,,,,21,441,21.0,6
8,Octavus Barnes,North Carolina,ACC,11,21,441,21.0,5,,,,,21,441,21.0,5
9,Joe Jurevicius,Penn State,Big Ten,12,39,817,20.9,10,,,,,39,817,20.9,10
10,Kevin Walker,Temple,Big East,11,34,688,20.2,4,2,29,14.5,0,36,717,19.9,4
11,Tony Simmons,Wisconsin,Big Ten,13,28,553,19.8,5,,,,,28,553,19.8,5
12,E.G. Green,Florida State,ACC,11,54,1059,19.6,11,1,9,9.0,0,55,1068,19.4,11
13,Brian Alford,Purdue,Big Ten,12,63,1228,19.5,10,1,-8,-8.0,0,64,1220,19.1,10
14,Trevor Insley,Nevada,Big West,11,59,1151,19.5,6,1,-2,-2.0,0,60,1149,19.2,6
15,Pat Johnson,Oregon,Pac-10,12,55,1072,19.5,8,1,-6,-6.0,0,56,1066,19.0,8
16,Derrick Steagall,Georgia Tech,ACC,11,32,625,19.5,3,,,,,32,625,19.5,3
17,Quinton Spotwood,Syracuse,Big East,12,41,797,19.4,8,,,,,41,797,19.4,8
18,Kevin Johnson,Syracuse,Big East,12,32,612,19.1,3,,,,,32,612,19.1,3
19,Randy Moss,Marshall,MAC,13,96,1820,19.0,26,1,2,2.0,0,97,1822,18.8,26
20,Terry Murphy,Pitt,Big East,11,46,873,19.0,13,,,,,46,873,19.0,13
21,Tyrone Goodson,Auburn,SEC,12,48,906,18.9,5,,,,,48,906,18.9,5
22,Sherrod Gideon,Southern Mississippi,CUSA,12,54,1008,18.7,9,,,,,54,1008,18.7,9
23,Lennie Johnson,Arkansas State,Ind,11,46,862,18.7,4,6,31,5.2,0,52,893,17.2,4
24,Troy Kersey,Temple,Big East,11,25,467,18.7,1,1,-2,-2.0,0,26,465,17.9,1
25,Chris Jackson,Washington State,Pac-10,12,54,1005,18.6,11,,,,,54,1005,18.6,11
26,O.J. Conner,Indiana,Big Ten,11,28,520,18.6,2,,,,,28,520,18.6,2
27,Steve Smith,Utah State,Big West,11,37,686,18.5,3,10,66,6.6,0,47,752,16.0,3
28,Germane Crowell,Virginia,ACC,11,53,969,18.3,9,1,1,1.0,0,54,970,18.0,9
29,Anthony Lucas,Arkansas,SEC,11,27,495,18.3,4,1,3,3.0,0,28,498,17.8,4
30,Laveranues Coles,Florida State,ACC,11,21,384,18.3,1,6,41,6.8,0,27,425,15.7,1
31,Taj Johnson,San Diego State,WAC,12,44,802,18.2,2,,,,,44,802,18.2,2
32,Ta-if Kumasi,Eastern Michigan,MAC,11,39,710,18.2,5,2,10,5.0,0,41,720,17.6,5
33,Shawn McWashington,Washington State,Pac-10,11,33,597,18.1,3,,,,,33,597,18.1,3
34,Jerome Pathon,Washington,Pac-10,11,69,1245,18.0,8,,,,,69,1245,18.0,8
35,Pascal Volz,New Mexico,WAC,12,69,1229,17.8,13,,,,,69,1229,17.8,13
36,Torry Holt,North Carolina State,ACC,11,62,1099,17.7,16,3,6,2.0,0,65,1105,17.0,16
37,Greg Russell,Nevada,Big West,11,41,727,17.7,4,,,,,41,727,17.7,4
38,Robert Prescott,Oregon State,Pac-10,11,24,424,17.7,2,,,,,24,424,17.7,2
39,Reggie Allen,Central Michigan,MAC,11,50,877,17.5,7,3,28,9.3,0,53,905,17.1,7
40,Adrian Reese,Ball State,MAC,11,30,526,17.5,6,3,22,7.3,0,33,548,16.6,6
41,Derrick Spiller,Texas A&M,Big 12,12,25,436,17.4,4,1,9,9.0,0,26,445,17.1,4
42,Jermaine Sheffield,Eastern Michigan,MAC,11,25,434,17.4,6,,,,,25,434,17.4,6
43,Daman Green,Iowa State,Big 12,9,21,366,17.4,2,2,10,5.0,0,23,376,16.3,2
44,R. Jay Soward,USC,Pac-10,11,48,831,17.3,8,6,101,16.8,2,54,932,17.3,10
45,Fred Coleman,Washington,Pac-10,11,42,723,17.2,7,3,24,8.0,0,45,747,16.6,7
46,Anthony Eubanks,Arkansas,SEC,11,51,870,17.1,5,,,,,51,870,17.1,5
47,Brad Brennan,Arizona,Pac-10,10,32,548,17.1,6,,,,,32,548,17.1,6
48,Dee Miller,Ohio State,Big Ten,13,58,981,16.9,5,1,19,19.0,0,59,1000,16.9,5
49,Jacquez Green,Florida,SEC,11,61,1024,16.8,9,7,51,7.3,1,68,1075,15.8,10
50,Troy Edwards,Louisiana Tech,Ind,11,102,1707,16.7,13,15,190,12.7,3,117,1897,16.2,16
51,Peter Warrick,Florida State,ACC,11,53,884,16.7,8,3,-16,-5.3,0,56,868,15.5,8
52,Len Ware,UNLV,WAC,11,49,818,16.7,6,1,-2,-2.0,0,50,816,16.3,6
53,Tim Dwight,Iowa,Big Ten,11,39,653,16.7,8,8,85,10.6,0,47,738,15.7,8
54,David Patterson,New Mexico State,Big West,11,35,584,16.7,5,,,,,35,584,16.7,5
55,Steve Neal,Western Michigan,MAC,11,31,517,16.7,6,,,,,31,517,16.7,6
