Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Jimmy Oliver,TCU,SWC,11,23,547,23.8,5,3,42,14.0,0,26,589,22.7,5
2,Eric Moulds,Mississippi State,SEC,11,39,845,21.7,7,3,-8,-2.7,0,42,837,19.9,7
3,Bryan Still,Virginia Tech,Big East,11,23,500,21.7,4,4,37,9.3,0,27,537,19.9,4
4,Keith Poole,Arizona State,Pac-10,11,31,669,21.6,6,,,,,31,669,21.6,6
5,Marvin Harrison,Syracuse,Big East,11,36,761,21.1,5,5,68,13.6,1,41,829,20.2,6
6,Freddie Scott,Penn State,Big Ten,11,47,973,20.7,9,3,14,4.7,0,50,987,19.7,9
7,Keyshawn Johnson,USC,Pac-10,11,66,1362,20.6,9,,,,,66,1362,20.6,9
8,Reidel Anthony,Florida,SEC,12,30,615,20.5,5,2,8,4.0,0,32,623,19.5,5
9,Amani Toomer,Michigan,Big Ten,12,54,1096,20.3,6,1,13,13.0,0,55,1109,20.2,6
10,Marcus Harris,Wyoming,WAC,12,71,1431,20.2,11,2,-1,-0.5,0,73,1430,19.6,11
11,Brannon Kennedy,Hawaii,WAC,12,23,462,20.1,2,1,0,0.0,0,24,462,19.3,2
12,Tyrone Watley,Pacific,Big West,9,22,441,20.0,1,,,,,22,441,20.0,1
13,Matt Scornavacchi,Navy,Ind,11,22,440,20.0,3,2,-16,-8.0,0,24,424,17.7,3
14,Bobby Engram,Penn State,Big Ten,11,52,1029,19.8,7,3,46,15.3,0,55,1075,19.5,7
15,Marcus Wall,North Carolina,ACC,11,29,569,19.6,9,6,31,5.2,1,35,600,17.1,10
16,Brian Manning,Stanford,Pac-10,11,46,899,19.5,5,3,26,8.7,0,49,925,18.9,5
17,Stepfret Williams,Louisiana-Monroe,Ind,11,57,1106,19.4,10,1,-14,-14.0,0,58,1092,18.8,10
18,J.J. Stokes,UCLA,Pac-10,11,26,505,19.4,4,,,,,26,505,19.4,4
19,Ashaundai Smith,Kansas,Big 8,10,22,426,19.4,3,6,42,7.0,0,28,468,16.7,3
20,Hason Graham,Georgia,SEC,11,46,881,19.2,9,,,,,46,881,19.2,9
21,Eric Olsen,Colorado State,WAC,11,43,825,19.2,3,,,,,43,825,19.2,3
22,Chris Sanders,Texas A&M,SWC,11,22,422,19.2,4,,,,,22,422,19.2,4
23,Michael Westbrook,Colorado,Big 8,11,36,689,19.1,4,2,36,18.0,0,38,725,19.1,4
