Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Kevin Coffey,Virginia,ACC,10,23,583,25.3,5,,,,,23,583,25.3,5
2,Anthony Lucas,Arkansas,SEC,10,43,1004,23.3,10,,,,,43,1004,23.3,10
3,Robert Kilow,Arkansas State,Ind,9,29,661,22.8,2,,,,,29,661,22.8,2
4,James Williams,Marshall,MAC,13,26,591,22.7,4,1,-18,-18.0,0,27,573,21.2,4
5,Darrius Malone,UAB,Ind,11,24,530,22.1,2,,,,,24,530,22.1,2
6,Danny Farmer,UCLA,Pac-10,12,58,1274,22.0,9,3,40,13.3,0,61,1314,21.5,9
7,Corey Alston,Western Michigan,MAC,10,21,459,21.9,4,2,10,5.0,0,23,469,20.4,4
8,Dez White,Georgia Tech,ACC,11,46,973,21.2,9,,,,,46,973,21.2,9
9,Tony Hartley,Oregon,Pac-10,11,48,1015,21.1,10,,,,,48,1015,21.1,10
10,Aaron Lockett,Kansas State,Big 12,12,44,928,21.1,6,1,12,12.0,0,45,940,20.9,6
11,Santana Moss,Miami (FL),Big East,11,30,631,21.0,8,3,35,11.7,0,33,666,20.2,8
12,Tony Akins,Louisiana-Monroe,Ind,11,28,581,20.8,4,3,5,1.7,0,31,586,18.9,4
13,Kenny Mitchell,Arizona State,Pac-10,11,36,746,20.7,6,1,-3,-3.0,0,37,743,20.1,6
14,Peter Warrick,Florida State,ACC,12,61,1232,20.2,12,13,85,6.5,1,74,1317,17.8,13
15,Chris Chambers,Wisconsin,Big Ten,12,28,563,20.1,7,,,,,28,563,20.1,7
16,Termaine Fulton,Kansas,Big 12,11,25,503,20.1,3,,,,,25,503,20.1,3
17,Larry Parker,USC,Pac-10,13,29,580,20.0,1,3,28,9.3,0,32,608,19.0,1
18,Bill Powell,Rutgers,Big East,11,37,730,19.7,4,1,-5,-5.0,0,38,725,19.1,4
19,Andre DeSaussure,Washington,Pac-10,11,25,491,19.6,2,,,,,25,491,19.6,2
20,Travis McGriff,Florida,SEC,11,70,1357,19.4,10,2,-3,-1.5,1,72,1354,18.8,11
21,Kurt Gerling,Bowling Green State,MAC,11,34,656,19.3,6,,,,,34,656,19.3,6
22,Jason Blackwell,Rice,WAC,11,22,422,19.2,2,,,,,22,422,19.2,2
23,Kent Layman,Missouri,Big 12,11,26,495,19.0,2,2,13,6.5,0,28,508,18.1,2
24,Nian Taylor,Washington State,Pac-10,10,45,847,18.8,8,,,,,45,847,18.8,8
25,Wane McGarity,Texas,Big 12,11,58,1087,18.7,9,,,,,58,1087,18.7,9
26,Ben Horton,Brigham Young,WAC,13,25,468,18.7,2,,,,,25,468,18.7,2
27,Zek Parker,Louisville,CUSA,11,23,429,18.7,3,1,4,4.0,0,24,433,18.0,3
28,Matt Farmer,Air Force,WAC,12,35,650,18.6,3,7,74,10.6,2,42,724,17.2,5
29,Donald Haynes,Oregon,Pac-10,11,26,479,18.4,2,,,,,26,479,18.4,2
30,Travis Taylor,Florida,SEC,11,37,676,18.3,9,4,25,6.3,0,41,701,17.1,9
31,Torry Holt,North Carolina State,ACC,11,88,1604,18.2,11,6,102,17.0,0,94,1706,18.1,11
32,James Battle,Oregon State,Pac-10,11,31,563,18.2,2,,,,,31,563,18.2,2
33,Donnie Hart,Texas Tech,Big 12,11,48,871,18.1,7,,,,,48,871,18.1,7
