Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Melvin Bonner,Baylor,SWC,11,34,836,24.6,4,1,1,1.0,0,35,837,23.9,4
2,Walter Brooks Jr.,San Jose State,Big West,11,27,633,23.4,3,1,10,10.0,1,28,643,23.0,4
3,Eric Drage,Brigham Young,WAC,12,46,1018,22.1,10,,,,,46,1018,22.1,10
4,Willie Harris,Mississippi State,SEC,11,24,529,22.0,1,3,79,26.3,1,27,608,22.5,2
5,Rodney Blackshear,Texas Tech,SWC,11,30,649,21.6,5,,,,,30,649,21.6,5
6,Chris Penn,Tulsa,Ind,11,37,792,21.4,5,1,-6,-6.0,0,38,786,20.7,5
7,Harold Robinson,Akron,Ind,11,37,779,21.1,3,4,48,12.0,0,41,827,20.2,3
8,Darnay Scott,San Diego State,WAC,12,35,727,20.8,6,,,,,35,727,20.8,6
9,Ryan Yarborough,Wyoming,WAC,11,53,1081,20.4,13,,,,,53,1081,20.4,13
10,John Brown III,Houston,SWC,11,24,488,20.3,5,,,,,24,488,20.3,5
11,Manley Woods,New Mexico,WAC,12,39,782,20.1,3,,,,,39,782,20.1,3
12,Todd Dixon,Wake Forest,ACC,11,35,695,19.9,7,,,,,35,695,19.9,7
13,Ernest Calloway,Purdue,Big Ten,11,24,475,19.8,3,2,43,21.5,1,26,518,19.9,4
14,Larry Wynn,Northern Illinois,Ind,11,21,415,19.8,1,2,9,4.5,0,23,424,18.4,1
15,Lloyd Hill,Texas Tech,SWC,11,33,641,19.4,2,,,,,33,641,19.4,2
16,Greg Lester,Georgia Tech,ACC,12,35,676,19.3,5,3,17,5.7,0,38,693,18.2,5
17,Eddie Miller,South Carolina,Ind,10,31,592,19.1,5,4,6,1.5,1,35,598,17.1,6
18,Horace Copeland,Miami (FL),Big East,11,31,592,19.1,4,1,11,11.0,0,32,603,18.8,4
19,Greg Reed,Southern Mississippi,Ind,11,23,434,18.9,2,1,11,11.0,0,24,445,18.5,2
20,Tony Smith,Notre Dame,Ind,10,42,789,18.8,4,,,,,42,789,18.8,4
21,Qadry Ismail,Syracuse,Big East,11,37,693,18.7,3,12,216,18.0,3,49,909,18.6,6
22,Harrison Houston,Florida,SEC,11,33,618,18.7,8,,,,,33,618,18.7,8
23,Dion Johnson,East Carolina,Ind,11,40,743,18.6,4,37,255,6.9,2,77,998,13.0,6
24,Russ Campbell,Kansas State,Big 8,11,32,595,18.6,2,,,,,32,595,18.6,2
25,Tony Harrison,Texas A&M,SWC,11,31,577,18.6,6,1,-11,-11.0,0,32,566,17.7,6
26,Mark Benson,Northwestern,Big Ten,11,45,831,18.5,7,2,20,10.0,0,47,851,18.1,7
27,Keith Miller,Boston College,Big East,11,22,405,18.4,5,,,,,22,405,18.4,5
28,Sean Dawkins,California,Pac-10,11,40,723,18.1,11,,,,,40,723,18.1,11
29,Hunter Gallimore,East Carolina,Ind,11,49,881,18.0,8,,,,,49,881,18.0,8
30,Marlon Pearce,Cincinnati,Ind,11,42,758,18.0,4,,,,,42,758,18.0,4
31,Lake Dawson,Notre Dame,Ind,10,24,433,18.0,1,1,13,13.0,0,25,446,17.8,1
32,Carl Pickens,Tennessee,SEC,11,49,877,17.9,5,2,8,4.0,0,51,885,17.4,5
33,Glenn Bishop,UTEP,WAC,12,38,676,17.8,4,1,0,0.0,0,39,676,17.3,4
34,Ken Ealy,Central Michigan,MAC,11,41,724,17.7,5,9,108,12.0,1,50,832,16.6,6
35,Richard Hill,Ohio,MAC,11,49,863,17.6,3,,,,,49,863,17.6,3
36,Danan Hughes,Iowa,Big Ten,12,43,757,17.6,8,1,9,9.0,0,44,766,17.4,8
37,C.J. Davis,Washington State,Pac-10,9,34,600,17.6,3,1,20,20.0,1,35,620,17.7,4
38,Victor Bailey,Missouri,Big 8,8,29,508,17.5,4,1,1,1.0,0,30,509,17.0,4
39,Kendricke Bullard,Arkansas State,Ind,11,29,507,17.5,2,2,8,4.0,0,31,515,16.6,2
40,Jon Bostick,Nebraska,Big 8,11,24,419,17.5,5,,,,,24,419,17.5,5
41,Michael Ross,Fresno State,Big West,12,23,403,17.5,3,,,,,23,403,17.5,3
42,Aaron Turner,Pacific,Big West,11,92,1604,17.4,18,,,,,92,1604,17.4,18
43,O.J. McDuffie,Penn State,Ind,12,46,790,17.2,6,7,102,14.6,1,53,892,16.8,7
44,Johnny Mitchell,Nebraska,Big 8,11,31,534,17.2,5,1,2,2.0,0,32,536,16.8,5
45,Deron Pointer,Washington State,Pac-10,11,28,479,17.1,4,,,,,28,479,17.1,4
46,Larry Holmes,Virginia,ACC,11,27,462,17.1,8,3,11,3.7,0,30,473,15.8,8
47,Byron Jackson,San Jose State,Big West,11,27,461,17.1,4,3,-9,-3.0,0,30,452,15.1,4
48,Bo Campbell,Virginia Tech,Big East,11,29,494,17.0,7,1,2,2.0,0,30,496,16.5,7
49,Jon Pinckney,Stanford,Pac-10,12,28,477,17.0,5,,,,,28,477,17.0,5
50,Bryan Rowley,Utah,WAC,12,60,1011,16.9,11,2,74,37.0,1,62,1085,17.5,12
51,Toney Jenkins,Utah State,Big West,11,44,745,16.9,6,,,,,44,745,16.9,6
52,Charles Davenport,North Carolina State,ACC,11,33,558,16.9,4,2,11,5.5,0,35,569,16.3,4
53,Shawn Barnes,Kent State,MAC,11,33,558,16.9,5,1,1,1.0,0,34,559,16.4,5
54,Micah Matsuzaki,Brigham Young,WAC,10,26,437,16.8,2,1,15,15.0,1,27,452,16.7,3
55,Leslie Shepherd,Temple,Big East,11,26,436,16.8,4,1,4,4.0,0,27,440,16.3,4
56,John Bush,Memphis,Ind,11,25,420,16.8,3,,,,,25,420,16.8,3
57,Mario Bailey,Washington,Pac-10,11,62,1037,16.7,17,,,,,62,1037,16.7,17
58,Walter Jones,Duke,ACC,10,31,518,16.7,6,1,-5,-5.0,0,32,513,16.0,6
59,Clarence Cannon,Boston College,Big East,11,26,434,16.7,4,,,,,26,434,16.7,4
60,Clayton Driver,East Carolina,Ind,11,28,464,16.6,10,,,,,28,464,16.6,10
61,John Ma'ae,UNLV,Big West,11,26,428,16.5,3,3,-22,-7.3,0,29,406,14.0,3
62,Martin Patton,Miami (FL),Big East,10,26,428,16.5,3,75,242,3.2,4,101,670,6.6,7
63,Chris Bouyer,Pitt,Big East,11,39,640,16.4,4,,,,,39,640,16.4,4
64,Todd Cutler,New Mexico State,Big West,11,44,718,16.3,2,,,,,44,718,16.3,2
65,Elbert Turner,Illinois,Big Ten,12,43,699,16.3,6,3,3,1.0,0,46,702,15.3,6
66,David Blakes,San Jose State,Big West,11,35,569,16.3,4,,,,,35,569,16.3,4
67,Tom Pritchard,Navy,Ind,11,35,569,16.3,2,2,4,2.0,0,37,573,15.5,2
68,Vince Marrow,Toledo,MAC,11,34,554,16.3,1,,,,,34,554,16.3,1
69,Lee DeRamus,Wisconsin,Big Ten,11,23,374,16.3,3,,,,,23,374,16.3,3
70,Marcus Grant,Houston,SWC,11,78,1262,16.2,10,,,,,78,1262,16.2,10
71,Greg Primus,Colorado State,WAC,11,67,1081,16.1,8,,,,,67,1081,16.1,8
72,Todd Kinchen,LSU,SEC,11,53,855,16.1,5,,,,,53,855,16.1,5
73,Henry Bailey,UNLV,Big West,11,37,595,16.1,4,30,151,5.0,1,67,746,11.1,5
74,Lamar Thomas,Miami (FL),Big East,11,39,623,16.0,6,2,31,15.5,0,41,654,16.0,6
75,Kevin Caldwell,UTEP,WAC,12,32,511,16.0,4,20,105,5.3,1,52,616,11.8,5
