Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Terry Moss,Ball State,MAC,12,27,685,25.4,8,,,,,27,685,25.4,8
2,Tony Burks,Mississippi State,SEC,12,35,850,24.3,5,,,,,35,850,24.3,5
3,David Harvey,Akron,MAC,12,43,914,21.3,10,2,7,3.5,0,45,921,20.5,10
4,Najah Pruden,Kent State,MAC,12,39,808,20.7,6,,,,,39,808,20.7,6
5,Derrick Stewart,Cincinnati,Big East,13,33,675,20.5,5,3,-4,-1.3,0,36,671,18.6,5
6,Dustin Woods,Miami (OH),MAC,12,25,506,20.2,4,2,-3,-1.5,0,27,503,18.6,4
7,Eron Riley,Duke,ACC,12,32,643,20.1,3,,,,,32,643,20.1,3
8,Josh Wheeler,Louisiana Tech,WAC,12,25,503,20.1,4,,,,,25,503,20.1,4
9,Adarius Bowman,Oklahoma State,Big 12,13,60,1181,19.7,12,1,1,1.0,0,61,1182,19.4,12
10,McKay Jacobson,Brigham Young,MWC,13,28,547,19.5,3,,,,,28,547,19.5,3
11,Marcus Monk,Arkansas,SEC,14,50,962,19.2,11,,,,,50,962,19.2,11
12,Mike Williams,Syracuse,Big East,10,24,461,19.2,4,,,,,24,461,19.2,4
13,Andy Brodell,Iowa,Big Ten,12,39,724,18.6,5,,,,,39,724,18.6,5
14,Lagregory Sapp,Louisiana-Monroe,Sun Belt,12,43,796,18.5,3,1,0,0.0,0,44,796,18.1,3
15,Mario Manningham,Michigan,Big Ten,10,38,703,18.5,9,6,19,3.2,0,44,722,16.4,9
16,Maurice Purify,Nebraska,Big 12,14,34,630,18.5,7,1,1,1.0,0,35,631,18.0,7
17,Willie Edwards,UAB,CUSA,12,39,719,18.4,2,,,,,39,719,18.4,2
18,Joe West,UTEP,CUSA,12,27,496,18.4,3,,,,,27,496,18.4,3
19,Robert Meachem,Tennessee,SEC,13,71,1298,18.3,11,4,3,0.8,0,75,1301,17.3,11
20,Greg Carr,Florida State,ACC,13,34,619,18.2,12,,,,,34,619,18.2,12
21,Harry Douglas,Louisville,Big East,13,70,1265,18.1,6,7,49,7.0,0,77,1314,17.1,6
22,Drisan James,Boise State,WAC,13,36,650,18.1,4,7,54,7.7,0,43,704,16.4,4
23,Desean Jackson,California,Pac-10,13,59,1060,18.0,9,5,19,3.8,0,64,1079,16.9,9
24,Mykeal Terry,Troy,Sun Belt,13,27,477,17.7,5,2,18,9.0,0,29,495,17.1,5
25,Darius Hill,Ball State,MAC,12,42,741,17.6,10,,,,,42,741,17.6,10
26,Selwyn Lymon,Purdue,Big Ten,13,33,580,17.6,3,,,,,33,580,17.6,3
27,Sammie Stroughter,Oregon State,Pac-10,14,74,1293,17.5,5,3,8,2.7,0,77,1301,16.9,5
28,Marlon Haynes,Idaho,WAC,11,27,473,17.5,1,,,,,27,473,17.5,1
29,Limas Sweed,Texas,Big 12,13,46,801,17.4,12,0,5,,0,46,806,17.5,12
30,Rodgeriqus Smith,Auburn,SEC,13,26,452,17.4,4,,,,,26,452,17.4,4
31,Kenny McKinley,South Carolina,SEC,13,51,880,17.3,5,1,0,0.0,0,52,880,16.9,5
32,William Franklin,Missouri,Big 12,11,48,829,17.3,6,,,,,48,829,17.3,6
33,Anthony Russo,Washington,Pac-10,12,32,552,17.3,2,2,4,2.0,0,34,556,16.4,2
34,Richard Sherman,Stanford,Pac-10,12,34,581,17.1,3,3,-17,-5.7,0,37,564,15.2,3
35,Mike Wallace,Ole Miss,SEC,12,24,410,17.1,2,1,2,2.0,0,25,412,16.5,2
36,D.J. Hall,Alabama,SEC,12,62,1056,17.0,5,6,48,8.0,0,68,1104,16.2,5
37,Luke Swan,Wisconsin,Big Ten,13,35,595,17.0,5,,,,,35,595,17.0,5
