Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Kris Adams,UTEP,CUSA,13,47,1070,22.8,14,,,,,47,1070,22.8,14
2,Denarius Moore,Tennessee,SEC,13,47,981,20.9,9,7,82,11.7,1,54,1063,19.7,10
3,Kris Durham,Georgia,SEC,11,32,659,20.6,3,,,,,32,659,20.6,3
4,Markeith Summers,Ole Miss,SEC,12,28,575,20.5,6,1,20,20.0,0,29,595,20.5,6
5,Greg Jones,Navy,Ind,13,33,662,20.1,5,5,106,21.2,0,38,768,20.2,5
6,Aldrick Robinson,SMU,CUSA,14,65,1301,20.0,14,,,,,65,1301,20.0,14
7,Justin Veltung,Idaho,WAC,13,25,497,19.9,8,7,72,10.3,1,32,569,17.8,9
8,Cobi Hamilton,Arkansas,SEC,13,32,630,19.7,6,,,,,32,630,19.7,6
9,Vincent Brown,San Diego State,MWC,13,69,1352,19.6,10,1,-13,-13.0,0,70,1339,19.1,10
10,Josh Boyce,TCU,MWC,13,34,646,19.0,6,,,,,34,646,19.0,6
11,Mark Harrison,Rutgers,Big East,12,44,829,18.8,9,,,,,44,829,18.8,9
12,Jarius Wright,Arkansas,SEC,13,42,788,18.8,5,1,9,9.0,0,43,797,18.5,5
13,Danny Coale,Virginia Tech,ACC,14,39,732,18.8,3,1,-3,-3.0,0,40,729,18.2,3
14,Tavarres King,Georgia,SEC,12,27,504,18.7,3,,,,,27,504,18.7,3
15,Darvin Adams,Auburn,SEC,14,52,963,18.5,7,,,,,52,963,18.5,7
16,Junior Hemingway,Michigan,Big Ten,10,32,593,18.5,4,,,,,32,593,18.5,4
17,Marquess Wilson,Washington State,Pac-10,12,55,1006,18.3,6,,,,,55,1006,18.3,6
18,Nathan Palmer,Northern Illinois,MAC,14,29,532,18.3,6,3,23,7.7,0,32,555,17.3,6
19,Demarco Sampson,San Diego State,MWC,13,67,1220,18.2,8,4,11,2.8,0,71,1231,17.3,8
20,Tyler Shoemaker,Boise State,WAC,13,32,582,18.2,5,1,-1,-1.0,0,33,581,17.6,5
21,Kinsman Thomas,Eastern Michigan,MAC,11,26,473,18.2,4,,,,,26,473,18.2,4
22,Ladarius Green,Louisiana,Sun Belt,10,44,794,18.0,7,,,,,44,794,18.0,7
23,Travis Benjamin,Miami (FL),ACC,13,43,743,17.3,3,3,44,14.7,0,46,787,17.1,3
24,Aaron Spikes,Louisiana,Sun Belt,12,23,398,17.3,6,103,339,3.3,2,126,737,5.8,8
25,Alshon Jeffery,South Carolina,SEC,14,88,1517,17.2,9,,,,,88,1517,17.2,9
26,Dane Sanzenbacher,Ohio State,Big Ten,13,55,948,17.2,11,4,14,3.5,1,59,962,16.3,12
27,Marcus Rucker,Memphis,CUSA,12,41,704,17.2,8,1,0,0.0,0,42,704,16.8,8
28,Phillip Payne,UNLV,MWC,11,40,689,17.2,5,,,,,40,689,17.2,5
29,Chip Reeves,Troy,Sun Belt,13,30,515,17.2,5,1,5,5.0,0,31,520,16.8,5
30,Titus Young,Boise State,WAC,13,71,1215,17.1,9,14,94,6.7,1,85,1309,15.4,10
31,Josh Gordon,Baylor,Big 12,13,42,714,17.0,7,,,,,42,714,17.0,7
32,Daniel Hardy,Idaho,WAC,8,32,545,17.0,1,,,,,32,545,17.0,1
33,Devonte Christopher,Utah,MWC,12,39,660,16.9,6,,,,,39,660,16.9,6
34,Emory Blake,Auburn,SEC,14,33,554,16.8,8,,,,,33,554,16.8,8
35,Derek Moye,Penn State,Big Ten,13,53,885,16.7,8,2,39,19.5,0,55,924,16.8,8
36,Jack Tomlinson,Ball State,MAC,10,29,484,16.7,6,,,,,29,484,16.7,6
37,Jamar Newsome,UCF,CUSA,14,37,616,16.6,3,3,15,5.0,1,40,631,15.8,4
38,Trae Johnson,Tulsa,CUSA,12,30,498,16.6,3,,,,,30,498,16.6,3
39,T.J. Simpson,Arizona State,Pac-10,12,29,481,16.6,0,,,,,29,481,16.6,0
40,Taylor Stockemer,Arkansas State,Sun Belt,11,34,560,16.5,5,,,,,34,560,16.5,5
41,Cameron Kenney,Oklahoma,Big 12,14,33,544,16.5,4,,,,,33,544,16.5,4
42,Rueben Randle,LSU,SEC,13,33,544,16.5,3,,,,,33,544,16.5,3
43,Jermaine McKenzie,Memphis,CUSA,11,25,409,16.4,3,,,,,25,409,16.4,3
44,Joe Adams,Arkansas,SEC,12,50,813,16.3,6,6,32,5.3,0,56,845,15.1,6
