Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Geraud Sanders,Air Force,MWC,13,30,746,24.9,7,2,-36,-18.0,0,32,710,22.2,7
2,Simi Fehoko,Stanford,Pac-12,9,24,566,23.6,6,0,0,,0,24,566,23.6,6
3,CeeDee Lamb,Oklahoma,Big 12,13,62,1327,21.4,14,9,20,2.2,1,71,1347,19.0,15
4,Ja'Marr Chase,LSU,SEC,14,84,1780,21.2,20,1,5,5.0,0,85,1785,21.0,20
5,Marquez Callaway,Tennessee,SEC,13,30,635,21.2,6,0,0,,0,30,635,21.2,6
6,Kendall Parham,UAB,CUSA,11,29,608,21.0,6,1,11,11.0,0,30,619,20.6,6
7,Tarique Milton,Iowa State,Big 12,13,35,722,20.6,3,0,0,,0,35,722,20.6,3
8,Rashod Bateman,Minnesota,Big Ten,13,60,1219,20.3,11,0,0,,0,60,1219,20.3,11
9,Dyami Brown,North Carolina,ACC,12,51,1034,20.3,12,1,2,2.0,0,52,1036,19.9,12
10,Frank Darby,Arizona State,Pac-12,12,31,616,19.9,8,0,0,,0,31,616,19.9,8
11,Tamorrion Terry,Florida State,ACC,13,60,1188,19.8,9,4,9,2.3,0,64,1197,18.7,9
12,Tee Higgins,Clemson,ACC,15,59,1167,19.8,13,1,36,36.0,1,60,1203,20.1,14
13,Shane Hooks,Ohio,MAC,10,26,515,19.8,5,0,0,,0,26,515,19.8,5
14,Nico Collins,Michigan,Big Ten,12,37,729,19.7,7,0,0,,0,37,729,19.7,7
15,Jyaire Shorter,North Texas,CUSA,12,24,473,19.7,9,0,0,,0,24,473,19.7,9
16,Bryce Mitchell,Toledo,MAC,11,35,679,19.4,4,0,0,,0,35,679,19.4,4
17,Austin Maloney,Florida International,CUSA,12,33,639,19.4,2,0,0,,0,33,639,19.4,2
18,Antonio Gibson,Memphis,American,14,38,735,19.3,8,33,369,11.2,4,71,1104,15.5,12
19,Jalen Tolbert,South Alabama,Sun Belt,12,27,521,19.3,6,0,0,,0,27,521,19.3,6
20,Austin Watkins,UAB,CUSA,14,57,1092,19.2,6,1,-1,-1.0,0,58,1091,18.8,6
21,Josh Imatorbhebhe,Illinois,Big Ten,10,33,634,19.2,9,0,0,,0,33,634,19.2,9
22,Jordan Kress,New Mexico,MWC,10,28,530,18.9,6,0,0,,0,28,530,18.9,6
23,Reggie Roberson Jr.,SMU,American,8,43,803,18.7,6,2,7,3.5,0,45,810,18.0,6
24,Henry Ruggs III,Alabama,SEC,12,40,746,18.7,7,2,75,37.5,1,42,821,19.5,8
25,Yo'Heinz Tyler,Ball State,MAC,11,27,504,18.7,5,0,0,,0,27,504,18.7,5
26,DeVonta Smith,Alabama,SEC,13,68,1256,18.5,14,0,0,,0,68,1256,18.5,14
27,John Hightower,Boise State,MWC,14,51,943,18.5,8,16,154,9.6,0,67,1097,16.4,8
28,Chatarius Atwell,Louisville,ACC,13,69,1272,18.4,11,9,33,3.7,0,78,1305,16.7,11
29,Quez Watkins,Southern Mississippi,CUSA,12,64,1178,18.4,6,1,1,1.0,0,65,1179,18.1,6
30,Brandon Aiyuk,Arizona State,Pac-12,12,65,1192,18.3,8,1,6,6.0,0,66,1198,18.2,8
31,JD Spielman,Nebraska,Big Ten,12,49,898,18.3,5,4,31,7.8,0,53,929,17.5,5
32,Hunter Long,Boston College,ACC,11,28,509,18.2,2,0,0,,0,28,509,18.2,2
33,Dez Fitzpatrick,Louisville,ACC,11,35,635,18.1,6,0,0,,0,35,635,18.1,6
34,Jahan Dotson,Penn State,Big Ten,13,27,488,18.1,5,2,0,0.0,0,29,488,16.8,5
35,Griffin Hebert,Louisiana Tech,CUSA,12,30,537,17.9,6,0,0,,0,30,537,17.9,6
36,Omar Bayless,Arkansas State,Sun Belt,13,93,1653,17.8,17,0,0,,0,93,1653,17.8,17
37,Antonio Gandy-Golden,Liberty,Ind,13,79,1396,17.7,10,0,0,,0,79,1396,17.7,10
38,Brant Kuithe,Utah,Pac-12,14,34,602,17.7,6,6,102,17.0,3,40,704,17.6,9
39,Jacob Cowing,UTEP,CUSA,11,31,550,17.7,3,0,0,,0,31,550,17.7,3
40,Alec Pierce,Cincinnati,American,12,37,652,17.6,2,0,0,,0,37,652,17.6,2
41,Tyrone Scott,Central Michigan,MAC,13,37,650,17.6,5,1,15,15.0,0,38,665,17.5,5
42,Victor Tucker,Charlotte,CUSA,12,52,909,17.5,7,3,18,6.0,1,55,927,16.9,8
43,Chris Olave,Ohio State,Big Ten,13,48,840,17.5,12,2,5,2.5,0,50,845,16.9,12
44,Reginald Todd,Troy,Sun Belt,12,38,666,17.5,5,0,0,,0,38,666,17.5,5
45,JoJo Ward,Hawaii,MWC,14,65,1134,17.4,11,0,0,,0,65,1134,17.4,11
46,Marquez Stevenson,Houston,American,12,52,907,17.4,9,9,89,9.9,0,61,996,16.3,9
47,Tyquan Thornton,Baylor,Big 12,13,45,782,17.4,5,0,0,,0,45,782,17.4,5
48,Charleston Rambo,Oklahoma,Big 12,14,43,743,17.3,5,2,15,7.5,0,45,758,16.8,5
49,Scotty Washington,Wake Forest,ACC,8,35,607,17.3,7,0,0,,0,35,607,17.3,7
50,Camden Harrison,Army,Ind,10,25,433,17.3,3,0,0,,0,25,433,17.3,3
51,Gabriel Davis,UCF,American,12,72,1241,17.2,12,0,0,,0,72,1241,17.2,12
52,Cedric Peterson,Arizona,Pac-12,12,24,412,17.2,2,0,0,,0,24,412,17.2,2
53,Danzel Mckinley-Lewis,Toledo,MAC,12,36,615,17.1,1,0,0,,0,36,615,17.1,1
54,Tylan Wallace,Oklahoma State,Big 12,9,53,903,17.0,8,1,0,0.0,0,54,903,16.7,8
55,Isiah Cox,Ohio,MAC,13,39,663,17.0,2,1,15,15.0,0,40,678,17.0,2
56,Jaylen Waddle,Alabama,SEC,13,33,560,17.0,6,1,5,5.0,0,34,565,16.6,6
57,Damon Hazelton Jr,Virginia Tech,ACC,9,31,527,17.0,8,1,3,3.0,0,32,530,16.6,8
58,Tre Nixon,UCF,American,12,49,830,16.9,7,0,0,,0,49,830,16.9,7
59,Damonte Coxie,Memphis,American,14,76,1276,16.8,9,0,0,,0,76,1276,16.8,9
60,Keylon Stokes,Tulsa,American,12,62,1040,16.8,6,9,42,4.7,0,71,1082,15.2,6
61,C.J. Johnson,East Carolina,American,11,54,908,16.8,4,0,0,,0,54,908,16.8,4
62,Kylen Granson,SMU,American,12,43,721,16.8,9,2,11,5.5,0,45,732,16.3,9
63,Steve Jenkins,UNLV,MWC,9,23,386,16.8,2,1,7,7.0,0,24,393,16.4,2
64,Isaiah Hamilton,San Jose State,MWC,11,43,718,16.7,4,7,32,4.6,0,50,750,15.0,4
65,Dashon Bussell,Western Michigan,MAC,12,27,445,16.5,2,0,0,,0,27,445,16.5,2
66,Marcus Williams,New Mexico,MWC,10,26,428,16.5,1,0,0,,0,26,428,16.5,1
67,Jauan Jennings,Tennessee,SEC,13,59,969,16.4,8,13,51,3.9,1,72,1020,14.2,9
68,Ihmir Smith-Marsette,Iowa,Big Ten,13,44,722,16.4,5,11,108,9.8,3,55,830,15.1,8
69,Tyrone Tracy Jr.,Iowa,Big Ten,12,36,589,16.4,3,6,39,6.5,1,42,628,15.0,4
70,Kawaan Baker,South Alabama,Sun Belt,12,35,574,16.4,3,20,83,4.2,2,55,657,11.9,5
71,Binjimen Victor,Ohio State,Big Ten,12,35,573,16.4,6,0,0,,0,35,573,16.4,6
72,Treylon Burks,Arkansas,SEC,11,29,475,16.4,0,9,35,3.9,0,38,510,13.4,0
73,Myron Mitchell,UAB,CUSA,13,34,554,16.3,4,1,4,4.0,0,35,558,15.9,4
74,Tre Turner,Virginia Tech,ACC,11,34,553,16.3,4,24,231,9.6,1,58,784,13.5,5
75,Brennan Eagles,Texas,Big 12,12,32,522,16.3,6,0,0,,0,32,522,16.3,6
76,Stephan Robinson,Kansas,Big 12,11,45,727,16.2,8,4,13,3.3,0,49,740,15.1,8
77,Malik Stanley,Louisiana Tech,CUSA,12,40,649,16.2,3,0,0,,0,40,649,16.2,3
78,Jamarye Joiner,Arizona,Pac-12,12,34,552,16.2,5,0,0,,0,34,552,16.2,5
79,KJ Hamler,Penn State,Big Ten,13,56,904,16.1,8,13,43,3.3,0,69,947,13.7,8
80,Rashee Rice,SMU,American,8,25,403,16.1,1,1,0,0.0,0,26,403,15.5,1
81,Spencer Tears,Northern Illinois,MAC,9,23,370,16.1,2,1,6,6.0,0,24,376,15.7,2
82,Hunter Bryant,Washington,Pac-12,12,52,825,15.9,3,2,-4,-2.0,0,54,821,15.2,3
83,Arthur Jackson III,Eastern Michigan,MAC,12,46,732,15.9,7,0,0,,0,46,732,15.9,7
84,Kobay White,Boston College,ACC,12,29,460,15.9,5,4,19,4.8,0,33,479,14.5,5
85,Ronnie Bell,Michigan,Big Ten,12,48,758,15.8,1,1,9,9.0,0,49,767,15.7,1
86,Randal Grimes,UNLV,MWC,10,44,696,15.8,7,0,0,,0,44,696,15.8,7
87,Erik Ezukanma,Texas Tech,Big 12,11,42,664,15.8,4,0,0,,0,42,664,15.8,4
88,Tavaris Harrison,Florida Atlantic,CUSA,13,33,523,15.8,2,0,0,,0,33,523,15.8,2
89,Tyler Ringwood,Charlotte,CUSA,11,25,395,15.8,5,0,0,,0,25,395,15.8,5
90,Chase Claypool,Notre Dame,Ind,13,66,1037,15.7,13,0,0,,0,66,1037,15.7,13
91,Siaosi Mariner,Utah State,MWC,13,63,987,15.7,10,0,0,,0,63,987,15.7,10
92,Skyy Moore,Western Michigan,MAC,13,51,802,15.7,3,1,2,2.0,1,52,804,15.5,4
93,Jalen McCleskey,Tulane,American,13,37,581,15.7,4,1,-1,-1.0,0,38,580,15.3,4
94,Isaiah McKoy,Kent State,MAC,11,56,872,15.6,8,0,0,,0,56,872,15.6,8
95,Bailey Gaither,San Jose State,MWC,12,52,812,15.6,6,0,0,,0,52,812,15.6,6
96,Kedarian Jones,Memphis,American,14,39,609,15.6,4,2,10,5.0,0,41,619,15.1,4
97,Dalton Schoen,Kansas State,Big 12,13,37,579,15.6,4,1,4,4.0,0,38,583,15.3,4
98,Juwan Johnson,Oregon,Pac-12,8,30,467,15.6,4,0,0,,0,30,467,15.6,4
99,Trishton Jackson,Syracuse,ACC,12,66,1023,15.5,11,2,3,1.5,0,68,1026,15.1,11
100,Denzel Mims,Baylor,Big 12,13,66,1020,15.5,12,0,0,,0,66,1020,15.5,12
101,Harrison Bryant,Florida Atlantic,CUSA,13,65,1004,15.4,7,0,0,,0,65,1004,15.4,7
102,Tyler Johnson,Minnesota,Big Ten,13,86,1318,15.3,13,1,-1,-1.0,0,87,1317,15.1,13
103,Branden Mack,Temple,American,13,59,904,15.3,7,2,14,7.0,0,61,918,15.0,7
104,Quintez Cephus,Wisconsin,Big Ten,14,59,901,15.3,7,0,0,,0,59,901,15.3,7
105,Sage Surratt,Wake Forest,ACC,9,66,1001,15.2,11,0,0,,0,66,1001,15.2,11
106,Dontay Demus,Maryland,Big Ten,12,41,625,15.2,6,1,4,4.0,0,42,629,15.0,6
107,Cary Angeline,North Carolina State,ACC,9,25,379,15.2,5,0,0,,0,25,379,15.2,5
108,Jerry Jeudy,Alabama,SEC,13,77,1163,15.1,10,1,1,1.0,0,78,1164,14.9,10
109,Ja'Marcus Bradley,Louisiana,Sun Belt,13,60,906,15.1,10,0,0,,0,60,906,15.1,10
110,Taj Harris,Syracuse,ACC,11,37,559,15.1,2,2,25,12.5,0,39,584,15.0,2
111,Tony Poljan,Central Michigan,MAC,12,33,496,15.0,4,0,0,,0,33,496,15.0,4
112,Aaron Moore,Old Dominion,CUSA,7,26,389,15.0,3,0,0,,0,26,389,15.0,3
