Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2020.0,Trey Adams,Washington,OT,80.0,318.0,9.88,34.38,,5.6,,24.5,92.0,,,
2020.0,Hakeem Adeniji,Kansas,OG,76.38,300.0,10.0,33.75,,5.17,26.0,34.0,115.0,5.08,8.32,
2020.0,McTelvin Agim,Arkansas,DT,74.63,309.0,10.13,33.5,,4.98,27.0,30.5,,4.66,7.55,
2020.0,Salvon Ahmed,Washington,RB,70.88,197.0,8.75,29.25,,4.62,,34.5,120.0,,,
2020.0,Brandon Aiyuk,Arizona State,WR,71.63,205.0,9.75,33.5,,4.5,11.0,40.0,128.0,,,
2020.0,Cam Akers,Florida State,RB,70.38,217.0,9.0,30.63,,4.47,20.0,35.5,122.0,4.42,,
2020.0,Bradlee Anae,Utah,DE,75.38,257.0,10.13,32.13,,4.93,25.0,31.0,115.0,4.43,7.44,
2020.0,Tremayne Anchrum,Clemson,OG,73.88,314.0,9.63,33.63,,5.21,26.0,24.5,104.0,,,
2020.0,Darius Anderson,Texas Christian,RB,70.5,208.0,9.63,30.5,,4.61,19.0,36.0,128.0,4.19,,
2020.0,Damon Arnette,Ohio State,CB,71.63,195.0,9.13,30.0,,4.56,,,,,,
2020.0,Grayland Arnold,Baylor,S,69.13,186.0,9.13,29.0,,4.59,12.0,33.0,120.0,4.3,7.01,
2020.0,Devin Asiasi,UCLA,TE,75.0,257.0,9.75,33.25,,4.73,16.0,30.5,115.0,,,
2020.0,Joe Bachie,Michigan State,LB,73.0,230.0,10.25,31.63,,4.67,26.0,33.5,119.0,4.34,6.93,
2020.0,Markus Bailey,Purdue,LB,72.13,235.0,9.38,31.5,,,15.0,,,,,
2020.0,Trajan Bandy,Miami (FL),CB,67.75,180.0,9.0,29.88,,4.5,10.0,,,,,
2020.0,Ben Bartch,St. Johns (MN),OT,77.75,309.0,9.0,32.88,,,,,,,,
2020.0,Tyler Bass,Georgia Southern,K,70.5,185.0,8.75,29.5,,,,,,,,
