Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1994.0,Anthony Abrams,Clemson,DE,75.8,298.0,9.75,33.88,,5.12,26.0,24.5,105.0,4.87,,
1994.0,Brice Abrams,Michigan State,FB,72.3,258.0,9.88,32.0,,5.07,20.0,26.0,98.0,,,
1994.0,Sam Adams,Texas A&M,DT,74.3,292.0,8.5,33.25,,,,29.5,103.0,4.57,,
1994.0,Trev Alberts,Nebraska,OLB,76.0,243.0,9.25,32.75,,,,,,,,
1994.0,Ethan Albright,North Carolina,OG,77.0,274.0,10.25,31.63,,5.23,18.0,26.0,106.0,4.78,,
1994.0,Allen Aldridge,Houston,ILB,73.3,245.0,10.25,31.75,,4.61,28.0,36.5,121.0,4.35,,12.5
1994.0,Brent Alexander,Tennessee State,FS,70.8,184.0,10.5,31.63,,4.59,9.0,35.0,118.0,4.18,,11.52
1994.0,Derrick Alexander,Michigan,WR,73.1,196.0,8.75,31.5,,4.5,,36.0,127.0,4.19,,11.44
1994.0,Ken Alexander,Florida State,OLB,74.6,254.0,11.0,33.0,,4.94,24.0,31.5,111.0,4.53,,12.62
1994.0,Larry Allen,Sonoma (CA),OG,74.8,325.0,9.75,34.0,,5.21,,25.5,103.0,5.11,,
1994.0,Joe Allison,Memphis,K,71.6,198.0,8.25,27.5,,,,,,,,
1994.0,Jamal Anderson,Utah,FB,70.5,246.0,9.38,30.63,,4.8,24.0,30.5,109.0,,,
1994.0,Tyler Anderson,Brigham Young,WR,72.1,175.0,8.0,31.0,,4.65,,27.5,112.0,4.37,,12.04
1994.0,Aaron Bailey,Louisville,WR,70.0,179.0,8.75,31.88,,4.76,,30.5,114.0,4.25,,11.53
1994.0,Jim Ballard,Mount Union (OH),QB,74.9,223.0,9.88,31.0,,5.08,,26.5,108.0,4.25,,
1994.0,Romeo Bandison,Oregon,DT,75.5,289.0,8.88,33.38,,5.08,17.0,28.5,105.0,4.38,,
1994.0,Bradford Banta,Southern California,TE,77.6,253.0,9.25,32.13,,4.97,14.0,30.0,107.0,4.53,,12.66
1994.0,Rudy Barber,Miami (FL),OG,74.6,286.0,8.5,32.75,,5.17,,28.0,106.0,4.77,,
1994.0,Mario Bates,Arizona State,RB,72.6,217.0,9.5,33.25,,4.43,15.0,36.0,128.0,4.12,,11.33
1994.0,Michael Batiste,Tulane (LA),OG,75.0,301.0,9.63,34.0,,5.32,23.0,29.0,107.0,4.69,,
1994.0,Charles Beauchamp,Indiana,OLB,73.4,225.0,9.0,33.88,,4.82,20.0,37.5,125.0,,,
1994.0,Aubrey Beavers,Oklahoma,OLB,74.6,233.0,9.5,34.0,,,,,,,,
1994.0,Terry Belden,Northern Arizona,P,70.3,194.0,9.0,30.75,,,,,,,,
1994.0,Myron Bell,Michigan State,SS,71.0,203.0,9.5,31.0,,,15.0,,,,,
1994.0,William Bell,Georgia Tech,RB,70.1,208.0,9.38,30.88,,4.59,17.0,31.0,120.0,4.2,,11.43
1994.0,Jay Bellamy,Rutgers,CB,70.4,186.0,8.75,31.0,,4.74,12.0,31.0,117.0,4.22,,11.53
1994.0,Lou Benfatti,Penn State,DT,75.5,277.0,8.75,32.0,,5.15,20.0,28.5,103.0,4.5,,
1994.0,Donnell Bennett,Miami (FL),FB,71.9,247.0,9.5,31.5,,,17.0,,,,,
1994.0,Pete Bercich,Notre Dame,ILB,73.4,240.0,9.13,31.5,,4.96,19.0,29.0,108.0,4.04,,11.79
1994.0,Mitch Berger,Colorado,P,74.8,231.0,8.5,31.63,,,,,,,,
1994.0,Elbert Betts,Illinois State,OG,74.0,301.0,9.5,32.25,,,,,,,,
1994.0,Harold Bishop,Louisiana State,TE,76.5,255.0,9.63,34.0,,4.96,18.0,33.0,113.0,4.59,,12.46
1994.0,Larry Blue,Iowa,OLB,73.0,237.0,8.63,31.25,,4.96,,31.0,106.0,4.38,,11.81
1994.0,Shane Bonham,Tennessee,DT,74.6,276.0,9.25,33.88,,4.95,23.0,29.5,108.0,4.21,,
1994.0,Jocelyn Borgella,Cincinnati,CB,69.8,180.0,8.0,31.0,,4.62,13.0,32.0,110.0,4.27,,11.47
1994.0,James Bostic,Auburn,RB,71.1,222.0,9.63,32.0,,4.62,20.0,34.5,118.0,4.31,,11.56
