Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2017.0,Ishmael Adams,UCLA,WR,67.88,186.0,9.0,29.75,,4.5,15.0,27.0,111.0,4.25,7.03,
2017.0,Jamal Adams,Louisiana State,SS,71.63,214.0,9.25,33.38,11.0,4.56,18.0,31.5,120.0,4.13,6.96,
2017.0,Keion Adams,Western Michigan,DE,74.0,247.0,9.5,32.25,,4.7,27.0,36.0,124.0,4.38,7.36,
2017.0,Montravius Adams,Auburn,DT,75.63,304.0,9.25,32.75,,4.87,22.0,29.0,108.0,,7.62,
2017.0,Rodney Adams,South Florida,WR,73.25,189.0,9.0,32.0,,4.44,8.0,29.5,125.0,4.28,6.98,11.39
2017.0,Quincy Adeboyejo,Mississippi,WR,74.75,197.0,9.38,31.75,,4.42,8.0,34.5,123.0,4.14,6.73,
2017.0,Jamal Agnew,San Diego,CB,69.5,186.0,8.38,29.5,,4.34,16.0,36.0,125.0,4.27,6.92,
2017.0,Brian Allen,Utah,DB,74.88,215.0,10.0,34.0,,4.48,15.0,34.5,117.0,4.34,6.64,
2017.0,Jonathan Allen,Alabama,DE,74.63,286.0,9.38,33.63,27.0,5.0,21.0,30.0,108.0,4.44,7.49,
2017.0,Kenny Allen,Michigan,P,75.38,218.0,9.38,32.25,,,,,,,,
2017.0,Kofi Amichia,South Florida,OG,75.63,302.0,10.13,33.75,,4.99,32.0,33.5,114.0,,,
2017.0,Ryan Anderson,Alabama,OLB,74.13,253.0,9.38,31.5,,4.78,,28.5,,,7.73,
2017.0,Gavin Andrews,Oregon State,OG,77.13,340.0,9.75,33.5,,,25.0,25.0,96.0,5.09,8.3,
2017.0,Alex Anzalone,Florida,LB,75.0,241.0,9.13,32.13,26.0,4.63,16.0,30.5,116.0,,6.88,
2017.0,Austin Appleby,Florida,QB,76.13,230.0,9.38,32.0,,4.86,,30.0,113.0,4.4,7.13,
2017.0,Alex Armah,West Georgia,OLB,72.13,244.0,9.75,33.0,,4.7,26.0,34.5,122.0,4.29,7.0,
2017.0,Tommy Armstrong,Nebraska,WR,72.38,216.0,9.88,31.0,,4.57,16.0,37.5,123.0,4.11,6.76,
2017.0,Isaac Asiata,Utah,OG,75.13,323.0,10.38,33.75,,5.34,35.0,25.5,102.0,4.93,7.83,
2017.0,Josh Atkinson,Tulsa (OK),WR,72.25,200.0,10.25,32.625,,4.74,12.0,33.0,115.0,4.39,7.03,
2017.0,Antony Auclair,Laval,TE,77.38,254.0,10.88,34.25,,4.9,22.0,33.5,117.0,4.45,7.3,12.08
2017.0,Josh Augusta,Missouri,DT,75.63,347.0,9.25,33.125,,5.19,22.0,28.5,108.0,4.87,7.9,
2017.0,Erik Austell,Charleston Southern,OT,75.13,301.0,9.0,32.0,,5.23,24.0,27.5,107.0,4.9,8.13,
2017.0,Travis Averill,Boise State,OG,75.0,304.0,9.63,31.625,,5.39,23.0,27.5,100.0,4.67,7.73,
2017.0,Chidobe Awuzie,Colorado,CB,71.75,202.0,8.5,30.63,34.0,4.43,16.0,34.5,132.0,4.14,6.81,
2017.0,Joe Bacci,Central Michigan,FB,73.75,240.0,10.13,32.75,,4.73,,34.0,120.0,4.38,6.87,
2017.0,Aaron Bailey,Northern Iowa,RB,72.25,233.0,9.38,32.5,,4.5,,34.0,119.0,4.35,6.85,
2017.0,Bishard Baker,Washington,FS,69.63,195.0,9.0,30.75,14.0,4.45,15.0,32.5,115.0,4.08,6.76,
2017.0,Toby Baker,Arkansas,P,75.13,210.0,9.25,31.63,,,,,,,,
2017.0,Dakota Ball,Alabama,FB,74.25,271.0,10.0,32.375,,5.16,19.0,25.0,97.0,4.55,7.87,
2017.0,Josh Banderas,Nebraska,ILB,74.75,240.0,9.5,30.5,,,,,,,,
2017.0,Zach Banner,Southern California,OT,80.38,353.0,10.75,34.88,,5.58,22.0,23.5,92.0,5.21,8.31,
2017.0,Derek Barnett,Tennessee,DE,74.63,259.0,10.0,32.13,,4.88,20.0,31.0,117.0,4.44,6.96,11.71
2017.0,Woody Baron,Virginia Tech,DT,73.25,275.0,9.75,32.875,,4.92,24.0,28.5,102.0,4.58,7.39,
2017.0,Mikey Bart,North Carolina,DE,74.75,267.0,9.38,31.375,,4.84,25.0,29.0,111.0,4.4,7.13,
2017.0,Tarell Basham,Ohio,DE,75.63,269.0,10.25,34.25,,4.7,15.0,31.5,119.0,4.44,7.27,
2017.0,C.J. Beathard,Iowa,QB,74.13,219.0,9.38,30.63,26.0,,,31.0,113.0,4.23,6.95,
2017.0,Kendell Beckwith,Louisiana State,ILB,74.13,243.0,9.5,33.0,,,20.0,,,,,
2017.0,Brandon Bell,Penn State,OLB,73.13,233.0,9.25,32.0,,4.7,15.0,32.0,115.0,4.33,7.05,
2017.0,Miles Bergner,South Dakota,P,72.13,235.0,8.38,30.5,,,,30.5,109.0,,,
2017.0,Collin Bevins,Northwest Missouri State,DE,76.63,285.0,10.75,34.75,,5.01,27.0,31.5,117.0,4.39,7.35,
2017.0,Vince Biegel,Wisconsin,OLB,75.13,246.0,9.13,32.38,23.0,4.67,21.0,33.5,118.0,4.21,6.92,
2017.0,Adam Bisnowaty,Pittsburgh,OT,77.63,304.0,11.38,33.88,,5.23,23.0,29.5,96.0,4.94,8.02,
2017.0,Chris Blewitt,Pittsburgh,K,69.25,183.0,8.5,29.0,,4.95,,27.0,104.0,4.56,7.61,
2017.0,Victor Bolden,Oregon State,WR,68.13,178.0,9.0,31.13,,4.54,9.0,32.0,117.0,4.22,6.83,11.14
2017.0,Garett Bolles,Utah,OT,77.25,297.0,9.38,34.0,9.0,4.95,,28.0,115.0,4.55,7.29,
2017.0,Ben Boulware,Clemson,ILB,72.0,238.0,10.0,30.5,,4.85,20.0,29.5,111.0,4.56,7.02,
2017.0,Kendrick Bourne,Eastern Washington,WR,73.25,203.0,9.13,32.5,,4.68,9.0,34.0,125.0,4.21,6.73,12.21
2017.0,Josh Boutte,Louisiana State,OG,76.13,351.0,10.5,32.5,,5.27,28.0,27.0,103.0,4.98,8.11,
2017.0,Tashawn Bower,Louisiana State,DE,76.75,250.0,9.88,33.38,,4.82,20.0,31.5,121.0,4.38,7.2,
2017.0,Tyus Bowser,Houston,LB,74.63,247.0,10.13,33.25,,4.65,21.0,37.5,127.0,4.29,6.75,
2017.0,Paul Boyette,Texas,DT,73.88,310.0,9.13,31.875,,5.38,29.0,26.5,103.0,5.09,7.88,
2017.0,Ben Braden,Michigan,OG,78.25,329.0,9.88,34.0,,5.04,25.0,28.0,102.0,4.9,7.85,
2017.0,Bam Bradley,Pittsburgh,OLB,71.63,230.0,8.63,32.125,,4.54,18.0,35.0,122.0,4.73,7.28,
2017.0,Dylan Bradley,Southern Mississippi,DT,72.63,286.0,9.88,32.0,,5.0,28.0,32.0,102.0,4.63,7.76,
2017.0,Roman Braglio,Maryland,DE,74.88,263.0,8.75,31.875,,4.9,21.0,32.5,111.0,4.34,7.03,
2017.0,Caleb Brantley,Florida,DT,74.63,307.0,9.75,32.0,29.0,5.14,21.0,27.0,105.0,4.5,7.66,
