Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2002.0,Jonathan Adams,Arkansas State,RB,73.0,219.0,,,,4.58,15.0,36.5,120.0,4.31,6.97,
2002.0,P.J. Alexander,Syracuse,OG,76.0,299.0,,,,5.38,,29.5,102.0,4.73,7.9,
2002.0,Brian Allen,Stanford,RB,69.0,209.0,,,,4.46,19.0,33.0,112.0,4.08,6.9,
2002.0,James Allen,Oregon State,OLB,74.6,240.0,9.0,33.0,,4.63,24.0,38.0,120.0,4.21,7.59,11.75
2002.0,Jeremy Allen,Iowa,FB,71.8,241.0,8.25,32.75,,4.6,17.0,38.0,122.0,4.49,7.06,11.4
2002.0,Matt Anderle,Minnesota,OT,78.0,327.0,11.0,32.0,,5.55,26.0,29.0,101.0,4.8,7.99,
2002.0,Damien Anderson,Northwestern,RB,70.4,211.0,9.5,29.0,,4.6,27.0,33.5,112.0,4.02,6.93,11.37
2002.0,Marques Anderson,UCLA,SS,71.0,213.0,8.75,32.0,,4.52,16.0,39.5,124.0,,,
2002.0,Mark Anelli,Wisconsin,TE,75.8,262.0,10.13,33.13,,4.8,18.0,,,,,
2002.0,Akin Ayodele,Purdue,OLB,74.1,257.0,9.75,32.5,,4.86,26.0,35.0,119.0,4.12,7.0,11.56
2002.0,Chris Baker,Michigan State,TE,75.1,258.0,9.25,31.5,,4.85,18.0,35.0,111.0,,6.95,
2002.0,Jason Ball,New Hampshire,C,74.3,301.0,10.0,31.0,,5.43,27.0,29.0,92.0,4.73,7.87,
2002.0,Clenton Ballard,Texas State,DT,74.5,313.0,10.75,34.75,,5.24,24.0,26.5,90.0,4.64,7.47,
2002.0,Mike Banks,Iowa State,TE,76.0,260.0,9.13,33.0,,4.85,,31.5,104.0,,,
2002.0,Justin Bannan,Colorado,DT,74.8,300.0,9.75,31.13,,5.02,24.0,29.0,97.0,4.24,7.31,
2002.0,Kevin Barry,Arizona,OG,76.0,325.0,10.5,35.0,,5.36,24.0,28.5,106.0,4.73,8.34,
2002.0,Will Bartholomew,Tennessee,FB,71.9,246.0,9.25,30.5,,4.69,35.0,38.0,112.0,4.09,6.85,11.42
2002.0,Rashad Bauman,Oregon,CB,68.3,186.0,8.5,30.25,,4.47,10.0,39.0,117.0,,,
2002.0,Jarrod Baxter,New Mexico,FB,72.6,245.0,10.25,31.5,,4.74,23.0,32.5,111.0,4.27,7.1,12.26
2002.0,Chad Beasley,Virginia Tech,DT,77.4,303.0,10.25,32.5,,5.17,27.0,31.5,99.0,4.57,7.75,
2002.0,Tony Beckham,Wisconsin-Stout,CB,73.0,195.0,,,,4.37,15.0,34.5,121.0,4.3,7.12,
2002.0,Kevin Bentley,Northwestern,OLB,72.4,243.0,8.5,31.0,,4.72,23.0,39.0,113.0,3.83,6.71,11.42
2002.0,LeCharles Bentley,Ohio State,C,74.4,299.0,9.75,31.75,,5.21,,25.5,100.0,4.54,7.85,
2002.0,Rocky Bernard,Texas A&M,DT,76.0,294.0,,,,4.96,30.0,33.0,108.0,4.41,7.43,
2002.0,Ladell Betts,Iowa,RB,70.5,220.0,9.0,30.5,,4.6,23.0,38.0,115.0,4.06,7.06,11.33
2002.0,Martin Bibla,Miami (FL),OG,75.4,306.0,9.75,32.25,,5.08,35.0,,,,,
2002.0,Terreal Bierria,Georgia,FS,74.6,216.0,9.25,33.13,,4.56,18.0,36.0,129.0,4.1,6.93,11.44
2002.0,Dwayne Blakley,Missouri,TE,76.9,256.0,8.75,34.13,,5.0,21.0,32.5,107.0,4.29,7.33,12.1
2002.0,Rocky Boiman,Notre Dame,OLB,75.8,242.0,10.0,32.0,,4.61,17.0,35.0,118.0,4.05,6.86,11.2
2002.0,Bruce Branch,Penn State,CB,70.9,192.0,8.25,31.0,,4.59,,35.0,112.0,4.47,7.12,11.81
2002.0,Deion Branch,Louisville,WR,69.1,191.0,8.13,30.0,,4.47,,36.0,115.0,3.76,6.71,10.66
2002.0,Sam Brandon,Nevada Las Vegas,FS,74.0,199.0,8.75,32.0,,4.72,,36.5,124.0,,,
2002.0,Jack Brewer,Minnesota,FS,72.0,194.0,9.0,31.75,,4.57,12.0,37.0,120.0,4.24,6.9,11.2
2002.0,Raheem Brock,Temple,DE,75.6,267.0,9.75,32.0,,4.93,25.0,34.0,109.0,4.23,7.09,
2002.0,Sheldon Brown,South Carolina,CB,69.9,196.0,8.25,32.0,,4.46,15.0,36.5,118.0,4.24,7.0,11.6
2002.0,Antonio Bryant,Pittsburgh,WR,73.3,188.0,9.0,32.25,,4.6,,37.0,118.0,,,
2002.0,Courtland Bullard,Ohio State,OLB,75.0,234.0,9.0,33.25,,4.62,,36.5,120.0,4.28,6.99,11.4
2002.0,Joe Burns,Georgia,RB,69.0,213.0,,,,4.81,21.0,31.0,105.0,,,
2002.0,Jamie Burrow,Nebraska,ILB,72.8,249.0,10.25,32.0,,4.89,18.0,30.5,98.0,4.21,7.28,
2002.0,Reche Caldwell,Florida,WR,71.8,194.0,9.75,32.0,,4.53,,41.5,128.0,4.1,7.0,
2002.0,Rocky Calmus,Oklahoma,OLB,75.1,243.0,9.0,32.0,,4.69,16.0,,,,,
2002.0,Kelly Campbell,Georgia Tech,WR,70.1,171.0,8.0,31.0,,4.52,,,,,,
2002.0,Pete Campion,North Dakota State,OG,76.1,307.0,9.75,34.0,,5.25,30.0,25.5,86.0,4.81,7.96,
2002.0,David Carr,Frenso State (CA),QB,75.4,223.0,9.75,31.75,24.0,4.67,,35.0,106.0,4.28,7.05,
2002.0,Demontray Carter,Troy (AL),RB,70.1,194.0,7.25,31.0,,4.58,16.0,33.0,115.0,4.36,7.38,12.06
2002.0,Tim Carter,Auburn,WR,71.9,190.0,8.75,32.0,,4.34,,39.0,124.0,3.93,6.68,
2002.0,Rock Cartwright,Kansas State,RB,67.8,237.0,9.0,30.75,,4.48,30.0,35.0,113.0,4.25,7.18,11.79
2002.0,Terry Charles,Portland State (OR),WR,75.1,207.0,9.13,33.75,,4.5,,36.5,122.0,4.09,7.02,11.22
2002.0,Jermaine Chatman,Arizona,CB,70.6,185.0,9.13,29.75,,4.54,,35.5,118.0,,,
2002.0,Kenyon Coleman,UCLA,DE,76.9,284.0,9.5,33.13,,4.97,32.0,,,,,
2002.0,Reggie Coleman,Tennessee,OT,77.1,301.0,9.13,34.0,,5.25,,29.0,102.0,4.88,7.84,
2002.0,Michael Collins,Wake Forest,OT,77.5,300.0,10.13,33.5,,5.55,32.0,25.5,98.0,4.98,8.62,
2002.0,Mike Collins,Ohio State,DT,75.0,298.0,8.5,32.0,,5.03,31.0,31.5,102.0,4.46,7.52,
2002.0,Marc Colombo,Boston College,OT,79.9,313.0,10.5,34.0,,5.31,30.0,29.5,100.0,4.6,7.65,
2002.0,Joe Cooper,Ohio State,OLB,72.4,233.0,9.25,31.5,,4.94,17.0,32.0,108.0,4.46,7.47,12.06
2002.0,Keyuo Craver,Nebraska,CB,70.8,201.0,8.75,30.75,,4.57,13.0,31.0,116.0,,,
2002.0,Eric Crouch,Nebraska,RB,71.9,195.0,9.75,30.25,,4.49,,36.0,112.0,4.02,6.87,11.52
2002.0,Alonzo Cunningham,Iowa,OG,75.8,316.0,9.75,33.0,,5.47,,24.0,94.0,4.73,8.52,
2002.0,Ronald Curry,North Carolina,QB,73.9,220.0,9.75,31.5,22.0,4.65,,35.0,110.0,4.11,7.06,
2002.0,Kevin Curtis,Texas Tech,FS,73.6,212.0,10.0,33.0,,4.54,24.0,37.5,123.0,3.88,6.75,10.81
2002.0,Rohan Davey,Louisiana State,QB,74.0,245.0,9.5,33.0,17.0,4.74,,25.5,,,,
2002.0,Andra Davis,Florida,ILB,72.9,244.0,10.0,33.5,,4.77,20.0,31.5,106.0,,,
2002.0,Andre' Davis,Virginia Tech,WR,73.5,194.0,8.5,31.5,,4.41,,39.5,117.0,4.1,6.77,11.0
2002.0,Dorsett Davis,Mississippi State,DT,77.3,304.0,9.25,35.75,,5.03,30.0,31.0,109.0,4.67,7.93,
2002.0,Dan Dawson,Rice (TX),SS,73.0,219.0,9.25,31.5,,4.64,24.0,38.0,121.0,4.0,6.75,11.5
2002.0,Konrad Dean,Akron,OG,76.0,333.0,,,,5.57,30.0,27.5,97.0,4.97,8.37,
2002.0,Ryan Denney,Brigham Young,DE,79.0,276.0,,,,4.86,36.0,33.0,107.0,4.25,7.18,
2002.0,Kori Dickerson,Southern California,FB,76.1,240.0,10.0,32.75,,4.72,22.0,34.0,110.0,4.51,7.34,12.25
2002.0,Brandon Doman,Brigham Young,QB,73.8,210.0,9.5,31.5,27.0,4.87,,32.5,106.0,4.08,6.9,
2002.0,Howard Duncan,Oklahoma,OG,75.6,324.0,10.25,31.75,,5.51,22.0,28.5,97.0,4.69,8.31,
2002.0,Nate Dwyer,Kansas,DT,75.0,313.0,,,,5.1,27.0,31.0,103.0,4.41,7.56,
2002.0,Omar Easy,Penn State,FB,73.0,244.0,10.25,33.75,,4.51,21.0,40.0,122.0,4.12,7.25,
2002.0,Andy Eby,Kansas State,C,75.4,300.0,9.0,31.75,,5.12,28.0,29.0,102.0,4.55,7.46,
2002.0,Steve Edwards,Central Florida,OG,76.8,355.0,9.75,34.25,,5.57,20.0,23.0,90.0,5.15,8.37,
2002.0,Justin Ena,Brigham Young,ILB,75.0,247.0,9.5,33.75,,4.71,20.0,34.0,112.0,4.11,6.76,12.07
2002.0,RJ English,Pittsburgh,WR,74.1,211.0,9.25,32.0,,4.62,,37.5,119.0,4.11,7.03,11.08
2002.0,Demarcus Faggins,Kansas State,CB,70.5,178.0,9.13,31.38,,4.56,3.0,36.5,118.0,3.92,6.64,10.97
2002.0,Randy Fasani,Stanford,QB,75.4,234.0,9.75,31.75,25.0,4.78,,31.5,106.0,3.87,6.75,
2002.0,Trev Faulk,Louisiana State,ILB,74.6,241.0,10.0,32.0,,4.84,,32.0,116.0,,,
2002.0,Levar Fisher,North Carolina State,OLB,72.9,233.0,9.0,30.38,,4.62,,31.0,108.0,,7.3,
2002.0,Tony Fisher,Notre Dame,RB,74.0,226.0,,,,4.66,21.0,41.5,126.0,4.13,7.0,
2002.0,Delvon Flowers,Arizona State,RB,72.0,207.0,9.75,32.0,,4.64,15.0,35.5,115.0,,,
2002.0,LittleJohn Flowers,Michigan State,RB,71.4,214.0,9.75,31.5,,4.75,19.0,34.0,109.0,4.08,7.09,11.82
2002.0,Toniu Fonoti,Nebraska,OG,75.9,349.0,10.5,32.75,,5.53,32.0,28.5,94.0,4.81,8.12,
2002.0,Larry Foote,Michigan,OLB,72.9,231.0,9.25,30.5,,4.85,24.0,30.0,,4.41,7.18,
2002.0,Lonnie Ford,Southern California,DE,74.4,261.0,9.75,32.75,,4.81,22.0,37.5,111.0,4.28,7.12,
2002.0,Willie Ford,Syracuse,CB,73.5,195.0,8.75,31.75,,4.57,10.0,34.0,117.0,4.33,7.25,11.91
2002.0,DeShaun Foster,UCLA,RB,73.0,222.0,,,,4.57,20.0,35.5,119.0,4.16,6.82,
2002.0,Melvin Fowler,Maryland,C,75.0,300.0,,,,5.46,32.0,27.0,99.0,4.6,7.51,
2002.0,Eddie Freeman,Alabama-Birmingham,DT,77.1,310.0,9.5,33.5,,4.93,32.0,34.5,109.0,4.81,7.85,
2002.0,Dwight Freeney,Syracuse,DE,72.9,266.0,10.0,32.13,,4.48,28.0,,,,,
2002.0,Scott Fujita,California,OLB,77.5,248.0,10.0,33.0,,4.63,20.0,42.0,122.0,4.21,7.09,11.44
2002.0,Jabar Gaffney,Florida,WR,73.1,193.0,7.5,32.5,,4.56,,,,4.06,6.87,
2002.0,Paris Gaines,Frenso State (CA),FB,71.6,228.0,8.75,30.13,,4.67,14.0,,,,,
2002.0,David Garrard,East Carolina (NC),QB,73.9,235.0,10.5,31.0,14.0,4.83,,33.5,110.0,4.26,7.35,
2002.0,David Givens,Notre Dame,WR,72.0,217.0,9.25,31.5,,4.57,,40.5,124.0,4.13,6.82,11.15
2002.0,LaVar Glover,Cincinnati,CB,69.5,177.0,8.0,30.25,,4.57,11.0,37.0,114.0,4.29,7.18,11.54
2002.0,Jonathan Goodwin,Michigan,OG,75.3,318.0,10.13,33.5,,5.04,,,,,,
2002.0,Lamar Gordon,North Dakota State,RB,72.6,214.0,9.5,31.0,,4.59,16.0,34.0,115.0,,,
2002.0,Daniel Graham,Colorado,TE,75.1,248.0,10.0,33.75,,4.64,,36.0,116.0,,,
2002.0,Charles Grant,Georgia,DE,75.0,282.0,9.5,34.0,,4.69,24.0,31.0,113.0,4.39,7.69,
2002.0,Bobby Gray,Louisiana Tech,SS,72.1,209.0,7.75,31.0,,4.66,24.0,,111.0,,,
2002.0,Jarvis Green,Louisiana State,DE,75.1,272.0,10.13,34.13,,4.85,,31.0,109.0,4.25,7.52,
2002.0,William Green,Boston College,RB,72.3,221.0,7.75,31.5,,4.65,27.0,42.0,121.0,,,
2002.0,Andre Gurode,Colorado,OG,76.4,316.0,11.0,35.0,,5.37,,30.5,96.0,5.05,8.15,
2002.0,Sean Guthrie,Boston College,DE,76.0,269.0,9.25,33.5,,4.9,28.0,,,,,
2002.0,Carlos Hall,Arkansas,DE,75.6,259.0,9.5,35.0,,4.68,20.0,40.0,125.0,4.19,6.97,
2002.0,Joe Hall,Kansas State,FB,73.8,277.0,8.5,33.0,,5.0,22.0,28.0,107.0,,,
2002.0,Ryan Hannam,Northern Iowa,TE,74.5,251.0,9.0,32.0,,4.7,18.0,30.5,110.0,4.21,7.07,11.64
2002.0,Alan Harper,Frenso State (CA),DT,73.9,295.0,10.25,31.5,,5.31,,30.5,104.0,4.64,,
2002.0,Joey Harrington,Oregon,QB,76.0,215.0,9.75,31.5,32.0,4.85,,32.0,107.0,4.21,7.0,
2002.0,Napoleon Harris,Northwestern,OLB,74.9,253.0,10.0,32.0,,4.57,27.0,34.0,110.0,4.44,7.15,11.8
2002.0,Quentin Harris,Syracuse,FS,73.0,216.0,,,,4.61,14.0,36.5,120.0,4.34,7.59,
2002.0,Tyreo Harrison,Notre Dame,ILB,74.0,238.0,8.75,31.75,,4.88,,40.0,114.0,,7.24,
2002.0,Herb Haygood,Michigan State,WR,71.5,193.0,8.25,31.5,,4.46,,33.0,112.0,4.26,6.65,
2002.0,Verron Haynes,Georgia,FB,70.0,224.0,,,,4.78,25.0,31.5,117.0,4.08,7.27,
2002.0,Ennis Haywood,Iowa State,RB,70.1,218.0,9.0,31.13,,4.76,12.0,35.0,112.0,4.14,7.08,11.72
2002.0,Jason Hebert,Rice (TX),FS,71.4,190.0,9.5,30.5,,4.63,15.0,35.5,115.0,3.86,7.12,11.43
2002.0,Keith Heinrich,Sam Houston State (TX),TE,77.5,255.0,10.75,34.0,,4.75,21.0,35.0,119.0,4.1,6.87,11.65
2002.0,Eric Heitmann,Stanford,OG,75.9,305.0,9.25,33.0,,5.25,33.0,28.0,94.0,4.6,7.56,
2002.0,John Henderson,Tennessee,DT,78.9,306.0,8.75,34.5,,4.87,24.0,27.5,106.0,4.66,7.71,
2002.0,Leonard Henry,East Carolina (NC),RB,72.9,206.0,8.75,31.5,,4.61,26.0,35.0,105.0,4.29,7.11,12.22
2002.0,Artis Hicks,Memphis,OG,77.0,303.0,,,,5.08,22.0,29.5,104.0,4.64,7.85,
2002.0,Maurice Hicks,North Carolina A&T,RB,70.0,200.0,8.5,31.5,,4.64,19.0,,,,,
2002.0,Charles Hill,Maryland,DT,74.0,293.0,10.25,31.75,,5.08,23.0,33.5,111.0,4.36,7.37,
2002.0,Kahlil Hill,Iowa,WR,74.0,200.0,8.75,31.0,,4.67,,35.0,,,,
2002.0,Matt Hill,Boise State,OT,78.1,300.0,10.25,33.25,,5.35,20.0,28.5,98.0,4.54,7.58,
2002.0,Chris Hope,Florida State,FS,71.6,210.0,8.25,30.5,,4.56,28.0,,112.0,,,
2002.0,Abdual Howard,Florida State,SS,72.0,209.0,10.25,30.75,,4.63,,,117.0,,,
2002.0,Dameon Hunter,Utah,RB,70.6,219.0,9.5,31.25,,4.66,,30.5,106.0,,,
2002.0,Javin Hunter,Notre Dame,WR,71.1,186.0,8.0,31.0,,4.47,,41.0,126.0,4.04,6.84,10.95
2002.0,Grant Irons,Notre Dame,DE,77.6,267.0,9.75,35.5,,5.03,19.0,40.5,117.0,4.38,7.27,
2002.0,Ron Isreal,Notre Dame,SS,73.0,213.0,,,,4.6,20.0,,121.0,,,
2002.0,Bobby Jackson,Illinois,SS,72.4,216.0,8.75,32.5,,4.74,,34.5,120.0,4.16,7.01,11.5
2002.0,Quentin Jammer,Texas,CB,71.9,204.0,9.5,32.0,,4.49,18.0,36.0,124.0,,,
2002.0,Joseph Jefferson,Western Kentucky,CB,71.5,205.0,8.25,31.0,,4.37,8.0,39.5,117.0,4.01,6.84,10.86
2002.0,Dennis Johnson,Kentucky,DE,76.6,258.0,9.25,34.0,,4.84,17.0,35.5,113.0,4.36,7.21,
2002.0,Emmett Johnson,Virginia Tech,WR,73.9,205.0,9.5,34.13,,4.45,,39.0,120.0,4.1,7.15,11.31
2002.0,Kyle Johnson,Syracuse,FB,72.6,242.0,8.75,33.5,,4.68,22.0,34.0,112.0,4.35,7.4,11.58
2002.0,Ron Johnson,Minnesota,WR,74.5,225.0,8.75,32.0,,4.7,,34.5,116.0,4.02,7.12,11.24
2002.0,Doug Jolley,Brigham Young,TE,76.3,251.0,9.25,32.0,,4.67,18.0,38.0,114.0,4.18,6.9,11.42
2002.0,Jermese Jones,Virginia,OT,77.4,337.0,10.25,34.25,,5.28,22.0,,,,,
2002.0,Levi Jones,Arizona State,OT,77.5,304.0,9.25,34.75,,5.23,,,102.0,,,
2002.0,Terry Jones,Alabama,TE,74.9,265.0,9.5,33.5,,4.88,20.0,33.5,110.0,4.43,7.43,12.28
2002.0,Eric Joyce,Tennessee State,CB,69.1,192.0,8.5,30.25,,4.55,11.0,40.5,114.0,3.97,6.81,11.1
2002.0,Brett Keisel,Brigham Young,DE,77.0,279.0,9.75,33.5,,4.93,26.0,33.5,106.0,4.51,7.28,
2002.0,Stephon Kelly,Winston-Salem State (NC),SS,74.6,212.0,9.75,32.75,,4.67,15.0,32.5,117.0,4.1,7.26,11.78
2002.0,Antwan Kirk-Hughes,Texas,OG,75.0,315.0,9.75,32.0,,5.43,,27.0,92.0,4.91,8.28,
2002.0,Kurt Kittner,Illinois,QB,74.3,211.0,9.0,31.0,31.0,4.86,,27.0,97.0,4.5,7.34,
2002.0,Kyle Kosier,Arizona State,OT,76.8,293.0,9.5,31.5,,5.09,24.0,29.5,107.0,4.49,7.34,
2002.0,Antwan Lake,West Virginia,DE,76.1,286.0,8.5,34.5,,5.08,27.0,,,,,
2002.0,Broderick Lancaster,Colorado State,OG,75.6,310.0,9.0,34.0,,5.28,14.0,,,,,
2002.0,Ben Leber,Kansas State,OLB,75.0,244.0,,,,4.62,20.0,32.5,114.0,4.25,6.75,
2002.0,D.D. Lewis,Texas,ILB,73.0,235.0,,,,4.7,24.0,33.5,114.0,,,
2002.0,Michael Lewis,Colorado,SS,73.1,211.0,9.0,33.13,,4.56,16.0,36.5,121.0,4.14,6.96,
2002.0,Aaron Lockett,Kansas State,WR,67.4,155.0,7.13,29.0,,4.34,,35.0,112.0,4.11,6.84,
2002.0,Omare Lowe,Washington,CB,72.9,196.0,8.0,31.75,,4.54,12.0,35.5,115.0,3.97,6.65,11.02
2002.0,Chris Luzar,Virginia,TE,79.1,270.0,9.75,33.5,,4.77,22.0,32.5,113.0,4.17,6.84,11.74
2002.0,Wesly Mallard,Oregon,SS,73.6,221.0,9.5,31.0,,4.52,22.0,41.0,118.0,4.07,6.81,11.58
2002.0,Marquand Manuel,Florida,SS,72.0,209.0,10.0,30.75,,4.52,18.0,,,,,
