Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2018.0,Josh Adams,Notre Dame,RB,73.63,213.0,9.25,33.75,,4.51,18.0,34.0,122.0,,6.78,
2018.0,Matthew Adams,Houston,ILB,72.0,229.0,9.63,31.25,,4.63,30.0,33.5,122.0,4.46,7.05,
2018.0,Tony Adams,North Carolina State,OG,73.38,302.0,9.13,33.5,,5.47,21.0,25.5,100.0,4.89,8.13,
2018.0,Olasunkanmi Adeniyi,Toledo,DE,73.13,248.0,9.63,31.75,,4.83,26.0,31.5,,4.28,7.21,
2018.0,Jordan Akins,Central Florida,TE,75.0,249.0,9.5,32.5,,,24.0,35.0,122.0,4.38,7.29,
2018.0,Deontez Alexander,Franklin,WR,73.25,196.0,8.63,32.0,,4.35,15.0,37.5,130.0,4.08,6.91,
2018.0,Donnie Alexander,Louisiana State,OLB,72.5,213.0,9.13,31.625,,4.75,,30.0,105.0,4.48,7.15,
2018.0,Jaire Alexander,Louisville,CB,70.25,192.0,9.5,31.125,,4.38,14.0,35.0,127.0,3.98,6.71,
2018.0,Austin Allen,Arkansas,QB,72.38,210.0,9.63,30.63,,4.81,,29.5,112.0,4.48,7.18,
2018.0,Brian Allen,Michigan State,C,73.13,298.0,9.25,32.38,,5.34,27.0,26.5,99.0,4.71,7.81,
2018.0,Dejon Allen,Hawaii,OG,74.0,295.0,9.25,32.625,,4.97,29.0,30.5,109.0,4.82,7.63,
2018.0,Josh Allen,Wyoming,QB,76.88,237.0,10.13,33.25,,4.75,,33.5,119.0,4.4,6.9,
2018.0,Kyle Allen,Houston,QB,75.25,210.0,9.38,29.625,,4.71,,28.5,113.0,4.26,,
2018.0,Marcus Allen,Penn State,FS,74.13,202.0,9.13,30.625,,4.63,15.0,37.0,127.0,4.32,7.13,
2018.0,Johnathan Alston,North Carolina State,FS,73.13,205.0,9.0,32.5,,4.57,14.0,28.5,115.0,4.23,7.03,
2018.0,Abdullah Anderson,Bucknell (PA),DT,75.25,303.0,10.38,32.625,,5.12,32.0,30.0,106.0,4.68,7.38,
2018.0,Kiante Anderson,East Carolina (NC),DE,75.13,260.0,9.25,33.5,,4.85,20.0,29.5,110.0,4.53,7.65,
2018.0,Matt Anderson,California,K,71.63,203.0,8.75,30.125,,,,,,,,
2018.0,Mark Andrews,Oklahoma,TE,77.13,256.0,10.5,33.5,,4.67,17.0,31.0,113.0,4.38,7.34,12.39
2018.0,Nate Andrews,Florida State,SS,70.75,204.0,9.25,32.25,,4.72,,30.5,104.0,4.46,7.31,
2018.0,Troy Apke,Penn State,SS,73.25,198.0,8.38,32.375,,4.34,16.0,41.0,131.0,4.03,6.56,
2018.0,Cornell Armstrong,Southern Mississippi,CB,71.13,193.0,9.13,30.125,,4.45,18.0,37.5,125.0,4.28,7.0,
2018.0,Dorance Armstrong,Kansas,DE,75.63,257.0,10.0,34.75,,4.87,20.0,30.0,118.0,4.23,7.12,11.82
2018.0,Brandon Arnold,Oregon State,SS,71.0,201.0,9.0,31.5,,4.62,15.0,36.0,123.0,4.26,7.0,
2018.0,Ade Aruna,Tulane (LA),DE,76.63,262.0,10.63,34.0,,4.6,18.0,38.5,128.0,4.48,7.53,
2018.0,Marcell Ateman,Oklahoma State,WR,76.5,216.0,9.88,32.88,,4.62,13.0,34.0,121.0,4.25,7.07,11.94
2018.0,John Atkins,Georgia,DT,74.88,321.0,9.25,34.0,,5.38,23.0,24.0,89.0,4.75,7.95,
2018.0,Lance Austin,Georgia Tech,CB,67.88,198.0,9.38,29.625,,4.56,16.0,32.5,104.0,4.45,7.01,
2018.0,Anthony Averett,Alabama,CB,71.13,185.0,8.5,30.25,,4.36,13.0,31.5,119.0,4.4,6.93,
2018.0,Corey Avery,Sam Houston State (TX),RB,69.63,191.0,8.5,30.25,,4.68,8.0,37.0,115.0,4.5,7.4,
