Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2006.0,Darrell Adams,Villanova,DE,76.63,277.0,9.63,33.5,,5.08,22.0,27.0,109.0,4.76,7.91,
2006.0,Titus Adams,Nebraska,DT,75.38,306.0,9.88,33.13,,5.12,15.0,30.5,103.0,4.54,7.49,
2006.0,Jahmile Addae,West Virginia,FS,70.25,214.0,9.0,31.0,,4.74,,38.5,122.0,,,
2006.0,Joseph Addai,Louisiana State,RB,71.25,214.0,9.5,31.38,,4.43,18.0,37.0,125.0,4.47,7.09,
2006.0,Victor Adeyanju,Indiana,DE,76.25,274.0,9.25,33.25,,4.88,22.0,32.0,112.0,4.41,7.37,
2006.0,Jason Allen,Tennessee,FS,72.88,209.0,8.0,31.5,,4.41,17.0,39.5,131.0,3.81,6.75,11.17
2006.0,Jon Alston,Stanford,OLB,72.75,223.0,8.38,31.5,,4.53,30.0,40.0,132.0,4.13,6.9,11.3
2006.0,David Anderson,Colorado State,WR,70.5,192.0,9.5,29.88,,4.6,,34.0,116.0,4.2,6.88,11.67
2006.0,James Anderson,Virginia Tech,OLB,74.75,229.0,9.75,32.0,,4.62,,41.0,121.0,4.07,6.67,11.32
2006.0,Mark Anderson,Alabama,DE,76.25,254.0,9.38,32.5,,4.65,20.0,42.0,127.0,4.22,6.95,11.75
2006.0,Sir Henry Anderson,Oregon State,DT,75.88,306.0,10.0,32.5,,5.23,27.0,28.5,100.0,4.55,7.69,
2006.0,Willie Andrews,Baylor,SS,69.38,193.0,9.25,29.75,,4.45,7.0,36.5,124.0,4.27,6.99,11.65
2006.0,Devin Aromashodu,Auburn,WR,74.5,201.0,9.13,32.75,,4.4,,39.0,120.0,4.16,7.04,11.38
2006.0,Miles Austin,Monmouth (NJ),WR,74.13,215.0,10.0,31.0,,4.5,21.0,40.5,123.0,4.14,7.09,11.3
2006.0,Chris Barclay,Wake Forest,RB,68.75,180.0,,,,4.44,16.0,40.0,120.0,4.09,6.65,
2006.0,Brett Basanez,Northwestern,QB,73.25,220.0,9.0,30.63,,4.79,,34.0,114.0,4.22,6.75,
2006.0,Hank Baskett,New Mexico,WR,74.88,224.0,9.13,32.75,,4.52,,35.0,119.0,4.17,6.79,11.58
2006.0,Eric Bassey,Oklahoma,CB,71.88,195.0,,,,4.36,17.0,37.5,116.0,3.96,7.05,
2006.0,Danny Baugher,Arizona,P,69.75,194.0,,,,,,,,,,
2006.0,Brett Bell,Wisconsin,CB,72.25,190.0,,,,,,,,,,
2006.0,Mike Bell,Arizona,RB,72.25,221.0,9.25,30.0,,4.62,19.0,31.5,112.0,4.21,7.16,11.48
2006.0,Charles Bennett,Clemson,DE,75.63,258.0,10.63,33.88,,4.72,19.0,33.5,115.0,4.52,7.48,12.04
2006.0,Matt Bernstein,Wisconsin,FB,72.38,260.0,9.63,31.75,,4.93,22.0,29.5,110.0,4.5,7.46,12.51
2006.0,Antoine Bethea,Howard (DC),FS,71.0,203.0,9.13,30.63,,4.42,19.0,36.5,127.0,4.11,6.99,11.66
2006.0,Troy Bienemann,Washington State,TE,76.63,256.0,,,,,,,,,,
2006.0,Damarius Bilbo,Georgia Tech,WR,73.88,214.0,9.38,31.63,,4.73,19.0,36.5,115.0,4.18,6.9,12.1
2006.0,Darnell Bing,Southern California,SS,74.0,227.0,10.0,31.63,,4.52,17.0,34.0,120.0,4.07,7.25,11.53
2006.0,Will Blackmon,Boston College,CB,72.25,198.0,9.13,31.0,,4.49,,41.0,133.0,4.23,6.67,11.42
2006.0,Jeremy Bloom,Colorado,WR,69.0,173.0,9.0,28.5,,4.52,,,,,,
2006.0,Greg Blue,Georgia,FS,74.25,216.0,9.13,33.0,,4.65,16.0,37.5,120.0,,,
2006.0,Kevin Boothe,Cornell (NY),OT,76.75,316.0,11.13,33.75,,5.44,23.0,31.5,98.0,5.07,8.36,
2006.0,Jovon Bouknight,Wyoming,WR,73.38,195.0,8.88,30.63,,4.73,,34.0,120.0,4.03,6.93,11.46
2006.0,McKinley Boykin,Mississippi,DT,73.0,289.0,9.25,32.0,,5.04,30.0,30.5,109.0,4.75,,
2006.0,Trent Bray,Oregon State,ILB,72.63,231.0,9.63,30.13,,4.91,18.0,32.0,109.0,4.41,7.15,11.69
2006.0,Darrell Brooks,Arizona,FS,72.38,198.0,9.5,31.63,,4.71,7.0,36.5,125.0,4.36,6.97,11.38
2006.0,Manaia Brown,Brigham Young,DT,74.88,301.0,9.88,33.13,,5.12,21.0,34.5,111.0,4.47,7.63,
2006.0,Copeland Bryan,Arizona,DE,75.63,253.0,9.25,33.0,,4.94,16.0,33.0,117.0,4.3,7.11,11.83
