Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2022.0,Austin Allen,Nebraska,TE,79.63,253.0,9.5,33.63,,4.83,,34.0,121.0,4.26,7.0,
2022.0,Chase Allen,Iowa State,TE,78.0,251.0,9.63,34.13,,,,33.5,117.0,4.43,7.03,
2022.0,Christopher Allen,Alabama,OLB,75.5,241.0,10.0,33.0,,,,,,,,
2022.0,Tyler Allgeier,Brigham Young,RB,70.75,224.0,9.63,31.5,,4.6,,33.0,120.0,,,
2022.0,Troy Andersen,Montana State,OLB,75.5,243.0,9.25,32.13,,4.42,,36.0,128.0,,,
2022.0,Tycen Anderson,Toledo,FS,73.88,209.0,10.13,33.0,,4.36,,35.5,123.0,4.28,6.64,
2022.0,Blaise Andries,Minnesota,OG,78.25,308.0,9.88,33.88,,5.1,,30.5,106.0,4.68,7.84,
2022.0,Jalyn Armour-Davis,Alabama,CB,72.63,197.0,9.25,30.88,,4.39,14.0,34.5,,,,
2022.0,Brian Asamoah,Oklahoma,ILB,72.5,225.0,10.0,33.0,,4.56,23.0,36.5,124.0,,,
2022.0,Calvin Austin,Memphis,WR,67.75,170.0,9.25,30.0,,4.32,,39.0,135.0,4.07,6.65,
2022.0,Kevin Austin,Notre Dame,WR,74.38,200.0,9.0,32.88,,4.43,,39.0,132.0,4.15,6.71,
2022.0,Tyler Badie,Missouri,RB,68.0,197.0,9.13,29.38,,4.45,,33.5,121.0,,,
2022.0,Kalon Barnes,Baylor,CB,71.5,183.0,9.88,31.75,,4.23,,,,,,
2022.0,Amare Barno,Virginia Tech,OLB,76.63,246.0,9.0,34.0,,4.36,,37.0,131.0,,,
2022.0,Darrian Beavers,Cincinnati,OLB,75.75,237.0,9.75,32.38,,,,36.5,125.0,4.28,6.91,
2022.0,David Bell,Purdue,WR,72.88,212.0,9.25,31.88,,4.68,,33.0,118.0,4.57,7.14,
2022.0,Greg Bell,San Diego State,RB,70.5,201.0,9.38,30.88,,,17.0,31.0,120.0,,,
2022.0,Markquese Bell,Florida A&M,SS,74.13,212.0,9.38,32.38,,4.41,,36.5,123.0,4.46,,
2022.0,Daniel Bellinger,San Diego State,TE,76.88,253.0,10.13,32.5,,4.63,22.0,34.5,125.0,4.47,7.05,
2022.0,Dane Belton,Iowa,SS,72.63,205.0,9.13,31.0,,4.43,,36.5,123.0,4.24,7.01,
2022.0,Terrel Bernard,Baylor,OLB,72.88,224.0,9.63,30.25,,,22.0,35.5,123.0,4.25,7.03,
2022.0,Bubba Bolden,Miami (FL),SS,74.13,209.0,9.0,31.38,,4.47,,,116.0,,,
2022.0,Slade Bolden,Alabama,WR,70.63,193.0,9.75,29.38,,4.66,,32.0,116.0,,,
2022.0,Nik Bonitto,Oklahoma,OLB,75.13,248.0,9.38,32.5,,4.54,22.0,35.5,,4.23,7.07,
2022.0,Thomas Booker,Stanford,DT,75.38,301.0,10.63,33.25,,4.94,,,110.0,4.41,7.33,
2022.0,Andrew Booth,Clemson,CB,72.25,194.0,9.38,31.5,,,,,,,,
2022.0,Max Borghi,Washington State,RB,69.38,210.0,9.13,29.63,,,20.0,,,,,
2022.0,Jaquan Brisker,Penn State,SS,73.38,199.0,9.88,31.75,,4.49,22.0,34.5,124.0,,,
2022.0,Kennedy Brooks,Oklahoma,RB,70.63,209.0,8.0,31.0,,4.59,14.0,31.0,120.0,4.4,7.03,
2022.0,Ben Brown,Mississippi,OG,77.13,312.0,10.25,34.38,,,,,,,,
2022.0,Leddie Brown,West Virginia,RB,72.13,213.0,9.75,31.38,,4.64,,30.0,118.0,,,
2022.0,Montaric Brown,Arkansas,CB,72.5,194.0,9.38,31.38,,4.55,11.0,34.0,122.0,4.44,7.27,
2022.0,Logan Bruss,Wisconsin,OT,77.0,308.0,11.0,33.13,,5.32,,31.0,112.0,4.55,7.57,
2022.0,Coby Bryant,Cincinnati,CB,73.38,193.0,9.38,30.63,,4.54,17.0,,,,,
2022.0,Spencer Burford,Texas-San Antonio,OG,76.13,304.0,9.5,34.75,,5.19,,27.5,105.0,4.73,,
2022.0,Treylon Burks,Arkansas,WR,73.88,224.0,9.75,33.5,,4.55,12.0,33.0,122.0,4.4,7.28,
2022.0,Darien Butler,Arizona State,ILB,70.38,226.0,9.38,30.13,,,19.0,,,,7.47,
2022.0,Matthew Butler,Tennessee,DT,75.88,297.0,9.25,33.5,,5.0,17.0,32.0,112.0,4.81,7.89,
2022.0,Percy Butler,Louisiana-Lafayette,SS,72.13,194.0,9.13,31.63,,4.36,,31.5,123.0,,,
2022.0,Grant Calcaterra,Southern Methodist (TX),TE,75.88,241.0,10.0,33.25,,4.62,20.0,,,,,
2022.0,Chance Campbell,Mississippi,OLB,74.38,232.0,10.13,31.25,,4.57,,39.5,127.0,,,
2022.0,JAtyre Carter,Southern (LA),OG,75.38,311.0,10.25,33.63,,5.13,,30.0,108.0,4.9,7.84,
2022.0,Zachary Carter,Florida,DT,76.25,282.0,10.25,33.5,,4.99,19.0,27.5,110.0,,,
2022.0,Tariq Castro-Fields,Penn State,CB,72.63,197.0,8.75,30.75,,4.38,,,,,,
2022.0,Ty Chandler,North Carolina,RB,71.25,204.0,9.0,32.13,,4.38,,31.0,121.0,,,
