Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1999.0,Rahim Abdullah,Clemson,OLB,77.1,244.0,9.75,32.63,,4.88,17.0,34.0,117.0,4.36,7.24,12.12
1999.0,Ben Adams,Texas,OG,76.9,324.0,8.88,32.25,,5.36,26.0,25.5,97.0,4.83,7.86,
1999.0,Phillip Armour,North Texas,C,75.0,318.0,9.88,30.5,,5.56,23.0,30.5,95.0,4.59,7.63,
1999.0,Brendon Ayanbadejo,UCLA,OLB,73.0,234.0,,,,4.67,18.0,36.0,117.0,4.36,7.57,
1999.0,Jerry Azumah,New Hampshire,RB,70.0,195.0,8.88,29.88,,4.5,15.0,43.5,129.0,3.86,6.9,11.13
1999.0,Champ Bailey,Georgia,CB,71.8,184.0,9.0,31.38,,4.28,,37.0,121.0,3.79,,
1999.0,Karsten Bailey,Auburn,WR,71.8,205.0,8.38,31.0,,4.33,,40.0,121.0,3.99,6.99,
1999.0,Eugene Baker,Kent State (OH),WR,72.5,167.0,9.5,31.5,,4.46,,36.5,118.0,4.03,6.9,10.93
1999.0,Todd Bandhaur,Iowa State,QB,75.0,236.0,,,31.0,5.26,,31.0,103.0,4.61,7.66,
1999.0,Lionel Barnes,North Carolina Central,DE,77.0,264.0,,,,5.0,24.0,34.0,112.0,4.52,7.51,
1999.0,Marlon Barnes,Colorado,RB,70.0,211.0,,,,4.49,18.0,35.5,120.0,4.32,7.31,
1999.0,Eric Barton,Maryland,ILB,74.8,247.0,8.75,32.63,,4.68,20.0,32.0,112.0,4.32,7.6,
1999.0,Michael Basnight,North Carolina A&T,RB,72.9,241.0,9.0,32.88,,4.61,18.0,34.2,117.0,4.42,7.34,11.92
1999.0,D'Wayne Bates,Northwestern,WR,73.6,215.0,9.0,32.63,,4.59,,37.0,117.0,4.24,7.25,
1999.0,Albrey Battle,Arizona State,DT,75.0,294.0,10.13,31.75,,5.39,23.0,29.0,101.0,4.66,8.15,
1999.0,Tim Beauchamp,Florida,DE,73.9,270.0,9.5,31.75,,4.92,24.0,26.5,,,,
1999.0,Michael Bishop,Kansas State,QB,73.0,205.0,,,10.0,4.85,,33.0,113.0,4.62,7.63,
1999.0,Octavious Bishop,Texas,OT,76.4,354.0,9.5,32.88,,5.84,22.0,,,,,
1999.0,Dre' Bly,North Carolina,CB,69.9,186.0,9.13,30.13,,4.51,,34.5,116.0,4.09,7.1,
1999.0,David Boston,Ohio State,WR,73.3,215.0,8.5,32.25,,4.47,,37.0,116.0,4.09,7.2,
1999.0,David Bowens,Western Illinois,DE,74.1,255.0,8.75,34.38,,4.88,,31.0,112.0,4.38,7.4,
1999.0,Melvin Bradley,Arkansas,DE,73.1,269.0,8.38,31.75,,4.67,,31.0,111.0,4.32,7.42,
1999.0,Ronnie Bradley,Georgia,RB,69.0,221.0,,,,4.57,,36.0,115.0,4.1,7.18,
1999.0,Jason Bray,Auburn,CB,70.0,185.0,,,,4.49,,33.0,113.0,4.35,7.2,
1999.0,Aaron Brooks,Virginia,QB,75.5,203.0,9.5,32.0,17.0,4.59,,35.5,118.0,4.29,7.52,
1999.0,Kevin Brooks,South Carolina,CB,69.0,169.0,,,,4.34,,36.0,119.0,3.86,6.99,
1999.0,Donald Broomfield,Clemson,DT,75.0,302.0,,,,5.08,24.0,31.0,106.0,4.34,7.75,
1999.0,Cuncho Brown,Penn State,TE,76.0,272.0,,,,4.78,,31.5,110.0,4.44,7.51,
1999.0,Larry Brown,Georgia,TE,76.9,278.0,7.88,33.25,,4.94,20.0,34.0,113.0,4.5,7.35,
1999.0,Na Brown,North Carolina,WR,72.6,184.0,9.88,30.63,,4.56,,30.5,110.0,4.21,7.12,11.19
1999.0,Wilbert Brown,Houston,OG,74.1,311.0,10.38,31.25,,5.52,22.0,26.0,98.0,5.02,8.46,
1999.0,Fernando Bryant,Alabama,CB,70.0,183.0,9.38,30.0,,4.5,,35.5,115.0,4.06,7.03,
1999.0,Tony Bryant,Florida State,DE,75.6,273.0,9.13,32.75,,4.85,16.0,34.5,111.0,4.57,7.57,
1999.0,Shawn Bryson,Tennessee,FB,72.5,235.0,9.25,31.0,,4.63,18.0,38.5,128.0,,,
1999.0,Doug Brzezinski,Boston College,OG,75.9,309.0,10.0,31.25,,5.32,26.0,26.0,98.0,4.53,,
1999.0,Brandon Bulsworth,Arkansas,OG,76.0,308.0,,,,5.01,24.0,31.5,111.0,4.43,7.43,
1999.0,Thomas Burke,Wisconsin,DE,74.1,264.0,10.0,31.25,,4.84,24.0,35.0,106.0,4.38,7.42,
1999.0,Siaha Burley,Central Florida,WR,71.0,166.0,,,,4.53,,34.0,113.0,4.16,,
1999.0,Justin Burroughs,North Carolina State,C,76.0,288.0,,,,4.86,23.0,33.0,114.0,4.23,7.36,
