Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2001.0,Keith Adams,Clemson,OLB,70.6,219.0,8.5,31.13,,4.81,24.0,,104.0,,,
2001.0,Dan Alexander,Nebraska,FB,71.9,257.0,9.5,31.0,,4.48,15.0,34.0,115.0,4.16,7.34,11.09
2001.0,Brian Allen,Florida State,OLB,72.1,238.0,9.0,31.5,,4.65,25.0,,,,,
2001.0,David Allen,Kansas State,RB,68.8,194.0,8.25,31.5,,4.65,15.0,31.0,111.0,,,
2001.0,Will Allen,Syracuse,CB,70.5,192.0,7.5,30.0,,4.44,14.0,39.5,121.0,3.9,6.78,10.96
2001.0,Scotty Anderson,Grambling State (LA),WR,74.1,184.0,7.5,31.5,,4.57,,34.5,115.0,,,
2001.0,Adam Archuleta,Arizona State,SS,71.9,211.0,7.75,30.5,,4.46,31.0,,,,,
2001.0,Tom Ashworth,Colorado,OG,77.8,293.0,10.0,35.0,,5.11,20.0,33.5,109.0,4.3,7.4,
2001.0,Billy Baber,Virginia,TE,75.6,255.0,9.5,32.5,,4.77,22.0,33.0,106.0,4.19,7.12,11.68
2001.0,Jeff Backus,Michigan,OT,77.5,310.0,9.5,32.5,,5.29,25.0,27.0,99.0,4.67,8.27,
2001.0,Alex Bannister,Eastern Kentucky,WR,76.6,201.0,8.5,32.0,,4.5,,30.5,110.0,,,
2001.0,Kevan Barlow,Pittsburgh,RB,73.1,235.0,9.0,32.0,,4.56,,32.0,,,,
2001.0,Idrees Bashir,Memphis,FS,74.3,206.0,9.5,31.5,,4.55,22.0,40.0,126.0,4.2,7.14,
2001.0,Gary Baxter,Baylor,CB,73.6,204.0,8.0,31.0,,4.52,,37.5,122.0,4.21,7.39,11.71
2001.0,Jonathan Beasley,Kansas State,QB,73.0,227.0,,,20.0,4.85,,29.5,102.0,4.38,7.55,
2001.0,Monty Beisel,Kansas State,DE,75.8,270.0,9.5,32.0,,4.82,26.0,34.5,110.0,4.28,7.32,
2001.0,Kendrell Bell,Georgia,ILB,73.3,234.0,10.5,32.0,,4.62,24.0,38.5,124.0,4.5,7.25,11.61
2001.0,Marcus Bell,Memphis,DT,73.5,319.0,10.0,32.5,,5.28,17.0,,98.0,4.71,8.07,
2001.0,Michael Bennett,Wisconsin,RB,69.3,207.0,8.5,31.0,,4.44,13.0,39.5,130.0,,,
2001.0,Eddie Berlin,Northern Iowa,WR,71.4,191.0,8.5,30.5,,4.44,,39.5,122.0,4.06,6.78,11.35
2001.0,Cory Bird,Virginia Tech,SS,70.3,217.0,10.0,30.25,,4.6,22.0,,,,,
2001.0,Darvell Bivens,Northwestern State (LA),FB,70.1,255.0,8.5,30.0,,5.03,32.0,33.5,108.0,4.38,7.81,12.43
2001.0,Randy Black,Nevada Las Vegas,SS,71.9,205.0,8.75,29.5,,4.71,,35.5,115.0,4.2,7.14,11.56
2001.0,Harold Blackmon,Northwestern,CB,71.4,210.0,8.0,31.0,,4.47,17.0,37.0,121.0,4.28,7.03,11.6
2001.0,Derrick Blaylock,Stephen F. Austin (TX),RB,69.9,194.0,8.0,29.5,,4.39,18.0,35.5,119.0,4.09,7.05,11.43
2001.0,Josh Booty,Louisiana State,QB,74.5,221.0,9.5,32.0,27.0,4.95,,29.5,105.0,4.48,7.54,
2001.0,Jarvis Borum,North Carolina State,OG,79.1,332.0,10.0,35.0,,5.04,25.0,30.5,107.0,4.83,8.08,
2001.0,James Boyd,Penn State,SS,71.0,207.0,,,,4.59,,32.5,117.0,4.24,7.29,
2001.0,Roylin Bradley,Texas A&M,OLB,73.1,243.0,9.0,32.0,,4.67,19.0,34.0,116.0,4.28,7.16,11.75
2001.0,Drew Brees,Purdue,QB,72.3,213.0,10.25,31.0,28.0,4.85,,32.0,105.0,4.21,7.09,
2001.0,Sean Brewer,San Jose State,TE,75.8,255.0,9.5,31.0,,4.75,14.0,36.0,117.0,4.18,7.37,12.15
2001.0,Chris Brown,Georgia Tech,OT,77.1,329.0,9.5,34.5,,5.33,30.0,36.0,,,,
2001.0,Kenny Bryant,Jackson State (MS),CB,70.6,190.0,8.75,31.0,,4.63,10.0,37.5,117.0,4.15,7.5,11.71
2001.0,Correll Buckhalter,Nebraska,RB,73.0,226.0,,,,4.53,11.0,40.0,,4.06,7.08,
2001.0,Derrick Burgess,Mississippi,DE,74.4,264.0,9.0,33.5,,4.9,24.0,40.0,125.0,,7.85,
2001.0,Jerametrius Butler,Kansas State,CB,70.0,173.0,,,,4.57,11.0,36.0,121.0,4.4,7.22,
