Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2000.0,Darnell Alford,Boston College,OT,76.0,334.0,10.5,34.0,,5.58,23.0,25.0,94.0,4.98,8.48,
2000.0,Kyle Allamon,Texas Tech,TE,74.5,253.0,9.88,31.0,,5.01,,29.0,104.0,4.49,7.29,12.47
2000.0,Rashard Anderson,Jackson State (MS),CB,74.4,206.0,10.0,33.0,,4.59,,34.0,123.0,4.15,7.18,11.72
2000.0,Corey Atkins,South Carolina,OLB,72.4,237.0,9.75,31.88,,4.76,21.0,31.0,112.0,4.39,7.96,11.87
2000.0,Reggie Austin,Wake Forest,CB,69.4,175.0,8.5,30.0,,4.46,17.0,35.0,119.0,4.14,7.03,
2000.0,Mark Baniewicz,Syracuse,OT,77.9,312.0,9.25,32.75,,5.36,20.0,28.0,96.0,4.73,7.72,
2000.0,Rashidi Barnes,Colorado,FS,71.6,208.0,9.5,32.0,,4.63,10.0,35.0,114.0,4.32,6.92,11.35
2000.0,David Barrett,Arkansas,CB,69.9,199.0,10.0,31.13,,4.48,16.0,37.5,116.0,4.04,6.81,10.77
2000.0,William Bartee,Oklahoma,CB,73.0,192.0,,,,4.43,,38.5,124.0,3.99,6.7,
2000.0,Terrance Beadles,Arkansas-Pine Bluff,OG,74.9,312.0,10.13,33.0,,5.21,29.0,,,,,
2000.0,Robert Bean,Mississippi State,CB,71.0,178.0,,,,4.5,,34.5,122.0,4.2,6.87,
2000.0,Anthony Becht,West Virginia,TE,77.6,270.0,10.5,32.63,,4.78,,33.5,123.0,4.08,6.94,11.51
2000.0,Rogers Beckett,Marshall (WV),FS,73.5,207.0,9.5,33.5,,4.64,15.0,39.5,119.0,4.29,6.48,11.24
2000.0,Brad Bedell,Colorado,OG,76.4,302.0,10.0,32.38,,5.12,17.0,31.5,103.0,4.58,7.76,
2000.0,Marcus Bell,Arizona,ILB,73.6,237.0,10.13,31.88,,4.8,21.0,31.5,111.0,4.33,7.17,11.73
2000.0,Michael Boireau,Miami (FL),DE,76.1,274.0,10.25,34.0,,5.12,26.0,29.0,105.0,4.49,7.68,
2000.0,Matt Bowen,Iowa,SS,73.1,201.0,9.0,30.25,,4.51,12.0,33.0,115.0,4.09,7.06,11.37
2000.0,Tom Brady,Michigan,QB,76.4,211.0,9.38,32.75,33.0,5.3,,24.5,99.0,4.38,7.2,
2000.0,Robert Brannon,Iowa State,DT,75.8,309.0,9.25,33.25,,5.22,28.0,28.5,99.0,4.7,7.82,
2000.0,Demario Brown,Utah State,RB,72.4,217.0,9.13,31.25,,4.74,,31.0,107.0,4.39,7.17,11.79
2000.0,Keith Brown,UCLA,RB,71.1,216.0,10.0,31.0,,4.68,,30.0,117.0,4.08,6.64,11.21
2000.0,Mike Brown,Nebraska,SS,69.9,204.0,9.13,30.5,,4.6,14.0,36.0,116.0,4.01,6.93,11.0
2000.0,Ralph Brown,Nebraska,CB,69.9,204.0,9.13,30.5,,4.6,14.0,36.0,116.0,4.01,6.93,11.0
2000.0,Travis Brown,Northern Arizona,QB,75.5,218.0,9.0,31.25,35.0,5.03,,29.0,101.0,4.87,7.54,
2000.0,Lamont Bryant,Notre Dame,DE,75.4,260.0,11.13,34.75,,4.92,17.0,,,,,
2000.0,Marc Bulger,West Virginia,QB,73.6,208.0,9.25,30.63,29.0,4.96,,,100.0,4.34,7.46,
2000.0,Keith Bulluck,Syracuse,OLB,75.0,244.0,10.75,33.5,,4.47,,38.0,119.0,4.13,7.33,11.41
2000.0,Bill Burke,Michigan State,QB,75.9,206.0,9.88,32.25,30.0,5.07,,28.5,107.0,4.42,7.46,
2000.0,Plaxico Burress,Michigan State,WR,77.4,231.0,9.5,33.75,,4.59,,33.0,115.0,,,
2000.0,David Byrd,Syracuse,CB,71.4,202.0,9.13,30.5,,4.55,14.0,36.0,117.0,4.39,7.18,11.54
2000.0,Trung Canidate,Arizona,RB,70.6,193.0,8.13,29.75,,4.46,18.0,,,,,
2000.0,Cooper Carlisle,Florida,OG,77.4,297.0,10.0,31.75,,5.2,28.0,31.0,100.0,4.48,7.82,
2000.0,Giovanni Carmazzi,Hofstra (NY),QB,74.6,224.0,9.5,32.25,32.0,4.76,,36.5,119.0,4.23,6.94,
2000.0,Leonardo Carson,Auburn,DE,73.5,283.0,9.75,31.0,,5.06,22.0,28.0,106.0,4.75,7.82,
2000.0,Tyrone Carter,Minnesota,SS,67.6,190.0,9.13,30.0,,4.53,16.0,41.0,121.0,4.19,6.75,10.99
2000.0,Kwame Cavil,Texas,WR,73.6,208.0,10.0,31.13,,4.54,,39.5,118.0,,,
2000.0,Doug Chapman,Marshall (WV),RB,70.0,215.0,9.5,30.0,,4.59,16.0,38.5,128.0,4.2,6.84,11.36
2000.0,Ike Charlton,Virginia Tech,CB,71.1,205.0,9.5,32.0,,4.47,16.0,,126.0,,,
2000.0,Chrys Chukwuma,Arkansas,RB,73.0,232.0,,,,4.56,,,115.0,,,
2000.0,Joey Chustz,Louisiana Tech,OT,78.6,304.0,10.13,34.0,,5.12,28.0,31.0,103.0,4.65,7.65,
2000.0,Kendrick Clancy,Mississippi,DT,72.9,283.0,10.0,32.0,,5.28,25.0,27.5,108.0,4.65,7.98,
2000.0,Travis Claridge,Southern California,OG,77.1,303.0,9.88,33.5,,5.18,29.0,31.5,100.0,4.86,7.77,
2000.0,Danny Clark,Illinois,ILB,74.1,245.0,10.5,33.0,,4.77,20.0,,,,,
2000.0,Chad Clifton,Tennessee,OT,77.3,334.0,9.88,33.0,,5.12,24.0,30.5,102.0,4.73,7.58,
2000.0,Chris Cole,Texas A&M,WR,72.1,191.0,9.5,32.5,,4.37,,37.5,125.0,4.09,6.76,
2000.0,Chris Coleman,North Carolina State,WR,71.8,211.0,9.13,31.5,,4.65,,32.5,110.0,4.1,6.79,11.33
2000.0,Cosey Coleman,Tennessee,OG,76.0,322.0,,,,5.4,,28.0,101.0,4.97,8.15,
2000.0,Laveranues Coles,Florida State,WR,71.3,192.0,9.0,30.63,,4.48,,34.0,115.0,4.39,6.89,11.34
2000.0,Chris Combs,Duke,DT,76.8,286.0,10.0,32.5,,5.18,22.0,,,,,
