Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1993.0,Daron Alcorn,Akron,K,74.3,241.0,8.38,31.63,,,,,,,,
1993.0,Arnold Ale,UCLA,OLB,74.4,228.0,8.63,32.38,,,17.0,,,,,
1993.0,Harold Alexander,Appalachian State (NC),P,74.1,224.0,8.38,31.88,,,,,,,,
1993.0,Charmyst Amie,Stephen F. Austin (TX),FS,69.0,193.0,9.13,29.88,,4.6,,34.0,121.0,4.06,,11.35
1993.0,Richie Anderson,Penn State,RB,73.8,220.0,9.0,32.25,,4.56,16.0,35.5,121.0,4.27,,11.6
1993.0,Stevie Anderson,Grambling State (LA),WR,76.3,207.0,8.88,32.63,,4.57,,35.0,115.0,4.15,,11.38
1993.0,Jesse Armstead,Miami (FL),OLB,73.5,228.0,9.5,32.38,,4.64,25.0,37.0,122.0,4.01,,11.86
1993.0,Herman Arvie,Grambling State (LA),OT,75.9,324.0,9.5,33.25,,5.57,14.0,26.0,100.0,4.91,,
1993.0,James Atkins,Southwestern Louisiana,OT,77.6,297.0,9.88,34.63,,,18.0,,,,,
1993.0,Hassan Bailey,Kansas,CB,71.6,200.0,9.38,33.5,,4.48,16.0,33.0,122.0,4.13,,11.31
1993.0,Victor Bailey,Missouri,WR,74.3,196.0,10.5,32.0,,4.57,,35.0,114.0,4.16,,11.94
1993.0,Walter Bailey,Washington,CB,70.0,191.0,8.88,33.13,,4.61,,,,4.41,,11.64
1993.0,Myron Baker,Louisiana Tech,ILB,74.6,221.0,9.25,30.25,,4.7,26.0,34.0,120.0,4.29,,12.14
1993.0,Shannon Baker,Florida State,WR,69.5,185.0,9.25,32.88,,4.49,,35.0,114.0,4.4,,11.96
1993.0,Wolf Barber,California,CB,70.0,192.0,10.0,31.63,,4.59,15.0,33.0,120.0,4.1,,11.31
1993.0,Reggie Barnes,Oklahoma,OLB,72.5,234.0,9.5,32.63,,4.91,13.0,30.5,111.0,4.46,,12.45
1993.0,Michael Barrow,Miami (FL),OLB,73.5,236.0,10.25,33.5,,4.71,19.0,31.5,118.0,4.19,,12.03
1993.0,Patrick Bates,Texas A&M,SS,75.4,224.0,9.0,32.25,,,11.0,38.0,,,,
