Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
1998.0,Chris Akins,Texas,DT,73.0,323.0,9.38,33.38,,,31.0,,,,,
1998.0,Curtis Alexander,Alabama,RB,71.6,204.0,9.25,31.25,,4.44,13.0,37.0,117.0,,7.46,
1998.0,Jamaal Alexander,Southern Mississippi,FS,70.8,200.0,9.5,32.25,,4.48,,32.5,113.0,4.24,7.35,11.4
1998.0,Stephen Alexander,Oklahoma,TE,76.4,246.0,9.5,33.25,,4.65,18.0,35.5,122.0,4.09,7.48,11.19
1998.0,Brian Alford,Purdue,WR,73.5,187.0,9.63,33.13,,4.46,,37.0,127.0,4.04,7.49,11.08
1998.0,Victor Allotey,Indiana,DT,75.1,325.0,10.25,32.25,,5.27,23.0,25.5,104.0,4.95,8.64,
1998.0,Jason Andersen,Brigham Young,OT,77.6,314.0,10.25,33.5,,5.35,21.0,29.5,102.0,4.5,8.42,
1998.0,Chris Anderson,Colorado,WR,74.4,230.0,10.25,34.38,,4.85,,34.0,110.0,4.3,7.65,11.82
1998.0,Darchi Anderson,Arkansas,DT,75.5,306.0,10.63,34.75,,5.2,25.0,28.5,103.0,4.45,8.54,
1998.0,Rodney Artmore,Baylor,CB,71.8,216.0,9.5,32.13,,4.6,8.0,38.5,122.0,4.27,7.3,11.4
1998.0,Tutu Atwell,Minnesota,WR,68.1,164.0,9.5,30.75,,4.51,,32.5,117.0,4.22,7.34,11.27
1998.0,John Avery,Mississippi,RB,69.4,184.0,9.13,30.5,,4.38,17.0,34.5,121.0,4.16,7.35,11.09
1998.0,Jason Baker,Montana,OT,78.1,337.0,10.5,33.25,,5.79,19.0,22.5,88.0,5.13,9.04,
1998.0,Tavian Banks,Iowa,RB,69.6,198.0,9.63,31.88,,4.48,15.0,39.0,125.0,3.95,7.34,11.06
1998.0,Shawn Barber,Richmond (VA),OLB,73.9,224.0,9.88,33.25,,4.56,,37.0,126.0,4.16,7.45,11.34
1998.0,Octavus Barnes,North Carolina,WR,72.4,197.0,9.75,33.0,,4.65,,25.0,111.0,4.48,7.91,12.15
1998.0,Charlie Batch,Eastern Michigan,QB,73.9,216.0,9.75,33.75,,4.89,,33.5,118.0,4.11,7.6,
1998.0,Eric Bateman,Brigham Young,OG,78.5,319.0,10.75,34.5,,,20.0,,,,,
1998.0,Fred Beasley,Auburn,FB,71.4,220.0,9.5,31.38,,4.91,16.0,32.0,114.0,4.18,7.58,11.67
1998.0,Geno Bell,Arkansas,DT,74.3,286.0,10.13,33.5,,4.98,21.0,31.5,106.0,4.55,8.07,
1998.0,Leon Bender,Washington State,DT,76.9,318.0,10.25,35.75,,5.19,25.0,30.0,101.0,4.83,8.7,
1998.0,Magic Benton,Miami (FL),WR,71.5,184.0,9.63,33.13,,4.64,,30.0,112.0,4.44,7.73,12.27
1998.0,Matt Birk,Harvard,OT,76.9,308.0,9.75,32.5,,5.4,21.0,29.5,106.0,4.45,8.13,
1998.0,Michael Black,Washington State,RB,70.8,196.0,8.88,31.75,,,17.0,,,,,
1998.0,Ryan Black,Colorado,FS,70.0,192.0,9.38,30.0,,4.72,13.0,35.5,115.0,4.06,7.48,11.22
1998.0,Jon Blackman,Purdue,TE,78.1,271.0,10.13,34.13,,5.07,,30.5,112.0,4.39,7.62,12.52
1998.0,Roosevelt Blackmon,Morris Brown (GA),CB,72.8,179.0,9.13,32.25,,4.56,11.0,32.5,115.0,,7.38,
1998.0,Ernest Blackwell,Missouri,FB,74.5,242.0,9.25,34.0,,4.79,,35.0,117.0,,,
