Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
2021.0,Jonathan Adams,Arkansas State,WR,74.0,210.0,9.875,32.125,,4.59,,39.0,132.0,4.38,7.04,
2021.0,Paulson Adebo,Stanford,CB,73.0,198.0,10.0,31.5,,4.45,18.0,36.5,121.0,4.13,6.69,
2021.0,DAngelo Amos,Virginia,FS,71.75,191.0,9.0,32.25,,4.58,11.0,34.5,119.0,4.33,6.98,
2021.0,Jack Anderson,Texas Tech,OG,76.63,314.0,10.0,31.875,,5.27,27.0,29.5,105.0,4.83,7.88,
2021.0,Otis Anderson,Central Florida,RB,67.5,179.0,9.0,31.125,,4.65,11.0,36.0,113.0,4.42,7.04,
2021.0,Zayne Anderson,Brigham Young,FS,73.88,206.0,9.75,31.25,,4.44,11.0,34.0,120.0,4.2,6.78,
2021.0,Cary Angeline,North Carolina State,TE,78.5,245.0,10.0,33.0,,4.89,12.0,29.0,109.0,4.59,7.19,
2021.0,Rayshard Ashby,Virginia Tech,ILB,70.25,232.0,8.375,31.0,,4.93,24.0,31.5,114.0,4.32,7.17,
2021.0,Calvin Ashley,Florida A&M,OT,78.13,314.0,10.125,34.25,,5.55,15.0,29.0,105.0,5.0,8.46,
2021.0,Tutu Atwell,Louisville,WR,68.88,155.0,8.875,29.25,,4.39,,33.0,117.0,4.09,6.87,
2021.0,Jhamon Ausbon,Texas A&M,WR,74.38,217.0,9.875,32.375,,4.72,,33.0,118.0,4.28,6.89,
2021.0,Kayode Awosika,Buffalo,OG,75.13,307.0,9.0,32.625,,5.19,28.0,30.0,100.0,4.91,8.15,
2021.0,JaQuan Bailey,Iowa State,DE,73.88,246.0,8.5,32.0,,4.81,19.0,26.5,110.0,4.8,7.53,
2021.0,Kawaan Baker,South Alabama,WR,72.5,210.0,10.75,32.375,,4.45,21.0,39.5,129.0,4.41,7.42,
2021.0,Cagan Baldree,Texas A&M,FB,74.88,246.0,9.75,31.5,,5.14,17.0,33.5,114.0,4.5,7.47,
2021.0,Josh Ball,Marshall (WV),OT,79.38,308.0,10.0,35.0,,5.2,28.0,27.5,106.0,4.7,7.77,
2021.0,Cole Banwart,Iowa,OG,75.75,298.0,10.375,33.75,,5.23,20.0,27.5,103.0,4.56,7.5,
2021.0,Derrick Barnes,Purdue,ILB,72.38,238.0,9.75,33.375,,4.58,29.0,37.0,119.0,4.32,,
2021.0,Carlos Basham,Wake Forest,DE,75.25,274.0,9.25,32.875,,4.62,20.0,34.0,122.0,4.32,7.13,
2021.0,Rashod Bateman,Minnesota,WR,72.38,190.0,9.5,33.0,,4.43,,36.0,123.0,4.35,6.95,
2021.0,John Bates,Boise State,TE,77.38,250.0,9.625,32.5,,4.84,19.0,31.5,120.0,4.35,6.85,
2021.0,Tavante Beckett,Marshall (WV),OLB,70.0,220.0,10.375,32.75,,4.78,18.0,31.0,106.0,4.58,7.34,
2021.0,Chase Behrndt,West Virginia,C,75.5,324.0,10.375,33.5,,5.55,25.0,24.5,101.0,4.93,8.21,
2021.0,Turner Bernard,San Diego State,LS,72.75,233.0,9.125,30.375,,5.18,23.0,25.5,94.0,4.79,7.72,
2021.0,Shaun Beyer,Iowa,TE,76.88,250.0,9.75,33.25,,4.81,22.0,31.5,119.0,4.26,7.02,
2021.0,Tarik Black,Texas,WR,74.75,213.0,9.75,33.75,,4.54,15.0,40.0,132.0,4.26,6.91,
2021.0,Joshuah Bledsoe,Missouri,FS,71.38,204.0,9.625,30.75,,,,,103.0,,,
2021.0,Quinton Bohanna,Kentucky,DT,76.0,327.0,10.875,34.0,,5.48,,29.0,99.0,5.15,8.21,
2021.0,Nick Bolton,Missouri,ILB,71.13,237.0,10.375,31.875,,4.6,24.0,32.0,115.0,4.5,7.4,
2021.0,Ian Book,Notre Dame,QB,72.0,211.0,9.875,31.25,,4.65,,32.5,115.0,4.2,7.0,
2021.0,Dicaprio Bootle,Nebraska,CB,69.5,180.0,8.5,30.0,,4.45,16.0,36.5,126.0,4.17,6.72,
2021.0,Tuf Borland,Ohio State,ILB,72.25,229.0,10.0,31.375,,5.0,15.0,32.5,109.0,4.3,7.18,
2021.0,Larry Borom,Missouri,OG,76.88,322.0,10.375,33.125,,5.15,21.0,31.0,103.0,,8.04,
2021.0,Jose Borregales,Miami (FL),K,70.0,206.0,9.5,29.0,,,,,122.0,,,
2021.0,Rakeem Boyd,Arkansas,RB,71.38,213.0,8.625,32.5,,4.7,6.0,32.5,98.0,4.38,7.22,
2021.0,William Bradley-King,Baylor,DE,75.5,252.0,10.25,33.5,,4.79,,34.5,119.0,4.29,7.1,
2021.0,Brady Breeze,Oregon,SS,71.75,197.0,9.5,30.5,,4.55,20.0,38.0,120.0,4.23,7.03,
2021.0,Gary Brightwell,Arizona,RB,70.75,218.0,9.375,31.0,,4.62,17.0,34.5,118.0,4.48,7.51,
2021.0,K.J. Britt,Auburn,ILB,72.5,235.0,9.375,31.0,,4.76,24.0,32.5,118.0,4.4,7.38,
2021.0,Josiah Bronson,Washington,DT,74.88,304.0,9.25,31.5,,5.07,27.0,30.0,101.0,4.72,7.63,
2021.0,Deonte Brown,Alabama,OG,75.25,344.0,9.125,32.375,,5.57,,27.0,96.0,5.18,8.33,
2021.0,Earnest Brown,Northwestern,DE,76.5,270.0,9.75,34.5,,5.01,25.0,31.0,115.0,4.5,7.19,
2021.0,Spencer Brown,Alabama-Birmingham,RB,70.38,208.0,8.5,30.625,,4.64,74.0,36.5,121.0,4.39,7.38,
2021.0,Spencer Brown,Northern Iowa,OT,80.25,311.0,10.375,34.75,,4.94,29.0,31.5,117.0,4.4,6.96,
2021.0,Tre Brown,Oklahoma,CB,69.75,185.0,9.5,30.375,,4.42,13.0,38.0,123.0,4.27,7.11,
2021.0,Baron Browning,Ohio State,ILB,74.75,245.0,10.0,33.5,,4.56,23.0,40.0,130.0,4.22,6.78,
2021.0,Shane Buechele,Southern Methodist (TX),QB,72.25,210.0,9.375,30.25,,4.96,,30.0,114.0,4.6,7.34,
